# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,16,29,30,33,31,3,
(0,1),-3.39665 # DEPENDENCYPART_ARC
(0,2),-3.34635 # DEPENDENCYPART_ARC
(0,3),-1.52391 # DEPENDENCYPART_ARC
(0,4),-3.51171 # DEPENDENCYPART_ARC
(0,5),-3.65062 # DEPENDENCYPART_ARC
(0,10),-1.84367 # DEPENDENCYPART_ARC
(1,2),-1.60605 # DEPENDENCYPART_ARC
(1,3),-0.778083 # DEPENDENCYPART_ARC
(1,4),-1.83431 # DEPENDENCYPART_ARC
(1,5),-2.03012 # DEPENDENCYPART_ARC
(1,10),-1.47929 # DEPENDENCYPART_ARC
(2,1),0.634132 # DEPENDENCYPART_ARC
(2,3),-1.34131 # DEPENDENCYPART_ARC
(2,5),-1.57238 # DEPENDENCYPART_ARC
(2,6),-2.10067 # DEPENDENCYPART_ARC
(2,7),-1.62088 # DEPENDENCYPART_ARC
(2,10),-1.72984 # DEPENDENCYPART_ARC
(2,11),-2.69643 # DEPENDENCYPART_ARC
(2,12),-2.07617 # DEPENDENCYPART_ARC
(2,13),-2.4086 # DEPENDENCYPART_ARC
(3,1),-0.802076 # DEPENDENCYPART_ARC
(3,2),0.999974 # DEPENDENCYPART_ARC
(3,4),2.35484 # DEPENDENCYPART_ARC
(3,5),-0.724632 # DEPENDENCYPART_ARC
(3,6),-1.20076 # DEPENDENCYPART_ARC
(3,7),-1.2523 # DEPENDENCYPART_ARC
(3,9),-1.83168 # DEPENDENCYPART_ARC
(3,10),-1.27411 # DEPENDENCYPART_ARC
(3,11),-2.00998 # DEPENDENCYPART_ARC
(3,12),-1.19736 # DEPENDENCYPART_ARC
(3,13),-1.95197 # DEPENDENCYPART_ARC
(3,24),-0.984825 # DEPENDENCYPART_ARC
(3,25),-2.03531 # DEPENDENCYPART_ARC
(3,34),1.49326 # DEPENDENCYPART_ARC
(4,1),-1.01915 # DEPENDENCYPART_ARC
(4,2),-1.31744 # DEPENDENCYPART_ARC
(4,3),-0.693032 # DEPENDENCYPART_ARC
(4,5),1.22849 # DEPENDENCYPART_ARC
(4,6),-0.608317 # DEPENDENCYPART_ARC
(4,7),-0.966353 # DEPENDENCYPART_ARC
(4,9),-1.38027 # DEPENDENCYPART_ARC
(4,10),-1.32142 # DEPENDENCYPART_ARC
(4,11),-1.43048 # DEPENDENCYPART_ARC
(4,12),-1.58957 # DEPENDENCYPART_ARC
(4,13),-1.58125 # DEPENDENCYPART_ARC
(4,17),-2.21429 # DEPENDENCYPART_ARC
(4,20),-2.47492 # DEPENDENCYPART_ARC
(4,34),-1.95087 # DEPENDENCYPART_ARC
(5,1),-1.67397 # DEPENDENCYPART_ARC
(5,2),-1.31174 # DEPENDENCYPART_ARC
(5,3),-1.44977 # DEPENDENCYPART_ARC
(5,6),1.1798 # DEPENDENCYPART_ARC
(5,7),0.533814 # DEPENDENCYPART_ARC
(5,8),-1.61033 # DEPENDENCYPART_ARC
(5,9),-0.814825 # DEPENDENCYPART_ARC
(5,10),-0.751778 # DEPENDENCYPART_ARC
(5,11),-1.0162 # DEPENDENCYPART_ARC
(5,12),-0.6691 # DEPENDENCYPART_ARC
(5,13),-0.822864 # DEPENDENCYPART_ARC
(5,16),-1.50769 # DEPENDENCYPART_ARC
(5,17),-1.00841 # DEPENDENCYPART_ARC
(5,19),-1.78932 # DEPENDENCYPART_ARC
(5,20),-1.61935 # DEPENDENCYPART_ARC
(5,21),-1.94755 # DEPENDENCYPART_ARC
(5,24),-1.4461 # DEPENDENCYPART_ARC
(5,25),-2.12575 # DEPENDENCYPART_ARC
(5,29),-2.62227 # DEPENDENCYPART_ARC
(5,31),-2.68763 # DEPENDENCYPART_ARC
(5,34),-2.41649 # DEPENDENCYPART_ARC
(6,1),-1.90315 # DEPENDENCYPART_ARC
(6,2),-1.87724 # DEPENDENCYPART_ARC
(6,5),-0.936932 # DEPENDENCYPART_ARC
(6,7),-1.38653 # DEPENDENCYPART_ARC
(6,9),-2.08344 # DEPENDENCYPART_ARC
(6,10),-2.02402 # DEPENDENCYPART_ARC
(7,6),-1.54697 # DEPENDENCYPART_ARC
(7,8),-1.07998 # DEPENDENCYPART_ARC
(7,9),0.130639 # DEPENDENCYPART_ARC
(7,10),0.79375 # DEPENDENCYPART_ARC
(7,11),-0.95632 # DEPENDENCYPART_ARC
(7,12),-1.48302 # DEPENDENCYPART_ARC
(7,13),-2.06031 # DEPENDENCYPART_ARC
(7,16),-2.21995 # DEPENDENCYPART_ARC
(8,7),-1.74545 # DEPENDENCYPART_ARC
(9,1),-3.40603 # DEPENDENCYPART_ARC
(9,3),-2.58681 # DEPENDENCYPART_ARC
(9,6),-2.13446 # DEPENDENCYPART_ARC
(9,7),-1.50456 # DEPENDENCYPART_ARC
(9,8),1.47359 # DEPENDENCYPART_ARC
(9,10),-1.40971 # DEPENDENCYPART_ARC
(9,11),-1.44502 # DEPENDENCYPART_ARC
(9,12),-1.53171 # DEPENDENCYPART_ARC
