# _root_ `` The earnings were fine and above expectations , '' said Michael W. Blumstein , an analyst at First Boston Corp .
#goldHeads=11,3,4,11,6,4,6,7,11,11,0,14,14,11,14,17,14,17,21,21,18,11,
#predictedHeads=11,3,4,11,6,8,6,4,11,11,0,14,14,11,14,17,14,17,21,21,18,11,
(0,3),-2.50522 # DEPENDENCYPART_ARC
(0,4),-1.72502 # DEPENDENCYPART_ARC
(0,6),-2.15634 # DEPENDENCYPART_ARC
(0,8),-2.95573 # DEPENDENCYPART_ARC
(0,11),-0.516097 # DEPENDENCYPART_ARC
(0,14),-3.17637 # DEPENDENCYPART_ARC
(2,4),-1.03987 # DEPENDENCYPART_ARC
(2,6),-1.20023 # DEPENDENCYPART_ARC
(2,9),-1.43391 # DEPENDENCYPART_ARC
(3,1),-0.780025 # DEPENDENCYPART_ARC
(3,2),1.35243 # DEPENDENCYPART_ARC
(3,4),-0.15355 # DEPENDENCYPART_ARC
(3,5),-1.22084 # DEPENDENCYPART_ARC
(3,6),-1.05258 # DEPENDENCYPART_ARC
(3,8),-1.43328 # DEPENDENCYPART_ARC
(3,9),-1.79697 # DEPENDENCYPART_ARC
(3,10),-1.50639 # DEPENDENCYPART_ARC
(3,11),-2.35482 # DEPENDENCYPART_ARC
(3,14),-1.92483 # DEPENDENCYPART_ARC
(3,15),-2.05426 # DEPENDENCYPART_ARC
(3,17),-1.81521 # DEPENDENCYPART_ARC
(3,18),-1.60259 # DEPENDENCYPART_ARC
(4,1),-0.685833 # DEPENDENCYPART_ARC
(4,2),-0.516664 # DEPENDENCYPART_ARC
(4,3),1.07105 # DEPENDENCYPART_ARC
(4,5),0.621395 # DEPENDENCYPART_ARC
(4,6),-0.526182 # DEPENDENCYPART_ARC
(4,7),-1.06522 # DEPENDENCYPART_ARC
(4,8),-0.457827 # DEPENDENCYPART_ARC
(4,9),-1.28901 # DEPENDENCYPART_ARC
(4,10),-1.54652 # DEPENDENCYPART_ARC
(4,11),-2.38034 # DEPENDENCYPART_ARC
(4,14),-2.2516 # DEPENDENCYPART_ARC
(4,15),-2.18611 # DEPENDENCYPART_ARC
(4,17),-1.81635 # DEPENDENCYPART_ARC
(4,18),-1.92256 # DEPENDENCYPART_ARC
(4,22),-0.892479 # DEPENDENCYPART_ARC
(5,1),-1.38599 # DEPENDENCYPART_ARC
(5,2),-1.35683 # DEPENDENCYPART_ARC
(5,3),-1.19107 # DEPENDENCYPART_ARC
(5,6),-0.63664 # DEPENDENCYPART_ARC
(5,7),-0.974199 # DEPENDENCYPART_ARC
(5,8),-1.4768 # DEPENDENCYPART_ARC
(5,9),-1.50753 # DEPENDENCYPART_ARC
(5,10),-1.80986 # DEPENDENCYPART_ARC
(5,11),-1.96627 # DEPENDENCYPART_ARC
(6,1),-0.999413 # DEPENDENCYPART_ARC
(6,2),-1.05835 # DEPENDENCYPART_ARC
(6,3),-0.659363 # DEPENDENCYPART_ARC
(6,4),-0.433964 # DEPENDENCYPART_ARC
(6,5),1.521 # DEPENDENCYPART_ARC
(6,7),1.5861 # DEPENDENCYPART_ARC
(6,8),0.0830506 # DEPENDENCYPART_ARC
(6,9),-0.987898 # DEPENDENCYPART_ARC
(6,10),-1.30187 # DEPENDENCYPART_ARC
(6,11),-1.63343 # DEPENDENCYPART_ARC
(6,12),-2.03281 # DEPENDENCYPART_ARC
(6,13),-2.09557 # DEPENDENCYPART_ARC
(6,14),-2.23302 # DEPENDENCYPART_ARC
(6,15),-1.54134 # DEPENDENCYPART_ARC
(6,17),-2.61946 # DEPENDENCYPART_ARC
(6,18),-1.88898 # DEPENDENCYPART_ARC
(6,21),-2.79804 # DEPENDENCYPART_ARC
(6,22),-1.75372 # DEPENDENCYPART_ARC
(7,5),-1.62503 # DEPENDENCYPART_ARC
(7,6),-0.486664 # DEPENDENCYPART_ARC
(7,8),-0.759942 # DEPENDENCYPART_ARC
(7,9),-1.59177 # DEPENDENCYPART_ARC
