# _root_ General unsecured creditors of Maxicare 's discontinued operations , whose claims total $ 110 million , initially will receive $ 17.8 million in cash and $ 10 million in senior notes .
#goldHeads=3,3,18,3,8,5,8,4,3,11,12,3,12,13,13,3,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
#predictedHeads=3,3,18,3,8,5,8,4,8,11,12,8,12,13,13,18,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
(0,1),-1.67985 # DEPENDENCYPART_ARC
(0,3),-2.73946 # DEPENDENCYPART_ARC
(0,7),-1.89233 # DEPENDENCYPART_ARC
(0,8),-3.03462 # DEPENDENCYPART_ARC
(0,11),-3.2475 # DEPENDENCYPART_ARC
(0,12),-2.63234 # DEPENDENCYPART_ARC
(0,13),-3.32311 # DEPENDENCYPART_ARC
(0,18),-2.50766 # DEPENDENCYPART_ARC
(0,19),-2.91471 # DEPENDENCYPART_ARC
(0,20),-3.05462 # DEPENDENCYPART_ARC
(0,25),-1.94106 # DEPENDENCYPART_ARC
(1,2),-0.413918 # DEPENDENCYPART_ARC
(1,3),-1.32947 # DEPENDENCYPART_ARC
(1,4),-1.30947 # DEPENDENCYPART_ARC
(1,5),-1.59709 # DEPENDENCYPART_ARC
(1,7),-1.42067 # DEPENDENCYPART_ARC
(1,9),-1.58814 # DEPENDENCYPART_ARC
(2,1),0.177718 # DEPENDENCYPART_ARC
(2,4),-1.34388 # DEPENDENCYPART_ARC
(2,5),-1.60613 # DEPENDENCYPART_ARC
(3,1),0.176314 # DEPENDENCYPART_ARC
(3,2),1.42565 # DEPENDENCYPART_ARC
(3,4),0.558705 # DEPENDENCYPART_ARC
(3,5),-0.979421 # DEPENDENCYPART_ARC
(3,7),-0.853752 # DEPENDENCYPART_ARC
(3,8),-1.5096 # DEPENDENCYPART_ARC
(3,9),-1.42657 # DEPENDENCYPART_ARC
(3,11),-1.88483 # DEPENDENCYPART_ARC
(3,12),-1.96242 # DEPENDENCYPART_ARC
(3,16),-1.62235 # DEPENDENCYPART_ARC
(3,18),-1.72572 # DEPENDENCYPART_ARC
(3,19),-2.05509 # DEPENDENCYPART_ARC
(3,32),-1.71968 # DEPENDENCYPART_ARC
(4,2),-1.59368 # DEPENDENCYPART_ARC
(4,5),0.288961 # DEPENDENCYPART_ARC
(4,7),-1.32923 # DEPENDENCYPART_ARC
(4,8),-1.37758 # DEPENDENCYPART_ARC
(4,9),-1.66378 # DEPENDENCYPART_ARC
(4,11),-3.00598 # DEPENDENCYPART_ARC
(5,1),-2.08146 # DEPENDENCYPART_ARC
(5,2),-1.94703 # DEPENDENCYPART_ARC
(5,3),-1.22709 # DEPENDENCYPART_ARC
(5,4),-0.63064 # DEPENDENCYPART_ARC
(5,6),0.973042 # DEPENDENCYPART_ARC
(5,7),-0.672852 # DEPENDENCYPART_ARC
(5,9),-1.4846 # DEPENDENCYPART_ARC
(5,11),-1.72091 # DEPENDENCYPART_ARC
(5,12),-1.92864 # DEPENDENCYPART_ARC
(6,12),-1.87345 # DEPENDENCYPART_ARC
(7,1),-1.81197 # DEPENDENCYPART_ARC
(7,2),-1.82962 # DEPENDENCYPART_ARC
(7,3),-1.31608 # DEPENDENCYPART_ARC
(7,4),-1.14327 # DEPENDENCYPART_ARC
(7,5),-1.08022 # DEPENDENCYPART_ARC
(7,8),-0.235734 # DEPENDENCYPART_ARC
(7,9),-1.76579 # DEPENDENCYPART_ARC
(7,11),-2.40881 # DEPENDENCYPART_ARC
(7,12),-2.41357 # DEPENDENCYPART_ARC
(7,13),-2.74778 # DEPENDENCYPART_ARC
(7,25),-1.75106 # DEPENDENCYPART_ARC
(7,32),-1.85742 # DEPENDENCYPART_ARC
(8,1),-1.39937 # DEPENDENCYPART_ARC
(8,2),-1.36088 # DEPENDENCYPART_ARC
(8,3),-1.02879 # DEPENDENCYPART_ARC
(8,4),-0.90761 # DEPENDENCYPART_ARC
