# _root_ Even if the gross national product is either flat or in the growth range of 2 % to 2.5 % , `` we can handle that , '' Mr. Marous said .
#goldHeads=7,7,6,6,6,7,24,10,10,7,10,14,14,11,14,20,20,20,20,15,24,24,24,31,24,25,31,31,30,31,0,31,
#predictedHeads=7,7,6,6,6,7,24,10,10,7,10,14,14,11,14,17,15,15,20,18,24,24,24,31,24,25,31,31,30,31,0,31,
(0,1),-1.39123 # DEPENDENCYPART_ARC
(0,7),-2.00403 # DEPENDENCYPART_ARC
(0,31),0.0868579 # DEPENDENCYPART_ARC
(1,2),-0.113459 # DEPENDENCYPART_ARC
(1,3),-0.981916 # DEPENDENCYPART_ARC
(1,4),-1.06092 # DEPENDENCYPART_ARC
(1,5),-1.17866 # DEPENDENCYPART_ARC
(1,6),-1.4155 # DEPENDENCYPART_ARC
(1,7),-1.16366 # DEPENDENCYPART_ARC
(1,8),-1.20659 # DEPENDENCYPART_ARC
(2,1),0.0716648 # DEPENDENCYPART_ARC
(2,3),-0.341454 # DEPENDENCYPART_ARC
(2,4),-0.943493 # DEPENDENCYPART_ARC
(2,5),-1.30615 # DEPENDENCYPART_ARC
(2,6),-1.18419 # DEPENDENCYPART_ARC
(2,7),-1.69447 # DEPENDENCYPART_ARC
(2,18),-2.29703 # DEPENDENCYPART_ARC
(3,2),-0.125904 # DEPENDENCYPART_ARC
(3,4),-0.345799 # DEPENDENCYPART_ARC
(4,1),-1.36197 # DEPENDENCYPART_ARC
(4,2),-1.30592 # DEPENDENCYPART_ARC
(4,3),-0.168472 # DEPENDENCYPART_ARC
(4,5),-0.23008 # DEPENDENCYPART_ARC
(4,6),-1.06877 # DEPENDENCYPART_ARC
(4,7),-0.923008 # DEPENDENCYPART_ARC
(4,8),-1.26745 # DEPENDENCYPART_ARC
(4,9),-1.31832 # DEPENDENCYPART_ARC
(4,10),-0.954019 # DEPENDENCYPART_ARC
(5,1),-1.2541 # DEPENDENCYPART_ARC
(5,2),-1.14653 # DEPENDENCYPART_ARC
(5,3),-1.0217 # DEPENDENCYPART_ARC
