# _root_ Dun & Bradstreet Corp. said business failures fell 17.8 % to 11,586 in the third quarter from 14,099 in the year-earlier period .
#goldHeads=2,4,2,5,0,7,8,5,10,8,8,11,11,16,16,13,8,17,17,22,22,19,5,
#predictedHeads=2,4,2,5,0,7,8,5,10,8,8,11,8,16,16,13,8,17,17,22,22,19,5,
(0,2),-3.02837 # DEPENDENCYPART_ARC
(0,4),-2.805 # DEPENDENCYPART_ARC
(0,5),-0.597551 # DEPENDENCYPART_ARC
(0,7),-3.13366 # DEPENDENCYPART_ARC
(0,8),-1.71238 # DEPENDENCYPART_ARC
(1,2),-0.63031 # DEPENDENCYPART_ARC
(1,3),-1.04445 # DEPENDENCYPART_ARC
(1,4),-1.46325 # DEPENDENCYPART_ARC
(1,5),-1.25152 # DEPENDENCYPART_ARC
(1,7),-1.75612 # DEPENDENCYPART_ARC
(1,8),-1.69119 # DEPENDENCYPART_ARC
(2,1),1.86146 # DEPENDENCYPART_ARC
(2,3),2.23918 # DEPENDENCYPART_ARC
(2,4),0.457535 # DEPENDENCYPART_ARC
(2,5),-1.00413 # DEPENDENCYPART_ARC
(2,6),-1.22714 # DEPENDENCYPART_ARC
(2,7),-1.31041 # DEPENDENCYPART_ARC
(2,8),-1.85999 # DEPENDENCYPART_ARC
(2,9),-1.8763 # DEPENDENCYPART_ARC
(2,10),-2.29756 # DEPENDENCYPART_ARC
(2,13),-1.62228 # DEPENDENCYPART_ARC
(2,19),-1.79594 # DEPENDENCYPART_ARC
(2,23),-1.21629 # DEPENDENCYPART_ARC
(3,2),-1.4012 # DEPENDENCYPART_ARC
(3,4),-0.997029 # DEPENDENCYPART_ARC
(3,5),-1.51387 # DEPENDENCYPART_ARC
(3,8),-2.17512 # DEPENDENCYPART_ARC
(4,1),-0.591119 # DEPENDENCYPART_ARC
(4,2),0.236942 # DEPENDENCYPART_ARC
(4,3),1.84481 # DEPENDENCYPART_ARC
(4,5),-0.365601 # DEPENDENCYPART_ARC
(4,7),-1.49581 # DEPENDENCYPART_ARC
(4,8),-1.7903 # DEPENDENCYPART_ARC
