# _root_ For the year ended March 31 , Dentsu sales rose 19 % to $ 8.9 billion from $ 7.5 billion , and net income jumped 59 % to $ 102 million from $ 64 million .
#goldHeads=22,3,1,3,4,5,22,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
#predictedHeads=10,3,1,3,4,5,10,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
(0,1),-1.74921 # DEPENDENCYPART_ARC
(0,3),-2.55481 # DEPENDENCYPART_ARC
(0,4),-2.03695 # DEPENDENCYPART_ARC
(0,6),-2.75113 # DEPENDENCYPART_ARC
(0,10),-2.89633 # DEPENDENCYPART_ARC
(0,13),-2.98944 # DEPENDENCYPART_ARC
(0,22),-2.22167 # DEPENDENCYPART_ARC
(0,25),-3.10717 # DEPENDENCYPART_ARC
(1,2),0.0745577 # DEPENDENCYPART_ARC
(1,3),0.150463 # DEPENDENCYPART_ARC
(1,5),-1.36773 # DEPENDENCYPART_ARC
(1,6),-1.62447 # DEPENDENCYPART_ARC
(1,9),-2.79987 # DEPENDENCYPART_ARC
(2,1),-0.505263 # DEPENDENCYPART_ARC
(2,4),-1.21651 # DEPENDENCYPART_ARC
(3,1),-1.01434 # DEPENDENCYPART_ARC
(3,2),1.04099 # DEPENDENCYPART_ARC
(3,4),0.0583325 # DEPENDENCYPART_ARC
(3,5),-0.999481 # DEPENDENCYPART_ARC
(3,6),-1.2825 # DEPENDENCYPART_ARC
(3,7),-1.53882 # DEPENDENCYPART_ARC
(3,9),-1.93637 # DEPENDENCYPART_ARC
(3,10),-2.2248 # DEPENDENCYPART_ARC
(3,36),-1.91651 # DEPENDENCYPART_ARC
(4,1),-0.854785 # DEPENDENCYPART_ARC
(4,2),-1.4968 # DEPENDENCYPART_ARC
(4,3),-0.271707 # DEPENDENCYPART_ARC
(4,5),0.283008 # DEPENDENCYPART_ARC
(4,6),-1.1641 # DEPENDENCYPART_ARC
(4,7),-1.44044 # DEPENDENCYPART_ARC
(4,9),-2.17096 # DEPENDENCYPART_ARC
(4,10),-2.17081 # DEPENDENCYPART_ARC
(4,13),-2.37727 # DEPENDENCYPART_ARC
(4,17),-2.20216 # DEPENDENCYPART_ARC
(4,21),-1.77173 # DEPENDENCYPART_ARC
(4,22),-1.09089 # DEPENDENCYPART_ARC
(4,25),-2.41636 # DEPENDENCYPART_ARC
(5,2),-1.79042 # DEPENDENCYPART_ARC
(5,3),-1.22606 # DEPENDENCYPART_ARC
(5,4),-0.122672 # DEPENDENCYPART_ARC
(5,6),0.538275 # DEPENDENCYPART_ARC
(5,7),-1.05384 # DEPENDENCYPART_ARC
(5,8),-1.44736 # DEPENDENCYPART_ARC
(5,9),-1.78585 # DEPENDENCYPART_ARC
(5,10),-1.60005 # DEPENDENCYPART_ARC
(5,11),-2.12358 # DEPENDENCYPART_ARC
(5,12),-1.79392 # DEPENDENCYPART_ARC
(5,21),-1.64831 # DEPENDENCYPART_ARC
(5,22),-1.19374 # DEPENDENCYPART_ARC
(5,36),-1.17943 # DEPENDENCYPART_ARC
(6,2),-1.17872 # DEPENDENCYPART_ARC
(6,3),-1.16345 # DEPENDENCYPART_ARC
(6,5),-0.0447892 # DEPENDENCYPART_ARC
(6,7),-0.066254 # DEPENDENCYPART_ARC
(6,8),-1.34256 # DEPENDENCYPART_ARC
(6,10),-1.59951 # DEPENDENCYPART_ARC
(8,4),-2.69827 # DEPENDENCYPART_ARC
(8,5),-2.65907 # DEPENDENCYPART_ARC
(8,6),-2.26098 # DEPENDENCYPART_ARC
(8,7),-1.04519 # DEPENDENCYPART_ARC
(8,9),-0.690421 # DEPENDENCYPART_ARC
(8,10),-0.944338 # DEPENDENCYPART_ARC
(9,1),-1.8799 # DEPENDENCYPART_ARC
(9,2),-1.67199 # DEPENDENCYPART_ARC
(9,3),-2.28829 # DEPENDENCYPART_ARC
(9,4),-1.42205 # DEPENDENCYPART_ARC
(9,5),-1.15618 # DEPENDENCYPART_ARC
(9,6),-1.50776 # DEPENDENCYPART_ARC
(9,7),-0.708461 # DEPENDENCYPART_ARC
(9,8),1.97815 # DEPENDENCYPART_ARC
(9,10),-0.304397 # DEPENDENCYPART_ARC
(9,11),-1.32416 # DEPENDENCYPART_ARC
(9,12),-1.36799 # DEPENDENCYPART_ARC
(9,13),-1.46217 # DEPENDENCYPART_ARC
(9,36),-1.84049 # DEPENDENCYPART_ARC
(10,1),-0.936755 # DEPENDENCYPART_ARC
(10,3),-1.88116 # DEPENDENCYPART_ARC
(10,4),-1.58701 # DEPENDENCYPART_ARC
(10,5),-1.99467 # DEPENDENCYPART_ARC
(10,6),-1.80609 # DEPENDENCYPART_ARC
(10,7),-0.584254 # DEPENDENCYPART_ARC
(10,8),-0.470797 # DEPENDENCYPART_ARC
(10,9),0.73164 # DEPENDENCYPART_ARC
(10,11),0.288268 # DEPENDENCYPART_ARC
(10,12),0.362363 # DEPENDENCYPART_ARC
(10,13),-0.16403 # DEPENDENCYPART_ARC
(10,14),-0.925685 # DEPENDENCYPART_ARC
(10,15),-1.03819 # DEPENDENCYPART_ARC
(10,17),0.0657508 # DEPENDENCYPART_ARC
(10,18),-1.20633 # DEPENDENCYPART_ARC
(10,21),-0.230824 # DEPENDENCYPART_ARC
(10,22),-0.817089 # DEPENDENCYPART_ARC
(10,23),-1.47057 # DEPENDENCYPART_ARC
(10,25),-1.73571 # DEPENDENCYPART_ARC
(10,32),-0.838326 # DEPENDENCYPART_ARC
(10,36),-1.17638 # DEPENDENCYPART_ARC
(11,12),-0.162673 # DEPENDENCYPART_ARC
(11,14),-1.07571 # DEPENDENCYPART_ARC
(12,2),-2.30502 # DEPENDENCYPART_ARC
(12,3),-2.88341 # DEPENDENCYPART_ARC
(12,5),-2.77184 # DEPENDENCYPART_ARC
(12,6),-2.09823 # DEPENDENCYPART_ARC
(12,7),-1.7189 # DEPENDENCYPART_ARC
(12,8),-1.10157 # DEPENDENCYPART_ARC
(12,9),-1.39028 # DEPENDENCYPART_ARC
(12,10),-0.740764 # DEPENDENCYPART_ARC
(12,11),0.892821 # DEPENDENCYPART_ARC
(12,13),-0.177592 # DEPENDENCYPART_ARC
(12,14),-1.22708 # DEPENDENCYPART_ARC
(12,15),-1.39949 # DEPENDENCYPART_ARC
(12,16),-1.59248 # DEPENDENCYPART_ARC
(12,17),-1.31087 # DEPENDENCYPART_ARC
(12,19),-1.65489 # DEPENDENCYPART_ARC
(12,27),-1.35806 # DEPENDENCYPART_ARC
(12,36),-1.8842 # DEPENDENCYPART_ARC
(13,11),-1.09442 # DEPENDENCYPART_ARC
(13,12),-0.209773 # DEPENDENCYPART_ARC
(13,14),0.0485357 # DEPENDENCYPART_ARC
(13,15),-0.609366 # DEPENDENCYPART_ARC
(13,16),-0.978548 # DEPENDENCYPART_ARC
(13,17),-0.762863 # DEPENDENCYPART_ARC
(13,22),-1.50304 # DEPENDENCYPART_ARC
(13,24),-2.29381 # DEPENDENCYPART_ARC
(13,28),-1.65733 # DEPENDENCYPART_ARC
(14,11),-0.929903 # DEPENDENCYPART_ARC
(14,12),-0.76889 # DEPENDENCYPART_ARC
(14,13),0.376359 # DEPENDENCYPART_ARC
(14,15),0.770892 # DEPENDENCYPART_ARC
(14,16),0.194375 # DEPENDENCYPART_ARC
(14,17),-0.967797 # DEPENDENCYPART_ARC
(14,18),-0.902921 # DEPENDENCYPART_ARC
(14,21),-1.02997 # DEPENDENCYPART_ARC
(14,23),-1.40146 # DEPENDENCYPART_ARC
(14,24),-2.00019 # DEPENDENCYPART_ARC
(14,25),-1.50099 # DEPENDENCYPART_ARC
(15,11),-1.51066 # DEPENDENCYPART_ARC
(15,12),-1.37482 # DEPENDENCYPART_ARC
(15,13),-1.28617 # DEPENDENCYPART_ARC
(15,14),-0.125356 # DEPENDENCYPART_ARC
(15,16),-0.466903 # DEPENDENCYPART_ARC
(15,17),-0.829059 # DEPENDENCYPART_ARC
(15,18),-0.883723 # DEPENDENCYPART_ARC
(15,19),-1.44931 # DEPENDENCYPART_ARC
(15,20),-1.71603 # DEPENDENCYPART_ARC
(16,14),-0.719643 # DEPENDENCYPART_ARC
(16,15),-0.0401809 # DEPENDENCYPART_ARC
(16,17),-0.171137 # DEPENDENCYPART_ARC
(16,18),-0.838948 # DEPENDENCYPART_ARC
(16,19),-1.3807 # DEPENDENCYPART_ARC
(16,20),-1.58985 # DEPENDENCYPART_ARC
(17,12),-1.53264 # DEPENDENCYPART_ARC
(17,13),-1.54087 # DEPENDENCYPART_ARC
(17,14),-1.31978 # DEPENDENCYPART_ARC
(17,15),-1.40109 # DEPENDENCYPART_ARC
(17,16),-0.448191 # DEPENDENCYPART_ARC
(17,18),0.0564276 # DEPENDENCYPART_ARC
(17,19),-0.512496 # DEPENDENCYPART_ARC
(17,20),-0.983746 # DEPENDENCYPART_ARC
(17,21),-0.765963 # DEPENDENCYPART_ARC
(17,22),-1.06487 # DEPENDENCYPART_ARC
(17,23),-1.418 # DEPENDENCYPART_ARC
(17,24),-1.74597 # DEPENDENCYPART_ARC
(17,25),-1.74059 # DEPENDENCYPART_ARC
(17,28),-1.29545 # DEPENDENCYPART_ARC
(17,32),-0.76157 # DEPENDENCYPART_ARC
(18,14),-0.943171 # DEPENDENCYPART_ARC
(18,15),-1.34055 # DEPENDENCYPART_ARC
(18,16),-1.128 # DEPENDENCYPART_ARC
(18,17),0.251698 # DEPENDENCYPART_ARC
(18,19),0.633226 # DEPENDENCYPART_ARC
(18,20),0.126185 # DEPENDENCYPART_ARC
(18,21),-0.882971 # DEPENDENCYPART_ARC
(18,22),-1.14532 # DEPENDENCYPART_ARC
(18,23),-1.39022 # DEPENDENCYPART_ARC
(18,24),-1.89612 # DEPENDENCYPART_ARC
(18,25),-1.55152 # DEPENDENCYPART_ARC
(18,27),-2.09478 # DEPENDENCYPART_ARC
(19,15),-1.5336 # DEPENDENCYPART_ARC
(19,16),-1.40135 # DEPENDENCYPART_ARC
(19,18),-0.143591 # DEPENDENCYPART_ARC
(19,20),-0.415104 # DEPENDENCYPART_ARC
(19,23),-1.3136 # DEPENDENCYPART_ARC
(19,24),-1.63512 # DEPENDENCYPART_ARC
(19,25),-1.44419 # DEPENDENCYPART_ARC
(20,16),-1.09431 # DEPENDENCYPART_ARC
(20,18),-0.59403 # DEPENDENCYPART_ARC
(20,19),0.13993 # DEPENDENCYPART_ARC
(20,21),-0.0842752 # DEPENDENCYPART_ARC
(22,1),-0.799102 # DEPENDENCYPART_ARC
(22,2),-2.68133 # DEPENDENCYPART_ARC
(22,3),-1.40344 # DEPENDENCYPART_ARC
(22,4),-1.45029 # DEPENDENCYPART_ARC
(22,5),-1.44947 # DEPENDENCYPART_ARC
(22,6),-1.33444 # DEPENDENCYPART_ARC
(22,7),-1.46689 # DEPENDENCYPART_ARC
(22,8),-1.65525 # DEPENDENCYPART_ARC
(22,9),-1.29089 # DEPENDENCYPART_ARC
(22,10),-0.667689 # DEPENDENCYPART_ARC
(22,11),-1.56352 # DEPENDENCYPART_ARC
(22,12),-1.30625 # DEPENDENCYPART_ARC
(22,13),-1.56756 # DEPENDENCYPART_ARC
(22,14),-1.2597 # DEPENDENCYPART_ARC
(22,15),-1.43321 # DEPENDENCYPART_ARC
(22,16),-1.49186 # DEPENDENCYPART_ARC
(22,17),-1.35064 # DEPENDENCYPART_ARC
(22,18),-1.10403 # DEPENDENCYPART_ARC
(22,19),-1.08892 # DEPENDENCYPART_ARC
(22,20),-0.887678 # DEPENDENCYPART_ARC
(22,21),1.22385 # DEPENDENCYPART_ARC
(22,23),0.551256 # DEPENDENCYPART_ARC
