# _root_ These mainly involved such areas as materials -- advanced soldering machines , for example -- and medical developments derived from experimentation in space , such as artificial blood vessels .
#goldHeads=3,3,0,5,3,5,16,11,11,11,7,11,11,13,11,6,18,16,18,19,20,21,22,18,26,18,29,29,26,3,
#predictedHeads=3,3,0,5,3,5,6,16,11,11,16,16,16,13,16,7,18,16,18,19,20,21,22,21,26,21,29,29,26,3,
(0,2),-2.10843 # DEPENDENCYPART_ARC
(0,3),-1.92494 # DEPENDENCYPART_ARC
(0,5),-2.78543 # DEPENDENCYPART_ARC
(0,16),-2.45225 # DEPENDENCYPART_ARC
(0,19),-2.6454 # DEPENDENCYPART_ARC
(1,2),-0.194941 # DEPENDENCYPART_ARC
(1,3),-0.955761 # DEPENDENCYPART_ARC
(2,1),-0.214855 # DEPENDENCYPART_ARC
(2,3),-0.0539761 # DEPENDENCYPART_ARC
(2,4),-0.980291 # DEPENDENCYPART_ARC
(2,5),-1.18086 # DEPENDENCYPART_ARC
(2,7),-1.35944 # DEPENDENCYPART_ARC
(2,8),-1.0456 # DEPENDENCYPART_ARC
(2,11),-1.54226 # DEPENDENCYPART_ARC
(3,1),-0.415219 # DEPENDENCYPART_ARC
(3,2),0.728941 # DEPENDENCYPART_ARC
(3,4),0.312393 # DEPENDENCYPART_ARC
(3,5),0.355973 # DEPENDENCYPART_ARC
(3,6),-0.414813 # DEPENDENCYPART_ARC
(3,7),-0.67167 # DEPENDENCYPART_ARC
(3,8),-0.815423 # DEPENDENCYPART_ARC
(3,9),-0.882902 # DEPENDENCYPART_ARC
(3,10),-1.03984 # DEPENDENCYPART_ARC
(3,11),-0.903291 # DEPENDENCYPART_ARC
(3,12),-0.911757 # DEPENDENCYPART_ARC
(3,13),-1.43269 # DEPENDENCYPART_ARC
(3,14),-2.13568 # DEPENDENCYPART_ARC
(3,15),-1.45938 # DEPENDENCYPART_ARC
(3,16),-1.03906 # DEPENDENCYPART_ARC
(3,17),-1.69064 # DEPENDENCYPART_ARC
(3,19),-1.90582 # DEPENDENCYPART_ARC
(3,20),-2.07188 # DEPENDENCYPART_ARC
(3,22),-2.14241 # DEPENDENCYPART_ARC
(3,24),-2.56479 # DEPENDENCYPART_ARC
(3,26),-2.06093 # DEPENDENCYPART_ARC
(3,30),-0.189853 # DEPENDENCYPART_ARC
(4,1),-1.48489 # DEPENDENCYPART_ARC
(4,2),-1.0484 # DEPENDENCYPART_ARC
(4,6),-1.09179 # DEPENDENCYPART_ARC
(4,7),-1.33698 # DEPENDENCYPART_ARC
(4,9),-1.22561 # DEPENDENCYPART_ARC
(4,10),-1.14606 # DEPENDENCYPART_ARC
(5,1),-0.901372 # DEPENDENCYPART_ARC
(5,2),-0.707804 # DEPENDENCYPART_ARC
(5,3),-0.325724 # DEPENDENCYPART_ARC
(5,4),1.79923 # DEPENDENCYPART_ARC
(5,6),0.213365 # DEPENDENCYPART_ARC
(5,7),-1.18941 # DEPENDENCYPART_ARC
(5,8),-1.00144 # DEPENDENCYPART_ARC
(5,9),-1.49719 # DEPENDENCYPART_ARC
(5,10),-1.59617 # DEPENDENCYPART_ARC
(5,11),-1.79361 # DEPENDENCYPART_ARC
(5,12),-1.75781 # DEPENDENCYPART_ARC
(5,13),-2.10655 # DEPENDENCYPART_ARC
(5,14),-2.15113 # DEPENDENCYPART_ARC
(5,15),-1.60473 # DEPENDENCYPART_ARC
(5,16),-1.39838 # DEPENDENCYPART_ARC
(5,18),-2.19766 # DEPENDENCYPART_ARC
(5,19),-2.2668 # DEPENDENCYPART_ARC
(5,30),-1.746 # DEPENDENCYPART_ARC
(6,4),-0.909905 # DEPENDENCYPART_ARC
(6,5),-0.321273 # DEPENDENCYPART_ARC
