# _root_ Hughes Aircraft Co. , a General Motors Corp. unit , said the Intelsat VI commercial communications satellite is set to be launched Friday .
#goldHeads=3,3,11,3,9,9,9,9,3,3,0,17,17,17,17,17,18,11,18,21,19,21,22,11,
#predictedHeads=3,3,11,3,9,9,9,9,3,3,0,17,17,17,17,17,18,11,18,21,19,21,22,11,
(0,3),-2.81175 # DEPENDENCYPART_ARC
(0,11),0.758194 # DEPENDENCYPART_ARC
(0,18),-1.72566 # DEPENDENCYPART_ARC
(1,2),-0.561985 # DEPENDENCYPART_ARC
(1,3),-1.60469 # DEPENDENCYPART_ARC
(1,4),-1.80127 # DEPENDENCYPART_ARC
(1,9),-2.50554 # DEPENDENCYPART_ARC
(1,10),-1.97567 # DEPENDENCYPART_ARC
(1,18),-2.13726 # DEPENDENCYPART_ARC
(2,1),0.122884 # DEPENDENCYPART_ARC
(2,3),-0.693658 # DEPENDENCYPART_ARC
(2,4),-1.64937 # DEPENDENCYPART_ARC
(2,7),-2.13007 # DEPENDENCYPART_ARC
(2,8),-2.17214 # DEPENDENCYPART_ARC
(2,9),-2.43195 # DEPENDENCYPART_ARC
(2,10),-2.05072 # DEPENDENCYPART_ARC
(2,18),-2.23238 # DEPENDENCYPART_ARC
(3,1),0.845432 # DEPENDENCYPART_ARC
(3,2),1.73977 # DEPENDENCYPART_ARC
(3,4),0.319419 # DEPENDENCYPART_ARC
(3,6),-1.68989 # DEPENDENCYPART_ARC
(3,7),-1.76742 # DEPENDENCYPART_ARC
(3,8),-1.93074 # DEPENDENCYPART_ARC
(3,9),-1.93796 # DEPENDENCYPART_ARC
(3,10),-1.08821 # DEPENDENCYPART_ARC
(3,11),-2.02126 # DEPENDENCYPART_ARC
(3,13),-2.28972 # DEPENDENCYPART_ARC
(3,14),-2.37733 # DEPENDENCYPART_ARC
(3,16),-2.42876 # DEPENDENCYPART_ARC
(3,17),-2.5335 # DEPENDENCYPART_ARC
(3,18),-2.11625 # DEPENDENCYPART_ARC
(3,21),-2.48508 # DEPENDENCYPART_ARC
(3,23),-2.21719 # DEPENDENCYPART_ARC
(3,24),-2.53139 # DEPENDENCYPART_ARC
(5,4),-0.200622 # DEPENDENCYPART_ARC
(6,5),-0.559773 # DEPENDENCYPART_ARC
(6,7),-0.48706 # DEPENDENCYPART_ARC
(6,8),-1.40786 # DEPENDENCYPART_ARC
(7,3),-2.83744 # DEPENDENCYPART_ARC
(7,5),-1.06158 # DEPENDENCYPART_ARC
(7,6),0.0358414 # DEPENDENCYPART_ARC
(7,8),-0.671478 # DEPENDENCYPART_ARC
(7,10),-2.07805 # DEPENDENCYPART_ARC
(8,3),-2.71914 # DEPENDENCYPART_ARC
(8,4),-2.37617 # DEPENDENCYPART_ARC
(8,5),-1.64463 # DEPENDENCYPART_ARC
(8,6),-0.568372 # DEPENDENCYPART_ARC
(8,7),0.378982 # DEPENDENCYPART_ARC
(8,9),-0.674351 # DEPENDENCYPART_ARC
(8,10),-1.72015 # DEPENDENCYPART_ARC
(8,17),-2.46467 # DEPENDENCYPART_ARC
