# _root_ Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses .
#goldHeads=2,18,18,18,4,5,6,6,11,11,8,11,15,15,12,15,18,0,18,19,23,23,20,23,24,18,
#predictedHeads=2,18,18,18,4,5,6,6,11,11,8,11,15,15,12,15,18,0,18,19,23,23,20,23,24,18,
(0,1),-1.79141 # DEPENDENCYPART_ARC
(0,2),-2.57632 # DEPENDENCYPART_ARC
(0,5),-3.58493 # DEPENDENCYPART_ARC
(0,6),-2.07854 # DEPENDENCYPART_ARC
(0,15),-2.67478 # DEPENDENCYPART_ARC
(0,18),-2.09907 # DEPENDENCYPART_ARC
(0,19),-2.46464 # DEPENDENCYPART_ARC
(1,2),-0.8053 # DEPENDENCYPART_ARC
(1,3),-1.79079 # DEPENDENCYPART_ARC
(1,4),-2.05247 # DEPENDENCYPART_ARC
(1,5),-2.13829 # DEPENDENCYPART_ARC
(1,6),-2.06898 # DEPENDENCYPART_ARC
(2,1),1.54287 # DEPENDENCYPART_ARC
(2,3),-0.134683 # DEPENDENCYPART_ARC
(2,4),-1.96177 # DEPENDENCYPART_ARC
(2,5),-1.97245 # DEPENDENCYPART_ARC
(2,6),-2.18464 # DEPENDENCYPART_ARC
(2,7),-2.23869 # DEPENDENCYPART_ARC
(2,8),-2.5552 # DEPENDENCYPART_ARC
(2,11),-2.09776 # DEPENDENCYPART_ARC
(2,15),-1.39043 # DEPENDENCYPART_ARC
(2,17),-1.50875 # DEPENDENCYPART_ARC
(2,19),-2.55761 # DEPENDENCYPART_ARC
(2,20),-2.47237 # DEPENDENCYPART_ARC
(2,26),-2.16494 # DEPENDENCYPART_ARC
(3,4),-0.932041 # DEPENDENCYPART_ARC
(4,3),-0.0218695 # DEPENDENCYPART_ARC
(4,5),-0.00420897 # DEPENDENCYPART_ARC
(4,6),-0.92882 # DEPENDENCYPART_ARC
(4,7),-1.7181 # DEPENDENCYPART_ARC
(4,8),-1.8609 # DEPENDENCYPART_ARC
(4,15),-1.40826 # DEPENDENCYPART_ARC
(5,1),-1.949 # DEPENDENCYPART_ARC
(5,2),-2.2082 # DEPENDENCYPART_ARC
(5,3),-1.56694 # DEPENDENCYPART_ARC
(5,4),-0.365907 # DEPENDENCYPART_ARC
(5,6),0.0819931 # DEPENDENCYPART_ARC
(5,7),-1.16679 # DEPENDENCYPART_ARC
(5,8),-1.2295 # DEPENDENCYPART_ARC
(5,9),-1.44874 # DEPENDENCYPART_ARC
(5,12),-1.35828 # DEPENDENCYPART_ARC
(5,15),-0.836977 # DEPENDENCYPART_ARC
(5,17),-2.00533 # DEPENDENCYPART_ARC
(5,26),-2.64383 # DEPENDENCYPART_ARC
(6,2),-2.70645 # DEPENDENCYPART_ARC
(6,3),-1.89772 # DEPENDENCYPART_ARC
(6,4),-0.686795 # DEPENDENCYPART_ARC
(6,5),-0.0231336 # DEPENDENCYPART_ARC
(6,7),0.0558253 # DEPENDENCYPART_ARC
(6,8),-0.858646 # DEPENDENCYPART_ARC
(6,9),-1.52221 # DEPENDENCYPART_ARC
(6,10),-1.41636 # DEPENDENCYPART_ARC
(6,11),-1.2301 # DEPENDENCYPART_ARC
(6,12),-1.39048 # DEPENDENCYPART_ARC
(6,13),-1.80903 # DEPENDENCYPART_ARC
(6,14),-1.75469 # DEPENDENCYPART_ARC
(6,15),-1.10325 # DEPENDENCYPART_ARC
(6,16),-2.05615 # DEPENDENCYPART_ARC
(6,17),-1.74539 # DEPENDENCYPART_ARC
(6,18),-2.18023 # DEPENDENCYPART_ARC
(6,19),-2.35304 # DEPENDENCYPART_ARC
(6,26),-1.45797 # DEPENDENCYPART_ARC
(7,1),-1.95106 # DEPENDENCYPART_ARC
(7,2),-2.0242 # DEPENDENCYPART_ARC
(7,3),-1.63917 # DEPENDENCYPART_ARC
(7,4),-1.23706 # DEPENDENCYPART_ARC
(7,5),-1.352 # DEPENDENCYPART_ARC
(7,8),-0.048736 # DEPENDENCYPART_ARC
(7,9),-0.919162 # DEPENDENCYPART_ARC
(7,10),-1.24358 # DEPENDENCYPART_ARC
(7,11),-1.31556 # DEPENDENCYPART_ARC
(7,12),-1.5003 # DEPENDENCYPART_ARC
(7,14),-1.59315 # DEPENDENCYPART_ARC
(7,15),-0.88636 # DEPENDENCYPART_ARC
(7,16),-1.60988 # DEPENDENCYPART_ARC
(7,17),-1.4273 # DEPENDENCYPART_ARC
(7,18),-1.70859 # DEPENDENCYPART_ARC
(7,20),-2.42105 # DEPENDENCYPART_ARC
(8,4),-1.1963 # DEPENDENCYPART_ARC
(8,5),-1.40091 # DEPENDENCYPART_ARC
(8,7),-0.0523449 # DEPENDENCYPART_ARC
(8,9),-0.0567293 # DEPENDENCYPART_ARC
(8,10),-0.336108 # DEPENDENCYPART_ARC
(8,11),-0.864855 # DEPENDENCYPART_ARC
(8,12),-1.42056 # DEPENDENCYPART_ARC
(8,13),-1.41103 # DEPENDENCYPART_ARC
(8,14),-1.61721 # DEPENDENCYPART_ARC
(8,15),-0.6427 # DEPENDENCYPART_ARC
(8,16),-1.78733 # DEPENDENCYPART_ARC
(8,17),-1.22217 # DEPENDENCYPART_ARC
(8,18),-2.06483 # DEPENDENCYPART_ARC
(8,20),-1.76152 # DEPENDENCYPART_ARC
(9,7),-1.36821 # DEPENDENCYPART_ARC
(9,8),-0.542918 # DEPENDENCYPART_ARC
(9,10),-0.414831 # DEPENDENCYPART_ARC
