# _root_ While Allianz officials were n't willing to comment in any detail on their plans , they said Allianz currently holds between 5 % and 10 % of Navigation Mixte , an apparent increase from the 5 % stake that Navigation Mixte officials had earlier announced .
#goldHeads=4,3,4,17,4,4,8,6,8,11,9,8,14,12,17,17,0,20,20,17,24,24,24,20,24,24,24,29,27,24,33,33,24,33,38,37,38,34,45,42,42,43,38,43,43,17,
#predictedHeads=4,3,4,17,4,4,8,6,8,11,9,11,14,12,17,17,0,20,20,17,24,24,24,20,24,24,26,29,27,24,33,33,24,33,38,37,38,34,43,42,42,43,38,45,43,17,
(0,3),-2.66202 # DEPENDENCYPART_ARC
(0,4),-1.9292 # DEPENDENCYPART_ARC
(0,8),-3.08413 # DEPENDENCYPART_ARC
(0,17),-1.58605 # DEPENDENCYPART_ARC
(0,20),-3.42803 # DEPENDENCYPART_ARC
(0,24),-2.98973 # DEPENDENCYPART_ARC
(0,45),-3.04002 # DEPENDENCYPART_ARC
(1,2),-0.201131 # DEPENDENCYPART_ARC
(1,3),-0.88056 # DEPENDENCYPART_ARC
(1,4),-1.52652 # DEPENDENCYPART_ARC
(1,5),-1.83768 # DEPENDENCYPART_ARC
(1,6),-1.92797 # DEPENDENCYPART_ARC
(2,1),-1.42738 # DEPENDENCYPART_ARC
(2,3),-0.724243 # DEPENDENCYPART_ARC
(2,4),-1.12955 # DEPENDENCYPART_ARC
(3,1),-0.762611 # DEPENDENCYPART_ARC
(3,2),2.27554 # DEPENDENCYPART_ARC
(3,4),-0.310855 # DEPENDENCYPART_ARC
(3,5),-1.34136 # DEPENDENCYPART_ARC
(3,6),-1.5397 # DEPENDENCYPART_ARC
(3,8),-1.65118 # DEPENDENCYPART_ARC
(4,1),0.335552 # DEPENDENCYPART_ARC
(4,2),-0.475473 # DEPENDENCYPART_ARC
(4,3),0.680281 # DEPENDENCYPART_ARC
(4,5),0.504278 # DEPENDENCYPART_ARC
(4,6),0.0122614 # DEPENDENCYPART_ARC
(4,7),-0.920752 # DEPENDENCYPART_ARC
(4,8),-0.361782 # DEPENDENCYPART_ARC
(4,9),-0.804524 # DEPENDENCYPART_ARC
(4,10),-1.25717 # DEPENDENCYPART_ARC
(4,12),-1.38001 # DEPENDENCYPART_ARC
(4,14),-1.70625 # DEPENDENCYPART_ARC
(4,15),-1.4097 # DEPENDENCYPART_ARC
(4,17),-2.26561 # DEPENDENCYPART_ARC
(4,19),-2.38666 # DEPENDENCYPART_ARC
(4,20),-1.70449 # DEPENDENCYPART_ARC
(4,24),-1.09186 # DEPENDENCYPART_ARC
(4,30),-2.58212 # DEPENDENCYPART_ARC
(4,46),0.679154 # DEPENDENCYPART_ARC
(5,1),-1.72994 # DEPENDENCYPART_ARC
(5,3),-1.64159 # DEPENDENCYPART_ARC
(5,6),-0.38597 # DEPENDENCYPART_ARC
(5,7),-0.992853 # DEPENDENCYPART_ARC
(5,8),-1.07035 # DEPENDENCYPART_ARC
(5,9),-1.55993 # DEPENDENCYPART_ARC
(5,14),-1.90743 # DEPENDENCYPART_ARC
(6,1),-1.28122 # DEPENDENCYPART_ARC
(6,3),-1.29625 # DEPENDENCYPART_ARC
(6,5),0.433481 # DEPENDENCYPART_ARC
(6,7),-0.0227532 # DEPENDENCYPART_ARC
(6,8),-0.583429 # DEPENDENCYPART_ARC
(6,9),-1.0848 # DEPENDENCYPART_ARC
(6,11),-1.48692 # DEPENDENCYPART_ARC
(6,12),-1.44682 # DEPENDENCYPART_ARC
(6,17),-1.97141 # DEPENDENCYPART_ARC
(6,20),-1.96551 # DEPENDENCYPART_ARC
(7,5),-1.12721 # DEPENDENCYPART_ARC
(7,6),-0.269007 # DEPENDENCYPART_ARC
(7,8),-0.461412 # DEPENDENCYPART_ARC
(7,9),-1.72311 # DEPENDENCYPART_ARC
(7,11),-2.13706 # DEPENDENCYPART_ARC
(8,1),-0.863439 # DEPENDENCYPART_ARC
(8,2),-1.40676 # DEPENDENCYPART_ARC
(8,3),-1.4561 # DEPENDENCYPART_ARC
(8,4),-1.57941 # DEPENDENCYPART_ARC
(8,5),-1.29734 # DEPENDENCYPART_ARC
(8,6),-1.07141 # DEPENDENCYPART_ARC
(8,7),1.24643 # DEPENDENCYPART_ARC
(8,9),0.574284 # DEPENDENCYPART_ARC
(8,10),-0.98973 # DEPENDENCYPART_ARC
(8,11),-0.554755 # DEPENDENCYPART_ARC
(8,12),-1.10033 # DEPENDENCYPART_ARC
(8,14),-1.46523 # DEPENDENCYPART_ARC
(8,15),-1.39245 # DEPENDENCYPART_ARC
(8,17),-2.20161 # DEPENDENCYPART_ARC
(8,19),-2.41157 # DEPENDENCYPART_ARC
(8,20),-2.205 # DEPENDENCYPART_ARC
(8,24),-1.15324 # DEPENDENCYPART_ARC
(8,34),-2.41497 # DEPENDENCYPART_ARC
(8,46),-1.55682 # DEPENDENCYPART_ARC
(9,7),-1.67599 # DEPENDENCYPART_ARC
(9,8),-0.705113 # DEPENDENCYPART_ARC
(9,10),0.108835 # DEPENDENCYPART_ARC
(9,11),0.0534661 # DEPENDENCYPART_ARC
(9,12),-1.2405 # DEPENDENCYPART_ARC
(9,14),-1.14786 # DEPENDENCYPART_ARC
(10,12),-1.13326 # DEPENDENCYPART_ARC
(11,4),-1.97944 # DEPENDENCYPART_ARC
(11,5),-1.94015 # DEPENDENCYPART_ARC
(11,6),-2.17237 # DEPENDENCYPART_ARC
(11,10),1.15102 # DEPENDENCYPART_ARC
(11,12),0.251027 # DEPENDENCYPART_ARC
(11,14),-1.33665 # DEPENDENCYPART_ARC
(11,15),-1.79535 # DEPENDENCYPART_ARC
(11,17),-1.65348 # DEPENDENCYPART_ARC
(11,18),-1.81522 # DEPENDENCYPART_ARC
(11,20),-2.09278 # DEPENDENCYPART_ARC
(11,34),-1.70354 # DEPENDENCYPART_ARC
(11,46),-2.39579 # DEPENDENCYPART_ARC
(12,10),-1.44997 # DEPENDENCYPART_ARC
(12,11),-0.552848 # DEPENDENCYPART_ARC
(12,13),-0.0691294 # DEPENDENCYPART_ARC
(12,14),-0.00689049 # DEPENDENCYPART_ARC
(12,15),-1.2995 # DEPENDENCYPART_ARC
(12,17),-2.09394 # DEPENDENCYPART_ARC
(12,18),-2.61287 # DEPENDENCYPART_ARC
(12,19),-1.88964 # DEPENDENCYPART_ARC
(12,46),-0.591916 # DEPENDENCYPART_ARC
(14,9),-1.50885 # DEPENDENCYPART_ARC
(14,10),-1.54945 # DEPENDENCYPART_ARC
(14,11),-1.02349 # DEPENDENCYPART_ARC
(14,12),-1.05682 # DEPENDENCYPART_ARC
(14,13),0.932838 # DEPENDENCYPART_ARC
(14,15),-0.378806 # DEPENDENCYPART_ARC
(14,16),-1.96661 # DEPENDENCYPART_ARC
(14,17),-2.09059 # DEPENDENCYPART_ARC
(14,18),-1.96577 # DEPENDENCYPART_ARC
(14,20),-2.64692 # DEPENDENCYPART_ARC
(14,24),-1.99368 # DEPENDENCYPART_ARC
(14,30),-2.06746 # DEPENDENCYPART_ARC
(14,46),-0.737559 # DEPENDENCYPART_ARC
(16,15),0.536135 # DEPENDENCYPART_ARC
(16,18),-0.979172 # DEPENDENCYPART_ARC
(16,21),-1.36315 # DEPENDENCYPART_ARC
(17,1),-2.12797 # DEPENDENCYPART_ARC
(17,3),-3.13382 # DEPENDENCYPART_ARC
(17,4),-1.39444 # DEPENDENCYPART_ARC
(17,5),-2.52211 # DEPENDENCYPART_ARC
(17,6),-1.93189 # DEPENDENCYPART_ARC
(17,7),-2.24282 # DEPENDENCYPART_ARC
(17,8),-1.20098 # DEPENDENCYPART_ARC
(17,9),-1.50707 # DEPENDENCYPART_ARC
(17,10),-2.08201 # DEPENDENCYPART_ARC
(17,11),-2.48461 # DEPENDENCYPART_ARC
(17,12),-1.30023 # DEPENDENCYPART_ARC
(17,14),-2.12585 # DEPENDENCYPART_ARC
(17,15),-0.356051 # DEPENDENCYPART_ARC
(17,16),1.04401 # DEPENDENCYPART_ARC
(17,18),0.426727 # DEPENDENCYPART_ARC
(17,19),-0.520648 # DEPENDENCYPART_ARC
(17,20),-0.421113 # DEPENDENCYPART_ARC
(17,21),-1.29927 # DEPENDENCYPART_ARC
(17,22),-1.78822 # DEPENDENCYPART_ARC
(17,23),-1.83733 # DEPENDENCYPART_ARC
(17,24),-0.664329 # DEPENDENCYPART_ARC
(17,30),-2.34889 # DEPENDENCYPART_ARC
(17,43),-0.951492 # DEPENDENCYPART_ARC
(17,46),0.272274 # DEPENDENCYPART_ARC
(18,13),-2.17938 # DEPENDENCYPART_ARC
(18,16),-1.02591 # DEPENDENCYPART_ARC
(18,17),-0.158574 # DEPENDENCYPART_ARC
(18,19),-0.414723 # DEPENDENCYPART_ARC
(18,20),-0.933933 # DEPENDENCYPART_ARC
(18,21),-1.23591 # DEPENDENCYPART_ARC
(18,22),-1.89748 # DEPENDENCYPART_ARC
(18,23),-1.6376 # DEPENDENCYPART_ARC
(18,24),-1.00287 # DEPENDENCYPART_ARC
(18,27),-1.73182 # DEPENDENCYPART_ARC
(19,3),-2.31279 # DEPENDENCYPART_ARC
(19,18),-0.357994 # DEPENDENCYPART_ARC
(19,21),-1.26239 # DEPENDENCYPART_ARC
(19,22),-1.64475 # DEPENDENCYPART_ARC
(19,23),-1.40795 # DEPENDENCYPART_ARC
(19,25),-1.93877 # DEPENDENCYPART_ARC
(19,26),-1.58263 # DEPENDENCYPART_ARC
(19,27),-2.02011 # DEPENDENCYPART_ARC
(20,1),-1.68384 # DEPENDENCYPART_ARC
(20,4),-1.32622 # DEPENDENCYPART_ARC
(20,5),-1.87046 # DEPENDENCYPART_ARC
(20,6),-1.34467 # DEPENDENCYPART_ARC
(20,8),-1.15177 # DEPENDENCYPART_ARC
(20,9),-1.2847 # DEPENDENCYPART_ARC
(20,10),-1.5988 # DEPENDENCYPART_ARC
(20,11),-1.68524 # DEPENDENCYPART_ARC
(20,12),-0.911923 # DEPENDENCYPART_ARC
(20,14),-1.6814 # DEPENDENCYPART_ARC
(20,15),-1.02759 # DEPENDENCYPART_ARC
(20,16),-0.967884 # DEPENDENCYPART_ARC
(20,17),-0.94296 # DEPENDENCYPART_ARC
(20,18),0.0241474 # DEPENDENCYPART_ARC
(20,19),1.35723 # DEPENDENCYPART_ARC
(20,21),0.596956 # DEPENDENCYPART_ARC
(20,22),-0.904869 # DEPENDENCYPART_ARC
(20,23),-0.766613 # DEPENDENCYPART_ARC
(20,24),-0.719955 # DEPENDENCYPART_ARC
(20,26),-1.32393 # DEPENDENCYPART_ARC
(20,27),-1.43441 # DEPENDENCYPART_ARC
(20,30),-1.47078 # DEPENDENCYPART_ARC
(20,33),-2.1951 # DEPENDENCYPART_ARC
(20,34),-1.81473 # DEPENDENCYPART_ARC
(20,39),-2.84002 # DEPENDENCYPART_ARC
(20,43),-2.02542 # DEPENDENCYPART_ARC
(20,45),-2.50602 # DEPENDENCYPART_ARC
(20,46),-0.697552 # DEPENDENCYPART_ARC
(21,19),-1.14168 # DEPENDENCYPART_ARC
(21,22),0.0616683 # DEPENDENCYPART_ARC
(21,23),-0.284393 # DEPENDENCYPART_ARC
(21,24),-0.533324 # DEPENDENCYPART_ARC
(21,25),-1.61245 # DEPENDENCYPART_ARC
(21,26),-1.32271 # DEPENDENCYPART_ARC
(21,27),-1.17823 # DEPENDENCYPART_ARC
(21,29),-1.98115 # DEPENDENCYPART_ARC
(22,21),-0.525046 # DEPENDENCYPART_ARC
(22,23),-0.402566 # DEPENDENCYPART_ARC
(22,25),-1.71467 # DEPENDENCYPART_ARC
(22,26),-1.73956 # DEPENDENCYPART_ARC
(22,27),-1.64246 # DEPENDENCYPART_ARC
(23,13),-1.98415 # DEPENDENCYPART_ARC
(23,18),-1.5043 # DEPENDENCYPART_ARC
(23,19),-1.08082 # DEPENDENCYPART_ARC
(23,20),-1.0641 # DEPENDENCYPART_ARC
(23,21),-0.550531 # DEPENDENCYPART_ARC
(23,22),1.10248 # DEPENDENCYPART_ARC
(23,25),-1.21432 # DEPENDENCYPART_ARC
(23,26),-1.16682 # DEPENDENCYPART_ARC
(23,27),-1.33591 # DEPENDENCYPART_ARC
(23,29),-1.66768 # DEPENDENCYPART_ARC
(24,1),-1.87805 # DEPENDENCYPART_ARC
(24,3),-2.13663 # DEPENDENCYPART_ARC
(24,4),-2.25967 # DEPENDENCYPART_ARC
(24,5),-1.84482 # DEPENDENCYPART_ARC
(24,6),-2.66194 # DEPENDENCYPART_ARC
(24,7),-2.0988 # DEPENDENCYPART_ARC
(24,8),-2.49366 # DEPENDENCYPART_ARC
(24,9),-1.94414 # DEPENDENCYPART_ARC
(24,11),-2.39405 # DEPENDENCYPART_ARC
(24,12),-1.53662 # DEPENDENCYPART_ARC
(24,14),-1.73291 # DEPENDENCYPART_ARC
(24,15),-1.22174 # DEPENDENCYPART_ARC
(24,16),-1.27956 # DEPENDENCYPART_ARC
(24,17),-0.732609 # DEPENDENCYPART_ARC
(24,18),-1.05381 # DEPENDENCYPART_ARC
(24,19),-1.04629 # DEPENDENCYPART_ARC
(24,20),-0.634841 # DEPENDENCYPART_ARC
(24,21),-0.445271 # DEPENDENCYPART_ARC
(24,22),-0.187609 # DEPENDENCYPART_ARC
(24,23),0.946137 # DEPENDENCYPART_ARC
(24,25),0.172757 # DEPENDENCYPART_ARC
(24,26),0.397785 # DEPENDENCYPART_ARC
(24,27),-1.02689 # DEPENDENCYPART_ARC
(24,28),-0.931543 # DEPENDENCYPART_ARC
(24,29),-0.825586 # DEPENDENCYPART_ARC
(24,30),-1.17257 # DEPENDENCYPART_ARC
(24,31),-1.85188 # DEPENDENCYPART_ARC
(24,32),-1.7253 # DEPENDENCYPART_ARC
(24,33),-1.80084 # DEPENDENCYPART_ARC
(24,34),-2.36929 # DEPENDENCYPART_ARC
(24,38),-2.56638 # DEPENDENCYPART_ARC
(24,39),-2.41196 # DEPENDENCYPART_ARC
(24,43),-2.69877 # DEPENDENCYPART_ARC
(24,46),-1.03779 # DEPENDENCYPART_ARC
(25,22),-1.79536 # DEPENDENCYPART_ARC
(25,26),-0.525317 # DEPENDENCYPART_ARC
(25,27),-1.4563 # DEPENDENCYPART_ARC
(25,29),-1.79562 # DEPENDENCYPART_ARC
(26,21),-1.33827 # DEPENDENCYPART_ARC
(26,22),-0.790371 # DEPENDENCYPART_ARC
(26,23),-1.15208 # DEPENDENCYPART_ARC
(26,24),-0.922313 # DEPENDENCYPART_ARC
(26,25),1.00786 # DEPENDENCYPART_ARC
(26,27),0.519565 # DEPENDENCYPART_ARC
(26,28),-0.754093 # DEPENDENCYPART_ARC
(26,29),-1.06495 # DEPENDENCYPART_ARC
(26,30),-1.58492 # DEPENDENCYPART_ARC
(26,32),-1.68184 # DEPENDENCYPART_ARC
(26,33),-1.35684 # DEPENDENCYPART_ARC
(26,34),-2.11308 # DEPENDENCYPART_ARC
(26,37),-0.927734 # DEPENDENCYPART_ARC
(26,38),-1.60577 # DEPENDENCYPART_ARC
(26,42),-1.86834 # DEPENDENCYPART_ARC
(26,43),-1.13969 # DEPENDENCYPART_ARC
(26,45),-1.7469 # DEPENDENCYPART_ARC
(27,23),-1.52406 # DEPENDENCYPART_ARC
(27,25),-1.49889 # DEPENDENCYPART_ARC
(27,26),-0.561456 # DEPENDENCYPART_ARC
(27,28),0.119668 # DEPENDENCYPART_ARC
(27,29),-0.149417 # DEPENDENCYPART_ARC
(27,33),-2.61533 # DEPENDENCYPART_ARC
(28,29),-0.73753 # DEPENDENCYPART_ARC
(28,33),-2.19427 # DEPENDENCYPART_ARC
(29,23),-2.11975 # DEPENDENCYPART_ARC
(29,25),-1.22961 # DEPENDENCYPART_ARC
(29,26),-1.18101 # DEPENDENCYPART_ARC
(29,27),-1.19515 # DEPENDENCYPART_ARC
(29,28),1.73634 # DEPENDENCYPART_ARC
(29,30),0.284212 # DEPENDENCYPART_ARC
(29,32),-1.90561 # DEPENDENCYPART_ARC
(29,33),-1.71112 # DEPENDENCYPART_ARC
(29,34),-2.19521 # DEPENDENCYPART_ARC
(29,36),-2.51992 # DEPENDENCYPART_ARC
(29,37),-1.74907 # DEPENDENCYPART_ARC
(29,38),-1.77929 # DEPENDENCYPART_ARC
(29,41),-2.10131 # DEPENDENCYPART_ARC
(29,42),-2.23171 # DEPENDENCYPART_ARC
