# _root_ He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .
#goldHeads=2,0,18,12,12,7,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,24,29,24,32,32,29,34,29,34,34,29,2,
#predictedHeads=2,0,18,12,12,9,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,26,29,26,32,32,29,34,29,34,34,34,2,
(0,2),-1.11005 # DEPENDENCYPART_ARC
(0,11),-2.75023 # DEPENDENCYPART_ARC
(0,12),-2.75011 # DEPENDENCYPART_ARC
(0,18),-3.15711 # DEPENDENCYPART_ARC
(2,1),0.962458 # DEPENDENCYPART_ARC
(2,3),0.458601 # DEPENDENCYPART_ARC
(2,4),-0.592945 # DEPENDENCYPART_ARC
(2,5),-0.705681 # DEPENDENCYPART_ARC
(2,6),-1.12155 # DEPENDENCYPART_ARC
(2,7),-1.35356 # DEPENDENCYPART_ARC
(2,9),-1.69266 # DEPENDENCYPART_ARC
(2,10),-1.39257 # DEPENDENCYPART_ARC
(2,11),-0.650863 # DEPENDENCYPART_ARC
(2,12),-0.865615 # DEPENDENCYPART_ARC
(2,14),-2.00541 # DEPENDENCYPART_ARC
(2,18),-1.28548 # DEPENDENCYPART_ARC
(2,19),-1.94745 # DEPENDENCYPART_ARC
(2,29),-1.6238 # DEPENDENCYPART_ARC
(2,38),0.74041 # DEPENDENCYPART_ARC
(3,4),-0.795997 # DEPENDENCYPART_ARC
(3,5),-1.6578 # DEPENDENCYPART_ARC
(4,3),-0.266186 # DEPENDENCYPART_ARC
(4,5),0.0869725 # DEPENDENCYPART_ARC
(4,6),-0.806481 # DEPENDENCYPART_ARC
(4,8),-1.22686 # DEPENDENCYPART_ARC
(4,9),-1.34308 # DEPENDENCYPART_ARC
(4,10),-1.11917 # DEPENDENCYPART_ARC
(4,12),-1.12854 # DEPENDENCYPART_ARC
(4,13),-1.63345 # DEPENDENCYPART_ARC
(5,3),-0.911133 # DEPENDENCYPART_ARC
(5,4),0.130947 # DEPENDENCYPART_ARC
(5,6),-0.455246 # DEPENDENCYPART_ARC
(5,7),-1.11023 # DEPENDENCYPART_ARC
(5,8),-1.43382 # DEPENDENCYPART_ARC
(5,9),-1.55911 # DEPENDENCYPART_ARC
(5,10),-1.86223 # DEPENDENCYPART_ARC
(5,13),-2.42592 # DEPENDENCYPART_ARC
(5,18),-2.28139 # DEPENDENCYPART_ARC
(6,3),-1.30629 # DEPENDENCYPART_ARC
(6,4),-1.51809 # DEPENDENCYPART_ARC
(6,5),-0.191373 # DEPENDENCYPART_ARC
(6,7),0.286237 # DEPENDENCYPART_ARC
(6,8),-0.681947 # DEPENDENCYPART_ARC
(6,9),-0.933877 # DEPENDENCYPART_ARC
(6,10),-0.975081 # DEPENDENCYPART_ARC
(6,12),-1.0562 # DEPENDENCYPART_ARC
(6,13),-1.42543 # DEPENDENCYPART_ARC
(6,14),-1.35254 # DEPENDENCYPART_ARC
(7,6),-0.124261 # DEPENDENCYPART_ARC
(7,8),-0.328761 # DEPENDENCYPART_ARC
(7,11),-1.33047 # DEPENDENCYPART_ARC
(8,4),-1.99751 # DEPENDENCYPART_ARC
(8,5),-1.931 # DEPENDENCYPART_ARC
(8,6),-1.2892 # DEPENDENCYPART_ARC
(8,7),-0.0847255 # DEPENDENCYPART_ARC
(8,9),-0.545542 # DEPENDENCYPART_ARC
(8,10),-1.27404 # DEPENDENCYPART_ARC
(8,11),-0.994131 # DEPENDENCYPART_ARC
(9,3),-1.28296 # DEPENDENCYPART_ARC
(9,4),-1.13637 # DEPENDENCYPART_ARC
(9,5),-0.97549 # DEPENDENCYPART_ARC
(9,6),-0.872955 # DEPENDENCYPART_ARC
(9,7),0.173749 # DEPENDENCYPART_ARC
(9,8),1.81549 # DEPENDENCYPART_ARC
(9,10),-0.440969 # DEPENDENCYPART_ARC
(9,11),-1.0477 # DEPENDENCYPART_ARC
(9,12),-1.65711 # DEPENDENCYPART_ARC
(9,13),-1.58828 # DEPENDENCYPART_ARC
(9,14),-2.06247 # DEPENDENCYPART_ARC
(9,17),-1.98024 # DEPENDENCYPART_ARC
(9,18),-2.36634 # DEPENDENCYPART_ARC
(9,27),-2.1238 # DEPENDENCYPART_ARC
(10,5),-1.97069 # DEPENDENCYPART_ARC
(10,7),-1.83907 # DEPENDENCYPART_ARC
(10,8),-1.68574 # DEPENDENCYPART_ARC
(10,9),-0.766363 # DEPENDENCYPART_ARC
(10,11),-0.233644 # DEPENDENCYPART_ARC
(10,12),-1.06373 # DEPENDENCYPART_ARC
(10,13),-1.32779 # DEPENDENCYPART_ARC
(10,17),-2.22317 # DEPENDENCYPART_ARC
(10,18),-1.92043 # DEPENDENCYPART_ARC
(11,2),-1.861 # DEPENDENCYPART_ARC
(11,3),-1.26468 # DEPENDENCYPART_ARC
(11,5),-1.12654 # DEPENDENCYPART_ARC
(11,6),-1.2028 # DEPENDENCYPART_ARC
(11,7),-1.37435 # DEPENDENCYPART_ARC
(11,8),-0.952145 # DEPENDENCYPART_ARC
(11,9),-0.576586 # DEPENDENCYPART_ARC
(11,10),0.382178 # DEPENDENCYPART_ARC
(11,12),0.306283 # DEPENDENCYPART_ARC
(11,13),-1.32111 # DEPENDENCYPART_ARC
(11,14),-2.27227 # DEPENDENCYPART_ARC
(11,18),-2.85568 # DEPENDENCYPART_ARC
(11,38),-1.53432 # DEPENDENCYPART_ARC
(12,2),-1.03917 # DEPENDENCYPART_ARC
(12,3),-0.22917 # DEPENDENCYPART_ARC
(12,4),-0.778616 # DEPENDENCYPART_ARC
(12,5),-0.264545 # DEPENDENCYPART_ARC
(12,6),-0.68805 # DEPENDENCYPART_ARC
(12,7),-0.837073 # DEPENDENCYPART_ARC
(12,8),-0.472353 # DEPENDENCYPART_ARC
(12,9),-0.155936 # DEPENDENCYPART_ARC
(12,10),-0.166425 # DEPENDENCYPART_ARC
(12,11),0.285363 # DEPENDENCYPART_ARC
(12,13),0.736787 # DEPENDENCYPART_ARC
(12,14),-0.929361 # DEPENDENCYPART_ARC
(12,15),-1.53175 # DEPENDENCYPART_ARC
(12,16),-1.31069 # DEPENDENCYPART_ARC
(12,17),-1.43728 # DEPENDENCYPART_ARC
(12,18),-1.87107 # DEPENDENCYPART_ARC
(12,19),-1.77628 # DEPENDENCYPART_ARC
