# _root_ The company , however , said orders in the U.S. showed `` good gains '' during the latest quarter .
#goldHeads=2,6,6,6,6,0,11,7,10,8,6,11,14,11,11,11,19,19,16,6,
#predictedHeads=2,6,6,6,6,0,11,7,10,8,6,14,14,11,14,11,19,19,16,6,
(0,6),1.49753 # DEPENDENCYPART_ARC
(0,11),-0.882936 # DEPENDENCYPART_ARC
(1,3),-2.91152 # DEPENDENCYPART_ARC
(2,1),2.30093 # DEPENDENCYPART_ARC
(2,3),-0.839482 # DEPENDENCYPART_ARC
(2,4),-1.56186 # DEPENDENCYPART_ARC
(2,5),-0.503514 # DEPENDENCYPART_ARC
(2,6),-1.7279 # DEPENDENCYPART_ARC
(2,7),-2.16018 # DEPENDENCYPART_ARC
(2,8),-2.28447 # DEPENDENCYPART_ARC
(2,10),-3.01811 # DEPENDENCYPART_ARC
(2,11),-2.24895 # DEPENDENCYPART_ARC
(2,12),-2.16314 # DEPENDENCYPART_ARC
(2,14),-2.90512 # DEPENDENCYPART_ARC
(2,15),-1.7806 # DEPENDENCYPART_ARC
(2,16),-3.09341 # DEPENDENCYPART_ARC
(2,19),-3.515 # DEPENDENCYPART_ARC
(3,2),-2.19919 # DEPENDENCYPART_ARC
(3,4),-1.71524 # DEPENDENCYPART_ARC
(4,2),-1.85168 # DEPENDENCYPART_ARC
(4,3),-1.13676 # DEPENDENCYPART_ARC
(4,5),-1.04982 # DEPENDENCYPART_ARC
(4,6),-1.17939 # DEPENDENCYPART_ARC
(4,7),-2.0053 # DEPENDENCYPART_ARC
(4,8),-2.10202 # DEPENDENCYPART_ARC
(4,11),-1.99842 # DEPENDENCYPART_ARC
(4,15),-1.72615 # DEPENDENCYPART_ARC
(4,16),-2.73689 # DEPENDENCYPART_ARC
(5,2),-2.45439 # DEPENDENCYPART_ARC
(5,3),-1.90695 # DEPENDENCYPART_ARC
(5,4),-2.07802 # DEPENDENCYPART_ARC
(5,7),-2.32212 # DEPENDENCYPART_ARC
(6,2),-1.20848 # DEPENDENCYPART_ARC
(6,3),-0.877023 # DEPENDENCYPART_ARC
(6,4),-0.505197 # DEPENDENCYPART_ARC
(6,5),-0.135761 # DEPENDENCYPART_ARC
(6,7),0.565134 # DEPENDENCYPART_ARC
(6,8),-0.270327 # DEPENDENCYPART_ARC
(6,9),-2.29081 # DEPENDENCYPART_ARC
(6,10),-1.65888 # DEPENDENCYPART_ARC
(6,11),0.404963 # DEPENDENCYPART_ARC
(6,12),-1.42029 # DEPENDENCYPART_ARC
(6,14),-2.12799 # DEPENDENCYPART_ARC
(6,15),-0.976479 # DEPENDENCYPART_ARC
(6,16),-1.26699 # DEPENDENCYPART_ARC
(6,20),0.875557 # DEPENDENCYPART_ARC
(7,2),-1.88996 # DEPENDENCYPART_ARC
(7,3),-2.18832 # DEPENDENCYPART_ARC
(7,4),-1.82368 # DEPENDENCYPART_ARC
(7,5),-1.53704 # DEPENDENCYPART_ARC
(7,6),-0.597717 # DEPENDENCYPART_ARC
(7,8),0.610084 # DEPENDENCYPART_ARC
(7,9),-1.80618 # DEPENDENCYPART_ARC
(7,10),-1.39029 # DEPENDENCYPART_ARC
(7,11),-0.472819 # DEPENDENCYPART_ARC
(7,12),-1.61249 # DEPENDENCYPART_ARC
(7,14),-1.70998 # DEPENDENCYPART_ARC
(7,15),-1.23327 # DEPENDENCYPART_ARC
(7,16),-1.30477 # DEPENDENCYPART_ARC
(7,18),-2.23343 # DEPENDENCYPART_ARC
(7,19),-2.47251 # DEPENDENCYPART_ARC
(8,2),-2.53065 # DEPENDENCYPART_ARC
(8,3),-2.6057 # DEPENDENCYPART_ARC
(8,4),-2.21262 # DEPENDENCYPART_ARC
(8,5),-2.09678 # DEPENDENCYPART_ARC
(8,6),-2.16217 # DEPENDENCYPART_ARC
(8,7),-1.57491 # DEPENDENCYPART_ARC
(8,9),-1.10946 # DEPENDENCYPART_ARC
(8,10),0.164348 # DEPENDENCYPART_ARC
(8,11),-0.360273 # DEPENDENCYPART_ARC
(8,12),-1.67572 # DEPENDENCYPART_ARC
(8,13),-1.90568 # DEPENDENCYPART_ARC
(8,14),-0.571907 # DEPENDENCYPART_ARC
(8,15),-1.41942 # DEPENDENCYPART_ARC
(8,16),-2.16363 # DEPENDENCYPART_ARC
(8,18),-2.01617 # DEPENDENCYPART_ARC
(8,19),-1.71037 # DEPENDENCYPART_ARC
(9,11),-1.53418 # DEPENDENCYPART_ARC
(10,5),-2.26378 # DEPENDENCYPART_ARC
(10,7),-1.61485 # DEPENDENCYPART_ARC
(10,8),-1.25455 # DEPENDENCYPART_ARC
(10,9),1.23141 # DEPENDENCYPART_ARC
(10,11),-1.12157 # DEPENDENCYPART_ARC
(10,14),-2.48689 # DEPENDENCYPART_ARC
(11,2),-1.79991 # DEPENDENCYPART_ARC
(11,3),-1.8857 # DEPENDENCYPART_ARC
(11,4),-1.70819 # DEPENDENCYPART_ARC
(11,5),-1.8085 # DEPENDENCYPART_ARC
(11,6),-2.0686 # DEPENDENCYPART_ARC
(11,7),-0.365443 # DEPENDENCYPART_ARC
(11,8),-1.23677 # DEPENDENCYPART_ARC
(11,9),-1.42767 # DEPENDENCYPART_ARC
(11,10),0.162365 # DEPENDENCYPART_ARC
(11,12),0.413378 # DEPENDENCYPART_ARC
(11,13),-0.300887 # DEPENDENCYPART_ARC
(11,14),-0.232741 # DEPENDENCYPART_ARC
(11,15),-0.497554 # DEPENDENCYPART_ARC
(11,16),-0.00483869 # DEPENDENCYPART_ARC
(11,18),-1.62948 # DEPENDENCYPART_ARC
(11,19),-1.17955 # DEPENDENCYPART_ARC
(11,20),-0.111504 # DEPENDENCYPART_ARC
(12,10),-2.69563 # DEPENDENCYPART_ARC
(13,2),-2.98675 # DEPENDENCYPART_ARC
(13,4),-2.9016 # DEPENDENCYPART_ARC
(13,7),-2.52408 # DEPENDENCYPART_ARC
(13,8),-2.30885 # DEPENDENCYPART_ARC
(13,9),-2.14793 # DEPENDENCYPART_ARC
(13,10),-1.79323 # DEPENDENCYPART_ARC
(13,11),-1.94464 # DEPENDENCYPART_ARC
(13,12),-0.744538 # DEPENDENCYPART_ARC
(13,14),-0.957064 # DEPENDENCYPART_ARC
(13,15),-1.29293 # DEPENDENCYPART_ARC
(13,16),-1.35089 # DEPENDENCYPART_ARC
(13,19),-2.38134 # DEPENDENCYPART_ARC
(14,2),-2.24947 # DEPENDENCYPART_ARC
(14,3),-2.36086 # DEPENDENCYPART_ARC
(14,4),-2.52256 # DEPENDENCYPART_ARC
(14,5),-2.2807 # DEPENDENCYPART_ARC
(14,6),-1.9652 # DEPENDENCYPART_ARC
(14,7),-1.75938 # DEPENDENCYPART_ARC
(14,8),-1.74794 # DEPENDENCYPART_ARC
(14,9),-0.343459 # DEPENDENCYPART_ARC
(14,10),-0.49532 # DEPENDENCYPART_ARC
(14,11),-1.09347 # DEPENDENCYPART_ARC
(14,12),-0.187082 # DEPENDENCYPART_ARC
(14,13),1.66134 # DEPENDENCYPART_ARC
(14,15),-0.299582 # DEPENDENCYPART_ARC
(14,16),-0.839553 # DEPENDENCYPART_ARC
(14,17),-2.18701 # DEPENDENCYPART_ARC
(14,18),-1.78432 # DEPENDENCYPART_ARC
(14,19),-1.86528 # DEPENDENCYPART_ARC
(15,12),-1.59623 # DEPENDENCYPART_ARC
(15,14),-1.58051 # DEPENDENCYPART_ARC
(15,16),-2.17724 # DEPENDENCYPART_ARC
(15,19),-3.23822 # DEPENDENCYPART_ARC
(16,2),-2.66427 # DEPENDENCYPART_ARC
(16,3),-2.85737 # DEPENDENCYPART_ARC
(16,4),-2.25713 # DEPENDENCYPART_ARC
(16,7),-2.09711 # DEPENDENCYPART_ARC
(16,8),-1.66792 # DEPENDENCYPART_ARC
(16,12),-1.65428 # DEPENDENCYPART_ARC
(16,14),-1.76041 # DEPENDENCYPART_ARC
(16,15),-1.15442 # DEPENDENCYPART_ARC
(16,17),-1.26495 # DEPENDENCYPART_ARC
(16,18),-0.584519 # DEPENDENCYPART_ARC
(16,19),-0.1901 # DEPENDENCYPART_ARC
(17,18),-1.85093 # DEPENDENCYPART_ARC
(18,17),-0.563672 # DEPENDENCYPART_ARC
(18,19),-0.991762 # DEPENDENCYPART_ARC
(19,8),-1.5749 # DEPENDENCYPART_ARC
(19,9),-2.79547 # DEPENDENCYPART_ARC
(19,10),-2.10936 # DEPENDENCYPART_ARC
(19,12),-1.73618 # DEPENDENCYPART_ARC
(19,13),-1.84816 # DEPENDENCYPART_ARC
(19,14),-1.25306 # DEPENDENCYPART_ARC
(19,15),-1.62582 # DEPENDENCYPART_ARC
(19,16),-0.650943 # DEPENDENCYPART_ARC
(19,17),1.2739 # DEPENDENCYPART_ARC
(19,18),0.992165 # DEPENDENCYPART_ARC
(20,19),-2.73223 # DEPENDENCYPART_ARC
(0,6),(0,11),-1.91676 # DEPENDENCYPART_SIBL
