# _root_ Many investors , trying to outperform the market 's major indexes , have flocked to these small issues in recent weeks .
#goldHeads=2,13,2,2,4,5,8,11,8,11,6,13,0,13,14,18,18,15,14,21,19,13,
#predictedHeads=2,13,2,2,4,5,8,11,8,11,6,2,0,13,14,18,18,15,14,21,19,13,
(0,2),-3.43318 # DEPENDENCYPART_ARC
(0,13),-0.740536 # DEPENDENCYPART_ARC
(0,14),-3.4422 # DEPENDENCYPART_ARC
(1,3),-1.35933 # DEPENDENCYPART_ARC
(1,4),-1.59583 # DEPENDENCYPART_ARC
(1,5),-1.58166 # DEPENDENCYPART_ARC
(2,1),1.48079 # DEPENDENCYPART_ARC
(2,3),-0.654365 # DEPENDENCYPART_ARC
(2,4),-1.22718 # DEPENDENCYPART_ARC
(2,5),-1.27304 # DEPENDENCYPART_ARC
(2,8),-2.08617 # DEPENDENCYPART_ARC
(2,9),-1.84656 # DEPENDENCYPART_ARC
(2,11),-1.79645 # DEPENDENCYPART_ARC
(2,12),-0.843904 # DEPENDENCYPART_ARC
(2,13),-2.64217 # DEPENDENCYPART_ARC
(2,14),-2.54198 # DEPENDENCYPART_ARC
(2,18),-3.10948 # DEPENDENCYPART_ARC
(2,19),-2.47592 # DEPENDENCYPART_ARC
(2,22),-4.14954 # DEPENDENCYPART_ARC
(3,2),-2.25806 # DEPENDENCYPART_ARC
(3,4),-1.79882 # DEPENDENCYPART_ARC
(4,1),-2.2579 # DEPENDENCYPART_ARC
(4,2),-1.94572 # DEPENDENCYPART_ARC
(4,3),-1.42032 # DEPENDENCYPART_ARC
(4,5),1.68957 # DEPENDENCYPART_ARC
(4,6),-0.110709 # DEPENDENCYPART_ARC
(4,8),-0.738203 # DEPENDENCYPART_ARC
(4,9),-1.88619 # DEPENDENCYPART_ARC
(4,11),-1.00507 # DEPENDENCYPART_ARC
(4,12),-1.22398 # DEPENDENCYPART_ARC
(4,13),-1.39626 # DEPENDENCYPART_ARC
(4,14),-1.60161 # DEPENDENCYPART_ARC
(4,15),-1.14813 # DEPENDENCYPART_ARC
(4,18),-2.13171 # DEPENDENCYPART_ARC
(4,19),-1.63225 # DEPENDENCYPART_ARC
(5,2),-1.8039 # DEPENDENCYPART_ARC
(5,3),-1.9226 # DEPENDENCYPART_ARC
(5,4),-1.4253 # DEPENDENCYPART_ARC
(5,6),2.0583 # DEPENDENCYPART_ARC
(5,8),-0.935015 # DEPENDENCYPART_ARC
(5,9),-1.91421 # DEPENDENCYPART_ARC
(5,11),-1.26402 # DEPENDENCYPART_ARC
(5,12),-1.31716 # DEPENDENCYPART_ARC
(6,2),-1.28773 # DEPENDENCYPART_ARC
(6,3),-1.54848 # DEPENDENCYPART_ARC
(6,7),-0.747784 # DEPENDENCYPART_ARC
(6,8),0.0235719 # DEPENDENCYPART_ARC
(6,9),-1.51575 # DEPENDENCYPART_ARC
(6,10),-1.19221 # DEPENDENCYPART_ARC
(6,11),-0.174179 # DEPENDENCYPART_ARC
(6,12),-1.20684 # DEPENDENCYPART_ARC
(6,13),-1.0209 # DEPENDENCYPART_ARC
(6,14),-1.51296 # DEPENDENCYPART_ARC
(6,15),-0.991107 # DEPENDENCYPART_ARC
(6,18),-1.52622 # DEPENDENCYPART_ARC
(6,19),-1.53522 # DEPENDENCYPART_ARC
(6,21),-1.82434 # DEPENDENCYPART_ARC
(6,22),-1.45725 # DEPENDENCYPART_ARC
(8,2),-2.10223 # DEPENDENCYPART_ARC
(8,3),-2.26321 # DEPENDENCYPART_ARC
(8,4),-1.53283 # DEPENDENCYPART_ARC
(8,5),-1.99047 # DEPENDENCYPART_ARC
(8,6),-1.06774 # DEPENDENCYPART_ARC
(8,7),2.58391 # DEPENDENCYPART_ARC
(8,9),1.8643 # DEPENDENCYPART_ARC
(8,10),-1.02951 # DEPENDENCYPART_ARC
(8,11),-1.27932 # DEPENDENCYPART_ARC
(8,12),-1.09614 # DEPENDENCYPART_ARC
(8,13),-1.13312 # DEPENDENCYPART_ARC
(8,14),-1.85023 # DEPENDENCYPART_ARC
(8,15),-1.27318 # DEPENDENCYPART_ARC
(8,18),-2.45975 # DEPENDENCYPART_ARC
(8,22),-2.40137 # DEPENDENCYPART_ARC
(9,2),-2.18732 # DEPENDENCYPART_ARC
(9,3),-2.26124 # DEPENDENCYPART_ARC
(9,4),-2.05646 # DEPENDENCYPART_ARC
(9,11),-2.34805 # DEPENDENCYPART_ARC
(10,8),-1.78878 # DEPENDENCYPART_ARC
(10,9),-1.67108 # DEPENDENCYPART_ARC
(10,12),-1.71276 # DEPENDENCYPART_ARC
(11,1),-1.84148 # DEPENDENCYPART_ARC
(11,2),-2.58955 # DEPENDENCYPART_ARC
(11,3),-2.8722 # DEPENDENCYPART_ARC
(11,4),-2.19768 # DEPENDENCYPART_ARC
(11,6),-1.99829 # DEPENDENCYPART_ARC
(11,7),-0.680676 # DEPENDENCYPART_ARC
(11,8),0.0267377 # DEPENDENCYPART_ARC
(11,9),-0.745435 # DEPENDENCYPART_ARC
(11,10),1.45226 # DEPENDENCYPART_ARC
(11,12),-0.500444 # DEPENDENCYPART_ARC
(11,13),-1.34191 # DEPENDENCYPART_ARC
(11,14),-1.51412 # DEPENDENCYPART_ARC
(11,15),-1.27092 # DEPENDENCYPART_ARC
(11,18),-2.19169 # DEPENDENCYPART_ARC
(11,19),-1.75392 # DEPENDENCYPART_ARC
(11,21),-2.57501 # DEPENDENCYPART_ARC
(11,22),-3.32538 # DEPENDENCYPART_ARC
(13,1),-2.08144 # DEPENDENCYPART_ARC
(13,2),-0.714636 # DEPENDENCYPART_ARC
(13,3),-1.23772 # DEPENDENCYPART_ARC
(13,4),-1.52456 # DEPENDENCYPART_ARC
(13,5),-1.9231 # DEPENDENCYPART_ARC
(13,6),-2.31227 # DEPENDENCYPART_ARC
(13,8),-1.60286 # DEPENDENCYPART_ARC
(13,9),-1.79293 # DEPENDENCYPART_ARC
(13,10),-1.39952 # DEPENDENCYPART_ARC
(13,11),0.0856219 # DEPENDENCYPART_ARC
(13,12),-0.630166 # DEPENDENCYPART_ARC
(13,14),1.95631 # DEPENDENCYPART_ARC
(13,15),-0.372481 # DEPENDENCYPART_ARC
(13,16),-2.02503 # DEPENDENCYPART_ARC
(13,17),-1.7557 # DEPENDENCYPART_ARC
(13,18),-0.980698 # DEPENDENCYPART_ARC
(13,19),-1.04973 # DEPENDENCYPART_ARC
(13,21),-1.84299 # DEPENDENCYPART_ARC
(13,22),-0.236881 # DEPENDENCYPART_ARC
(14,2),-2.33699 # DEPENDENCYPART_ARC
(14,3),-2.47705 # DEPENDENCYPART_ARC
(14,4),-2.06093 # DEPENDENCYPART_ARC
(14,8),-1.88257 # DEPENDENCYPART_ARC
(14,11),-1.51645 # DEPENDENCYPART_ARC
(14,12),-1.89482 # DEPENDENCYPART_ARC
(14,15),1.57236 # DEPENDENCYPART_ARC
(14,16),-1.30857 # DEPENDENCYPART_ARC
(14,17),-0.99436 # DEPENDENCYPART_ARC
(14,18),-0.624954 # DEPENDENCYPART_ARC
(14,19),-0.156957 # DEPENDENCYPART_ARC
(14,20),-1.6471 # DEPENDENCYPART_ARC
(14,21),-1.48762 # DEPENDENCYPART_ARC
(14,22),-1.52435 # DEPENDENCYPART_ARC
(15,11),-2.33559 # DEPENDENCYPART_ARC
(15,12),-1.85107 # DEPENDENCYPART_ARC
(15,16),-0.434592 # DEPENDENCYPART_ARC
