# _root_ Among active stocks , MCI Communications rose 7\/8 to 43 on 2.2 million shares , Mentor Graphics added 1\/8 to 16 3\/8 on turnover of 1.5 million shares .
#goldHeads=7,3,1,7,6,7,0,7,7,9,7,14,14,11,7,17,18,7,18,18,22,20,18,23,24,27,28,25,7,
#predictedHeads=7,3,1,7,6,7,18,7,7,9,7,13,14,11,18,17,18,0,18,18,22,20,18,23,24,27,28,25,18,
(0,1),-1.61179 # DEPENDENCYPART_ARC
(0,3),-2.69796 # DEPENDENCYPART_ARC
(0,6),-3.39582 # DEPENDENCYPART_ARC
(0,7),-2.35455 # DEPENDENCYPART_ARC
(0,18),-1.7594 # DEPENDENCYPART_ARC
(1,2),0.114423 # DEPENDENCYPART_ARC
(1,3),0.15805 # DEPENDENCYPART_ARC
(1,4),-0.855751 # DEPENDENCYPART_ARC
(1,5),-1.82451 # DEPENDENCYPART_ARC
(1,6),-1.88772 # DEPENDENCYPART_ARC
(1,7),-1.5842 # DEPENDENCYPART_ARC
(1,9),-2.00665 # DEPENDENCYPART_ARC
(1,18),-1.59697 # DEPENDENCYPART_ARC
(2,1),-0.417309 # DEPENDENCYPART_ARC
(2,3),-0.51736 # DEPENDENCYPART_ARC
(2,4),-1.23279 # DEPENDENCYPART_ARC
(2,7),-1.923 # DEPENDENCYPART_ARC
(3,1),-0.940144 # DEPENDENCYPART_ARC
(3,2),1.37207 # DEPENDENCYPART_ARC
(3,4),0.232098 # DEPENDENCYPART_ARC
(3,5),-1.12021 # DEPENDENCYPART_ARC
(3,7),-1.69645 # DEPENDENCYPART_ARC
(3,8),-2.17163 # DEPENDENCYPART_ARC
(3,9),-1.8425 # DEPENDENCYPART_ARC
(3,10),-2.14612 # DEPENDENCYPART_ARC
(3,11),-1.81963 # DEPENDENCYPART_ARC
(3,12),-2.30424 # DEPENDENCYPART_ARC
(3,13),-2.54456 # DEPENDENCYPART_ARC
(3,14),-1.93938 # DEPENDENCYPART_ARC
(3,15),-1.23627 # DEPENDENCYPART_ARC
(3,18),-1.96333 # DEPENDENCYPART_ARC
(3,23),-1.1649 # DEPENDENCYPART_ARC
(3,29),-1.4616 # DEPENDENCYPART_ARC
(5,2),-2.62535 # DEPENDENCYPART_ARC
(5,3),-2.0767 # DEPENDENCYPART_ARC
(5,4),-0.942085 # DEPENDENCYPART_ARC
(5,6),-0.612119 # DEPENDENCYPART_ARC
(5,7),-0.884634 # DEPENDENCYPART_ARC
(5,8),-1.69253 # DEPENDENCYPART_ARC
(5,10),-1.90601 # DEPENDENCYPART_ARC
(5,11),-1.20999 # DEPENDENCYPART_ARC
(5,14),-2.00698 # DEPENDENCYPART_ARC
(5,29),-1.83225 # DEPENDENCYPART_ARC
(6,4),-0.870612 # DEPENDENCYPART_ARC
(6,5),1.81398 # DEPENDENCYPART_ARC
(6,7),-0.303889 # DEPENDENCYPART_ARC
(6,29),-1.78686 # DEPENDENCYPART_ARC
(7,1),-0.842943 # DEPENDENCYPART_ARC
(7,2),-1.67292 # DEPENDENCYPART_ARC
(7,3),-1.70503 # DEPENDENCYPART_ARC
(7,4),-0.577357 # DEPENDENCYPART_ARC
(7,5),-0.430618 # DEPENDENCYPART_ARC
(7,6),0.730777 # DEPENDENCYPART_ARC
(7,8),0.693353 # DEPENDENCYPART_ARC
(7,9),0.170929 # DEPENDENCYPART_ARC
(7,10),-0.716565 # DEPENDENCYPART_ARC
(7,11),0.0613007 # DEPENDENCYPART_ARC
(7,12),-1.0407 # DEPENDENCYPART_ARC
(7,14),-0.71813 # DEPENDENCYPART_ARC
(7,15),-0.25513 # DEPENDENCYPART_ARC
(7,17),-1.72481 # DEPENDENCYPART_ARC
(7,18),-1.27186 # DEPENDENCYPART_ARC
(7,20),-1.06342 # DEPENDENCYPART_ARC
(7,23),-1.18356 # DEPENDENCYPART_ARC
(7,29),-0.854883 # DEPENDENCYPART_ARC
(8,5),-1.2628 # DEPENDENCYPART_ARC
(8,9),-0.0758619 # DEPENDENCYPART_ARC
(8,10),-1.15588 # DEPENDENCYPART_ARC
(8,11),-1.03208 # DEPENDENCYPART_ARC
(8,12),-1.52419 # DEPENDENCYPART_ARC
(8,13),-1.70113 # DEPENDENCYPART_ARC
(8,15),-1.05937 # DEPENDENCYPART_ARC
(8,19),-1.88495 # DEPENDENCYPART_ARC
(9,8),-0.272756 # DEPENDENCYPART_ARC
(9,10),0.0989631 # DEPENDENCYPART_ARC
(9,11),-0.829433 # DEPENDENCYPART_ARC
(9,12),-1.21601 # DEPENDENCYPART_ARC
(9,13),-1.32322 # DEPENDENCYPART_ARC
(9,14),-1.60563 # DEPENDENCYPART_ARC
(9,15),-0.942159 # DEPENDENCYPART_ARC
(9,20),-1.918 # DEPENDENCYPART_ARC
(10,8),-0.812419 # DEPENDENCYPART_ARC
(10,9),0.0860252 # DEPENDENCYPART_ARC
(10,11),-0.199976 # DEPENDENCYPART_ARC
(10,12),-1.26309 # DEPENDENCYPART_ARC
(10,13),-1.65148 # DEPENDENCYPART_ARC
(10,15),-1.25671 # DEPENDENCYPART_ARC
(10,19),-2.02202 # DEPENDENCYPART_ARC
(10,21),-1.98876 # DEPENDENCYPART_ARC
(11,9),-1.22186 # DEPENDENCYPART_ARC
(11,10),-0.367078 # DEPENDENCYPART_ARC
(11,12),0.200478 # DEPENDENCYPART_ARC
(11,13),-0.445273 # DEPENDENCYPART_ARC
(11,14),-0.316294 # DEPENDENCYPART_ARC
(11,15),-1.10189 # DEPENDENCYPART_ARC
(11,16),-1.8995 # DEPENDENCYPART_ARC
(11,18),-1.61329 # DEPENDENCYPART_ARC
(11,20),-1.71724 # DEPENDENCYPART_ARC
(11,23),-0.810551 # DEPENDENCYPART_ARC
(11,25),-1.26564 # DEPENDENCYPART_ARC
(12,8),-2.04135 # DEPENDENCYPART_ARC
(12,10),-1.67966 # DEPENDENCYPART_ARC
(12,11),-0.816411 # DEPENDENCYPART_ARC
(12,13),-0.779413 # DEPENDENCYPART_ARC
(12,15),-1.17287 # DEPENDENCYPART_ARC
(12,18),-1.82642 # DEPENDENCYPART_ARC
(12,19),-2.18374 # DEPENDENCYPART_ARC
(13,10),-0.962452 # DEPENDENCYPART_ARC
(13,11),-0.966656 # DEPENDENCYPART_ARC
(13,12),0.651956 # DEPENDENCYPART_ARC
(13,18),-1.73537 # DEPENDENCYPART_ARC
(14,1),-1.74161 # DEPENDENCYPART_ARC
(14,8),-1.61152 # DEPENDENCYPART_ARC
(14,9),-1.60696 # DEPENDENCYPART_ARC
(14,10),-1.33441 # DEPENDENCYPART_ARC
(14,11),-0.650674 # DEPENDENCYPART_ARC
(14,12),-0.585063 # DEPENDENCYPART_ARC
(14,13),0.635044 # DEPENDENCYPART_ARC
(14,15),0.444256 # DEPENDENCYPART_ARC
(14,16),-0.924171 # DEPENDENCYPART_ARC
(14,18),-1.54738 # DEPENDENCYPART_ARC
(14,19),-2.01492 # DEPENDENCYPART_ARC
(14,20),-1.74824 # DEPENDENCYPART_ARC
(14,21),-2.03129 # DEPENDENCYPART_ARC
(14,22),-2.09958 # DEPENDENCYPART_ARC
(14,23),-1.55882 # DEPENDENCYPART_ARC
(14,24),-1.78607 # DEPENDENCYPART_ARC
(14,28),-1.7793 # DEPENDENCYPART_ARC
(14,29),-1.68643 # DEPENDENCYPART_ARC
(16,12),-2.86477 # DEPENDENCYPART_ARC
(16,13),-2.65623 # DEPENDENCYPART_ARC
(16,14),-2.09808 # DEPENDENCYPART_ARC
(16,17),-0.620449 # DEPENDENCYPART_ARC
(16,18),-0.88668 # DEPENDENCYPART_ARC
(16,19),-1.68727 # DEPENDENCYPART_ARC
(16,21),-1.95055 # DEPENDENCYPART_ARC
(16,22),-1.8807 # DEPENDENCYPART_ARC
(16,29),-1.29827 # DEPENDENCYPART_ARC
(17,15),-0.874462 # DEPENDENCYPART_ARC
(17,16),1.81166 # DEPENDENCYPART_ARC
(17,18),-0.290613 # DEPENDENCYPART_ARC
(17,29),-1.26029 # DEPENDENCYPART_ARC
(18,1),-1.10649 # DEPENDENCYPART_ARC
(18,2),-1.44112 # DEPENDENCYPART_ARC
(18,3),-1.16585 # DEPENDENCYPART_ARC
(18,4),-2.45733 # DEPENDENCYPART_ARC
(18,6),-2.20355 # DEPENDENCYPART_ARC
(18,7),-1.62858 # DEPENDENCYPART_ARC
(18,8),-1.76892 # DEPENDENCYPART_ARC
(18,9),-2.27808 # DEPENDENCYPART_ARC
(18,10),-1.76699 # DEPENDENCYPART_ARC
(18,11),-1.1182 # DEPENDENCYPART_ARC
(18,12),-1.81123 # DEPENDENCYPART_ARC
(18,13),-1.77961 # DEPENDENCYPART_ARC
(18,14),-1.6864 # DEPENDENCYPART_ARC
(18,15),-0.702229 # DEPENDENCYPART_ARC
(18,16),-0.396655 # DEPENDENCYPART_ARC
(18,17),0.757659 # DEPENDENCYPART_ARC
(18,19),0.702235 # DEPENDENCYPART_ARC
(18,20),0.135631 # DEPENDENCYPART_ARC
(18,21),-0.811999 # DEPENDENCYPART_ARC
(18,22),-0.818543 # DEPENDENCYPART_ARC
(18,23),-0.00732403 # DEPENDENCYPART_ARC
(18,24),-0.633346 # DEPENDENCYPART_ARC
(18,25),-0.750023 # DEPENDENCYPART_ARC
(18,28),-0.914332 # DEPENDENCYPART_ARC
(18,29),0.42384 # DEPENDENCYPART_ARC
(19,16),-1.27912 # DEPENDENCYPART_ARC
(19,20),-0.146772 # DEPENDENCYPART_ARC
(19,21),-1.2118 # DEPENDENCYPART_ARC
(19,22),-1.56007 # DEPENDENCYPART_ARC
(19,23),-1.19772 # DEPENDENCYPART_ARC
(19,24),-1.42048 # DEPENDENCYPART_ARC
(19,25),-1.22982 # DEPENDENCYPART_ARC
(19,26),-1.52535 # DEPENDENCYPART_ARC
(19,27),-1.70795 # DEPENDENCYPART_ARC
(20,19),-0.22096 # DEPENDENCYPART_ARC
(20,21),-0.102987 # DEPENDENCYPART_ARC
(20,22),-0.612684 # DEPENDENCYPART_ARC
(20,23),-0.918091 # DEPENDENCYPART_ARC
(20,24),-1.3532 # DEPENDENCYPART_ARC
(20,25),-1.12137 # DEPENDENCYPART_ARC
(20,28),-2.22792 # DEPENDENCYPART_ARC
(21,19),-1.16701 # DEPENDENCYPART_ARC
(21,20),-0.272928 # DEPENDENCYPART_ARC
(21,22),-0.793857 # DEPENDENCYPART_ARC
(21,23),-1.17949 # DEPENDENCYPART_ARC
(21,24),-1.41714 # DEPENDENCYPART_ARC
(21,25),-1.42786 # DEPENDENCYPART_ARC
(21,26),-1.87537 # DEPENDENCYPART_ARC
(21,27),-1.9582 # DEPENDENCYPART_ARC
(22,19),-0.833551 # DEPENDENCYPART_ARC
(22,20),-0.840313 # DEPENDENCYPART_ARC
(22,21),0.584723 # DEPENDENCYPART_ARC
(22,23),-0.0844341 # DEPENDENCYPART_ARC
(22,24),-0.694084 # DEPENDENCYPART_ARC
(22,25),-1.05601 # DEPENDENCYPART_ARC
(22,26),-1.49811 # DEPENDENCYPART_ARC
(22,27),-1.66564 # DEPENDENCYPART_ARC
(23,20),-1.43573 # DEPENDENCYPART_ARC
(23,21),-1.46675 # DEPENDENCYPART_ARC
(23,22),-0.512492 # DEPENDENCYPART_ARC
(23,24),0.853974 # DEPENDENCYPART_ARC
(23,25),-0.724208 # DEPENDENCYPART_ARC
(23,26),-1.35469 # DEPENDENCYPART_ARC
(23,27),-1.37526 # DEPENDENCYPART_ARC
(23,28),-1.15403 # DEPENDENCYPART_ARC
