# _root_ Money funds invest in such things as short-term Treasury securities , commercial paper and certificates of deposit , all of which have been posting lower interest rates since last spring .
#goldHeads=2,3,0,3,6,4,6,10,10,14,14,13,14,7,14,15,16,14,20,22,20,14,22,23,27,27,24,24,30,28,3,
#predictedHeads=2,3,0,3,6,4,6,10,10,14,14,13,14,7,14,15,16,17,20,22,20,17,22,23,27,27,24,24,30,28,3,
(0,1),-1.71604 # DEPENDENCYPART_ARC
(0,2),-2.44811 # DEPENDENCYPART_ARC
(0,3),-1.81161 # DEPENDENCYPART_ARC
(0,14),-2.61519 # DEPENDENCYPART_ARC
(0,22),-3.56588 # DEPENDENCYPART_ARC
(1,2),-0.676413 # DEPENDENCYPART_ARC
(1,3),-0.800201 # DEPENDENCYPART_ARC
(1,4),-1.40604 # DEPENDENCYPART_ARC
(1,6),-1.95666 # DEPENDENCYPART_ARC
(1,7),-1.29975 # DEPENDENCYPART_ARC
(2,1),1.90524 # DEPENDENCYPART_ARC
(2,3),-0.157851 # DEPENDENCYPART_ARC
(2,4),-1.16456 # DEPENDENCYPART_ARC
(2,5),-1.53733 # DEPENDENCYPART_ARC
(2,6),-1.46617 # DEPENDENCYPART_ARC
(2,7),-1.37343 # DEPENDENCYPART_ARC
(2,10),-2.00339 # DEPENDENCYPART_ARC
(2,11),-1.6154 # DEPENDENCYPART_ARC
(2,14),-1.23808 # DEPENDENCYPART_ARC
(2,18),-1.96248 # DEPENDENCYPART_ARC
(2,19),-1.7187 # DEPENDENCYPART_ARC
(2,23),-2.06507 # DEPENDENCYPART_ARC
(2,31),-1.4486 # DEPENDENCYPART_ARC
(3,1),-0.213303 # DEPENDENCYPART_ARC
(3,2),0.694759 # DEPENDENCYPART_ARC
(3,4),0.970282 # DEPENDENCYPART_ARC
(3,5),-0.727554 # DEPENDENCYPART_ARC
(3,6),-0.563524 # DEPENDENCYPART_ARC
(3,7),-0.678174 # DEPENDENCYPART_ARC
(3,8),-1.23872 # DEPENDENCYPART_ARC
(3,10),-1.29178 # DEPENDENCYPART_ARC
(3,11),-1.16218 # DEPENDENCYPART_ARC
(3,12),-1.70128 # DEPENDENCYPART_ARC
(3,14),-1.03012 # DEPENDENCYPART_ARC
(3,18),-1.82001 # DEPENDENCYPART_ARC
(3,22),-1.39201 # DEPENDENCYPART_ARC
(3,24),-1.83275 # DEPENDENCYPART_ARC
(3,28),-2.17308 # DEPENDENCYPART_ARC
(3,31),-0.0874035 # DEPENDENCYPART_ARC
(4,2),-1.41737 # DEPENDENCYPART_ARC
(4,5),0.0811829 # DEPENDENCYPART_ARC
(4,6),-0.061235 # DEPENDENCYPART_ARC
(4,7),-1.19183 # DEPENDENCYPART_ARC
(4,8),-1.1459 # DEPENDENCYPART_ARC
(4,9),-1.42531 # DEPENDENCYPART_ARC
(4,10),-1.79457 # DEPENDENCYPART_ARC
(4,11),-1.15168 # DEPENDENCYPART_ARC
(4,13),-2.95972 # DEPENDENCYPART_ARC
(4,14),-1.64818 # DEPENDENCYPART_ARC
(5,2),-1.6443 # DEPENDENCYPART_ARC
(5,7),-1.22419 # DEPENDENCYPART_ARC
(6,1),-1.0976 # DEPENDENCYPART_ARC
(6,2),-1.35658 # DEPENDENCYPART_ARC
(6,4),-0.665779 # DEPENDENCYPART_ARC
(6,5),1.66896 # DEPENDENCYPART_ARC
(6,7),0.354287 # DEPENDENCYPART_ARC
(6,8),-1.16222 # DEPENDENCYPART_ARC
(6,9),-1.28467 # DEPENDENCYPART_ARC
(6,10),-1.56564 # DEPENDENCYPART_ARC
(6,11),-1.47989 # DEPENDENCYPART_ARC
(6,12),-1.79836 # DEPENDENCYPART_ARC
(6,13),-2.06637 # DEPENDENCYPART_ARC
(6,14),-1.25524 # DEPENDENCYPART_ARC
(6,16),-2.23944 # DEPENDENCYPART_ARC
(6,18),-1.81899 # DEPENDENCYPART_ARC
(6,19),-1.55654 # DEPENDENCYPART_ARC
(6,23),-1.6608 # DEPENDENCYPART_ARC
(6,31),-1.93426 # DEPENDENCYPART_ARC
(7,4),-1.00108 # DEPENDENCYPART_ARC
(7,5),-0.876443 # DEPENDENCYPART_ARC
(7,6),-0.297498 # DEPENDENCYPART_ARC
(7,8),-0.0791642 # DEPENDENCYPART_ARC
(7,9),-0.671061 # DEPENDENCYPART_ARC
(7,10),-1.15042 # DEPENDENCYPART_ARC
(7,11),-1.40813 # DEPENDENCYPART_ARC
(7,12),-1.89493 # DEPENDENCYPART_ARC
(7,13),-2.55742 # DEPENDENCYPART_ARC
(7,14),-1.26425 # DEPENDENCYPART_ARC
(7,15),-3.07781 # DEPENDENCYPART_ARC
(7,16),-1.82082 # DEPENDENCYPART_ARC
(8,4),-1.5954 # DEPENDENCYPART_ARC
(8,5),-1.48977 # DEPENDENCYPART_ARC
(8,6),-1.29068 # DEPENDENCYPART_ARC
(8,7),-0.465165 # DEPENDENCYPART_ARC
(8,9),-0.345609 # DEPENDENCYPART_ARC
(8,14),-1.3182 # DEPENDENCYPART_ARC
(9,5),-2.23509 # DEPENDENCYPART_ARC
(9,8),-0.328333 # DEPENDENCYPART_ARC
(9,12),-2.0212 # DEPENDENCYPART_ARC
(9,14),-1.77349 # DEPENDENCYPART_ARC
(9,22),-1.61952 # DEPENDENCYPART_ARC
(10,1),-1.1873 # DEPENDENCYPART_ARC
(10,4),-1.2296 # DEPENDENCYPART_ARC
(10,5),-0.638216 # DEPENDENCYPART_ARC
(10,6),-0.854678 # DEPENDENCYPART_ARC
(10,7),-0.838162 # DEPENDENCYPART_ARC
(10,8),0.445657 # DEPENDENCYPART_ARC
(10,9),1.8922 # DEPENDENCYPART_ARC
(10,11),0.277781 # DEPENDENCYPART_ARC
(10,12),-1.54666 # DEPENDENCYPART_ARC
(10,13),-1.72174 # DEPENDENCYPART_ARC
(10,14),-1.40959 # DEPENDENCYPART_ARC
(10,15),-1.7256 # DEPENDENCYPART_ARC
(10,16),-1.99098 # DEPENDENCYPART_ARC
(10,17),-1.93761 # DEPENDENCYPART_ARC
(10,18),-1.20032 # DEPENDENCYPART_ARC
(10,19),-1.60411 # DEPENDENCYPART_ARC
(10,20),-2.42746 # DEPENDENCYPART_ARC
(10,22),-1.4004 # DEPENDENCYPART_ARC
(10,23),-1.78862 # DEPENDENCYPART_ARC
(10,27),-1.84602 # DEPENDENCYPART_ARC
