# _root_ Jerome Kern , Tele-Communications ' chief outside counsel , said he was n't aware of Time 's legal plans .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
(0,2),-2.59277 # DEPENDENCYPART_ARC
(0,10),-0.163619 # DEPENDENCYPART_ARC
(0,12),-2.48943 # DEPENDENCYPART_ARC
(1,2),-0.803809 # DEPENDENCYPART_ARC
(1,3),-1.75902 # DEPENDENCYPART_ARC
(1,4),-1.99769 # DEPENDENCYPART_ARC
(1,5),-2.17541 # DEPENDENCYPART_ARC
(1,6),-2.21194 # DEPENDENCYPART_ARC
(1,8),-2.42267 # DEPENDENCYPART_ARC
(1,9),-2.18588 # DEPENDENCYPART_ARC
(2,1),1.51069 # DEPENDENCYPART_ARC
(2,3),0.258304 # DEPENDENCYPART_ARC
(2,4),-1.38265 # DEPENDENCYPART_ARC
(2,5),-1.50234 # DEPENDENCYPART_ARC
(2,6),-1.9645 # DEPENDENCYPART_ARC
(2,7),-2.06966 # DEPENDENCYPART_ARC
(2,8),-1.95492 # DEPENDENCYPART_ARC
(2,9),-1.14921 # DEPENDENCYPART_ARC
(2,10),-2.19451 # DEPENDENCYPART_ARC
(2,12),-2.30108 # DEPENDENCYPART_ARC
(2,13),-1.91593 # DEPENDENCYPART_ARC
(2,15),-2.14367 # DEPENDENCYPART_ARC
(2,19),-2.38381 # DEPENDENCYPART_ARC
(2,20),-1.93311 # DEPENDENCYPART_ARC
(4,1),-1.07335 # DEPENDENCYPART_ARC
(4,2),-0.969109 # DEPENDENCYPART_ARC
(4,3),-0.372052 # DEPENDENCYPART_ARC
(4,5),0.788075 # DEPENDENCYPART_ARC
(4,6),-1.07851 # DEPENDENCYPART_ARC
(4,7),-1.18407 # DEPENDENCYPART_ARC
(4,8),-1.59272 # DEPENDENCYPART_ARC
(4,9),-1.74833 # DEPENDENCYPART_ARC
(4,12),-2.18966 # DEPENDENCYPART_ARC
(4,13),-1.77102 # DEPENDENCYPART_ARC
(6,2),-1.69011 # DEPENDENCYPART_ARC
(6,3),-1.55991 # DEPENDENCYPART_ARC
(6,4),-1.07603 # DEPENDENCYPART_ARC
(6,5),-0.246428 # DEPENDENCYPART_ARC
(6,7),-0.320647 # DEPENDENCYPART_ARC
(6,8),-1.32393 # DEPENDENCYPART_ARC
(6,9),-1.30804 # DEPENDENCYPART_ARC
(6,12),-2.13517 # DEPENDENCYPART_ARC
(6,14),-1.93401 # DEPENDENCYPART_ARC
