# _root_ Often , Mr. Dinkins 's procrastination prevented him from having a say in the way things turned out , critics claim .
#goldHeads=7,7,4,6,4,7,21,7,7,9,12,10,10,15,13,17,15,17,21,21,0,21,
#predictedHeads=21,21,4,6,4,7,21,7,7,9,12,10,10,16,16,13,12,17,21,21,0,21,
(0,1),-1.37769 # DEPENDENCYPART_ARC
(0,6),-3.40823 # DEPENDENCYPART_ARC
(0,7),-2.14079 # DEPENDENCYPART_ARC
(0,10),-3.06471 # DEPENDENCYPART_ARC
(0,17),-2.88102 # DEPENDENCYPART_ARC
(0,21),-2.52943 # DEPENDENCYPART_ARC
(1,2),-0.276397 # DEPENDENCYPART_ARC
(1,3),-1.45069 # DEPENDENCYPART_ARC
(1,4),-1.70373 # DEPENDENCYPART_ARC
(1,6),-1.87955 # DEPENDENCYPART_ARC
(1,7),-1.7953 # DEPENDENCYPART_ARC
(1,9),-2.05034 # DEPENDENCYPART_ARC
(2,1),-0.294998 # DEPENDENCYPART_ARC
(3,1),-2.30508 # DEPENDENCYPART_ARC
(3,2),-1.20426 # DEPENDENCYPART_ARC
(3,4),-0.828998 # DEPENDENCYPART_ARC
(3,5),-1.35425 # DEPENDENCYPART_ARC
(3,7),-1.38732 # DEPENDENCYPART_ARC
(3,9),-1.67726 # DEPENDENCYPART_ARC
(4,1),-2.04305 # DEPENDENCYPART_ARC
(4,2),-1.28968 # DEPENDENCYPART_ARC
(4,3),1.72864 # DEPENDENCYPART_ARC
(4,5),1.05353 # DEPENDENCYPART_ARC
(4,6),-1.04461 # DEPENDENCYPART_ARC
(4,7),-0.961552 # DEPENDENCYPART_ARC
(4,9),-1.31862 # DEPENDENCYPART_ARC
(4,12),-1.39384 # DEPENDENCYPART_ARC
(4,19),-1.07286 # DEPENDENCYPART_ARC
(4,22),-2.36394 # DEPENDENCYPART_ARC
(6,1),-1.87071 # DEPENDENCYPART_ARC
(6,2),-1.46044 # DEPENDENCYPART_ARC
(6,3),-0.151659 # DEPENDENCYPART_ARC
(6,4),0.265067 # DEPENDENCYPART_ARC
(6,5),-0.0258632 # DEPENDENCYPART_ARC
(6,7),-0.360379 # DEPENDENCYPART_ARC
(6,8),-1.36479 # DEPENDENCYPART_ARC
(6,9),-1.20599 # DEPENDENCYPART_ARC
(6,10),-1.57846 # DEPENDENCYPART_ARC
(6,12),-1.46165 # DEPENDENCYPART_ARC
(6,22),-2.74342 # DEPENDENCYPART_ARC
(7,1),-1.49534 # DEPENDENCYPART_ARC
(7,2),-0.634556 # DEPENDENCYPART_ARC
(7,3),-0.607597 # DEPENDENCYPART_ARC
(7,4),-0.453449 # DEPENDENCYPART_ARC
(7,6),0.787576 # DEPENDENCYPART_ARC
(7,8),0.80017 # DEPENDENCYPART_ARC
(7,9),0.206072 # DEPENDENCYPART_ARC
(7,10),-0.268309 # DEPENDENCYPART_ARC
(7,12),-0.671297 # DEPENDENCYPART_ARC
(7,13),-0.923038 # DEPENDENCYPART_ARC
(7,16),-1.25537 # DEPENDENCYPART_ARC
(7,17),-0.865195 # DEPENDENCYPART_ARC
(7,19),-1.05151 # DEPENDENCYPART_ARC
(7,21),-1.44775 # DEPENDENCYPART_ARC
(7,22),-0.719918 # DEPENDENCYPART_ARC
(8,9),-0.0598554 # DEPENDENCYPART_ARC
(8,13),-1.2872 # DEPENDENCYPART_ARC
(9,6),-1.60131 # DEPENDENCYPART_ARC
(9,10),0.802636 # DEPENDENCYPART_ARC
(9,11),-0.636493 # DEPENDENCYPART_ARC
(9,12),-1.0704 # DEPENDENCYPART_ARC
(9,13),-1.14068 # DEPENDENCYPART_ARC
(9,16),-2.12 # DEPENDENCYPART_ARC
(9,17),-1.30615 # DEPENDENCYPART_ARC
(9,19),-1.03599 # DEPENDENCYPART_ARC
(9,21),-1.87107 # DEPENDENCYPART_ARC
(9,22),-1.33944 # DEPENDENCYPART_ARC
(10,6),-2.21661 # DEPENDENCYPART_ARC
(10,7),-2.46447 # DEPENDENCYPART_ARC
(10,8),-1.7474 # DEPENDENCYPART_ARC
(10,9),-0.614877 # DEPENDENCYPART_ARC
(10,11),-0.0760099 # DEPENDENCYPART_ARC
(10,12),0.232934 # DEPENDENCYPART_ARC
(10,13),-0.650888 # DEPENDENCYPART_ARC
(10,14),-1.26332 # DEPENDENCYPART_ARC
(10,15),-0.819928 # DEPENDENCYPART_ARC
(10,16),-0.924411 # DEPENDENCYPART_ARC
(10,17),-1.11535 # DEPENDENCYPART_ARC
(10,19),-1.61529 # DEPENDENCYPART_ARC
(10,20),-2.40898 # DEPENDENCYPART_ARC
(10,21),-2.13232 # DEPENDENCYPART_ARC
(10,22),-1.76618 # DEPENDENCYPART_ARC
(11,13),-1.21409 # DEPENDENCYPART_ARC
(12,2),-2.11655 # DEPENDENCYPART_ARC
(12,7),-1.46294 # DEPENDENCYPART_ARC
(12,8),-1.53422 # DEPENDENCYPART_ARC
(12,9),-1.25267 # DEPENDENCYPART_ARC
(12,10),-0.644716 # DEPENDENCYPART_ARC
(12,11),1.38889 # DEPENDENCYPART_ARC
(12,13),0.373499 # DEPENDENCYPART_ARC
(12,14),-1.2954 # DEPENDENCYPART_ARC
(12,15),-1.25498 # DEPENDENCYPART_ARC
(12,16),-1.5394 # DEPENDENCYPART_ARC
(12,17),-0.877602 # DEPENDENCYPART_ARC
(12,19),-1.62696 # DEPENDENCYPART_ARC
(12,20),-2.07849 # DEPENDENCYPART_ARC
(12,21),-1.83892 # DEPENDENCYPART_ARC
(12,22),-1.26954 # DEPENDENCYPART_ARC
(13,10),-1.54561 # DEPENDENCYPART_ARC
(13,11),-1.4486 # DEPENDENCYPART_ARC
(13,12),-0.551607 # DEPENDENCYPART_ARC
(13,14),-0.00732945 # DEPENDENCYPART_ARC
(13,15),-0.150625 # DEPENDENCYPART_ARC
(13,16),-0.591933 # DEPENDENCYPART_ARC
(13,17),-1.34029 # DEPENDENCYPART_ARC
(13,19),-1.24281 # DEPENDENCYPART_ARC
(13,20),-2.67957 # DEPENDENCYPART_ARC
(13,21),-2.37099 # DEPENDENCYPART_ARC
(13,22),-1.76998 # DEPENDENCYPART_ARC
(14,15),-0.350894 # DEPENDENCYPART_ARC
(15,14),0.0651711 # DEPENDENCYPART_ARC
(15,16),-0.634398 # DEPENDENCYPART_ARC
(15,17),-0.795604 # DEPENDENCYPART_ARC
(15,21),-2.19234 # DEPENDENCYPART_ARC
(16,10),-1.09232 # DEPENDENCYPART_ARC
(16,11),-0.957422 # DEPENDENCYPART_ARC
(16,12),-0.966725 # DEPENDENCYPART_ARC
(16,13),-0.852253 # DEPENDENCYPART_ARC
(16,14),0.574237 # DEPENDENCYPART_ARC
(16,15),1.65133 # DEPENDENCYPART_ARC
(16,17),-0.301403 # DEPENDENCYPART_ARC
(16,19),-1.50019 # DEPENDENCYPART_ARC
(16,20),-1.78361 # DEPENDENCYPART_ARC
(16,21),-2.44281 # DEPENDENCYPART_ARC
(17,1),-1.96574 # DEPENDENCYPART_ARC
(17,2),-1.13077 # DEPENDENCYPART_ARC
(17,3),-1.07581 # DEPENDENCYPART_ARC
(17,4),-0.951146 # DEPENDENCYPART_ARC
(17,6),-0.87446 # DEPENDENCYPART_ARC
(17,7),-1.58615 # DEPENDENCYPART_ARC
(17,8),-1.66121 # DEPENDENCYPART_ARC
(17,9),-0.825206 # DEPENDENCYPART_ARC
(17,10),-1.3669 # DEPENDENCYPART_ARC
(17,11),-1.22065 # DEPENDENCYPART_ARC
(17,12),-0.382887 # DEPENDENCYPART_ARC
(17,13),-0.380079 # DEPENDENCYPART_ARC
(17,14),-0.960485 # DEPENDENCYPART_ARC
(17,15),-0.4273 # DEPENDENCYPART_ARC
(17,16),0.679071 # DEPENDENCYPART_ARC
(17,18),0.909942 # DEPENDENCYPART_ARC
(17,19),-0.280488 # DEPENDENCYPART_ARC
(17,20),-1.06151 # DEPENDENCYPART_ARC
(17,21),-1.13337 # DEPENDENCYPART_ARC
(17,22),-1.10669 # DEPENDENCYPART_ARC
(18,13),-1.02834 # DEPENDENCYPART_ARC
(18,20),-1.45862 # DEPENDENCYPART_ARC
(20,14),-1.86598 # DEPENDENCYPART_ARC
(20,15),-1.54411 # DEPENDENCYPART_ARC
(20,16),-1.8757 # DEPENDENCYPART_ARC
(20,17),-1.52957 # DEPENDENCYPART_ARC
(20,19),0.0963265 # DEPENDENCYPART_ARC
(20,21),-0.271595 # DEPENDENCYPART_ARC
(20,22),-1.45146 # DEPENDENCYPART_ARC
(21,1),-1.21774 # DEPENDENCYPART_ARC
(21,2),-1.8036 # DEPENDENCYPART_ARC
(21,4),-1.8914 # DEPENDENCYPART_ARC
(21,6),-1.82015 # DEPENDENCYPART_ARC
(21,7),-1.21794 # DEPENDENCYPART_ARC
(21,9),-1.29999 # DEPENDENCYPART_ARC
(21,10),-1.13786 # DEPENDENCYPART_ARC
(21,11),-1.48888 # DEPENDENCYPART_ARC
(21,12),-1.31001 # DEPENDENCYPART_ARC
(21,13),-0.75154 # DEPENDENCYPART_ARC
(21,14),-1.63416 # DEPENDENCYPART_ARC
(21,15),-1.57124 # DEPENDENCYPART_ARC
(21,16),-1.50066 # DEPENDENCYPART_ARC
(21,17),-0.866739 # DEPENDENCYPART_ARC
(21,19),0.0953955 # DEPENDENCYPART_ARC
(21,20),1.21514 # DEPENDENCYPART_ARC
(21,22),0.918418 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.0206341 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0836872 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0943342 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0856361 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0856243 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.101838 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0983459 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.103569 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.102141 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.164445 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.164477 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.162047 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.158728 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.156298 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.162048 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0042215 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.000760189 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.000760189 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0468934 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00585004 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0252881 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0252021 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0147251 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0308089 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0237759 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0137206 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.030069 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0151271 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0312935 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0608405 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00192434 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0155274 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.116243 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00257894 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0633964 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0179199 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.289673 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00803645 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.11671 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00598225 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0173283 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00812198 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0287634 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00304415 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.000934742 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00140608 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0591633 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.118453 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0112363 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00144951 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0652617 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00682738 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0301414 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0404343 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0216637 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.289833 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0121796 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0119238 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.117009 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0203358 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.148754 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0274552 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.112538 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0164504 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0790935 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.168244 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00623593 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.138197 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0154794 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0432056 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.000131774 # DEPENDENCYPART_SIBL
