# _root_ The Financial Times 100-share index shed 47.3 points to close at 2082.1 , down 4.5 % from the previous Friday and 6.8 % from Oct. 13 , when Wall Street 's plunge helped spark the current weakness in London .
#goldHeads=5,5,5,5,6,0,8,6,10,6,10,11,10,21,16,14,14,20,20,17,10,23,16,17,24,25,25,34,30,32,30,33,25,33,37,37,34,37,38,6,
#predictedHeads=5,5,5,5,6,0,8,6,10,6,10,11,10,10,16,14,14,21,21,21,17,23,21,14,24,25,25,34,30,32,30,33,25,33,37,37,34,37,38,6,
(0,2),-2.05936 # DEPENDENCYPART_ARC
(0,3),-2.28906 # DEPENDENCYPART_ARC
(0,5),-2.79152 # DEPENDENCYPART_ARC
(0,6),-1.79442 # DEPENDENCYPART_ARC
(0,10),-2.90321 # DEPENDENCYPART_ARC
(0,21),-2.69411 # DEPENDENCYPART_ARC
(0,33),-3.1274 # DEPENDENCYPART_ARC
(0,34),-3.22785 # DEPENDENCYPART_ARC
(2,1),-0.575564 # DEPENDENCYPART_ARC
(2,3),-0.618345 # DEPENDENCYPART_ARC
(2,4),-1.20992 # DEPENDENCYPART_ARC
(2,5),-1.71072 # DEPENDENCYPART_ARC
(2,6),-1.12132 # DEPENDENCYPART_ARC
(2,7),-1.99633 # DEPENDENCYPART_ARC
(2,40),-2.02526 # DEPENDENCYPART_ARC
(3,1),-0.397481 # DEPENDENCYPART_ARC
(3,2),0.669656 # DEPENDENCYPART_ARC
(3,4),-0.260877 # DEPENDENCYPART_ARC
(3,5),-1.30493 # DEPENDENCYPART_ARC
(3,6),-1.22617 # DEPENDENCYPART_ARC
(3,7),-1.93405 # DEPENDENCYPART_ARC
(3,8),-1.81831 # DEPENDENCYPART_ARC
(3,11),-1.49233 # DEPENDENCYPART_ARC
(3,13),-1.80895 # DEPENDENCYPART_ARC
(3,40),-2.02577 # DEPENDENCYPART_ARC
(4,1),-1.27983 # DEPENDENCYPART_ARC
(4,2),-0.922972 # DEPENDENCYPART_ARC
(4,3),-0.0905816 # DEPENDENCYPART_ARC
(4,5),-0.342033 # DEPENDENCYPART_ARC
(4,6),-0.863755 # DEPENDENCYPART_ARC
(4,7),-1.43288 # DEPENDENCYPART_ARC
(4,8),-1.55167 # DEPENDENCYPART_ARC
(4,10),-1.35411 # DEPENDENCYPART_ARC
(5,1),-0.325345 # DEPENDENCYPART_ARC
(5,2),-0.080355 # DEPENDENCYPART_ARC
(5,3),0.259452 # DEPENDENCYPART_ARC
(5,4),1.68277 # DEPENDENCYPART_ARC
(5,6),-0.225501 # DEPENDENCYPART_ARC
(5,7),-1.36761 # DEPENDENCYPART_ARC
(5,8),-1.43235 # DEPENDENCYPART_ARC
(5,9),-1.41598 # DEPENDENCYPART_ARC
(5,10),-1.40189 # DEPENDENCYPART_ARC
(5,12),-1.77024 # DEPENDENCYPART_ARC
(5,40),-2.53489 # DEPENDENCYPART_ARC
(6,1),-1.18751 # DEPENDENCYPART_ARC
(6,2),-0.671844 # DEPENDENCYPART_ARC
(6,3),-0.471111 # DEPENDENCYPART_ARC
(6,4),-0.810743 # DEPENDENCYPART_ARC
(6,5),0.6632 # DEPENDENCYPART_ARC
(6,7),0.361556 # DEPENDENCYPART_ARC
(6,8),0.438386 # DEPENDENCYPART_ARC
(6,9),-0.365398 # DEPENDENCYPART_ARC
(6,10),-0.212662 # DEPENDENCYPART_ARC
(6,11),-0.674205 # DEPENDENCYPART_ARC
(6,13),-0.570517 # DEPENDENCYPART_ARC
(6,14),-1.45689 # DEPENDENCYPART_ARC
(6,17),-1.43402 # DEPENDENCYPART_ARC
(6,21),-0.677231 # DEPENDENCYPART_ARC
(6,24),-1.73546 # DEPENDENCYPART_ARC
(6,27),-1.50985 # DEPENDENCYPART_ARC
(6,33),-1.14915 # DEPENDENCYPART_ARC
(6,40),-0.38766 # DEPENDENCYPART_ARC
(7,4),-1.4436 # DEPENDENCYPART_ARC
(7,5),-1.33359 # DEPENDENCYPART_ARC
(7,10),-1.06873 # DEPENDENCYPART_ARC
(7,12),-1.82268 # DEPENDENCYPART_ARC
(8,1),-1.76102 # DEPENDENCYPART_ARC
(8,2),-1.75915 # DEPENDENCYPART_ARC
(8,3),-1.64913 # DEPENDENCYPART_ARC
(8,4),-1.03499 # DEPENDENCYPART_ARC
(8,5),-1.34829 # DEPENDENCYPART_ARC
(8,6),-0.738147 # DEPENDENCYPART_ARC
(8,7),0.862295 # DEPENDENCYPART_ARC
(8,9),-0.0669935 # DEPENDENCYPART_ARC
(8,10),-0.712741 # DEPENDENCYPART_ARC
(8,11),-1.06987 # DEPENDENCYPART_ARC
(8,12),-1.62539 # DEPENDENCYPART_ARC
(8,13),-1.66966 # DEPENDENCYPART_ARC
(8,14),-1.63158 # DEPENDENCYPART_ARC
(8,15),-2.29677 # DEPENDENCYPART_ARC
(8,16),-1.66569 # DEPENDENCYPART_ARC
(8,17),-1.90736 # DEPENDENCYPART_ARC
(8,21),-1.22318 # DEPENDENCYPART_ARC
(8,40),-1.39801 # DEPENDENCYPART_ARC
(9,7),-1.02297 # DEPENDENCYPART_ARC
(9,8),-0.171866 # DEPENDENCYPART_ARC
(9,10),-0.422838 # DEPENDENCYPART_ARC
(9,11),-1.50595 # DEPENDENCYPART_ARC
(9,12),-1.6967 # DEPENDENCYPART_ARC
(10,2),-1.32876 # DEPENDENCYPART_ARC
(10,3),-1.21539 # DEPENDENCYPART_ARC
(10,4),-1.48531 # DEPENDENCYPART_ARC
(10,5),-1.36628 # DEPENDENCYPART_ARC
(10,7),-1.3479 # DEPENDENCYPART_ARC
(10,8),-0.700618 # DEPENDENCYPART_ARC
(10,9),1.18046 # DEPENDENCYPART_ARC
(10,11),0.77039 # DEPENDENCYPART_ARC
(10,12),-0.700125 # DEPENDENCYPART_ARC
(10,13),-0.809487 # DEPENDENCYPART_ARC
(10,14),-1.30636 # DEPENDENCYPART_ARC
(10,16),-1.91952 # DEPENDENCYPART_ARC
(10,17),-1.51879 # DEPENDENCYPART_ARC
(10,18),-1.74225 # DEPENDENCYPART_ARC
(10,19),-1.77668 # DEPENDENCYPART_ARC
(10,20),-2.00585 # DEPENDENCYPART_ARC
(10,21),-1.15126 # DEPENDENCYPART_ARC
(10,23),-2.27308 # DEPENDENCYPART_ARC
(10,24),-1.93242 # DEPENDENCYPART_ARC
(10,27),-1.71419 # DEPENDENCYPART_ARC
(10,34),-1.85527 # DEPENDENCYPART_ARC
(10,38),-2.54326 # DEPENDENCYPART_ARC
(10,40),-1.4027 # DEPENDENCYPART_ARC
(11,8),-1.56737 # DEPENDENCYPART_ARC
(11,9),-1.46251 # DEPENDENCYPART_ARC
(11,10),-0.467576 # DEPENDENCYPART_ARC
(11,12),0.306769 # DEPENDENCYPART_ARC
(11,13),-0.806258 # DEPENDENCYPART_ARC
(11,14),-1.53344 # DEPENDENCYPART_ARC
(11,15),-1.65653 # DEPENDENCYPART_ARC
(11,16),-1.76805 # DEPENDENCYPART_ARC
(11,17),-1.67504 # DEPENDENCYPART_ARC
(11,21),-1.258 # DEPENDENCYPART_ARC
(12,11),-0.156748 # DEPENDENCYPART_ARC
(12,13),-0.182591 # DEPENDENCYPART_ARC
(12,14),-1.37151 # DEPENDENCYPART_ARC
(12,15),-2.04049 # DEPENDENCYPART_ARC
(12,16),-1.9627 # DEPENDENCYPART_ARC
(12,20),-2.1265 # DEPENDENCYPART_ARC
(14,3),-2.09723 # DEPENDENCYPART_ARC
(14,5),-2.14701 # DEPENDENCYPART_ARC
(14,8),-2.09706 # DEPENDENCYPART_ARC
(14,9),-2.09151 # DEPENDENCYPART_ARC
(14,11),-1.81904 # DEPENDENCYPART_ARC
(14,13),-0.160494 # DEPENDENCYPART_ARC
(14,15),0.276741 # DEPENDENCYPART_ARC
(14,16),-0.255625 # DEPENDENCYPART_ARC
(14,17),-0.61771 # DEPENDENCYPART_ARC
(14,19),-0.953328 # DEPENDENCYPART_ARC
(14,21),-0.516248 # DEPENDENCYPART_ARC
(14,24),-0.931588 # DEPENDENCYPART_ARC
(15,12),-1.69805 # DEPENDENCYPART_ARC
(15,14),-0.121012 # DEPENDENCYPART_ARC
(15,16),-0.258808 # DEPENDENCYPART_ARC
(15,17),-1.18681 # DEPENDENCYPART_ARC
(15,20),-1.51549 # DEPENDENCYPART_ARC
(16,1),-3.11142 # DEPENDENCYPART_ARC
(16,7),-1.8195 # DEPENDENCYPART_ARC
