# _root_ `` It 's impossible to overstate how much this means to the families of these patients , '' said Samuel Broder , director of the National Cancer Institute and a main developer of AZT .
#goldHeads=19,3,19,3,6,3,8,10,10,6,10,13,11,13,16,14,19,19,0,21,19,21,29,23,28,28,28,24,21,32,32,29,32,33,19,
#predictedHeads=19,3,19,3,6,3,10,7,10,6,10,13,11,13,16,14,19,19,0,21,19,21,21,23,28,28,28,29,24,32,32,29,32,33,19,
(0,3),-2.05126 # DEPENDENCYPART_ARC
(0,6),-2.91942 # DEPENDENCYPART_ARC
(0,7),-2.30108 # DEPENDENCYPART_ARC
(0,8),-2.64349 # DEPENDENCYPART_ARC
(0,10),-3.09136 # DEPENDENCYPART_ARC
(0,19),-1.54184 # DEPENDENCYPART_ARC
(2,6),-1.14456 # DEPENDENCYPART_ARC
(3,1),-0.625373 # DEPENDENCYPART_ARC
(3,2),0.840422 # DEPENDENCYPART_ARC
(3,4),0.792199 # DEPENDENCYPART_ARC
(3,5),-0.628491 # DEPENDENCYPART_ARC
(3,6),-0.435449 # DEPENDENCYPART_ARC
(3,8),-1.21773 # DEPENDENCYPART_ARC
(3,10),-1.00623 # DEPENDENCYPART_ARC
(3,11),-1.32419 # DEPENDENCYPART_ARC
(3,13),-1.12996 # DEPENDENCYPART_ARC
(3,17),-1.53212 # DEPENDENCYPART_ARC
(3,18),-0.422359 # DEPENDENCYPART_ARC
(3,19),-2.47156 # DEPENDENCYPART_ARC
(3,22),-2.08257 # DEPENDENCYPART_ARC
(3,29),-1.25564 # DEPENDENCYPART_ARC
(3,35),-1.1224 # DEPENDENCYPART_ARC
(4,1),-1.16191 # DEPENDENCYPART_ARC
(4,2),-1.12335 # DEPENDENCYPART_ARC
(4,5),0.166384 # DEPENDENCYPART_ARC
(4,6),-0.533502 # DEPENDENCYPART_ARC
(4,8),-1.17366 # DEPENDENCYPART_ARC
(4,10),-1.19459 # DEPENDENCYPART_ARC
(4,14),-1.25966 # DEPENDENCYPART_ARC
(4,19),-1.68027 # DEPENDENCYPART_ARC
(5,4),-0.137728 # DEPENDENCYPART_ARC
(5,6),-0.328098 # DEPENDENCYPART_ARC
(5,11),-1.53556 # DEPENDENCYPART_ARC
(5,13),-2.253 # DEPENDENCYPART_ARC
(6,1),-1.17627 # DEPENDENCYPART_ARC
(6,2),-1.35587 # DEPENDENCYPART_ARC
(6,3),-1.21219 # DEPENDENCYPART_ARC
(6,4),-0.95468 # DEPENDENCYPART_ARC
(6,5),1.15389 # DEPENDENCYPART_ARC
(6,7),-0.0310447 # DEPENDENCYPART_ARC
(6,8),-0.55017 # DEPENDENCYPART_ARC
(6,9),-0.866975 # DEPENDENCYPART_ARC
(6,10),-0.741613 # DEPENDENCYPART_ARC
(6,11),-1.12848 # DEPENDENCYPART_ARC
(6,13),-1.01067 # DEPENDENCYPART_ARC
(6,14),-1.59239 # DEPENDENCYPART_ARC
(6,16),-1.41044 # DEPENDENCYPART_ARC
(6,17),-1.34253 # DEPENDENCYPART_ARC
(6,18),-1.05711 # DEPENDENCYPART_ARC
