# _root_ The company 's conduct `` does not even raise a question of wrongful corporate intent , ratification or cover-up , '' GE 's brief asserts .
#goldHeads=2,4,2,6,6,25,6,6,6,11,9,11,18,18,18,18,18,12,18,25,25,24,22,25,0,25,
#predictedHeads=2,4,2,6,6,25,6,6,6,11,9,11,15,15,18,18,18,12,18,25,25,24,22,25,0,25,
(0,2),-2.07314 # DEPENDENCYPART_ARC
(0,4),-2.5115 # DEPENDENCYPART_ARC
(0,6),-2.18212 # DEPENDENCYPART_ARC
(0,7),-2.51033 # DEPENDENCYPART_ARC
(0,9),-2.43777 # DEPENDENCYPART_ARC
(0,25),-1.8357 # DEPENDENCYPART_ARC
(2,1),1.72555 # DEPENDENCYPART_ARC
(2,3),1.04879 # DEPENDENCYPART_ARC
(2,4),-0.950069 # DEPENDENCYPART_ARC
(2,5),-0.936185 # DEPENDENCYPART_ARC
(2,6),-0.775165 # DEPENDENCYPART_ARC
(2,7),-1.28049 # DEPENDENCYPART_ARC
(2,8),-1.21235 # DEPENDENCYPART_ARC
(2,9),-1.33646 # DEPENDENCYPART_ARC
(2,26),-1.86773 # DEPENDENCYPART_ARC
(4,1),-0.929515 # DEPENDENCYPART_ARC
(4,2),0.0414523 # DEPENDENCYPART_ARC
(4,3),-0.115102 # DEPENDENCYPART_ARC
(4,5),-0.174092 # DEPENDENCYPART_ARC
(4,6),-0.70577 # DEPENDENCYPART_ARC
(4,7),-1.26471 # DEPENDENCYPART_ARC
(4,8),-1.36925 # DEPENDENCYPART_ARC
(4,9),-1.49753 # DEPENDENCYPART_ARC
(4,11),-1.18724 # DEPENDENCYPART_ARC
(4,12),-1.27233 # DEPENDENCYPART_ARC
(4,16),-1.72547 # DEPENDENCYPART_ARC
(4,20),-1.86304 # DEPENDENCYPART_ARC
(4,26),-1.9603 # DEPENDENCYPART_ARC
(6,1),-1.00469 # DEPENDENCYPART_ARC
(6,2),-0.666147 # DEPENDENCYPART_ARC
(6,4),-0.339271 # DEPENDENCYPART_ARC
(6,5),0.735479 # DEPENDENCYPART_ARC
(6,7),1.21777 # DEPENDENCYPART_ARC
(6,8),0.204232 # DEPENDENCYPART_ARC
(6,9),0.260926 # DEPENDENCYPART_ARC
(6,11),-0.224814 # DEPENDENCYPART_ARC
(6,12),-0.879455 # DEPENDENCYPART_ARC
(6,13),-0.688885 # DEPENDENCYPART_ARC
(6,14),-0.810227 # DEPENDENCYPART_ARC
(6,15),-0.557538 # DEPENDENCYPART_ARC
(6,16),-1.10302 # DEPENDENCYPART_ARC
(6,18),-0.783627 # DEPENDENCYPART_ARC
(6,19),-1.6974 # DEPENDENCYPART_ARC
(6,20),-1.63035 # DEPENDENCYPART_ARC
(6,21),-0.218451 # DEPENDENCYPART_ARC
(6,25),-1.11209 # DEPENDENCYPART_ARC
(6,26),-1.05927 # DEPENDENCYPART_ARC
(7,2),-1.48601 # DEPENDENCYPART_ARC
(7,4),-1.31716 # DEPENDENCYPART_ARC
(7,5),-1.29752 # DEPENDENCYPART_ARC
(7,6),-0.168388 # DEPENDENCYPART_ARC
(7,8),0.421175 # DEPENDENCYPART_ARC
(7,9),-0.720664 # DEPENDENCYPART_ARC
(7,11),-1.1444 # DEPENDENCYPART_ARC
(7,12),-1.05378 # DEPENDENCYPART_ARC
(7,18),-1.08235 # DEPENDENCYPART_ARC
(8,2),-1.55441 # DEPENDENCYPART_ARC
(8,4),-1.52166 # DEPENDENCYPART_ARC
(8,6),-1.21245 # DEPENDENCYPART_ARC
(8,7),-0.287896 # DEPENDENCYPART_ARC
(8,9),-0.467875 # DEPENDENCYPART_ARC
(8,11),-1.60821 # DEPENDENCYPART_ARC
(9,2),-1.20819 # DEPENDENCYPART_ARC
(9,4),-1.09995 # DEPENDENCYPART_ARC
(9,5),-0.888934 # DEPENDENCYPART_ARC
(9,6),-1.13418 # DEPENDENCYPART_ARC
(9,7),-0.478897 # DEPENDENCYPART_ARC
(9,8),0.527125 # DEPENDENCYPART_ARC
(9,10),0.0666034 # DEPENDENCYPART_ARC
(9,11),0.285255 # DEPENDENCYPART_ARC
(9,12),-0.82253 # DEPENDENCYPART_ARC
(9,13),-1.06594 # DEPENDENCYPART_ARC
(9,14),-1.17255 # DEPENDENCYPART_ARC
(9,15),-0.752544 # DEPENDENCYPART_ARC
(9,16),-1.16165 # DEPENDENCYPART_ARC
(9,17),-1.77314 # DEPENDENCYPART_ARC
(9,18),-1.40403 # DEPENDENCYPART_ARC
(9,19),-1.95998 # DEPENDENCYPART_ARC
(9,20),-1.70154 # DEPENDENCYPART_ARC
(9,21),-1.07953 # DEPENDENCYPART_ARC
(9,24),-1.53126 # DEPENDENCYPART_ARC
(9,25),-1.61419 # DEPENDENCYPART_ARC
(9,26),-1.67297 # DEPENDENCYPART_ARC
(10,9),-0.0758869 # DEPENDENCYPART_ARC
(10,12),-1.11519 # DEPENDENCYPART_ARC
(11,2),-2.02298 # DEPENDENCYPART_ARC
(11,5),-1.73835 # DEPENDENCYPART_ARC
(11,7),-1.47042 # DEPENDENCYPART_ARC
(11,8),-1.25937 # DEPENDENCYPART_ARC
(11,9),-0.891923 # DEPENDENCYPART_ARC
(11,10),1.15799 # DEPENDENCYPART_ARC
(11,12),0.527689 # DEPENDENCYPART_ARC
(11,13),-0.786014 # DEPENDENCYPART_ARC
(11,14),-0.937894 # DEPENDENCYPART_ARC
(11,15),-1.13081 # DEPENDENCYPART_ARC
(11,16),-1.3555 # DEPENDENCYPART_ARC
(11,17),-1.664 # DEPENDENCYPART_ARC
(11,18),-1.05683 # DEPENDENCYPART_ARC
(11,19),-1.70278 # DEPENDENCYPART_ARC
(11,20),-1.387 # DEPENDENCYPART_ARC
(11,21),-0.952761 # DEPENDENCYPART_ARC
(11,22),-1.88832 # DEPENDENCYPART_ARC
(11,24),-1.94357 # DEPENDENCYPART_ARC
(11,25),-1.45651 # DEPENDENCYPART_ARC
(11,26),-0.648894 # DEPENDENCYPART_ARC
(12,10),-1.16651 # DEPENDENCYPART_ARC
(12,13),0.150932 # DEPENDENCYPART_ARC
(12,14),-0.740827 # DEPENDENCYPART_ARC
(12,15),-0.631582 # DEPENDENCYPART_ARC
(12,16),-1.23257 # DEPENDENCYPART_ARC
(12,17),-1.81643 # DEPENDENCYPART_ARC
(12,18),-1.53857 # DEPENDENCYPART_ARC
(12,19),-2.37333 # DEPENDENCYPART_ARC
(12,21),-1.21519 # DEPENDENCYPART_ARC
(12,22),-2.37222 # DEPENDENCYPART_ARC
(12,24),-2.21907 # DEPENDENCYPART_ARC
(12,25),-1.70393 # DEPENDENCYPART_ARC
(13,4),-1.96384 # DEPENDENCYPART_ARC
(13,7),-1.99956 # DEPENDENCYPART_ARC
(13,8),-1.99248 # DEPENDENCYPART_ARC
(13,11),-1.55282 # DEPENDENCYPART_ARC
