# _root_ Two old friends , George Bush and Deng Xiaoping , are trying to limit further damage to U.S.-China ties .
#goldHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
#predictedHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
(0,1),-1.55828 # DEPENDENCYPART_ARC
(0,3),-2.88536 # DEPENDENCYPART_ARC
(0,7),-2.90736 # DEPENDENCYPART_ARC
(0,9),-3.74021 # DEPENDENCYPART_ARC
(0,11),-1.4206 # DEPENDENCYPART_ARC
(0,12),-2.3424 # DEPENDENCYPART_ARC
(0,14),-2.75443 # DEPENDENCYPART_ARC
(1,2),0.00798638 # DEPENDENCYPART_ARC
(1,4),-0.959457 # DEPENDENCYPART_ARC
(1,5),-1.76708 # DEPENDENCYPART_ARC
(1,6),-1.85803 # DEPENDENCYPART_ARC
(1,7),-1.10745 # DEPENDENCYPART_ARC
(1,9),-2.03093 # DEPENDENCYPART_ARC
(1,10),-1.34937 # DEPENDENCYPART_ARC
(1,12),-1.55993 # DEPENDENCYPART_ARC
(2,1),-0.249286 # DEPENDENCYPART_ARC
(2,3),-0.600384 # DEPENDENCYPART_ARC
(2,4),-1.25166 # DEPENDENCYPART_ARC
(2,5),-1.99779 # DEPENDENCYPART_ARC
(2,7),-1.61199 # DEPENDENCYPART_ARC
(3,1),-0.246523 # DEPENDENCYPART_ARC
(3,2),1.44505 # DEPENDENCYPART_ARC
(3,4),0.363294 # DEPENDENCYPART_ARC
(3,5),-1.04776 # DEPENDENCYPART_ARC
(3,6),-1.55542 # DEPENDENCYPART_ARC
(3,7),-1.17117 # DEPENDENCYPART_ARC
(3,8),-1.62189 # DEPENDENCYPART_ARC
(3,9),-1.69279 # DEPENDENCYPART_ARC
(3,10),-0.787253 # DEPENDENCYPART_ARC
(3,11),-1.61553 # DEPENDENCYPART_ARC
(3,12),-1.8343 # DEPENDENCYPART_ARC
(3,13),-1.41442 # DEPENDENCYPART_ARC
(3,14),-1.87662 # DEPENDENCYPART_ARC
(3,15),-1.58726 # DEPENDENCYPART_ARC
(3,19),-1.88241 # DEPENDENCYPART_ARC
(3,20),-1.64209 # DEPENDENCYPART_ARC
(5,1),-2.85915 # DEPENDENCYPART_ARC
(5,2),-2.78881 # DEPENDENCYPART_ARC
(5,3),-2.22408 # DEPENDENCYPART_ARC
(5,4),-1.10054 # DEPENDENCYPART_ARC
(5,6),-0.678309 # DEPENDENCYPART_ARC
(5,7),-1.30289 # DEPENDENCYPART_ARC
(5,9),-1.98626 # DEPENDENCYPART_ARC
(5,10),-1.71991 # DEPENDENCYPART_ARC
(5,11),-1.96405 # DEPENDENCYPART_ARC
(6,2),-2.22099 # DEPENDENCYPART_ARC
(6,3),-2.24822 # DEPENDENCYPART_ARC
(6,4),-1.7532 # DEPENDENCYPART_ARC
(6,5),0.993823 # DEPENDENCYPART_ARC
(6,7),-0.623056 # DEPENDENCYPART_ARC
(6,8),-1.24107 # DEPENDENCYPART_ARC
(6,9),-1.71371 # DEPENDENCYPART_ARC
(6,10),-1.58637 # DEPENDENCYPART_ARC
(6,11),-2.16476 # DEPENDENCYPART_ARC
(7,1),-1.52961 # DEPENDENCYPART_ARC
(7,2),-1.49267 # DEPENDENCYPART_ARC
(7,3),-0.794699 # DEPENDENCYPART_ARC
(7,4),-0.389484 # DEPENDENCYPART_ARC
(7,5),-0.196444 # DEPENDENCYPART_ARC
(7,6),2.05759 # DEPENDENCYPART_ARC
(7,8),1.74289 # DEPENDENCYPART_ARC
(7,9),0.103428 # DEPENDENCYPART_ARC
(7,10),-1.18088 # DEPENDENCYPART_ARC
(7,11),-1.56234 # DEPENDENCYPART_ARC
(7,12),-2.35814 # DEPENDENCYPART_ARC
(7,14),-2.50155 # DEPENDENCYPART_ARC
(7,15),-2.08582 # DEPENDENCYPART_ARC
(7,16),-2.03891 # DEPENDENCYPART_ARC
(7,19),-2.35319 # DEPENDENCYPART_ARC
(7,20),-2.08704 # DEPENDENCYPART_ARC
(8,9),-0.934891 # DEPENDENCYPART_ARC
(8,11),-2.07878 # DEPENDENCYPART_ARC
(9,2),-2.04793 # DEPENDENCYPART_ARC
(9,3),-2.14041 # DEPENDENCYPART_ARC
(9,4),-1.3633 # DEPENDENCYPART_ARC
(9,5),-0.111596 # DEPENDENCYPART_ARC
(9,6),-0.923177 # DEPENDENCYPART_ARC
(9,7),-0.162813 # DEPENDENCYPART_ARC
(9,8),1.49792 # DEPENDENCYPART_ARC
(9,10),0.150533 # DEPENDENCYPART_ARC
(9,11),-1.70909 # DEPENDENCYPART_ARC
(9,12),-2.23232 # DEPENDENCYPART_ARC
(9,14),-2.41046 # DEPENDENCYPART_ARC
(9,16),-1.69618 # DEPENDENCYPART_ARC
(9,20),-2.13692 # DEPENDENCYPART_ARC
(11,1),-0.816991 # DEPENDENCYPART_ARC
(11,2),-1.09047 # DEPENDENCYPART_ARC
(11,3),-0.43409 # DEPENDENCYPART_ARC
(11,4),-1.2961 # DEPENDENCYPART_ARC
(11,5),-1.69737 # DEPENDENCYPART_ARC
(11,6),-1.55657 # DEPENDENCYPART_ARC
(11,7),-0.766663 # DEPENDENCYPART_ARC
(11,8),-1.42959 # DEPENDENCYPART_ARC
(11,9),-1.02385 # DEPENDENCYPART_ARC
(11,10),0.828987 # DEPENDENCYPART_ARC
(11,12),1.32224 # DEPENDENCYPART_ARC
(11,13),-0.586391 # DEPENDENCYPART_ARC
(11,14),-0.643535 # DEPENDENCYPART_ARC
(11,15),-1.05518 # DEPENDENCYPART_ARC
(11,16),-0.896219 # DEPENDENCYPART_ARC
(11,17),-1.03327 # DEPENDENCYPART_ARC
(11,19),-1.34231 # DEPENDENCYPART_ARC
(11,20),0.00923822 # DEPENDENCYPART_ARC
(12,3),-1.69371 # DEPENDENCYPART_ARC
(12,7),-2.10726 # DEPENDENCYPART_ARC
