# _root_ `` We are still only half way through the turnaround of this company , and there are many more things to do , '' President Kume says .
#goldHeads=27,3,15,3,7,7,8,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
#predictedHeads=27,3,15,3,7,7,3,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
(0,3),-1.88974 # DEPENDENCYPART_ARC
(0,15),-2.28211 # DEPENDENCYPART_ARC
(0,17),-2.64222 # DEPENDENCYPART_ARC
(0,27),0.308876 # DEPENDENCYPART_ARC
(2,3),-0.28396 # DEPENDENCYPART_ARC
(3,1),-0.435419 # DEPENDENCYPART_ARC
(3,2),1.23821 # DEPENDENCYPART_ARC
(3,4),0.935314 # DEPENDENCYPART_ARC
(3,5),-0.427164 # DEPENDENCYPART_ARC
(3,6),-0.230595 # DEPENDENCYPART_ARC
(3,7),-0.20585 # DEPENDENCYPART_ARC
(3,8),-0.731261 # DEPENDENCYPART_ARC
(3,10),-0.874989 # DEPENDENCYPART_ARC
(3,11),-1.45448 # DEPENDENCYPART_ARC
(3,13),-1.3264 # DEPENDENCYPART_ARC
(3,14),-1.29888 # DEPENDENCYPART_ARC
(3,15),-0.841545 # DEPENDENCYPART_ARC
(3,17),-1.7178 # DEPENDENCYPART_ARC
(3,22),-2.40759 # DEPENDENCYPART_ARC
(3,23),-2.3883 # DEPENDENCYPART_ARC
(3,24),-0.595351 # DEPENDENCYPART_ARC
(3,27),-2.37269 # DEPENDENCYPART_ARC
(3,28),-1.06215 # DEPENDENCYPART_ARC
(4,2),-1.53213 # DEPENDENCYPART_ARC
(4,3),-0.282665 # DEPENDENCYPART_ARC
(4,5),0.0518467 # DEPENDENCYPART_ARC
(4,6),-0.72393 # DEPENDENCYPART_ARC
(4,7),-1.07458 # DEPENDENCYPART_ARC
(4,8),-1.23472 # DEPENDENCYPART_ARC
(4,10),-1.40408 # DEPENDENCYPART_ARC
(4,11),-1.46226 # DEPENDENCYPART_ARC
(4,14),-1.40411 # DEPENDENCYPART_ARC
(4,18),-1.95617 # DEPENDENCYPART_ARC
(5,3),-1.30594 # DEPENDENCYPART_ARC
(5,4),-0.327962 # DEPENDENCYPART_ARC
(5,6),0.110556 # DEPENDENCYPART_ARC
(5,7),-0.869801 # DEPENDENCYPART_ARC
(5,8),-1.25082 # DEPENDENCYPART_ARC
(5,10),-1.4031 # DEPENDENCYPART_ARC
(5,11),-1.54758 # DEPENDENCYPART_ARC
(6,2),-1.52744 # DEPENDENCYPART_ARC
(6,4),-0.809736 # DEPENDENCYPART_ARC
(6,5),0.456496 # DEPENDENCYPART_ARC
(6,7),-0.597082 # DEPENDENCYPART_ARC
(6,8),-1.28305 # DEPENDENCYPART_ARC
(6,10),-1.75209 # DEPENDENCYPART_ARC
(7,1),-1.41325 # DEPENDENCYPART_ARC
(7,2),-1.14662 # DEPENDENCYPART_ARC
(7,3),-1.06079 # DEPENDENCYPART_ARC
(7,4),-0.562572 # DEPENDENCYPART_ARC
(7,5),0.0783388 # DEPENDENCYPART_ARC
(7,6),1.52618 # DEPENDENCYPART_ARC
(7,8),0.138297 # DEPENDENCYPART_ARC
(7,10),-1.47311 # DEPENDENCYPART_ARC
(7,11),-1.38947 # DEPENDENCYPART_ARC
(7,13),-1.64982 # DEPENDENCYPART_ARC
(7,14),-1.85327 # DEPENDENCYPART_ARC
(7,17),-2.22482 # DEPENDENCYPART_ARC
(7,20),-2.00689 # DEPENDENCYPART_ARC
(7,23),-2.40625 # DEPENDENCYPART_ARC
(7,24),-1.5419 # DEPENDENCYPART_ARC
(7,27),-2.32418 # DEPENDENCYPART_ARC
(8,5),-1.38234 # DEPENDENCYPART_ARC
(8,6),-1.65201 # DEPENDENCYPART_ARC
(8,7),-0.668452 # DEPENDENCYPART_ARC
(8,9),-0.149762 # DEPENDENCYPART_ARC
(8,10),-0.17929 # DEPENDENCYPART_ARC
(8,11),-1.37838 # DEPENDENCYPART_ARC
(8,13),-1.18072 # DEPENDENCYPART_ARC
(8,15),-1.83082 # DEPENDENCYPART_ARC
(9,11),-1.24637 # DEPENDENCYPART_ARC
(10,1),-1.84686 # DEPENDENCYPART_ARC
(10,3),-1.78277 # DEPENDENCYPART_ARC
(10,4),-1.83005 # DEPENDENCYPART_ARC
(10,5),-1.49702 # DEPENDENCYPART_ARC
(10,6),-1.71639 # DEPENDENCYPART_ARC
(10,7),-1.62842 # DEPENDENCYPART_ARC
(10,8),-1.10509 # DEPENDENCYPART_ARC
(10,9),1.18292 # DEPENDENCYPART_ARC
(10,11),0.636314 # DEPENDENCYPART_ARC
(10,12),-1.24434 # DEPENDENCYPART_ARC
(10,13),-1.03295 # DEPENDENCYPART_ARC
(10,14),-1.51032 # DEPENDENCYPART_ARC
(10,15),-1.31038 # DEPENDENCYPART_ARC
(10,17),-1.75083 # DEPENDENCYPART_ARC
(10,18),-1.66435 # DEPENDENCYPART_ARC
(10,20),-1.48248 # DEPENDENCYPART_ARC
(10,22),-2.0908 # DEPENDENCYPART_ARC
(10,23),-1.93784 # DEPENDENCYPART_ARC
(10,24),-1.14269 # DEPENDENCYPART_ARC
(10,27),-2.00664 # DEPENDENCYPART_ARC
(10,28),-1.77486 # DEPENDENCYPART_ARC
(11,9),-1.62326 # DEPENDENCYPART_ARC
(11,12),-0.00546461 # DEPENDENCYPART_ARC
(11,13),0.0285891 # DEPENDENCYPART_ARC
(11,14),-1.31503 # DEPENDENCYPART_ARC
(11,15),-1.82557 # DEPENDENCYPART_ARC
(11,17),-2.19837 # DEPENDENCYPART_ARC
(11,18),-2.00062 # DEPENDENCYPART_ARC
(11,20),-2.63775 # DEPENDENCYPART_ARC
(13,3),-1.234 # DEPENDENCYPART_ARC
(13,6),-2.28952 # DEPENDENCYPART_ARC
(13,9),-1.04979 # DEPENDENCYPART_ARC
(13,10),-1.02495 # DEPENDENCYPART_ARC
(13,11),-0.770692 # DEPENDENCYPART_ARC
(13,12),1.39175 # DEPENDENCYPART_ARC
(13,14),-0.407152 # DEPENDENCYPART_ARC
(13,15),-1.87199 # DEPENDENCYPART_ARC
(13,17),-2.0734 # DEPENDENCYPART_ARC
(13,18),-2.10452 # DEPENDENCYPART_ARC
(13,20),-1.92069 # DEPENDENCYPART_ARC
(13,23),-2.0457 # DEPENDENCYPART_ARC
