# _root_ `` The price of poker has gone up , '' crows Charles M. Neinas , the College Football Association 's executive director .
#goldHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
#predictedHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
(0,3),-2.49592 # DEPENDENCYPART_ARC
(0,6),-1.81409 # DEPENDENCYPART_ARC
(0,7),-2.60162 # DEPENDENCYPART_ARC
(0,11),-2.39254 # DEPENDENCYPART_ARC
(2,4),-1.23061 # DEPENDENCYPART_ARC
(2,7),-1.60138 # DEPENDENCYPART_ARC
(2,9),-1.46666 # DEPENDENCYPART_ARC
(2,10),-1.81316 # DEPENDENCYPART_ARC
(3,1),-0.844182 # DEPENDENCYPART_ARC
(3,2),1.18473 # DEPENDENCYPART_ARC
(3,4),0.531271 # DEPENDENCYPART_ARC
(3,5),-0.876964 # DEPENDENCYPART_ARC
(3,6),-0.534596 # DEPENDENCYPART_ARC
(3,7),-1.01614 # DEPENDENCYPART_ARC
(3,8),-1.15672 # DEPENDENCYPART_ARC
(3,9),-1.90359 # DEPENDENCYPART_ARC
(3,10),-1.50003 # DEPENDENCYPART_ARC
(3,11),-2.15092 # DEPENDENCYPART_ARC
(3,14),-1.66457 # DEPENDENCYPART_ARC
(3,15),-2.13034 # DEPENDENCYPART_ARC
(3,22),-1.98842 # DEPENDENCYPART_ARC
(3,23),-2.12744 # DEPENDENCYPART_ARC
(4,1),-1.51705 # DEPENDENCYPART_ARC
(4,2),-1.50466 # DEPENDENCYPART_ARC
(4,3),-0.571583 # DEPENDENCYPART_ARC
(4,5),0.751391 # DEPENDENCYPART_ARC
(4,6),-1.1108 # DEPENDENCYPART_ARC
(4,7),-1.58013 # DEPENDENCYPART_ARC
(4,8),-1.81586 # DEPENDENCYPART_ARC
(4,9),-1.69877 # DEPENDENCYPART_ARC
(4,10),-1.92719 # DEPENDENCYPART_ARC
(4,11),-2.49988 # DEPENDENCYPART_ARC
(4,14),-3.15643 # DEPENDENCYPART_ARC
(5,1),-1.51085 # DEPENDENCYPART_ARC
(5,2),-1.34203 # DEPENDENCYPART_ARC
(5,3),-0.796625 # DEPENDENCYPART_ARC
(5,4),-0.160055 # DEPENDENCYPART_ARC
(5,6),-0.197227 # DEPENDENCYPART_ARC
(5,7),-1.23768 # DEPENDENCYPART_ARC
(5,8),-1.33257 # DEPENDENCYPART_ARC
(5,9),-2.1133 # DEPENDENCYPART_ARC
(5,10),-1.94876 # DEPENDENCYPART_ARC
(5,11),-2.54472 # DEPENDENCYPART_ARC
(6,1),-1.02561 # DEPENDENCYPART_ARC
(6,2),-1.10436 # DEPENDENCYPART_ARC
(6,3),-0.211164 # DEPENDENCYPART_ARC
(6,4),-0.588466 # DEPENDENCYPART_ARC
(6,5),0.977109 # DEPENDENCYPART_ARC
(6,7),1.46831 # DEPENDENCYPART_ARC
(6,8),-0.896255 # DEPENDENCYPART_ARC
(6,9),-1.40393 # DEPENDENCYPART_ARC
(6,10),-1.49113 # DEPENDENCYPART_ARC
(6,11),-2.08715 # DEPENDENCYPART_ARC
(6,14),-2.65474 # DEPENDENCYPART_ARC
(6,15),-2.39356 # DEPENDENCYPART_ARC
(6,23),-1.05118 # DEPENDENCYPART_ARC
(7,1),-1.82309 # DEPENDENCYPART_ARC
(7,3),-1.42503 # DEPENDENCYPART_ARC
(7,4),-1.3294 # DEPENDENCYPART_ARC
(7,5),-1.40811 # DEPENDENCYPART_ARC
(7,6),-1.16228 # DEPENDENCYPART_ARC
(7,8),0.57787 # DEPENDENCYPART_ARC
(7,9),-0.888723 # DEPENDENCYPART_ARC
(7,10),-1.32145 # DEPENDENCYPART_ARC
(7,11),-1.68473 # DEPENDENCYPART_ARC
(7,14),-2.21873 # DEPENDENCYPART_ARC
(7,15),-2.09854 # DEPENDENCYPART_ARC
(7,22),-2.0811 # DEPENDENCYPART_ARC
(7,23),-1.83097 # DEPENDENCYPART_ARC
(8,3),-1.37674 # DEPENDENCYPART_ARC
(8,4),-1.1772 # DEPENDENCYPART_ARC
(8,5),-1.1925 # DEPENDENCYPART_ARC
(8,6),-1.09038 # DEPENDENCYPART_ARC
(8,9),-0.180974 # DEPENDENCYPART_ARC
(8,10),-1.27521 # DEPENDENCYPART_ARC
(8,11),-1.34568 # DEPENDENCYPART_ARC
(8,14),-1.99805 # DEPENDENCYPART_ARC
(9,8),-0.0260649 # DEPENDENCYPART_ARC
(11,1),-1.04834 # DEPENDENCYPART_ARC
(11,3),-2.34722 # DEPENDENCYPART_ARC
(11,4),-1.71547 # DEPENDENCYPART_ARC
(11,5),-2.33228 # DEPENDENCYPART_ARC
(11,6),-1.23019 # DEPENDENCYPART_ARC
(11,7),-0.912372 # DEPENDENCYPART_ARC
(11,8),-1.52576 # DEPENDENCYPART_ARC
(11,9),-0.227512 # DEPENDENCYPART_ARC
(11,10),0.75322 # DEPENDENCYPART_ARC
(11,12),0.407264 # DEPENDENCYPART_ARC
(11,13),-0.167067 # DEPENDENCYPART_ARC
(11,14),-0.0769924 # DEPENDENCYPART_ARC
(11,15),-1.25092 # DEPENDENCYPART_ARC
(11,17),-1.89157 # DEPENDENCYPART_ARC
(11,18),-1.86393 # DEPENDENCYPART_ARC
(11,19),-1.55754 # DEPENDENCYPART_ARC
(11,21),-2.08146 # DEPENDENCYPART_ARC
(11,22),-1.84041 # DEPENDENCYPART_ARC
(11,23),-0.545217 # DEPENDENCYPART_ARC
(12,10),-2.26234 # DEPENDENCYPART_ARC
(12,13),-0.512774 # DEPENDENCYPART_ARC
(12,14),-1.55868 # DEPENDENCYPART_ARC
(12,15),-1.96776 # DEPENDENCYPART_ARC
(12,22),-2.59565 # DEPENDENCYPART_ARC
(13,9),-2.82081 # DEPENDENCYPART_ARC
(13,10),-2.5089 # DEPENDENCYPART_ARC
(13,12),0.196382 # DEPENDENCYPART_ARC
(13,14),-0.866861 # DEPENDENCYPART_ARC
(13,15),-1.85251 # DEPENDENCYPART_ARC
(13,19),-2.46371 # DEPENDENCYPART_ARC
(13,22),-2.69542 # DEPENDENCYPART_ARC
(14,3),-2.78075 # DEPENDENCYPART_ARC
