# _root_ `` We went to six companies over two days pitching the prospect , '' says Tim Parker , a Santa Fe exploration manager .
#goldHeads=3,3,15,3,6,4,3,9,7,3,12,10,3,3,0,17,15,17,23,23,23,23,17,15,
#predictedHeads=15,3,15,3,6,4,3,9,7,3,12,10,15,15,0,17,15,17,23,23,23,23,17,15,
(0,3),-2.08327 # DEPENDENCYPART_ARC
(0,4),-2.43252 # DEPENDENCYPART_ARC
(0,10),-2.74907 # DEPENDENCYPART_ARC
(0,15),-1.31068 # DEPENDENCYPART_ARC
(2,7),-1.33809 # DEPENDENCYPART_ARC
(3,1),-0.542904 # DEPENDENCYPART_ARC
(3,2),0.872053 # DEPENDENCYPART_ARC
(3,4),0.635086 # DEPENDENCYPART_ARC
(3,5),-0.630271 # DEPENDENCYPART_ARC
(3,6),-0.389153 # DEPENDENCYPART_ARC
(3,7),-0.512583 # DEPENDENCYPART_ARC
(3,8),-1.22658 # DEPENDENCYPART_ARC
(3,9),-1.11096 # DEPENDENCYPART_ARC
(3,10),-0.528032 # DEPENDENCYPART_ARC
(3,12),-1.49091 # DEPENDENCYPART_ARC
(3,13),-1.21119 # DEPENDENCYPART_ARC
(3,14),-1.06871 # DEPENDENCYPART_ARC
(3,15),-1.77562 # DEPENDENCYPART_ARC
(3,18),-1.78471 # DEPENDENCYPART_ARC
(3,23),-2.07064 # DEPENDENCYPART_ARC
(3,24),-1.86282 # DEPENDENCYPART_ARC
(4,5),-0.342379 # DEPENDENCYPART_ARC
(4,6),-0.671593 # DEPENDENCYPART_ARC
(4,7),-1.10349 # DEPENDENCYPART_ARC
(4,8),-1.52272 # DEPENDENCYPART_ARC
(4,9),-1.58026 # DEPENDENCYPART_ARC
(4,10),-1.50488 # DEPENDENCYPART_ARC
(4,12),-2.53164 # DEPENDENCYPART_ARC
(4,13),-1.07733 # DEPENDENCYPART_ARC
(5,4),0.0921589 # DEPENDENCYPART_ARC
(5,7),-1.23331 # DEPENDENCYPART_ARC
(5,8),-1.69795 # DEPENDENCYPART_ARC
