# _root_ The opening credits are being redone , Mr. Nelson said , `` to make Teddy 's situation clear to viewers who have not been with us since the beginning .
#goldHeads=3,3,4,0,4,5,10,9,10,6,10,6,14,6,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
#predictedHeads=3,3,4,0,4,5,10,9,10,4,10,10,14,10,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
(0,3),-2.31006 # DEPENDENCYPART_ARC
(0,4),-1.47967 # DEPENDENCYPART_ARC
(0,5),-2.57039 # DEPENDENCYPART_ARC
(0,10),-1.1926 # DEPENDENCYPART_ARC
(0,14),-2.58186 # DEPENDENCYPART_ARC
(1,2),-0.529026 # DEPENDENCYPART_ARC
(1,4),-1.40641 # DEPENDENCYPART_ARC
(2,1),0.177266 # DEPENDENCYPART_ARC
(2,3),-0.696582 # DEPENDENCYPART_ARC
(2,4),-0.839719 # DEPENDENCYPART_ARC
(2,5),-1.52654 # DEPENDENCYPART_ARC
(2,7),-2.4668 # DEPENDENCYPART_ARC
(2,10),-2.29745 # DEPENDENCYPART_ARC
(2,11),-2.16321 # DEPENDENCYPART_ARC
(2,12),-1.98781 # DEPENDENCYPART_ARC
(2,14),-2.42361 # DEPENDENCYPART_ARC
(2,18),-2.09505 # DEPENDENCYPART_ARC
(3,1),0.554124 # DEPENDENCYPART_ARC
(3,2),1.62912 # DEPENDENCYPART_ARC
(3,4),-0.580361 # DEPENDENCYPART_ARC
(3,5),-1.54586 # DEPENDENCYPART_ARC
(3,6),-1.64303 # DEPENDENCYPART_ARC
(3,7),-2.06845 # DEPENDENCYPART_ARC
(3,9),-2.04767 # DEPENDENCYPART_ARC
(3,11),-2.09929 # DEPENDENCYPART_ARC
(4,1),-1.13849 # DEPENDENCYPART_ARC
(4,2),-0.528083 # DEPENDENCYPART_ARC
(4,3),0.983832 # DEPENDENCYPART_ARC
(4,5),1.57484 # DEPENDENCYPART_ARC
(4,6),-0.469895 # DEPENDENCYPART_ARC
(4,7),-1.40357 # DEPENDENCYPART_ARC
(4,9),-1.95802 # DEPENDENCYPART_ARC
(4,10),-1.86537 # DEPENDENCYPART_ARC
(4,11),-2.01301 # DEPENDENCYPART_ARC
(4,12),-1.33667 # DEPENDENCYPART_ARC
(4,13),-1.80063 # DEPENDENCYPART_ARC
(4,14),-1.53607 # DEPENDENCYPART_ARC
(4,22),-1.53904 # DEPENDENCYPART_ARC
(4,30),0.0764154 # DEPENDENCYPART_ARC
(5,2),-1.91464 # DEPENDENCYPART_ARC
(5,3),-1.82281 # DEPENDENCYPART_ARC
(5,4),-1.34685 # DEPENDENCYPART_ARC
(5,6),0.552506 # DEPENDENCYPART_ARC
(5,7),-0.995271 # DEPENDENCYPART_ARC
(5,8),-1.70254 # DEPENDENCYPART_ARC
(5,9),-1.42865 # DEPENDENCYPART_ARC
(5,10),-1.68642 # DEPENDENCYPART_ARC
(5,11),-1.88221 # DEPENDENCYPART_ARC
(5,12),-1.48372 # DEPENDENCYPART_ARC
(5,13),-1.96847 # DEPENDENCYPART_ARC
(5,14),-1.51093 # DEPENDENCYPART_ARC
(5,17),-2.05066 # DEPENDENCYPART_ARC
(5,19),-2.17501 # DEPENDENCYPART_ARC
(5,22),-1.50627 # DEPENDENCYPART_ARC
(5,30),-1.89798 # DEPENDENCYPART_ARC
(6,1),-1.59039 # DEPENDENCYPART_ARC
(6,2),-0.597058 # DEPENDENCYPART_ARC
(6,3),-0.870902 # DEPENDENCYPART_ARC
(6,4),-0.850475 # DEPENDENCYPART_ARC
(6,5),0.711999 # DEPENDENCYPART_ARC
(6,7),-0.0972841 # DEPENDENCYPART_ARC
(6,8),-1.29062 # DEPENDENCYPART_ARC
(6,9),-1.74688 # DEPENDENCYPART_ARC
(6,10),-1.85913 # DEPENDENCYPART_ARC
(6,11),-1.86711 # DEPENDENCYPART_ARC
(6,12),-1.76013 # DEPENDENCYPART_ARC
(6,13),-1.98887 # DEPENDENCYPART_ARC
(6,14),-2.24531 # DEPENDENCYPART_ARC
(6,15),-1.95283 # DEPENDENCYPART_ARC
(6,17),-2.17291 # DEPENDENCYPART_ARC
(6,18),-1.8509 # DEPENDENCYPART_ARC
(6,19),-1.93326 # DEPENDENCYPART_ARC
(6,20),-2.02593 # DEPENDENCYPART_ARC
(6,22),-2.21741 # DEPENDENCYPART_ARC
(6,24),-2.29481 # DEPENDENCYPART_ARC
(8,5),-2.69264 # DEPENDENCYPART_ARC
(8,6),-2.12641 # DEPENDENCYPART_ARC
(8,7),-1.21286 # DEPENDENCYPART_ARC
(8,9),-0.684276 # DEPENDENCYPART_ARC
(8,10),-1.04105 # DEPENDENCYPART_ARC
(9,1),-2.29235 # DEPENDENCYPART_ARC
(9,2),-2.26288 # DEPENDENCYPART_ARC
(9,3),-2.71762 # DEPENDENCYPART_ARC
(9,5),-1.67019 # DEPENDENCYPART_ARC
(9,6),-1.4925 # DEPENDENCYPART_ARC
(9,7),-1.18814 # DEPENDENCYPART_ARC
(9,8),1.83244 # DEPENDENCYPART_ARC
(9,10),-0.205281 # DEPENDENCYPART_ARC
(9,11),-1.47179 # DEPENDENCYPART_ARC
(9,12),-2.02514 # DEPENDENCYPART_ARC
(9,14),-2.30066 # DEPENDENCYPART_ARC
(9,15),-1.69273 # DEPENDENCYPART_ARC
(9,17),-1.84005 # DEPENDENCYPART_ARC
(9,20),-1.83433 # DEPENDENCYPART_ARC
(10,2),-2.48698 # DEPENDENCYPART_ARC
(10,3),-2.27956 # DEPENDENCYPART_ARC
(10,4),-1.87456 # DEPENDENCYPART_ARC
(10,5),-1.57268 # DEPENDENCYPART_ARC
(10,6),-2.07198 # DEPENDENCYPART_ARC
(10,7),-0.530995 # DEPENDENCYPART_ARC
(10,8),-0.524562 # DEPENDENCYPART_ARC
(10,9),0.904583 # DEPENDENCYPART_ARC
(10,11),0.878496 # DEPENDENCYPART_ARC
(10,12),-0.996111 # DEPENDENCYPART_ARC
(10,13),-1.47581 # DEPENDENCYPART_ARC
(10,14),-1.42533 # DEPENDENCYPART_ARC
(10,18),-1.94575 # DEPENDENCYPART_ARC
