# _root_ Mr. Peters claims he reminded Mr. Ross that Robert Daly and Terry Semel , the top executives of the Warner Brothers studio , had `` repeatedly agreed that we had every right to accept '' an offer such as Sony 's .
#goldHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,11,17,17,11,17,22,22,22,18,11,5,24,24,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
#predictedHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,13,17,17,13,17,22,22,22,18,13,5,27,27,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
(0,2),-2.31857 # DEPENDENCYPART_ARC
(0,3),-1.73847 # DEPENDENCYPART_ARC
(0,5),-2.62538 # DEPENDENCYPART_ARC
(0,11),-1.96548 # DEPENDENCYPART_ARC
(0,24),-3.04893 # DEPENDENCYPART_ARC
(0,27),-2.63497 # DEPENDENCYPART_ARC
(0,30),-3.63399 # DEPENDENCYPART_ARC
(0,34),-3.57711 # DEPENDENCYPART_ARC
(1,2),-0.697527 # DEPENDENCYPART_ARC
(1,3),-0.975423 # DEPENDENCYPART_ARC
(1,4),-1.63983 # DEPENDENCYPART_ARC
(1,5),-1.55493 # DEPENDENCYPART_ARC
(2,1),1.50655 # DEPENDENCYPART_ARC
(2,3),-0.640236 # DEPENDENCYPART_ARC
(2,4),-1.53868 # DEPENDENCYPART_ARC
(2,5),-1.62962 # DEPENDENCYPART_ARC
(2,7),-1.63337 # DEPENDENCYPART_ARC
(2,11),-1.06003 # DEPENDENCYPART_ARC
(3,1),-0.366869 # DEPENDENCYPART_ARC
(3,2),0.762737 # DEPENDENCYPART_ARC
(3,4),0.359321 # DEPENDENCYPART_ARC
(3,5),0.221346 # DEPENDENCYPART_ARC
(3,6),-0.755622 # DEPENDENCYPART_ARC
(3,7),-0.514284 # DEPENDENCYPART_ARC
(3,8),-1.17791 # DEPENDENCYPART_ARC
(3,9),-1.44536 # DEPENDENCYPART_ARC
(3,10),-1.10793 # DEPENDENCYPART_ARC
(3,11),-0.250012 # DEPENDENCYPART_ARC
(3,14),-1.2669 # DEPENDENCYPART_ARC
(3,23),-1.45095 # DEPENDENCYPART_ARC
(3,24),-1.31885 # DEPENDENCYPART_ARC
(3,25),-1.26872 # DEPENDENCYPART_ARC
(3,30),-1.32333 # DEPENDENCYPART_ARC
(3,35),0.394341 # DEPENDENCYPART_ARC
(3,42),-0.85067 # DEPENDENCYPART_ARC
(4,5),-0.113733 # DEPENDENCYPART_ARC
(4,7),-1.28869 # DEPENDENCYPART_ARC
(5,1),-1.22692 # DEPENDENCYPART_ARC
(5,2),-1.16701 # DEPENDENCYPART_ARC
(5,3),-1.1904 # DEPENDENCYPART_ARC
(5,4),0.862487 # DEPENDENCYPART_ARC
(5,6),0.584357 # DEPENDENCYPART_ARC
(5,7),0.248133 # DEPENDENCYPART_ARC
(5,8),-0.649784 # DEPENDENCYPART_ARC
(5,9),-0.924692 # DEPENDENCYPART_ARC
(5,10),-0.689657 # DEPENDENCYPART_ARC
(5,11),-0.294068 # DEPENDENCYPART_ARC
(5,12),-1.34461 # DEPENDENCYPART_ARC
(5,13),-1.16311 # DEPENDENCYPART_ARC
(5,14),-1.24119 # DEPENDENCYPART_ARC
(5,16),-1.37065 # DEPENDENCYPART_ARC
(5,23),-1.6077 # DEPENDENCYPART_ARC
(5,24),-1.26833 # DEPENDENCYPART_ARC
(5,25),-1.14566 # DEPENDENCYPART_ARC
(5,26),-1.86457 # DEPENDENCYPART_ARC
(5,27),-1.55205 # DEPENDENCYPART_ARC
(5,30),-1.77787 # DEPENDENCYPART_ARC
(5,35),0.21817 # DEPENDENCYPART_ARC
(5,42),-1.0648 # DEPENDENCYPART_ARC
(6,4),-2.05191 # DEPENDENCYPART_ARC
(6,5),-0.850393 # DEPENDENCYPART_ARC
(6,7),-0.699243 # DEPENDENCYPART_ARC
(6,8),-1.01345 # DEPENDENCYPART_ARC
(6,10),-2.16536 # DEPENDENCYPART_ARC
(6,11),-1.2321 # DEPENDENCYPART_ARC
(7,1),-1.30492 # DEPENDENCYPART_ARC
(7,2),-1.59029 # DEPENDENCYPART_ARC
(7,5),-0.738442 # DEPENDENCYPART_ARC
(7,6),1.5783 # DEPENDENCYPART_ARC
(7,8),0.117548 # DEPENDENCYPART_ARC
(7,9),-1.07798 # DEPENDENCYPART_ARC
(7,10),-1.52886 # DEPENDENCYPART_ARC
(7,11),-1.00406 # DEPENDENCYPART_ARC
(7,12),-1.58728 # DEPENDENCYPART_ARC
(7,13),-1.80918 # DEPENDENCYPART_ARC
(7,14),-1.39303 # DEPENDENCYPART_ARC
(7,18),-2.61936 # DEPENDENCYPART_ARC
(7,22),-2.45486 # DEPENDENCYPART_ARC
(7,23),-1.66263 # DEPENDENCYPART_ARC
(7,24),-1.32329 # DEPENDENCYPART_ARC
(8,9),-0.416573 # DEPENDENCYPART_ARC
(8,10),-0.816966 # DEPENDENCYPART_ARC
