# _root_ So any bearish indicator , such as Friday 's precipitous drop in the stock market , sends shivers through the oil markets as well .
#goldHeads=17,4,4,17,4,7,4,11,8,11,7,11,15,15,12,4,0,17,17,22,22,19,17,23,17,
#predictedHeads=17,4,4,1,17,7,4,11,8,11,7,11,15,15,12,17,0,17,17,22,22,19,17,23,17,
(0,1),-4.15142 # DEPENDENCYPART_ARC
(0,4),-4.38719 # DEPENDENCYPART_ARC
(0,17),-1.40605 # DEPENDENCYPART_ARC
(1,2),-1.17543 # DEPENDENCYPART_ARC
(1,3),-1.4213 # DEPENDENCYPART_ARC
(1,4),-0.190175 # DEPENDENCYPART_ARC
(1,5),-1.93293 # DEPENDENCYPART_ARC
(1,6),-2.34961 # DEPENDENCYPART_ARC
(1,7),-1.94142 # DEPENDENCYPART_ARC
(1,11),-2.03399 # DEPENDENCYPART_ARC
(1,16),-1.88949 # DEPENDENCYPART_ARC
(1,17),-1.54648 # DEPENDENCYPART_ARC
(1,25),-4.396 # DEPENDENCYPART_ARC
(2,1),-1.41211 # DEPENDENCYPART_ARC
(2,3),-1.48924 # DEPENDENCYPART_ARC
(2,5),-1.88278 # DEPENDENCYPART_ARC
(2,7),-1.82212 # DEPENDENCYPART_ARC
(3,1),-1.46405 # DEPENDENCYPART_ARC
(3,2),-0.837052 # DEPENDENCYPART_ARC
(3,5),-1.51127 # DEPENDENCYPART_ARC
(3,6),-1.77764 # DEPENDENCYPART_ARC
(3,7),-1.66528 # DEPENDENCYPART_ARC
(4,1),-1.54058 # DEPENDENCYPART_ARC
(4,2),0.689381 # DEPENDENCYPART_ARC
(4,3),1.69264 # DEPENDENCYPART_ARC
(4,5),-0.374726 # DEPENDENCYPART_ARC
(4,6),-1.20497 # DEPENDENCYPART_ARC
(4,7),-1.15975 # DEPENDENCYPART_ARC
(4,8),-2.02347 # DEPENDENCYPART_ARC
(4,9),-2.15952 # DEPENDENCYPART_ARC
(4,11),-2.22542 # DEPENDENCYPART_ARC
(4,12),-1.99665 # DEPENDENCYPART_ARC
(4,15),-2.2818 # DEPENDENCYPART_ARC
(4,16),-0.846999 # DEPENDENCYPART_ARC
(4,17),-2.58027 # DEPENDENCYPART_ARC
(4,18),-2.89128 # DEPENDENCYPART_ARC
(4,19),-2.59452 # DEPENDENCYPART_ARC
(4,22),-3.1177 # DEPENDENCYPART_ARC
(4,23),-2.44397 # DEPENDENCYPART_ARC
(4,24),-2.47777 # DEPENDENCYPART_ARC
(4,25),-2.70497 # DEPENDENCYPART_ARC
(6,1),-2.16918 # DEPENDENCYPART_ARC
(6,2),-1.72621 # DEPENDENCYPART_ARC
(6,3),-1.57704 # DEPENDENCYPART_ARC
(6,4),-1.9157 # DEPENDENCYPART_ARC
(6,5),-1.52084 # DEPENDENCYPART_ARC
(6,7),-0.255352 # DEPENDENCYPART_ARC
(6,8),-1.5301 # DEPENDENCYPART_ARC
(6,9),-2.00542 # DEPENDENCYPART_ARC
(6,10),-1.91237 # DEPENDENCYPART_ARC
(6,11),-1.91752 # DEPENDENCYPART_ARC
(6,12),-1.62761 # DEPENDENCYPART_ARC
(6,16),-1.5869 # DEPENDENCYPART_ARC
(6,19),-2.39668 # DEPENDENCYPART_ARC
(7,1),-1.30909 # DEPENDENCYPART_ARC
(7,2),-1.95589 # DEPENDENCYPART_ARC
(7,3),-1.47042 # DEPENDENCYPART_ARC
(7,4),-1.36995 # DEPENDENCYPART_ARC
(7,5),-1.41425 # DEPENDENCYPART_ARC
(7,6),0.824598 # DEPENDENCYPART_ARC
(7,8),-0.280955 # DEPENDENCYPART_ARC
(7,9),-1.3006 # DEPENDENCYPART_ARC
(7,10),-2.05361 # DEPENDENCYPART_ARC
(7,11),-0.729774 # DEPENDENCYPART_ARC
(7,12),-1.96283 # DEPENDENCYPART_ARC
(7,15),-2.45899 # DEPENDENCYPART_ARC
(7,16),-1.49913 # DEPENDENCYPART_ARC
(7,17),-0.466608 # DEPENDENCYPART_ARC
(7,23),-1.94345 # DEPENDENCYPART_ARC
(8,4),-3.34845 # DEPENDENCYPART_ARC
(8,5),-2.63666 # DEPENDENCYPART_ARC
(8,6),-1.75261 # DEPENDENCYPART_ARC
(8,7),-1.61817 # DEPENDENCYPART_ARC
(8,9),1.93733 # DEPENDENCYPART_ARC
(8,10),-0.883142 # DEPENDENCYPART_ARC
(8,11),-1.66981 # DEPENDENCYPART_ARC
(8,12),-1.41725 # DEPENDENCYPART_ARC
(8,15),-2.61616 # DEPENDENCYPART_ARC
(8,16),-1.3707 # DEPENDENCYPART_ARC
(9,1),-1.77199 # DEPENDENCYPART_ARC
(9,4),-2.19001 # DEPENDENCYPART_ARC
(9,6),-1.69419 # DEPENDENCYPART_ARC
(9,7),-1.44929 # DEPENDENCYPART_ARC
(9,12),-2.30748 # DEPENDENCYPART_ARC
(10,1),-2.29507 # DEPENDENCYPART_ARC
(10,6),-1.77308 # DEPENDENCYPART_ARC
(10,7),-1.51898 # DEPENDENCYPART_ARC
(10,8),-1.39582 # DEPENDENCYPART_ARC
(10,9),-1.56696 # DEPENDENCYPART_ARC
(10,12),-1.53093 # DEPENDENCYPART_ARC
(11,1),-2.28405 # DEPENDENCYPART_ARC
(11,2),-1.83586 # DEPENDENCYPART_ARC
(11,3),-1.4317 # DEPENDENCYPART_ARC
(11,4),-2.44612 # DEPENDENCYPART_ARC
(11,5),-2.12747 # DEPENDENCYPART_ARC
(11,6),-1.33906 # DEPENDENCYPART_ARC
(11,7),-1.55845 # DEPENDENCYPART_ARC
(11,8),0.296606 # DEPENDENCYPART_ARC
(11,9),-0.601569 # DEPENDENCYPART_ARC
(11,10),1.48767 # DEPENDENCYPART_ARC
(11,12),0.574622 # DEPENDENCYPART_ARC
(11,14),-0.95551 # DEPENDENCYPART_ARC
(11,15),-0.861394 # DEPENDENCYPART_ARC
(11,16),-0.869835 # DEPENDENCYPART_ARC
(11,17),-1.31005 # DEPENDENCYPART_ARC
(11,18),-1.84663 # DEPENDENCYPART_ARC
(11,19),-1.1656 # DEPENDENCYPART_ARC
(11,21),-2.20469 # DEPENDENCYPART_ARC
(11,22),-2.31894 # DEPENDENCYPART_ARC
(11,23),-1.75546 # DEPENDENCYPART_ARC
(11,24),-1.87898 # DEPENDENCYPART_ARC
(11,25),-2.24477 # DEPENDENCYPART_ARC
(12,11),-1.84764 # DEPENDENCYPART_ARC
(12,14),0.234986 # DEPENDENCYPART_ARC
(12,15),0.841772 # DEPENDENCYPART_ARC
(12,16),-1.736 # DEPENDENCYPART_ARC
(12,17),-1.33513 # DEPENDENCYPART_ARC
(12,18),-1.45724 # DEPENDENCYPART_ARC
(12,19),-1.72491 # DEPENDENCYPART_ARC
(12,22),-2.53588 # DEPENDENCYPART_ARC
(12,25),-2.77254 # DEPENDENCYPART_ARC
(14,13),-0.329943 # DEPENDENCYPART_ARC
(15,5),-2.43877 # DEPENDENCYPART_ARC
(15,6),-2.75019 # DEPENDENCYPART_ARC
(15,8),-1.20343 # DEPENDENCYPART_ARC
(15,10),-1.03916 # DEPENDENCYPART_ARC
(15,11),-1.46729 # DEPENDENCYPART_ARC
(15,12),-0.987387 # DEPENDENCYPART_ARC
(15,13),1.60959 # DEPENDENCYPART_ARC
(15,14),2.17797 # DEPENDENCYPART_ARC
(15,16),-1.25144 # DEPENDENCYPART_ARC
(15,17),-1.7049 # DEPENDENCYPART_ARC
(15,18),-2.23314 # DEPENDENCYPART_ARC
(15,19),-2.22374 # DEPENDENCYPART_ARC
(15,22),-2.80103 # DEPENDENCYPART_ARC
(15,23),-2.57869 # DEPENDENCYPART_ARC
(15,24),-2.75382 # DEPENDENCYPART_ARC
(17,1),-0.837423 # DEPENDENCYPART_ARC
(17,4),-1.69095 # DEPENDENCYPART_ARC
(17,5),-1.21027 # DEPENDENCYPART_ARC
(17,6),-2.10102 # DEPENDENCYPART_ARC
(17,7),-1.00275 # DEPENDENCYPART_ARC
(17,8),-1.42754 # DEPENDENCYPART_ARC
(17,9),-1.96772 # DEPENDENCYPART_ARC
(17,10),-2.06048 # DEPENDENCYPART_ARC
(17,11),-1.088 # DEPENDENCYPART_ARC
(17,12),-1.47737 # DEPENDENCYPART_ARC
(17,14),-0.820777 # DEPENDENCYPART_ARC
(17,15),-0.524576 # DEPENDENCYPART_ARC
(17,16),-0.372489 # DEPENDENCYPART_ARC
(17,18),1.25845 # DEPENDENCYPART_ARC
(17,19),0.207306 # DEPENDENCYPART_ARC
(17,20),-1.77587 # DEPENDENCYPART_ARC
(17,21),-0.679088 # DEPENDENCYPART_ARC
(17,22),-0.751871 # DEPENDENCYPART_ARC
(17,23),-0.939137 # DEPENDENCYPART_ARC
(17,24),-1.04801 # DEPENDENCYPART_ARC
(17,25),0.87187 # DEPENDENCYPART_ARC
(18,8),-2.59632 # DEPENDENCYPART_ARC
(18,11),-2.60612 # DEPENDENCYPART_ARC
(18,13),-1.36558 # DEPENDENCYPART_ARC
(18,14),-1.14969 # DEPENDENCYPART_ARC
(18,15),-1.67027 # DEPENDENCYPART_ARC
(18,16),-1.70167 # DEPENDENCYPART_ARC
