# _root_ Tuesday 's notable losers were highpriced shares such as Pioneer , which shed 210 yen to 5,900 yen .
#goldHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
#predictedHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
(0,1),-1.68213 # DEPENDENCYPART_ARC
(0,4),-2.99418 # DEPENDENCYPART_ARC
(0,5),-2.11552 # DEPENDENCYPART_ARC
(0,7),-3.30822 # DEPENDENCYPART_ARC
(0,13),-3.42704 # DEPENDENCYPART_ARC
(1,2),0.878167 # DEPENDENCYPART_ARC
(1,3),-0.852148 # DEPENDENCYPART_ARC
(1,4),-1.17736 # DEPENDENCYPART_ARC
(1,5),-0.985803 # DEPENDENCYPART_ARC
(1,7),-1.47492 # DEPENDENCYPART_ARC
(1,9),-0.921234 # DEPENDENCYPART_ARC
(1,10),-1.65078 # DEPENDENCYPART_ARC
(1,11),-1.37818 # DEPENDENCYPART_ARC
(1,13),-1.83253 # DEPENDENCYPART_ARC
(1,19),-1.56029 # DEPENDENCYPART_ARC
(3,1),-0.888502 # DEPENDENCYPART_ARC
(3,4),-0.546988 # DEPENDENCYPART_ARC
(3,5),-1.03355 # DEPENDENCYPART_ARC
(3,6),-1.38242 # DEPENDENCYPART_ARC
(3,7),-1.81019 # DEPENDENCYPART_ARC
(3,8),-1.50735 # DEPENDENCYPART_ARC
(4,1),-0.416586 # DEPENDENCYPART_ARC
(4,2),-0.877017 # DEPENDENCYPART_ARC
(4,3),1.3365 # DEPENDENCYPART_ARC
(4,5),-0.123347 # DEPENDENCYPART_ARC
(4,6),-1.22014 # DEPENDENCYPART_ARC
(4,7),-1.30289 # DEPENDENCYPART_ARC
(4,8),-1.46395 # DEPENDENCYPART_ARC
(4,9),-1.05719 # DEPENDENCYPART_ARC
(4,10),-1.66839 # DEPENDENCYPART_ARC
(4,11),-1.36269 # DEPENDENCYPART_ARC
(4,13),-1.8799 # DEPENDENCYPART_ARC
(4,19),-1.92757 # DEPENDENCYPART_ARC
(5,1),-0.476919 # DEPENDENCYPART_ARC
(5,3),-0.655969 # DEPENDENCYPART_ARC
(5,4),0.760004 # DEPENDENCYPART_ARC
(5,6),0.387824 # DEPENDENCYPART_ARC
(5,7),0.0123967 # DEPENDENCYPART_ARC
(5,8),-0.596084 # DEPENDENCYPART_ARC
(5,9),-0.99523 # DEPENDENCYPART_ARC
(5,10),-0.832569 # DEPENDENCYPART_ARC
(5,11),-0.879509 # DEPENDENCYPART_ARC
(5,13),-2.01722 # DEPENDENCYPART_ARC
(5,15),-2.22002 # DEPENDENCYPART_ARC
(5,16),-1.94007 # DEPENDENCYPART_ARC
(5,18),-2.34342 # DEPENDENCYPART_ARC
(5,19),-0.00060843 # DEPENDENCYPART_ARC
(6,3),-1.34379 # DEPENDENCYPART_ARC
(6,4),-1.18642 # DEPENDENCYPART_ARC
(6,7),-0.273221 # DEPENDENCYPART_ARC
(6,8),-0.889399 # DEPENDENCYPART_ARC
(6,9),-1.00441 # DEPENDENCYPART_ARC
(6,10),-1.42364 # DEPENDENCYPART_ARC
(6,13),-1.71787 # DEPENDENCYPART_ARC
(7,1),-1.69228 # DEPENDENCYPART_ARC
(7,3),-0.770075 # DEPENDENCYPART_ARC
(7,4),-1.25048 # DEPENDENCYPART_ARC
(7,5),-0.608494 # DEPENDENCYPART_ARC
(7,6),1.33807 # DEPENDENCYPART_ARC
(7,8),-0.0613832 # DEPENDENCYPART_ARC
(7,9),-0.623199 # DEPENDENCYPART_ARC
(7,10),-1.37375 # DEPENDENCYPART_ARC
(7,11),-1.33585 # DEPENDENCYPART_ARC
(7,13),-1.47022 # DEPENDENCYPART_ARC
(7,14),-2.23499 # DEPENDENCYPART_ARC
(7,15),-2.02985 # DEPENDENCYPART_ARC
(7,16),-1.77414 # DEPENDENCYPART_ARC
(7,17),-2.39756 # DEPENDENCYPART_ARC
(7,18),-2.19081 # DEPENDENCYPART_ARC
(7,19),-1.92121 # DEPENDENCYPART_ARC
(8,3),-1.43964 # DEPENDENCYPART_ARC
(8,4),-1.25724 # DEPENDENCYPART_ARC
(8,6),-0.92723 # DEPENDENCYPART_ARC
(8,7),0.0347945 # DEPENDENCYPART_ARC
(8,9),0.0880226 # DEPENDENCYPART_ARC
(8,10),-1.00048 # DEPENDENCYPART_ARC
(8,11),-1.06138 # DEPENDENCYPART_ARC
(8,13),-1.6922 # DEPENDENCYPART_ARC
(8,15),-2.02167 # DEPENDENCYPART_ARC
(8,18),-2.0764 # DEPENDENCYPART_ARC
(9,7),-1.15207 # DEPENDENCYPART_ARC
(9,8),0.182239 # DEPENDENCYPART_ARC
(9,10),0.640842 # DEPENDENCYPART_ARC
(9,11),-0.854854 # DEPENDENCYPART_ARC
(9,13),-1.81614 # DEPENDENCYPART_ARC
(9,14),-2.01493 # DEPENDENCYPART_ARC
(9,15),-2.96454 # DEPENDENCYPART_ARC
(9,16),-2.0966 # DEPENDENCYPART_ARC
(10,1),-2.72504 # DEPENDENCYPART_ARC
(10,6),-1.82588 # DEPENDENCYPART_ARC
(10,7),-1.84823 # DEPENDENCYPART_ARC
(10,8),-1.37763 # DEPENDENCYPART_ARC
(10,9),-0.721148 # DEPENDENCYPART_ARC
(10,11),0.318266 # DEPENDENCYPART_ARC
(10,13),-1.21205 # DEPENDENCYPART_ARC
(10,14),-2.03752 # DEPENDENCYPART_ARC
(10,15),-1.67516 # DEPENDENCYPART_ARC
(10,18),-1.8987 # DEPENDENCYPART_ARC
(10,19),-1.78723 # DEPENDENCYPART_ARC
(13,1),-2.57095 # DEPENDENCYPART_ARC
(13,4),-2.47031 # DEPENDENCYPART_ARC
(13,5),-1.81723 # DEPENDENCYPART_ARC
(13,6),-2.10889 # DEPENDENCYPART_ARC
(13,7),-2.30351 # DEPENDENCYPART_ARC
(13,8),-2.05618 # DEPENDENCYPART_ARC
(13,9),-1.3775 # DEPENDENCYPART_ARC
