# _root_ On the other hand , so long as Mr. Gorbachev is easing his grip on his empire , everyone we 've heard agrees that the U.S. can benefit by engaging him .
#goldHeads=23,4,4,1,23,23,6,11,10,11,6,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
#predictedHeads=23,4,4,1,23,11,6,11,10,11,23,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
(0,1),-1.76344 # DEPENDENCYPART_ARC
(0,4),-2.81158 # DEPENDENCYPART_ARC
(0,11),-2.59862 # DEPENDENCYPART_ARC
(0,12),-3.39304 # DEPENDENCYPART_ARC
(0,21),-3.00573 # DEPENDENCYPART_ARC
(0,22),-3.12447 # DEPENDENCYPART_ARC
(0,23),-3.15552 # DEPENDENCYPART_ARC
(0,27),-3.13053 # DEPENDENCYPART_ARC
(0,28),-3.65458 # DEPENDENCYPART_ARC
(1,2),0.105321 # DEPENDENCYPART_ARC
(1,3),-0.516227 # DEPENDENCYPART_ARC
(1,4),-0.189956 # DEPENDENCYPART_ARC
(1,5),-1.11881 # DEPENDENCYPART_ARC
(1,6),-1.43007 # DEPENDENCYPART_ARC
(1,7),-1.48246 # DEPENDENCYPART_ARC
(1,10),-2.21591 # DEPENDENCYPART_ARC
(1,11),-1.59833 # DEPENDENCYPART_ARC
(1,32),0.203772 # DEPENDENCYPART_ARC
(2,1),-0.198862 # DEPENDENCYPART_ARC
(2,3),-0.383167 # DEPENDENCYPART_ARC
(2,5),-1.05578 # DEPENDENCYPART_ARC
(3,1),-1.27066 # DEPENDENCYPART_ARC
(3,2),0.00165003 # DEPENDENCYPART_ARC
(3,6),-1.72872 # DEPENDENCYPART_ARC
(4,1),-1.02863 # DEPENDENCYPART_ARC
(4,2),0.296877 # DEPENDENCYPART_ARC
(4,3),1.4931 # DEPENDENCYPART_ARC
(4,5),0.0481823 # DEPENDENCYPART_ARC
(4,6),-1.5259 # DEPENDENCYPART_ARC
(4,7),-1.68703 # DEPENDENCYPART_ARC
(4,8),-1.78354 # DEPENDENCYPART_ARC
(4,9),-1.72609 # DEPENDENCYPART_ARC
(4,10),-1.91752 # DEPENDENCYPART_ARC
(4,11),-1.94769 # DEPENDENCYPART_ARC
(4,12),-2.35956 # DEPENDENCYPART_ARC
(4,17),-1.92461 # DEPENDENCYPART_ARC
(4,18),-1.65318 # DEPENDENCYPART_ARC
(4,22),-1.98024 # DEPENDENCYPART_ARC
(6,1),-1.76031 # DEPENDENCYPART_ARC
(6,3),-1.62277 # DEPENDENCYPART_ARC
(6,4),-1.51631 # DEPENDENCYPART_ARC
(6,5),0.349333 # DEPENDENCYPART_ARC
(6,7),0.687005 # DEPENDENCYPART_ARC
(6,8),-0.449697 # DEPENDENCYPART_ARC
(6,9),-0.714077 # DEPENDENCYPART_ARC
(6,10),-0.808587 # DEPENDENCYPART_ARC
(6,11),-0.736983 # DEPENDENCYPART_ARC
(6,15),-1.14962 # DEPENDENCYPART_ARC
(7,1),-1.67647 # DEPENDENCYPART_ARC
(7,3),-1.77767 # DEPENDENCYPART_ARC
(7,4),-1.51425 # DEPENDENCYPART_ARC
(7,5),-0.780952 # DEPENDENCYPART_ARC
(7,6),-0.0637934 # DEPENDENCYPART_ARC
(7,8),-0.140213 # DEPENDENCYPART_ARC
(7,9),-0.905684 # DEPENDENCYPART_ARC
(7,10),-1.18139 # DEPENDENCYPART_ARC
(7,11),-1.01391 # DEPENDENCYPART_ARC
(7,14),-1.56693 # DEPENDENCYPART_ARC
(8,4),-1.74628 # DEPENDENCYPART_ARC
(8,6),-0.789901 # DEPENDENCYPART_ARC
(8,7),0.160475 # DEPENDENCYPART_ARC
(8,9),0.158433 # DEPENDENCYPART_ARC
(8,10),-0.517109 # DEPENDENCYPART_ARC
(8,11),-1.25242 # DEPENDENCYPART_ARC
(8,12),-1.46697 # DEPENDENCYPART_ARC
(8,14),-2.26829 # DEPENDENCYPART_ARC
(9,7),-2.1045 # DEPENDENCYPART_ARC
(9,10),-0.594527 # DEPENDENCYPART_ARC
(9,12),-1.39407 # DEPENDENCYPART_ARC
(10,2),-2.3484 # DEPENDENCYPART_ARC
(10,3),-2.37507 # DEPENDENCYPART_ARC
(10,5),-2.00763 # DEPENDENCYPART_ARC
(10,6),-1.70408 # DEPENDENCYPART_ARC
(10,7),-1.51185 # DEPENDENCYPART_ARC
(10,8),-1.2462 # DEPENDENCYPART_ARC
(10,9),1.43239 # DEPENDENCYPART_ARC
(10,11),-0.700516 # DEPENDENCYPART_ARC
(10,12),-1.70767 # DEPENDENCYPART_ARC
(11,1),-0.977254 # DEPENDENCYPART_ARC
(11,2),-2.06757 # DEPENDENCYPART_ARC
(11,3),-1.86653 # DEPENDENCYPART_ARC
(11,4),-1.87098 # DEPENDENCYPART_ARC
(11,5),-1.32796 # DEPENDENCYPART_ARC
(11,6),-0.985417 # DEPENDENCYPART_ARC
(11,7),-0.974826 # DEPENDENCYPART_ARC
(11,8),-0.143842 # DEPENDENCYPART_ARC
(11,9),-0.476473 # DEPENDENCYPART_ARC
(11,10),0.820132 # DEPENDENCYPART_ARC
(11,12),1.49067 # DEPENDENCYPART_ARC
(11,14),-0.8179 # DEPENDENCYPART_ARC
(11,15),-1.01179 # DEPENDENCYPART_ARC
(11,17),-1.65091 # DEPENDENCYPART_ARC
(11,18),-1.36271 # DEPENDENCYPART_ARC
(11,19),-2.72981 # DEPENDENCYPART_ARC
(11,21),-2.10216 # DEPENDENCYPART_ARC
(11,22),-1.64253 # DEPENDENCYPART_ARC
(11,23),-1.64688 # DEPENDENCYPART_ARC
(11,27),-2.04706 # DEPENDENCYPART_ARC
(11,30),-2.46674 # DEPENDENCYPART_ARC
(11,32),-1.20485 # DEPENDENCYPART_ARC
(12,8),-1.25683 # DEPENDENCYPART_ARC
(12,10),-1.52534 # DEPENDENCYPART_ARC
(12,14),0.182772 # DEPENDENCYPART_ARC
(12,15),-0.38605 # DEPENDENCYPART_ARC
(12,17),-0.639158 # DEPENDENCYPART_ARC
(12,18),-0.89221 # DEPENDENCYPART_ARC
(12,19),-1.90605 # DEPENDENCYPART_ARC
(12,21),-1.35879 # DEPENDENCYPART_ARC
(12,22),-1.57855 # DEPENDENCYPART_ARC
