# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(0,6),-1.52676 # DEPENDENCYPART_ARC
(0,13),1.43939 # DEPENDENCYPART_ARC
(1,2),-2.19719 # DEPENDENCYPART_ARC
(2,1),-0.848025 # DEPENDENCYPART_ARC
(2,3),0.983539 # DEPENDENCYPART_ARC
(2,4),-1.34999 # DEPENDENCYPART_ARC
(2,5),-1.11874 # DEPENDENCYPART_ARC
(2,6),-0.609535 # DEPENDENCYPART_ARC
(2,7),-0.777291 # DEPENDENCYPART_ARC
(2,10),-1.88986 # DEPENDENCYPART_ARC
(2,11),-1.46474 # DEPENDENCYPART_ARC
(2,12),-1.47107 # DEPENDENCYPART_ARC
(2,13),-1.29813 # DEPENDENCYPART_ARC
(2,15),-2.5378 # DEPENDENCYPART_ARC
(2,16),-1.65044 # DEPENDENCYPART_ARC
(2,18),-2.44933 # DEPENDENCYPART_ARC
(2,19),-1.81779 # DEPENDENCYPART_ARC
(2,21),-2.87745 # DEPENDENCYPART_ARC
(3,1),-1.86415 # DEPENDENCYPART_ARC
(3,2),-1.6472 # DEPENDENCYPART_ARC
(3,4),-1.26448 # DEPENDENCYPART_ARC
(3,5),1.05754 # DEPENDENCYPART_ARC
(3,6),-0.218582 # DEPENDENCYPART_ARC
(3,7),-1.6169 # DEPENDENCYPART_ARC
(3,10),-1.31189 # DEPENDENCYPART_ARC
(3,11),-1.82992 # DEPENDENCYPART_ARC
(3,12),-1.67134 # DEPENDENCYPART_ARC
(4,6),-1.61719 # DEPENDENCYPART_ARC
(4,7),-2.03398 # DEPENDENCYPART_ARC
(5,1),-1.96037 # DEPENDENCYPART_ARC
(5,2),-1.3515 # DEPENDENCYPART_ARC
(5,3),-1.34072 # DEPENDENCYPART_ARC
(5,4),1.54375 # DEPENDENCYPART_ARC
(5,6),-1.07455 # DEPENDENCYPART_ARC
(5,7),-1.15427 # DEPENDENCYPART_ARC
(5,10),-2.12587 # DEPENDENCYPART_ARC
(5,11),-2.23919 # DEPENDENCYPART_ARC
(5,12),-1.73004 # DEPENDENCYPART_ARC
(6,1),-0.752704 # DEPENDENCYPART_ARC
(6,2),-0.821208 # DEPENDENCYPART_ARC
(6,3),-1.43821 # DEPENDENCYPART_ARC
(6,4),-1.22317 # DEPENDENCYPART_ARC
(6,5),0.946481 # DEPENDENCYPART_ARC
(6,7),0.932735 # DEPENDENCYPART_ARC
(6,8),-1.99306 # DEPENDENCYPART_ARC
(6,9),-1.08684 # DEPENDENCYPART_ARC
(6,10),-1.02443 # DEPENDENCYPART_ARC
(6,11),-1.31089 # DEPENDENCYPART_ARC
(6,12),-1.1665 # DEPENDENCYPART_ARC
(6,13),-1.91636 # DEPENDENCYPART_ARC
(6,15),-2.58966 # DEPENDENCYPART_ARC
(6,16),-1.85432 # DEPENDENCYPART_ARC
(6,18),-3.09805 # DEPENDENCYPART_ARC
(6,19),-2.10636 # DEPENDENCYPART_ARC
(6,22),-0.972206 # DEPENDENCYPART_ARC
(7,2),-2.71286 # DEPENDENCYPART_ARC
(7,5),-2.01133 # DEPENDENCYPART_ARC
(7,6),-1.27626 # DEPENDENCYPART_ARC
(7,8),-1.46282 # DEPENDENCYPART_ARC
(7,9),-0.235217 # DEPENDENCYPART_ARC
(7,10),0.0395553 # DEPENDENCYPART_ARC
(7,11),-1.71214 # DEPENDENCYPART_ARC
(7,12),-1.46548 # DEPENDENCYPART_ARC
(7,13),-1.1563 # DEPENDENCYPART_ARC
(7,15),-2.78703 # DEPENDENCYPART_ARC
(7,16),-1.72663 # DEPENDENCYPART_ARC
(7,18),-2.85943 # DEPENDENCYPART_ARC
(7,19),-2.18886 # DEPENDENCYPART_ARC
(8,7),-1.6196 # DEPENDENCYPART_ARC
(9,8),-0.653344 # DEPENDENCYPART_ARC
(9,12),-1.63441 # DEPENDENCYPART_ARC
(9,13),-1.69561 # DEPENDENCYPART_ARC
(9,15),-2.73171 # DEPENDENCYPART_ARC
(10,1),-2.30353 # DEPENDENCYPART_ARC
(10,2),-1.94289 # DEPENDENCYPART_ARC
(10,3),-1.72225 # DEPENDENCYPART_ARC
(10,4),-2.91904 # DEPENDENCYPART_ARC
(10,5),-1.27834 # DEPENDENCYPART_ARC
(10,6),-1.54796 # DEPENDENCYPART_ARC
(10,7),-0.961334 # DEPENDENCYPART_ARC
(10,8),0.936068 # DEPENDENCYPART_ARC
