# _root_ Among rail and highway accounts , the agreement provides $ 615 million for Amtrak , including $ 85 million for capital improvements .
#goldHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,16,22,20,9,
#predictedHeads=9,1,2,5,3,9,8,9,0,9,10,10,9,13,10,10,16,17,17,17,22,20,9,
(0,1),-3.62894 # DEPENDENCYPART_ARC
(0,2),-3.57195 # DEPENDENCYPART_ARC
(0,5),-3.78492 # DEPENDENCYPART_ARC
(0,8),-3.88225 # DEPENDENCYPART_ARC
(0,9),-1.82024 # DEPENDENCYPART_ARC
(1,2),0.908094 # DEPENDENCYPART_ARC
(1,3),-0.831341 # DEPENDENCYPART_ARC
(1,4),-1.64604 # DEPENDENCYPART_ARC
(1,5),-0.183523 # DEPENDENCYPART_ARC
(1,6),-1.66317 # DEPENDENCYPART_ARC
(1,9),-0.783633 # DEPENDENCYPART_ARC
(1,23),-2.56708 # DEPENDENCYPART_ARC
(2,1),-0.816918 # DEPENDENCYPART_ARC
(2,3),1.42779 # DEPENDENCYPART_ARC
(2,4),-1.27328 # DEPENDENCYPART_ARC
(2,5),-1.1283 # DEPENDENCYPART_ARC
(2,6),-1.33697 # DEPENDENCYPART_ARC
(2,8),-2.28746 # DEPENDENCYPART_ARC
(2,9),-1.88381 # DEPENDENCYPART_ARC
(2,10),-2.31126 # DEPENDENCYPART_ARC
(2,13),-1.43222 # DEPENDENCYPART_ARC
(2,15),-1.81199 # DEPENDENCYPART_ARC
(2,16),-2.0075 # DEPENDENCYPART_ARC
(2,20),-2.18468 # DEPENDENCYPART_ARC
(2,23),-2.96164 # DEPENDENCYPART_ARC
(3,4),0.795215 # DEPENDENCYPART_ARC
(3,5),0.270741 # DEPENDENCYPART_ARC
(3,6),-0.930162 # DEPENDENCYPART_ARC
(3,8),-1.26203 # DEPENDENCYPART_ARC
(3,9),-1.18582 # DEPENDENCYPART_ARC
(3,10),-2.10901 # DEPENDENCYPART_ARC
(4,5),-1.04242 # DEPENDENCYPART_ARC
(4,6),-1.98671 # DEPENDENCYPART_ARC
(4,8),-2.26769 # DEPENDENCYPART_ARC
(4,9),-2.10274 # DEPENDENCYPART_ARC
(5,1),-2.11919 # DEPENDENCYPART_ARC
(5,2),-0.380777 # DEPENDENCYPART_ARC
(5,3),-1.3801 # DEPENDENCYPART_ARC
(5,4),1.66845 # DEPENDENCYPART_ARC
(5,6),-1.05768 # DEPENDENCYPART_ARC
(5,8),-1.99115 # DEPENDENCYPART_ARC
(5,9),-1.72617 # DEPENDENCYPART_ARC
(5,10),-2.13227 # DEPENDENCYPART_ARC
(5,13),-2.12521 # DEPENDENCYPART_ARC
(5,14),-2.81786 # DEPENDENCYPART_ARC
(5,15),-1.75054 # DEPENDENCYPART_ARC
(5,16),-2.1512 # DEPENDENCYPART_ARC
(5,17),-3.08529 # DEPENDENCYPART_ARC
(5,23),-2.96614 # DEPENDENCYPART_ARC
(6,5),-2.38863 # DEPENDENCYPART_ARC
(7,5),-2.76249 # DEPENDENCYPART_ARC
(7,6),-2.11127 # DEPENDENCYPART_ARC
(8,1),-2.20248 # DEPENDENCYPART_ARC
(8,2),-2.59359 # DEPENDENCYPART_ARC
(8,5),-1.58417 # DEPENDENCYPART_ARC
(8,6),-1.36288 # DEPENDENCYPART_ARC
(8,7),1.3284 # DEPENDENCYPART_ARC
(8,9),-0.366196 # DEPENDENCYPART_ARC
(8,10),-1.12136 # DEPENDENCYPART_ARC
(8,13),-0.526615 # DEPENDENCYPART_ARC
(8,15),-1.51951 # DEPENDENCYPART_ARC
(8,16),-1.5983 # DEPENDENCYPART_ARC
(8,17),-2.3498 # DEPENDENCYPART_ARC
(8,20),-1.30019 # DEPENDENCYPART_ARC
(8,23),-2.66995 # DEPENDENCYPART_ARC
(9,1),-1.01337 # DEPENDENCYPART_ARC
(9,2),-1.48397 # DEPENDENCYPART_ARC
(9,3),-1.5904 # DEPENDENCYPART_ARC
(9,4),-1.24991 # DEPENDENCYPART_ARC
(9,5),-2.02804 # DEPENDENCYPART_ARC
(9,6),0.0795376 # DEPENDENCYPART_ARC
(9,7),-1.27969 # DEPENDENCYPART_ARC
(9,8),0.793696 # DEPENDENCYPART_ARC
(9,10),0.120082 # DEPENDENCYPART_ARC
(9,11),-0.872636 # DEPENDENCYPART_ARC
(9,12),-1.47604 # DEPENDENCYPART_ARC
(9,13),-0.453907 # DEPENDENCYPART_ARC
(9,14),-1.58869 # DEPENDENCYPART_ARC
(9,15),-0.969881 # DEPENDENCYPART_ARC
(9,16),-1.25995 # DEPENDENCYPART_ARC
(9,17),-2.19928 # DEPENDENCYPART_ARC
(9,20),-1.30765 # DEPENDENCYPART_ARC
(9,22),-1.71384 # DEPENDENCYPART_ARC
(9,23),-0.499301 # DEPENDENCYPART_ARC
(10,1),-2.16832 # DEPENDENCYPART_ARC
(10,2),-2.44952 # DEPENDENCYPART_ARC
(10,3),-2.54937 # DEPENDENCYPART_ARC
(10,5),-2.13142 # DEPENDENCYPART_ARC
(10,6),-2.08501 # DEPENDENCYPART_ARC
(10,7),-1.51135 # DEPENDENCYPART_ARC
(10,8),-1.41833 # DEPENDENCYPART_ARC
(10,9),-0.797473 # DEPENDENCYPART_ARC
(10,11),1.61697 # DEPENDENCYPART_ARC
(10,12),1.23091 # DEPENDENCYPART_ARC
(10,13),-0.663308 # DEPENDENCYPART_ARC
(10,14),-1.78292 # DEPENDENCYPART_ARC
(10,15),-1.33873 # DEPENDENCYPART_ARC
(10,16),-1.04424 # DEPENDENCYPART_ARC
(10,17),-1.97752 # DEPENDENCYPART_ARC
(10,18),-2.23333 # DEPENDENCYPART_ARC
(10,19),-1.85545 # DEPENDENCYPART_ARC
(10,20),-1.54239 # DEPENDENCYPART_ARC
(10,23),-2.00883 # DEPENDENCYPART_ARC
(11,12),-1.17377 # DEPENDENCYPART_ARC
(11,13),-1.72224 # DEPENDENCYPART_ARC
(11,14),-2.28631 # DEPENDENCYPART_ARC
(12,1),-2.11297 # DEPENDENCYPART_ARC
(12,2),-3.03408 # DEPENDENCYPART_ARC
(12,3),-2.71659 # DEPENDENCYPART_ARC
(12,6),-2.60624 # DEPENDENCYPART_ARC
