# _root_ When he sent letters offering 1,250 retired major leaguers the chance of another season , 730 responded .
#goldHeads=3,3,17,3,4,9,9,9,5,11,5,11,14,12,17,17,0,17,
#predictedHeads=3,3,17,3,3,9,9,9,5,11,5,11,14,12,17,17,0,17,
(0,1),-1.41557 # DEPENDENCYPART_ARC
(0,3),-2.19201 # DEPENDENCYPART_ARC
(0,4),-2.95264 # DEPENDENCYPART_ARC
(0,5),-2.67039 # DEPENDENCYPART_ARC
(0,6),-2.72664 # DEPENDENCYPART_ARC
(0,9),-3.23037 # DEPENDENCYPART_ARC
(0,16),-3.42066 # DEPENDENCYPART_ARC
(0,17),-3.38448 # DEPENDENCYPART_ARC
(2,3),0.0243135 # DEPENDENCYPART_ARC
(3,1),-0.176759 # DEPENDENCYPART_ARC
(3,2),0.798306 # DEPENDENCYPART_ARC
(3,4),0.576313 # DEPENDENCYPART_ARC
(3,5),0.00043199 # DEPENDENCYPART_ARC
(3,6),-1.15694 # DEPENDENCYPART_ARC
(3,7),-1.14968 # DEPENDENCYPART_ARC
(3,8),-1.3059 # DEPENDENCYPART_ARC
(3,9),-1.01734 # DEPENDENCYPART_ARC
(3,11),-0.968141 # DEPENDENCYPART_ARC
(3,12),-1.67616 # DEPENDENCYPART_ARC
(3,14),-1.40416 # DEPENDENCYPART_ARC
(3,15),-1.42876 # DEPENDENCYPART_ARC
(3,17),-1.8648 # DEPENDENCYPART_ARC
(3,18),-0.991891 # DEPENDENCYPART_ARC
(4,1),-1.54379 # DEPENDENCYPART_ARC
(4,2),-0.854027 # DEPENDENCYPART_ARC
(4,3),0.359305 # DEPENDENCYPART_ARC
(4,5),0.107621 # DEPENDENCYPART_ARC
(4,6),-1.05096 # DEPENDENCYPART_ARC
(4,7),-1.17138 # DEPENDENCYPART_ARC
(4,8),-1.31738 # DEPENDENCYPART_ARC
(4,9),-1.38215 # DEPENDENCYPART_ARC
(4,11),-1.49958 # DEPENDENCYPART_ARC
(4,12),-1.30953 # DEPENDENCYPART_ARC
(4,14),-1.64328 # DEPENDENCYPART_ARC
(4,15),-1.52996 # DEPENDENCYPART_ARC
(4,18),-1.92405 # DEPENDENCYPART_ARC
(5,1),-1.28665 # DEPENDENCYPART_ARC
(5,2),-2.19628 # DEPENDENCYPART_ARC
(5,3),-1.98139 # DEPENDENCYPART_ARC
(5,4),-0.43507 # DEPENDENCYPART_ARC
(5,6),-0.0321101 # DEPENDENCYPART_ARC
(5,7),-0.697256 # DEPENDENCYPART_ARC
(5,8),-1.10201 # DEPENDENCYPART_ARC
(5,9),-0.496986 # DEPENDENCYPART_ARC
(5,11),-0.789473 # DEPENDENCYPART_ARC
(5,12),-1.21806 # DEPENDENCYPART_ARC
(5,14),-1.19322 # DEPENDENCYPART_ARC
(5,15),-1.03589 # DEPENDENCYPART_ARC
(5,17),-2.05045 # DEPENDENCYPART_ARC
(5,18),-1.29599 # DEPENDENCYPART_ARC
(6,5),-0.0160135 # DEPENDENCYPART_ARC
(6,7),0.0983914 # DEPENDENCYPART_ARC
(6,8),-0.809481 # DEPENDENCYPART_ARC
(6,11),-1.3209 # DEPENDENCYPART_ARC
(6,12),-1.29544 # DEPENDENCYPART_ARC
(6,14),-1.44201 # DEPENDENCYPART_ARC
(6,15),-1.21689 # DEPENDENCYPART_ARC
(6,16),-1.94736 # DEPENDENCYPART_ARC
(7,2),-1.67513 # DEPENDENCYPART_ARC
(7,4),-1.29338 # DEPENDENCYPART_ARC
(7,6),-0.3455 # DEPENDENCYPART_ARC
(7,8),-0.267941 # DEPENDENCYPART_ARC
(7,9),-1.16016 # DEPENDENCYPART_ARC
(7,11),-1.44719 # DEPENDENCYPART_ARC
(7,12),-1.26193 # DEPENDENCYPART_ARC
(7,14),-1.58247 # DEPENDENCYPART_ARC
(7,17),-1.82944 # DEPENDENCYPART_ARC
(7,18),-1.98929 # DEPENDENCYPART_ARC
(8,4),-1.20607 # DEPENDENCYPART_ARC
(8,6),-1.13575 # DEPENDENCYPART_ARC
(8,7),-0.022292 # DEPENDENCYPART_ARC
(8,9),-0.468907 # DEPENDENCYPART_ARC
(8,11),-1.47396 # DEPENDENCYPART_ARC
(8,12),-1.30315 # DEPENDENCYPART_ARC
(8,17),-1.87596 # DEPENDENCYPART_ARC
(9,4),-1.32662 # DEPENDENCYPART_ARC
(9,5),-1.09995 # DEPENDENCYPART_ARC
(9,6),-0.730971 # DEPENDENCYPART_ARC
(9,7),0.258763 # DEPENDENCYPART_ARC
(9,8),1.46059 # DEPENDENCYPART_ARC
(9,10),-0.360877 # DEPENDENCYPART_ARC
(9,11),-0.905033 # DEPENDENCYPART_ARC
(9,12),-0.765084 # DEPENDENCYPART_ARC
(9,13),-1.27262 # DEPENDENCYPART_ARC
(9,14),-1.3644 # DEPENDENCYPART_ARC
(9,15),-1.05595 # DEPENDENCYPART_ARC
(9,16),-1.7922 # DEPENDENCYPART_ARC
(9,17),-1.66744 # DEPENDENCYPART_ARC
(9,18),-1.87713 # DEPENDENCYPART_ARC
(10,12),-1.25495 # DEPENDENCYPART_ARC
(11,3),-1.75128 # DEPENDENCYPART_ARC
(11,5),-1.85024 # DEPENDENCYPART_ARC
(11,6),-1.52292 # DEPENDENCYPART_ARC
(11,7),-1.35749 # DEPENDENCYPART_ARC
(11,8),-1.18481 # DEPENDENCYPART_ARC
(11,9),-0.835118 # DEPENDENCYPART_ARC
(11,10),0.943652 # DEPENDENCYPART_ARC
(11,12),0.608175 # DEPENDENCYPART_ARC
(11,13),-1.07358 # DEPENDENCYPART_ARC
(11,14),-1.08617 # DEPENDENCYPART_ARC
(11,15),-1.25029 # DEPENDENCYPART_ARC
(11,16),-1.81288 # DEPENDENCYPART_ARC
(11,17),-1.57607 # DEPENDENCYPART_ARC
(11,18),-1.80034 # DEPENDENCYPART_ARC
(12,9),-1.42708 # DEPENDENCYPART_ARC
(12,10),-1.37972 # DEPENDENCYPART_ARC
(12,11),-0.470718 # DEPENDENCYPART_ARC
(12,13),-0.0250637 # DEPENDENCYPART_ARC
(12,14),-0.0314703 # DEPENDENCYPART_ARC
(12,15),-1.12163 # DEPENDENCYPART_ARC
(12,16),-1.90817 # DEPENDENCYPART_ARC
(12,17),-1.98995 # DEPENDENCYPART_ARC
(12,18),-1.88585 # DEPENDENCYPART_ARC
(14,5),-1.53407 # DEPENDENCYPART_ARC
(14,6),-1.71613 # DEPENDENCYPART_ARC
(14,7),-1.95884 # DEPENDENCYPART_ARC
(14,8),-1.85698 # DEPENDENCYPART_ARC
(14,9),-1.64865 # DEPENDENCYPART_ARC
(14,10),-1.39701 # DEPENDENCYPART_ARC
(14,11),-1.26787 # DEPENDENCYPART_ARC
(14,13),1.02623 # DEPENDENCYPART_ARC
(14,15),0.166983 # DEPENDENCYPART_ARC
(14,16),-1.2083 # DEPENDENCYPART_ARC
(14,17),-1.48116 # DEPENDENCYPART_ARC
(14,18),-1.79288 # DEPENDENCYPART_ARC
(16,13),-1.17402 # DEPENDENCYPART_ARC
(16,14),-1.14594 # DEPENDENCYPART_ARC
(16,15),0.511879 # DEPENDENCYPART_ARC
(16,17),-0.0246958 # DEPENDENCYPART_ARC
(16,18),-1.22455 # DEPENDENCYPART_ARC
(17,1),-1.34677 # DEPENDENCYPART_ARC
(17,2),-1.83515 # DEPENDENCYPART_ARC
(17,3),-1.15835 # DEPENDENCYPART_ARC
(17,4),-1.79566 # DEPENDENCYPART_ARC
(17,5),-1.05429 # DEPENDENCYPART_ARC
(17,6),-1.49273 # DEPENDENCYPART_ARC
(17,7),-1.13319 # DEPENDENCYPART_ARC
(17,8),-1.23922 # DEPENDENCYPART_ARC
(17,9),-1.48087 # DEPENDENCYPART_ARC
(17,10),-1.45351 # DEPENDENCYPART_ARC
(17,11),-1.46016 # DEPENDENCYPART_ARC
(17,12),-0.945475 # DEPENDENCYPART_ARC
(17,13),-1.18852 # DEPENDENCYPART_ARC
(17,14),-1.32429 # DEPENDENCYPART_ARC
(17,15),-0.0796465 # DEPENDENCYPART_ARC
(17,16),0.461565 # DEPENDENCYPART_ARC
(17,18),0.800109 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0750954 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00923353 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0750767 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.000986242 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.00923353 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.000986242 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0750767 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0609233 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.164945 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0509425 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0606979 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0509425 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.164302 # DEPENDENCYPART_SIBL
