# _root_ It received more offers , but the auction was surprisingly won by IMA , which bid $ 28 a share and asked Mr. Gilleland to stay on as an equity participant .
#goldHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
#predictedHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
(0,2),-1.80552 # DEPENDENCYPART_ARC
(0,4),-2.91725 # DEPENDENCYPART_ARC
(0,6),-1.74629 # DEPENDENCYPART_ARC
(0,9),-2.56231 # DEPENDENCYPART_ARC
(0,11),-2.68907 # DEPENDENCYPART_ARC
(0,16),-2.50513 # DEPENDENCYPART_ARC
(0,18),-2.96429 # DEPENDENCYPART_ARC
(0,21),-2.08569 # DEPENDENCYPART_ARC
(0,22),-2.88413 # DEPENDENCYPART_ARC
(1,2),-0.272481 # DEPENDENCYPART_ARC
(2,1),0.637608 # DEPENDENCYPART_ARC
(2,3),0.340102 # DEPENDENCYPART_ARC
(2,4),0.203411 # DEPENDENCYPART_ARC
(2,5),-0.822844 # DEPENDENCYPART_ARC
(2,6),-1.02849 # DEPENDENCYPART_ARC
(2,8),-1.67365 # DEPENDENCYPART_ARC
(2,9),-1.6311 # DEPENDENCYPART_ARC
(2,10),-1.73617 # DEPENDENCYPART_ARC
(2,11),-1.98768 # DEPENDENCYPART_ARC
(2,12),-1.88091 # DEPENDENCYPART_ARC
(2,14),-2.04572 # DEPENDENCYPART_ARC
(2,16),-1.74177 # DEPENDENCYPART_ARC
(2,21),-0.281105 # DEPENDENCYPART_ARC
(2,32),-0.567044 # DEPENDENCYPART_ARC
(3,8),-1.93413 # DEPENDENCYPART_ARC
(3,9),-1.59427 # DEPENDENCYPART_ARC
(4,1),-1.23223 # DEPENDENCYPART_ARC
(4,2),-0.535603 # DEPENDENCYPART_ARC
(4,3),1.29358 # DEPENDENCYPART_ARC
(4,5),0.152775 # DEPENDENCYPART_ARC
(4,6),-1.48252 # DEPENDENCYPART_ARC
(4,7),-1.68527 # DEPENDENCYPART_ARC
(4,8),-1.63907 # DEPENDENCYPART_ARC
(4,9),-1.81378 # DEPENDENCYPART_ARC
(4,10),-1.77049 # DEPENDENCYPART_ARC
(4,11),-2.1869 # DEPENDENCYPART_ARC
(4,13),-1.48662 # DEPENDENCYPART_ARC
(4,14),-1.19438 # DEPENDENCYPART_ARC
(4,16),-1.84835 # DEPENDENCYPART_ARC
(4,21),-1.11712 # DEPENDENCYPART_ARC
(6,1),-1.60916 # DEPENDENCYPART_ARC
(6,2),-1.28809 # DEPENDENCYPART_ARC
(6,3),-1.50197 # DEPENDENCYPART_ARC
(6,4),-1.12757 # DEPENDENCYPART_ARC
(6,5),1.13732 # DEPENDENCYPART_ARC
(6,7),0.118124 # DEPENDENCYPART_ARC
(6,8),-0.581388 # DEPENDENCYPART_ARC
(6,9),-0.354752 # DEPENDENCYPART_ARC
(6,10),-1.24971 # DEPENDENCYPART_ARC
(6,11),-1.36979 # DEPENDENCYPART_ARC
(6,12),-1.52167 # DEPENDENCYPART_ARC
(6,13),-2.07033 # DEPENDENCYPART_ARC
(6,14),-1.26934 # DEPENDENCYPART_ARC
(6,16),-2.15867 # DEPENDENCYPART_ARC
(6,21),-0.969721 # DEPENDENCYPART_ARC
(6,22),-2.13694 # DEPENDENCYPART_ARC
(6,32),0.740306 # DEPENDENCYPART_ARC
(7,9),-1.07802 # DEPENDENCYPART_ARC
(8,2),-2.02628 # DEPENDENCYPART_ARC
(8,3),-2.0879 # DEPENDENCYPART_ARC
(8,4),-2.18333 # DEPENDENCYPART_ARC
(8,5),-1.54632 # DEPENDENCYPART_ARC
(8,6),-0.548078 # DEPENDENCYPART_ARC
(8,7),1.27829 # DEPENDENCYPART_ARC
(8,9),-0.231696 # DEPENDENCYPART_ARC
(8,10),-1.26619 # DEPENDENCYPART_ARC
(8,11),-1.34292 # DEPENDENCYPART_ARC
(8,12),-1.18647 # DEPENDENCYPART_ARC
(9,1),-2.12748 # DEPENDENCYPART_ARC
(9,2),-1.4995 # DEPENDENCYPART_ARC
(9,4),-1.78024 # DEPENDENCYPART_ARC
