# _root_ Under the Racketeer Influenced and Corrupt Organizations law , or RICO , the government has the authority to seek to freeze or seize a defendant 's assets before trial .
#goldHeads=15,8,8,5,8,5,8,10,10,1,10,10,14,15,0,17,15,19,17,22,22,19,22,25,27,25,22,19,28,15,
#predictedHeads=15,8,8,5,8,5,8,10,10,1,10,15,14,15,0,17,15,19,17,22,22,19,22,25,27,25,23,23,28,15,
(0,1),-1.76194 # DEPENDENCYPART_ARC
(0,5),-3.22197 # DEPENDENCYPART_ARC
(0,10),-2.86797 # DEPENDENCYPART_ARC
(0,15),-1.26986 # DEPENDENCYPART_ARC
(0,19),-2.481 # DEPENDENCYPART_ARC
(0,21),-2.97974 # DEPENDENCYPART_ARC
(0,23),-2.39883 # DEPENDENCYPART_ARC
(1,2),0.133462 # DEPENDENCYPART_ARC
(1,3),-0.0608953 # DEPENDENCYPART_ARC
(1,4),-0.671121 # DEPENDENCYPART_ARC
(1,5),-0.716833 # DEPENDENCYPART_ARC
(1,6),-1.24732 # DEPENDENCYPART_ARC
(1,8),-1.55429 # DEPENDENCYPART_ARC
(1,9),-1.08184 # DEPENDENCYPART_ARC
(1,10),-1.4647 # DEPENDENCYPART_ARC
(1,11),-2.58904 # DEPENDENCYPART_ARC
(2,1),-0.436869 # DEPENDENCYPART_ARC
(2,5),-1.01668 # DEPENDENCYPART_ARC
(3,1),-2.32919 # DEPENDENCYPART_ARC
(3,2),-0.739925 # DEPENDENCYPART_ARC
(3,4),-0.696379 # DEPENDENCYPART_ARC
(3,5),-1.33259 # DEPENDENCYPART_ARC
(4,2),-0.543896 # DEPENDENCYPART_ARC
(4,3),0.562665 # DEPENDENCYPART_ARC
(4,5),-0.714599 # DEPENDENCYPART_ARC
(4,6),-1.34426 # DEPENDENCYPART_ARC
(4,9),-1.80022 # DEPENDENCYPART_ARC
(4,12),-1.86608 # DEPENDENCYPART_ARC
(5,1),-1.22884 # DEPENDENCYPART_ARC
(5,2),-0.650121 # DEPENDENCYPART_ARC
(5,3),-0.259251 # DEPENDENCYPART_ARC
(5,4),2.04381 # DEPENDENCYPART_ARC
(5,6),1.74124 # DEPENDENCYPART_ARC
(5,7),0.0392062 # DEPENDENCYPART_ARC
(5,8),-0.718688 # DEPENDENCYPART_ARC
(5,9),-1.28298 # DEPENDENCYPART_ARC
(5,10),-1.48848 # DEPENDENCYPART_ARC
(5,11),-1.60867 # DEPENDENCYPART_ARC
(5,12),-1.66784 # DEPENDENCYPART_ARC
(5,14),-1.98689 # DEPENDENCYPART_ARC
(5,15),-2.19247 # DEPENDENCYPART_ARC
(5,22),-1.12298 # DEPENDENCYPART_ARC
