# _root_ J. Nicholas Hahn , Cotton Inc. 's president and chief executive , was an outspoken critic of WPP Group 's acquisition of Ogilvy Group earlier this year .
#goldHeads=3,3,13,3,6,9,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
#predictedHeads=3,3,13,3,6,8,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
(0,3),-2.85387 # DEPENDENCYPART_ARC
(0,9),-3.01375 # DEPENDENCYPART_ARC
(0,13),-1.69931 # DEPENDENCYPART_ARC
(1,2),-0.473553 # DEPENDENCYPART_ARC
(1,3),-1.51717 # DEPENDENCYPART_ARC
(1,4),-1.48233 # DEPENDENCYPART_ARC
(1,6),-2.36881 # DEPENDENCYPART_ARC
(1,7),-2.51051 # DEPENDENCYPART_ARC
(1,8),-2.38952 # DEPENDENCYPART_ARC
(1,9),-1.2901 # DEPENDENCYPART_ARC
(1,11),-2.51661 # DEPENDENCYPART_ARC
(1,12),-1.7328 # DEPENDENCYPART_ARC
(1,13),-1.80462 # DEPENDENCYPART_ARC
(2,1),0.117463 # DEPENDENCYPART_ARC
(2,3),-0.683233 # DEPENDENCYPART_ARC
(2,4),-1.42744 # DEPENDENCYPART_ARC
(2,6),-2.29364 # DEPENDENCYPART_ARC
(2,7),-2.45057 # DEPENDENCYPART_ARC
(2,8),-2.43911 # DEPENDENCYPART_ARC
(2,9),-1.34897 # DEPENDENCYPART_ARC
(2,11),-2.51151 # DEPENDENCYPART_ARC
(2,12),-1.90147 # DEPENDENCYPART_ARC
(2,13),-1.97901 # DEPENDENCYPART_ARC
(3,1),0.425734 # DEPENDENCYPART_ARC
(3,2),1.29424 # DEPENDENCYPART_ARC
(3,4),0.401628 # DEPENDENCYPART_ARC
(3,5),-1.15364 # DEPENDENCYPART_ARC
(3,6),-1.70149 # DEPENDENCYPART_ARC
(3,7),-1.7455 # DEPENDENCYPART_ARC
(3,8),-1.96172 # DEPENDENCYPART_ARC
(3,9),-1.05191 # DEPENDENCYPART_ARC
(3,11),-2.02511 # DEPENDENCYPART_ARC
(3,12),-0.892748 # DEPENDENCYPART_ARC
(3,13),-1.87522 # DEPENDENCYPART_ARC
