# _root_ While the third-quarter earnings were a `` moderate disappointment , '' he said , `` the real bad news is the intensity of price competition '' in the premium-beer sector .
#goldHeads=5,4,4,5,20,9,9,9,5,13,13,13,20,13,13,19,19,19,20,0,22,20,22,25,23,25,25,30,30,27,20,
#predictedHeads=5,4,4,5,20,9,9,9,5,13,13,13,20,13,20,19,19,19,20,0,22,20,22,25,23,25,25,30,30,27,20,
(0,4),-2.81265 # DEPENDENCYPART_ARC
(0,5),-2.15558 # DEPENDENCYPART_ARC
(0,13),-2.14771 # DEPENDENCYPART_ARC
(0,20),-2.3725 # DEPENDENCYPART_ARC
(1,2),-0.205973 # DEPENDENCYPART_ARC
(1,3),-0.853538 # DEPENDENCYPART_ARC
(1,4),-0.91076 # DEPENDENCYPART_ARC
(1,5),-1.4389 # DEPENDENCYPART_ARC
(1,7),-1.51651 # DEPENDENCYPART_ARC
(1,9),-2.09471 # DEPENDENCYPART_ARC
(1,10),-1.57695 # DEPENDENCYPART_ARC
(1,11),-1.71929 # DEPENDENCYPART_ARC
(1,13),-2.4392 # DEPENDENCYPART_ARC
(1,26),-0.910277 # DEPENDENCYPART_ARC
(2,1),-0.17748 # DEPENDENCYPART_ARC
(2,3),-0.418644 # DEPENDENCYPART_ARC
(2,10),-1.27706 # DEPENDENCYPART_ARC
(3,1),-1.30243 # DEPENDENCYPART_ARC
(3,2),-0.0832321 # DEPENDENCYPART_ARC
(3,4),-0.426661 # DEPENDENCYPART_ARC
(3,5),-0.893097 # DEPENDENCYPART_ARC
(3,9),-1.86721 # DEPENDENCYPART_ARC
(3,11),-1.72041 # DEPENDENCYPART_ARC
(3,13),-2.06386 # DEPENDENCYPART_ARC
(4,1),-0.810355 # DEPENDENCYPART_ARC
(4,2),0.438115 # DEPENDENCYPART_ARC
(4,3),1.65193 # DEPENDENCYPART_ARC
(4,5),-0.355202 # DEPENDENCYPART_ARC
(4,6),-1.44376 # DEPENDENCYPART_ARC
(4,7),-1.42613 # DEPENDENCYPART_ARC
(4,9),-1.57297 # DEPENDENCYPART_ARC
(4,10),-1.46375 # DEPENDENCYPART_ARC
(4,11),-1.65801 # DEPENDENCYPART_ARC
(4,13),-2.39277 # DEPENDENCYPART_ARC
(4,14),-1.87692 # DEPENDENCYPART_ARC
(4,19),-1.88873 # DEPENDENCYPART_ARC
(4,20),-2.6997 # DEPENDENCYPART_ARC
(4,31),-2.49531 # DEPENDENCYPART_ARC
(5,1),0.187136 # DEPENDENCYPART_ARC
(5,2),-0.849638 # DEPENDENCYPART_ARC
(5,3),-0.593945 # DEPENDENCYPART_ARC
(5,4),0.698767 # DEPENDENCYPART_ARC
(5,6),0.140564 # DEPENDENCYPART_ARC
(5,7),-0.574467 # DEPENDENCYPART_ARC
(5,8),-0.824289 # DEPENDENCYPART_ARC
(5,9),-0.290084 # DEPENDENCYPART_ARC
(5,10),-1.02753 # DEPENDENCYPART_ARC
(5,11),-1.35072 # DEPENDENCYPART_ARC
(5,13),-1.9642 # DEPENDENCYPART_ARC
(5,14),-1.48472 # DEPENDENCYPART_ARC
(5,15),-1.49284 # DEPENDENCYPART_ARC
(5,17),-1.74088 # DEPENDENCYPART_ARC
(5,19),-1.41245 # DEPENDENCYPART_ARC
(5,20),-1.79948 # DEPENDENCYPART_ARC
(5,22),-1.30867 # DEPENDENCYPART_ARC
(5,25),-1.58213 # DEPENDENCYPART_ARC
(5,26),-1.1537 # DEPENDENCYPART_ARC
(5,27),-2.66418 # DEPENDENCYPART_ARC
(5,30),-1.8176 # DEPENDENCYPART_ARC
(5,31),-0.0519515 # DEPENDENCYPART_ARC
(6,10),-0.940523 # DEPENDENCYPART_ARC
(8,1),-1.40547 # DEPENDENCYPART_ARC
(8,4),-1.37064 # DEPENDENCYPART_ARC
(8,6),-1.09564 # DEPENDENCYPART_ARC
(8,7),-0.127347 # DEPENDENCYPART_ARC
(8,9),-0.383626 # DEPENDENCYPART_ARC
(8,10),-1.08795 # DEPENDENCYPART_ARC
(8,11),-1.4347 # DEPENDENCYPART_ARC
(8,13),-1.74497 # DEPENDENCYPART_ARC
(8,20),-1.80978 # DEPENDENCYPART_ARC
(9,1),-1.4775 # DEPENDENCYPART_ARC
(9,2),-1.80986 # DEPENDENCYPART_ARC
(9,3),-1.06147 # DEPENDENCYPART_ARC
(9,4),-1.37215 # DEPENDENCYPART_ARC
(9,5),-1.03144 # DEPENDENCYPART_ARC
