# _root_ At the appointed exit , the family pulled over , and Mrs. Engelken went to get her papers .
#goldHeads=11,4,4,1,11,7,8,11,8,11,0,13,14,11,16,14,18,16,11,
#predictedHeads=8,4,4,1,8,7,8,11,8,11,0,13,14,11,16,14,18,16,11,
(0,1),-1.75116 # DEPENDENCYPART_ARC
(0,4),-2.77815 # DEPENDENCYPART_ARC
(0,8),-2.47889 # DEPENDENCYPART_ARC
(0,11),-1.94849 # DEPENDENCYPART_ARC
(0,13),-3.21878 # DEPENDENCYPART_ARC
(0,14),-2.07513 # DEPENDENCYPART_ARC
(0,16),-2.80279 # DEPENDENCYPART_ARC
(1,2),0.0965572 # DEPENDENCYPART_ARC
(1,3),-0.482718 # DEPENDENCYPART_ARC
(1,4),-0.340013 # DEPENDENCYPART_ARC
(1,5),-1.1509 # DEPENDENCYPART_ARC
(1,7),-2.05391 # DEPENDENCYPART_ARC
(1,8),-1.87583 # DEPENDENCYPART_ARC
(1,9),-1.75255 # DEPENDENCYPART_ARC
(1,10),-1.677 # DEPENDENCYPART_ARC
(1,11),-1.26648 # DEPENDENCYPART_ARC
(1,13),-2.46224 # DEPENDENCYPART_ARC
(1,14),-1.77037 # DEPENDENCYPART_ARC
(1,19),-1.33075 # DEPENDENCYPART_ARC
(2,1),-0.322092 # DEPENDENCYPART_ARC
(2,3),-0.571869 # DEPENDENCYPART_ARC
(2,5),-1.24307 # DEPENDENCYPART_ARC
(3,1),-1.28309 # DEPENDENCYPART_ARC
(3,2),-0.0588286 # DEPENDENCYPART_ARC
(3,4),-0.4416 # DEPENDENCYPART_ARC
(3,7),-2.01055 # DEPENDENCYPART_ARC
(3,8),-1.76855 # DEPENDENCYPART_ARC
(4,1),-0.777452 # DEPENDENCYPART_ARC
(4,2),0.446578 # DEPENDENCYPART_ARC
(4,3),1.59967 # DEPENDENCYPART_ARC
(4,5),0.208733 # DEPENDENCYPART_ARC
(4,6),-1.64845 # DEPENDENCYPART_ARC
(4,7),-1.56049 # DEPENDENCYPART_ARC
(4,8),-1.73828 # DEPENDENCYPART_ARC
(4,9),-1.82301 # DEPENDENCYPART_ARC
(4,10),-1.35444 # DEPENDENCYPART_ARC
(4,11),-1.29141 # DEPENDENCYPART_ARC
(4,12),-1.64248 # DEPENDENCYPART_ARC
(4,13),-1.761 # DEPENDENCYPART_ARC
(4,14),-2.11845 # DEPENDENCYPART_ARC
(4,15),-1.52252 # DEPENDENCYPART_ARC
(4,16),-2.03152 # DEPENDENCYPART_ARC
(4,18),-1.6075 # DEPENDENCYPART_ARC
(4,19),-2.03655 # DEPENDENCYPART_ARC
(6,5),-0.0269998 # DEPENDENCYPART_ARC
(6,7),-0.396738 # DEPENDENCYPART_ARC
(6,8),-1.16578 # DEPENDENCYPART_ARC
(7,1),-1.96215 # DEPENDENCYPART_ARC
(7,2),-1.58642 # DEPENDENCYPART_ARC
(7,3),-1.77344 # DEPENDENCYPART_ARC
(7,4),-1.95906 # DEPENDENCYPART_ARC
(7,5),-1.08641 # DEPENDENCYPART_ARC
(7,6),1.19896 # DEPENDENCYPART_ARC
(7,8),-0.181715 # DEPENDENCYPART_ARC
(7,9),-1.18331 # DEPENDENCYPART_ARC
(7,10),-1.50012 # DEPENDENCYPART_ARC
(7,11),-1.69699 # DEPENDENCYPART_ARC
(7,14),-2.35403 # DEPENDENCYPART_ARC
(8,1),-0.669032 # DEPENDENCYPART_ARC
(8,2),-1.78062 # DEPENDENCYPART_ARC
(8,3),-1.51766 # DEPENDENCYPART_ARC
(8,4),-1.66275 # DEPENDENCYPART_ARC
(8,5),-0.542953 # DEPENDENCYPART_ARC
(8,6),-0.537064 # DEPENDENCYPART_ARC
(8,7),0.639467 # DEPENDENCYPART_ARC
(8,9),0.848211 # DEPENDENCYPART_ARC
(8,10),-0.446776 # DEPENDENCYPART_ARC
(8,11),-0.809158 # DEPENDENCYPART_ARC
(8,12),-1.50396 # DEPENDENCYPART_ARC
(8,13),-1.45778 # DEPENDENCYPART_ARC
(8,14),-1.53874 # DEPENDENCYPART_ARC
(8,15),-1.53348 # DEPENDENCYPART_ARC
(8,16),-1.65317 # DEPENDENCYPART_ARC
(8,18),-2.07309 # DEPENDENCYPART_ARC
(8,19),-1.34816 # DEPENDENCYPART_ARC
(9,1),-1.99679 # DEPENDENCYPART_ARC
(9,4),-1.95058 # DEPENDENCYPART_ARC
(9,5),-1.50019 # DEPENDENCYPART_ARC
(9,7),-1.24708 # DEPENDENCYPART_ARC
(9,10),-0.0284892 # DEPENDENCYPART_ARC
(9,11),-1.20231 # DEPENDENCYPART_ARC
(9,12),-1.45488 # DEPENDENCYPART_ARC
(9,13),-1.56777 # DEPENDENCYPART_ARC
(9,14),-1.61261 # DEPENDENCYPART_ARC
(9,15),-1.57234 # DEPENDENCYPART_ARC
(9,18),-1.84267 # DEPENDENCYPART_ARC
(10,9),-0.101448 # DEPENDENCYPART_ARC
(11,1),-1.14664 # DEPENDENCYPART_ARC
(11,2),-1.77188 # DEPENDENCYPART_ARC
(11,3),-1.52714 # DEPENDENCYPART_ARC
(11,4),-1.00436 # DEPENDENCYPART_ARC
(11,5),-2.02539 # DEPENDENCYPART_ARC
(11,6),-1.63827 # DEPENDENCYPART_ARC
(11,7),-1.16211 # DEPENDENCYPART_ARC
(11,8),-0.905512 # DEPENDENCYPART_ARC
(11,9),-1.26075 # DEPENDENCYPART_ARC
(11,10),1.0257 # DEPENDENCYPART_ARC
(11,12),0.504878 # DEPENDENCYPART_ARC
(11,13),-0.421044 # DEPENDENCYPART_ARC
(11,14),-0.641265 # DEPENDENCYPART_ARC
(11,15),-1.56824 # DEPENDENCYPART_ARC
(11,16),-1.54853 # DEPENDENCYPART_ARC
(11,18),-1.9749 # DEPENDENCYPART_ARC
(11,19),-0.328339 # DEPENDENCYPART_ARC
(12,13),-0.559822 # DEPENDENCYPART_ARC
(12,14),-0.935627 # DEPENDENCYPART_ARC
(12,16),-1.47941 # DEPENDENCYPART_ARC
(12,19),-1.67852 # DEPENDENCYPART_ARC
(13,3),-1.77845 # DEPENDENCYPART_ARC
(13,6),-1.90957 # DEPENDENCYPART_ARC
(13,7),-2.46149 # DEPENDENCYPART_ARC
(13,9),-1.77221 # DEPENDENCYPART_ARC
(13,10),-1.34271 # DEPENDENCYPART_ARC
(13,11),-0.297377 # DEPENDENCYPART_ARC
(13,12),1.49126 # DEPENDENCYPART_ARC
(13,14),-0.369885 # DEPENDENCYPART_ARC
(13,16),-1.58244 # DEPENDENCYPART_ARC
(13,18),-1.56499 # DEPENDENCYPART_ARC
(13,19),-1.65269 # DEPENDENCYPART_ARC
(14,1),-0.856986 # DEPENDENCYPART_ARC
(14,3),-1.37574 # DEPENDENCYPART_ARC
(14,4),-0.921887 # DEPENDENCYPART_ARC
(14,5),-1.87441 # DEPENDENCYPART_ARC
(14,6),-2.10045 # DEPENDENCYPART_ARC
(14,7),-1.91202 # DEPENDENCYPART_ARC
(14,8),-1.57431 # DEPENDENCYPART_ARC
(14,9),-1.70801 # DEPENDENCYPART_ARC
(14,10),-0.873817 # DEPENDENCYPART_ARC
(14,11),-0.672593 # DEPENDENCYPART_ARC
(14,12),-0.497879 # DEPENDENCYPART_ARC
(14,13),0.631915 # DEPENDENCYPART_ARC
(14,15),0.547739 # DEPENDENCYPART_ARC
(14,16),0.32767 # DEPENDENCYPART_ARC
(14,18),-0.779918 # DEPENDENCYPART_ARC
(14,19),-0.437004 # DEPENDENCYPART_ARC
(15,16),-0.388602 # DEPENDENCYPART_ARC
(15,18),-1.67673 # DEPENDENCYPART_ARC
(15,19),-1.45305 # DEPENDENCYPART_ARC
(16,1),-1.49268 # DEPENDENCYPART_ARC
(16,4),-1.49393 # DEPENDENCYPART_ARC
(16,5),-2.57349 # DEPENDENCYPART_ARC
(16,7),-2.41909 # DEPENDENCYPART_ARC
(16,9),-2.31926 # DEPENDENCYPART_ARC
(16,10),-1.80831 # DEPENDENCYPART_ARC
(16,11),-1.10719 # DEPENDENCYPART_ARC
(16,12),-1.14954 # DEPENDENCYPART_ARC
(16,13),-1.03974 # DEPENDENCYPART_ARC
(16,15),1.1627 # DEPENDENCYPART_ARC
(16,17),0.379957 # DEPENDENCYPART_ARC
(16,18),0.247288 # DEPENDENCYPART_ARC
(16,19),-0.642336 # DEPENDENCYPART_ARC
(18,9),-2.36421 # DEPENDENCYPART_ARC
(18,10),-2.0199 # DEPENDENCYPART_ARC
(18,11),-1.51421 # DEPENDENCYPART_ARC
(18,12),-1.65404 # DEPENDENCYPART_ARC
(18,13),-1.5208 # DEPENDENCYPART_ARC
(18,14),-1.49887 # DEPENDENCYPART_ARC
(18,15),-1.67543 # DEPENDENCYPART_ARC
(18,16),-0.813719 # DEPENDENCYPART_ARC
(18,17),0.673415 # DEPENDENCYPART_ARC
(18,19),-0.318046 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.018696 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0978833 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0640473 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.017478 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.097265 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0959926 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.10204 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0912498 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0506243 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.102006 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0994151 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.131702 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0607487 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.164666 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.158777 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0609008 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.132684 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.135745 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.102006 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0994146 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.158766 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0180004 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0557102 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00100334 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0595346 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0282036 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0248035 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00100334 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0590055 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0559656 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0282036 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.00486921 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0398592 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0388844 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0436816 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0451227 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00667659 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0388844 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0281485 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0401146 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0451227 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0125261 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0321009 # DEPENDENCYPART_SIBL
