# _root_ Complex cases , such as antitrust suits and many business disputes , would receive intense supervision by federal judges to keep pretrial proceedings moving .
#goldHeads=2,13,2,5,2,7,8,5,11,11,8,2,0,13,16,14,16,19,17,21,14,23,24,21,13,
#predictedHeads=2,13,2,5,2,7,8,5,11,11,8,2,0,13,16,14,14,19,17,21,19,23,21,23,13,
(0,2),-2.57225 # DEPENDENCYPART_ARC
(0,8),-3.29187 # DEPENDENCYPART_ARC
(0,11),-3.19201 # DEPENDENCYPART_ARC
(0,13),-2.01227 # DEPENDENCYPART_ARC
(0,14),-1.57319 # DEPENDENCYPART_ARC
(0,24),-2.30904 # DEPENDENCYPART_ARC
(1,2),-0.676462 # DEPENDENCYPART_ARC
(1,4),-1.74945 # DEPENDENCYPART_ARC
(1,5),-2.07901 # DEPENDENCYPART_ARC
(2,1),1.48122 # DEPENDENCYPART_ARC
(2,3),-0.0539875 # DEPENDENCYPART_ARC
(2,4),-1.73155 # DEPENDENCYPART_ARC
(2,5),-1.69499 # DEPENDENCYPART_ARC
(2,6),-2.10549 # DEPENDENCYPART_ARC
(2,7),-2.15161 # DEPENDENCYPART_ARC
(2,8),-1.41366 # DEPENDENCYPART_ARC
(2,9),-2.1403 # DEPENDENCYPART_ARC
(2,10),-1.9841 # DEPENDENCYPART_ARC
(2,11),-1.89966 # DEPENDENCYPART_ARC
(2,12),-1.5712 # DEPENDENCYPART_ARC
(2,13),-1.8055 # DEPENDENCYPART_ARC
(2,14),-2.30592 # DEPENDENCYPART_ARC
(2,17),-1.83633 # DEPENDENCYPART_ARC
(2,25),-1.78445 # DEPENDENCYPART_ARC
(4,1),-1.33425 # DEPENDENCYPART_ARC
(4,2),-1.08313 # DEPENDENCYPART_ARC
(4,3),0.237648 # DEPENDENCYPART_ARC
(4,5),-0.0160462 # DEPENDENCYPART_ARC
(4,6),-0.945592 # DEPENDENCYPART_ARC
(4,7),-1.28175 # DEPENDENCYPART_ARC
(4,8),-1.12579 # DEPENDENCYPART_ARC
(4,9),-0.943617 # DEPENDENCYPART_ARC
(4,12),-1.30117 # DEPENDENCYPART_ARC
(4,13),-1.75421 # DEPENDENCYPART_ARC
(4,14),-1.95964 # DEPENDENCYPART_ARC
(5,2),-1.70611 # DEPENDENCYPART_ARC
(5,3),-1.25069 # DEPENDENCYPART_ARC
(5,4),0.219643 # DEPENDENCYPART_ARC
(5,6),-0.109655 # DEPENDENCYPART_ARC
(5,7),-0.287503 # DEPENDENCYPART_ARC
(5,8),-0.835915 # DEPENDENCYPART_ARC
(5,9),-1.27506 # DEPENDENCYPART_ARC
(5,10),-1.4871 # DEPENDENCYPART_ARC
