# _root_ Humana contends that $ 8,000 represents an extreme case and that its regular charge for lithotripsy is $ 4,900 .
#goldHeads=2,0,6,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
#predictedHeads=2,0,10,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
(0,1),-1.83356 # DEPENDENCYPART_ARC
(0,2),-1.40973 # DEPENDENCYPART_ARC
(0,4),-2.93489 # DEPENDENCYPART_ARC
(0,5),-3.17743 # DEPENDENCYPART_ARC
(0,6),-2.4851 # DEPENDENCYPART_ARC
(0,10),-2.30809 # DEPENDENCYPART_ARC
(0,17),-2.2351 # DEPENDENCYPART_ARC
(1,2),0.0021595 # DEPENDENCYPART_ARC
(1,3),-1.20056 # DEPENDENCYPART_ARC
(1,4),-1.44773 # DEPENDENCYPART_ARC
(1,5),-1.72369 # DEPENDENCYPART_ARC
(1,6),-1.57288 # DEPENDENCYPART_ARC
(1,10),-0.984203 # DEPENDENCYPART_ARC
(1,17),-1.68267 # DEPENDENCYPART_ARC
(1,20),-1.85733 # DEPENDENCYPART_ARC
(2,1),0.860741 # DEPENDENCYPART_ARC
(2,3),0.484336 # DEPENDENCYPART_ARC
(2,4),-0.747001 # DEPENDENCYPART_ARC
(2,5),-1.23106 # DEPENDENCYPART_ARC
(2,6),-0.712729 # DEPENDENCYPART_ARC
(2,8),-1.6952 # DEPENDENCYPART_ARC
(2,9),-1.39253 # DEPENDENCYPART_ARC
(2,10),-0.350349 # DEPENDENCYPART_ARC
(2,11),-1.96696 # DEPENDENCYPART_ARC
(2,14),-1.80387 # DEPENDENCYPART_ARC
(2,15),-1.30117 # DEPENDENCYPART_ARC
(2,17),-1.29979 # DEPENDENCYPART_ARC
(2,20),0.124883 # DEPENDENCYPART_ARC
(3,4),-0.958857 # DEPENDENCYPART_ARC
(3,5),-1.27111 # DEPENDENCYPART_ARC
(3,6),-1.71698 # DEPENDENCYPART_ARC
(4,3),0.492438 # DEPENDENCYPART_ARC
(4,5),0.162846 # DEPENDENCYPART_ARC
(4,6),-0.696378 # DEPENDENCYPART_ARC
(4,7),-1.30868 # DEPENDENCYPART_ARC
(4,8),-1.22463 # DEPENDENCYPART_ARC
(4,9),-1.4181 # DEPENDENCYPART_ARC
(4,10),-1.06244 # DEPENDENCYPART_ARC
(4,11),-1.90087 # DEPENDENCYPART_ARC
(4,13),-1.42937 # DEPENDENCYPART_ARC
(4,14),-1.67776 # DEPENDENCYPART_ARC
(4,16),-1.82893 # DEPENDENCYPART_ARC
(4,19),-2.72029 # DEPENDENCYPART_ARC
(4,20),-1.03226 # DEPENDENCYPART_ARC
(5,3),-0.722665 # DEPENDENCYPART_ARC
(5,4),0.828409 # DEPENDENCYPART_ARC
(5,6),0.174035 # DEPENDENCYPART_ARC
(5,7),-1.07365 # DEPENDENCYPART_ARC
(5,8),-1.07477 # DEPENDENCYPART_ARC
(5,9),-1.26234 # DEPENDENCYPART_ARC
(6,1),-0.645859 # DEPENDENCYPART_ARC
(6,2),-1.07614 # DEPENDENCYPART_ARC
(6,3),-0.0443953 # DEPENDENCYPART_ARC
(6,4),-0.340447 # DEPENDENCYPART_ARC
(6,5),0.470204 # DEPENDENCYPART_ARC
(6,7),0.133754 # DEPENDENCYPART_ARC
(6,8),-0.496549 # DEPENDENCYPART_ARC
(6,9),0.0782712 # DEPENDENCYPART_ARC
(6,10),-0.28762 # DEPENDENCYPART_ARC
(6,11),-1.38581 # DEPENDENCYPART_ARC
(6,13),-1.16077 # DEPENDENCYPART_ARC
(6,14),-0.536049 # DEPENDENCYPART_ARC
(6,15),-1.1438 # DEPENDENCYPART_ARC
(6,16),-1.28835 # DEPENDENCYPART_ARC
(6,17),-0.904512 # DEPENDENCYPART_ARC
(6,20),0.28604 # DEPENDENCYPART_ARC
(7,8),-0.39873 # DEPENDENCYPART_ARC
(7,9),-1.06722 # DEPENDENCYPART_ARC
(7,10),-0.791582 # DEPENDENCYPART_ARC
(8,3),-1.59371 # DEPENDENCYPART_ARC
(8,4),-1.52309 # DEPENDENCYPART_ARC
(8,7),-0.0449699 # DEPENDENCYPART_ARC
(8,9),-0.433333 # DEPENDENCYPART_ARC
(8,10),-1.28113 # DEPENDENCYPART_ARC
(8,11),-1.23599 # DEPENDENCYPART_ARC
(8,13),-1.21247 # DEPENDENCYPART_ARC
(8,17),-1.42195 # DEPENDENCYPART_ARC
(9,3),-1.36506 # DEPENDENCYPART_ARC
(9,4),-1.12315 # DEPENDENCYPART_ARC
(9,5),-1.23816 # DEPENDENCYPART_ARC
(9,6),-0.879238 # DEPENDENCYPART_ARC
(9,7),0.366672 # DEPENDENCYPART_ARC
(9,8),1.48637 # DEPENDENCYPART_ARC
(9,10),-0.616622 # DEPENDENCYPART_ARC
(9,11),-1.41117 # DEPENDENCYPART_ARC
(9,15),-1.42052 # DEPENDENCYPART_ARC
(9,17),-1.45747 # DEPENDENCYPART_ARC
(9,19),-2.38729 # DEPENDENCYPART_ARC
(10,1),-1.25123 # DEPENDENCYPART_ARC
(10,2),-1.2228 # DEPENDENCYPART_ARC
(10,3),-0.29075 # DEPENDENCYPART_ARC
(10,4),-1.18605 # DEPENDENCYPART_ARC
(10,5),-1.02568 # DEPENDENCYPART_ARC
(10,6),-0.841531 # DEPENDENCYPART_ARC
(10,7),-0.748638 # DEPENDENCYPART_ARC
(10,8),-0.525918 # DEPENDENCYPART_ARC
(10,9),0.195583 # DEPENDENCYPART_ARC
(10,11),0.407109 # DEPENDENCYPART_ARC
(10,13),-1.1865 # DEPENDENCYPART_ARC
(10,14),-0.654995 # DEPENDENCYPART_ARC
(10,15),-1.28851 # DEPENDENCYPART_ARC
(10,16),-1.49576 # DEPENDENCYPART_ARC
(10,17),-1.1543 # DEPENDENCYPART_ARC
(10,20),-0.638855 # DEPENDENCYPART_ARC
(11,12),-0.567328 # DEPENDENCYPART_ARC
(11,13),-1.32375 # DEPENDENCYPART_ARC
(11,14),-1.55745 # DEPENDENCYPART_ARC
(11,18),-2.23299 # DEPENDENCYPART_ARC
(13,8),-1.67992 # DEPENDENCYPART_ARC
(13,9),-1.39267 # DEPENDENCYPART_ARC
(13,11),-1.34439 # DEPENDENCYPART_ARC
(13,12),-0.193825 # DEPENDENCYPART_ARC
(13,15),-1.37847 # DEPENDENCYPART_ARC
(13,16),-1.61743 # DEPENDENCYPART_ARC
(13,18),-1.77216 # DEPENDENCYPART_ARC
(14,5),-1.8405 # DEPENDENCYPART_ARC
(14,7),-1.62717 # DEPENDENCYPART_ARC
(14,8),-1.38231 # DEPENDENCYPART_ARC
(14,9),-1.51161 # DEPENDENCYPART_ARC
(14,10),-1.17096 # DEPENDENCYPART_ARC
(14,11),-1.15844 # DEPENDENCYPART_ARC
(14,12),0.0304129 # DEPENDENCYPART_ARC
(14,13),1.49725 # DEPENDENCYPART_ARC
(14,15),0.382533 # DEPENDENCYPART_ARC
(14,16),-1.21047 # DEPENDENCYPART_ARC
(14,17),-0.984122 # DEPENDENCYPART_ARC
