# _root_ As the campaign hits the home stretch , however , voters still have very little idea what they can expect from him .
#goldHeads=4,3,4,13,7,7,4,13,13,13,13,13,0,15,16,13,20,19,16,19,20,21,13,
#predictedHeads=4,3,4,13,7,7,4,13,13,13,13,13,0,15,16,13,20,19,16,19,20,21,13,
(0,3),-2.68289 # DEPENDENCYPART_ARC
(0,4),-1.93218 # DEPENDENCYPART_ARC
(0,13),-2.10098 # DEPENDENCYPART_ARC
(0,19),-2.54372 # DEPENDENCYPART_ARC
(0,20),-2.85451 # DEPENDENCYPART_ARC
(1,2),-0.0402474 # DEPENDENCYPART_ARC
(1,3),-0.196197 # DEPENDENCYPART_ARC
(1,4),-1.27809 # DEPENDENCYPART_ARC
(1,7),-2.09771 # DEPENDENCYPART_ARC
(1,8),-1.62474 # DEPENDENCYPART_ARC
(1,9),-2.1357 # DEPENDENCYPART_ARC
(2,1),-0.470052 # DEPENDENCYPART_ARC
(2,4),-1.10091 # DEPENDENCYPART_ARC
(3,1),-1.01824 # DEPENDENCYPART_ARC
(3,2),1.46893 # DEPENDENCYPART_ARC
(3,4),-0.266125 # DEPENDENCYPART_ARC
(3,7),-1.61818 # DEPENDENCYPART_ARC
(3,8),-1.81506 # DEPENDENCYPART_ARC
(3,10),-1.91766 # DEPENDENCYPART_ARC
(4,1),0.39155 # DEPENDENCYPART_ARC
(4,2),-0.624268 # DEPENDENCYPART_ARC
(4,3),0.783778 # DEPENDENCYPART_ARC
(4,5),-0.041792 # DEPENDENCYPART_ARC
(4,6),-0.144666 # DEPENDENCYPART_ARC
(4,7),-0.144923 # DEPENDENCYPART_ARC
(4,8),-1.0013 # DEPENDENCYPART_ARC
(4,9),-1.29411 # DEPENDENCYPART_ARC
(4,10),-1.53474 # DEPENDENCYPART_ARC
(4,11),-1.19369 # DEPENDENCYPART_ARC
(4,12),-1.39869 # DEPENDENCYPART_ARC
(4,13),-1.16871 # DEPENDENCYPART_ARC
(4,14),-2.02795 # DEPENDENCYPART_ARC
(4,15),-1.6189 # DEPENDENCYPART_ARC
(4,16),-1.62909 # DEPENDENCYPART_ARC
(4,19),-1.8736 # DEPENDENCYPART_ARC
(4,20),-2.00665 # DEPENDENCYPART_ARC
(4,21),-1.91555 # DEPENDENCYPART_ARC
(4,23),-0.719258 # DEPENDENCYPART_ARC
(5,6),-0.408188 # DEPENDENCYPART_ARC
(5,8),-1.29276 # DEPENDENCYPART_ARC
(6,4),-1.80091 # DEPENDENCYPART_ARC
(6,5),0.0191582 # DEPENDENCYPART_ARC
(6,7),-0.938384 # DEPENDENCYPART_ARC
