# _root_ The buy-back , coupled with a nearly completed earlier purchase of 20 million shares , would reduce shares outstanding by more than 26 % .
#goldHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
#predictedHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
(0,2),-2.1257 # DEPENDENCYPART_ARC
(0,4),-2.00878 # DEPENDENCYPART_ARC
(0,7),-2.91582 # DEPENDENCYPART_ARC
(0,8),-2.84732 # DEPENDENCYPART_ARC
(0,16),-2.2744 # DEPENDENCYPART_ARC
(0,17),-2.99368 # DEPENDENCYPART_ARC
(1,2),-0.475483 # DEPENDENCYPART_ARC
(1,3),-1.23137 # DEPENDENCYPART_ARC
(1,4),-1.92906 # DEPENDENCYPART_ARC
(1,8),-2.27825 # DEPENDENCYPART_ARC
(2,1),1.08396 # DEPENDENCYPART_ARC
(2,3),0.149236 # DEPENDENCYPART_ARC
(2,4),-1.40752 # DEPENDENCYPART_ARC
(2,5),-1.67795 # DEPENDENCYPART_ARC
(2,6),-1.98394 # DEPENDENCYPART_ARC
(2,7),-1.87882 # DEPENDENCYPART_ARC
(2,8),-2.29367 # DEPENDENCYPART_ARC
(2,10),-1.62494 # DEPENDENCYPART_ARC
(2,15),-1.36983 # DEPENDENCYPART_ARC
(2,16),-1.7581 # DEPENDENCYPART_ARC
(2,17),-2.15172 # DEPENDENCYPART_ARC
(2,18),-1.7553 # DEPENDENCYPART_ARC
(2,19),-1.46752 # DEPENDENCYPART_ARC
(2,25),-1.9374 # DEPENDENCYPART_ARC
(3,5),-1.41706 # DEPENDENCYPART_ARC
(4,1),-2.00533 # DEPENDENCYPART_ARC
(4,2),-1.88111 # DEPENDENCYPART_ARC
(4,3),-0.0916754 # DEPENDENCYPART_ARC
(4,5),0.669363 # DEPENDENCYPART_ARC
(4,6),-1.01364 # DEPENDENCYPART_ARC
(4,7),-1.05439 # DEPENDENCYPART_ARC
(4,8),-1.09421 # DEPENDENCYPART_ARC
(4,10),-1.75167 # DEPENDENCYPART_ARC
(4,11),-1.85833 # DEPENDENCYPART_ARC
(4,14),-2.10501 # DEPENDENCYPART_ARC
(4,15),-1.58927 # DEPENDENCYPART_ARC
(4,16),-2.04977 # DEPENDENCYPART_ARC
(4,17),-2.44093 # DEPENDENCYPART_ARC
(4,25),-1.17726 # DEPENDENCYPART_ARC
(5,2),-1.79395 # DEPENDENCYPART_ARC
(5,3),-1.22521 # DEPENDENCYPART_ARC
(5,4),-0.267228 # DEPENDENCYPART_ARC
(5,6),-0.0555059 # DEPENDENCYPART_ARC
(5,7),-1.03765 # DEPENDENCYPART_ARC
(5,9),-1.42906 # DEPENDENCYPART_ARC
(5,10),-1.3159 # DEPENDENCYPART_ARC
(5,11),-1.63817 # DEPENDENCYPART_ARC
(5,14),-1.88368 # DEPENDENCYPART_ARC
(5,16),-2.10856 # DEPENDENCYPART_ARC
(5,18),-3.03315 # DEPENDENCYPART_ARC
(6,5),-0.148234 # DEPENDENCYPART_ARC
(6,7),-0.203717 # DEPENDENCYPART_ARC
(6,8),-0.945574 # DEPENDENCYPART_ARC
(7,2),-2.31113 # DEPENDENCYPART_ARC
(7,3),-1.84025 # DEPENDENCYPART_ARC
(7,5),-1.44678 # DEPENDENCYPART_ARC
(7,6),-0.425316 # DEPENDENCYPART_ARC
(7,8),0.0563871 # DEPENDENCYPART_ARC
(7,9),-0.855391 # DEPENDENCYPART_ARC
(7,10),-1.09416 # DEPENDENCYPART_ARC
(7,11),-1.04222 # DEPENDENCYPART_ARC
(7,12),-1.21482 # DEPENDENCYPART_ARC
(7,13),-1.12032 # DEPENDENCYPART_ARC
(7,14),-1.41431 # DEPENDENCYPART_ARC
(8,2),-2.4519 # DEPENDENCYPART_ARC
(8,3),-1.90361 # DEPENDENCYPART_ARC
(8,5),-1.19134 # DEPENDENCYPART_ARC
(8,6),-1.19474 # DEPENDENCYPART_ARC
(8,7),0.0529531 # DEPENDENCYPART_ARC
(8,9),-0.287833 # DEPENDENCYPART_ARC
(8,10),-0.291581 # DEPENDENCYPART_ARC
(8,11),-1.17912 # DEPENDENCYPART_ARC
(8,12),-1.68754 # DEPENDENCYPART_ARC
(8,13),-1.80269 # DEPENDENCYPART_ARC
(8,14),-1.52881 # DEPENDENCYPART_ARC
(8,15),-1.33403 # DEPENDENCYPART_ARC
(8,16),-2.15269 # DEPENDENCYPART_ARC
(8,17),-2.26149 # DEPENDENCYPART_ARC
(8,18),-3.02801 # DEPENDENCYPART_ARC
(8,20),-2.64893 # DEPENDENCYPART_ARC
(8,25),-1.37081 # DEPENDENCYPART_ARC
(9,7),-0.517578 # DEPENDENCYPART_ARC
(9,11),-0.923641 # DEPENDENCYPART_ARC
(10,1),-2.94463 # DEPENDENCYPART_ARC
(10,2),-2.99763 # DEPENDENCYPART_ARC
(10,3),-2.1394 # DEPENDENCYPART_ARC
(10,4),-1.58833 # DEPENDENCYPART_ARC
(10,5),-1.44045 # DEPENDENCYPART_ARC
