# _root_ In New York Stock Exchange composite trading yesterday , Bear Stearns shares closed at $ 13.625 , down 25 cents .
#goldHeads=13,7,7,7,7,7,1,13,13,12,12,13,0,13,14,15,13,13,20,18,13,
#predictedHeads=13,7,7,7,7,7,1,13,13,12,12,13,0,13,14,15,13,13,20,18,13,
(0,12),-3.34083 # DEPENDENCYPART_ARC
(0,13),-1.10651 # DEPENDENCYPART_ARC
(1,2),-0.34201 # DEPENDENCYPART_ARC
(1,3),-0.631357 # DEPENDENCYPART_ARC
(1,4),-1.48921 # DEPENDENCYPART_ARC
(1,5),-1.54887 # DEPENDENCYPART_ARC
(1,6),-1.29021 # DEPENDENCYPART_ARC
(1,7),-1.2413 # DEPENDENCYPART_ARC
(1,8),-2.76067 # DEPENDENCYPART_ARC
(1,9),-1.30779 # DEPENDENCYPART_ARC
(1,21),-2.83921 # DEPENDENCYPART_ARC
(2,3),-2.07641 # DEPENDENCYPART_ARC
(2,4),-2.79439 # DEPENDENCYPART_ARC
(3,1),-3.23708 # DEPENDENCYPART_ARC
(3,2),-0.755114 # DEPENDENCYPART_ARC
(3,4),-1.82837 # DEPENDENCYPART_ARC
(3,5),-2.75174 # DEPENDENCYPART_ARC
(3,6),-3.1788 # DEPENDENCYPART_ARC
(3,8),-3.30504 # DEPENDENCYPART_ARC
(3,9),-2.08361 # DEPENDENCYPART_ARC
(4,1),-3.12827 # DEPENDENCYPART_ARC
(4,2),-0.941177 # DEPENDENCYPART_ARC
(4,3),-0.844294 # DEPENDENCYPART_ARC
(4,5),-1.8769 # DEPENDENCYPART_ARC
(4,6),-2.6029 # DEPENDENCYPART_ARC
(4,7),-3.03679 # DEPENDENCYPART_ARC
(4,8),-2.99046 # DEPENDENCYPART_ARC
(4,9),-1.78169 # DEPENDENCYPART_ARC
(4,12),-3.68296 # DEPENDENCYPART_ARC
(5,1),-2.79579 # DEPENDENCYPART_ARC
(5,2),-0.983584 # DEPENDENCYPART_ARC
(5,3),-0.812921 # DEPENDENCYPART_ARC
(5,4),-0.424614 # DEPENDENCYPART_ARC
(5,6),-1.66016 # DEPENDENCYPART_ARC
(5,7),-2.32797 # DEPENDENCYPART_ARC
(5,8),-2.57318 # DEPENDENCYPART_ARC
(5,9),-1.39871 # DEPENDENCYPART_ARC
(6,1),-2.73017 # DEPENDENCYPART_ARC
(6,2),-1.42124 # DEPENDENCYPART_ARC
(6,3),-1.17033 # DEPENDENCYPART_ARC
(6,4),-0.672679 # DEPENDENCYPART_ARC
(6,5),-0.378709 # DEPENDENCYPART_ARC
(6,7),-1.30305 # DEPENDENCYPART_ARC
(6,8),-2.07437 # DEPENDENCYPART_ARC
(6,9),-1.6487 # DEPENDENCYPART_ARC
(7,1),-1.9347 # DEPENDENCYPART_ARC
(7,2),-0.246702 # DEPENDENCYPART_ARC
(7,3),-0.265071 # DEPENDENCYPART_ARC
(7,4),-0.00136584 # DEPENDENCYPART_ARC
(7,5),0.458254 # DEPENDENCYPART_ARC
(7,6),1.16646 # DEPENDENCYPART_ARC
(7,8),-1.12946 # DEPENDENCYPART_ARC
(7,12),-2.58117 # DEPENDENCYPART_ARC
(8,1),-2.73322 # DEPENDENCYPART_ARC
(8,2),-2.80346 # DEPENDENCYPART_ARC
