# _root_ Kellogg suspended work on a $ 1 billion cereal plant , indicating a pessimistic outlook by the cereal maker , which has been losing market share .
#goldHeads=2,0,2,3,10,10,6,6,10,4,2,2,15,15,12,15,19,19,16,19,22,19,22,23,26,24,2,
#predictedHeads=2,0,2,3,10,10,6,6,10,4,2,2,15,15,12,15,19,19,16,19,22,19,22,23,26,24,2,
(0,1),-1.83658 # DEPENDENCYPART_ARC
(0,2),-1.51191 # DEPENDENCYPART_ARC
(0,3),-3.06868 # DEPENDENCYPART_ARC
(0,6),-2.89473 # DEPENDENCYPART_ARC
(0,12),-2.81508 # DEPENDENCYPART_ARC
(0,22),-3.14727 # DEPENDENCYPART_ARC
(1,2),-0.115282 # DEPENDENCYPART_ARC
(1,3),-1.16354 # DEPENDENCYPART_ARC
(1,4),-1.02708 # DEPENDENCYPART_ARC
(1,6),-1.66929 # DEPENDENCYPART_ARC
(1,10),-1.75165 # DEPENDENCYPART_ARC
(1,11),-1.70352 # DEPENDENCYPART_ARC
(1,20),-1.74247 # DEPENDENCYPART_ARC
(2,1),0.657774 # DEPENDENCYPART_ARC
(2,3),1.01803 # DEPENDENCYPART_ARC
(2,4),-0.357999 # DEPENDENCYPART_ARC
(2,5),-1.10365 # DEPENDENCYPART_ARC
(2,6),-1.04428 # DEPENDENCYPART_ARC
(2,7),-1.37808 # DEPENDENCYPART_ARC
(2,8),-1.479 # DEPENDENCYPART_ARC
(2,9),-1.21444 # DEPENDENCYPART_ARC
(2,10),-0.986886 # DEPENDENCYPART_ARC
(2,11),-0.865056 # DEPENDENCYPART_ARC
(2,12),-1.45931 # DEPENDENCYPART_ARC
(2,15),-1.99272 # DEPENDENCYPART_ARC
(2,16),-2.22089 # DEPENDENCYPART_ARC
(2,20),-1.95124 # DEPENDENCYPART_ARC
(2,22),-1.87687 # DEPENDENCYPART_ARC
(2,23),-1.71799 # DEPENDENCYPART_ARC
(2,24),-1.52166 # DEPENDENCYPART_ARC
(2,27),-1.2161 # DEPENDENCYPART_ARC
(3,1),-0.370675 # DEPENDENCYPART_ARC
(3,2),0.306832 # DEPENDENCYPART_ARC
(3,4),0.514194 # DEPENDENCYPART_ARC
(3,5),-1.45289 # DEPENDENCYPART_ARC
(3,6),-1.21937 # DEPENDENCYPART_ARC
(3,7),-1.54393 # DEPENDENCYPART_ARC
(3,8),-1.84069 # DEPENDENCYPART_ARC
(3,9),-1.3402 # DEPENDENCYPART_ARC
(3,10),-1.54032 # DEPENDENCYPART_ARC
(3,11),-1.68146 # DEPENDENCYPART_ARC
(3,12),-1.88292 # DEPENDENCYPART_ARC
(3,16),-1.74265 # DEPENDENCYPART_ARC
(3,19),-1.96747 # DEPENDENCYPART_ARC
(3,20),-1.80459 # DEPENDENCYPART_ARC
(3,22),-1.86151 # DEPENDENCYPART_ARC
(3,23),-1.98261 # DEPENDENCYPART_ARC
(4,3),-0.702046 # DEPENDENCYPART_ARC
