# _root_ In the 45 minutes before the 9:30 opening bell , the Jacobson specialists kept getting sell orders , heavier than they imagined .
#goldHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
#predictedHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
(0,1),-1.68953 # DEPENDENCYPART_ARC
(0,4),-2.72808 # DEPENDENCYPART_ARC
(0,14),-2.59081 # DEPENDENCYPART_ARC
(0,15),-3.46524 # DEPENDENCYPART_ARC
(0,19),-3.00145 # DEPENDENCYPART_ARC
(0,22),-3.16472 # DEPENDENCYPART_ARC
(1,2),0.186282 # DEPENDENCYPART_ARC
(1,3),-0.490821 # DEPENDENCYPART_ARC
(1,4),-0.444904 # DEPENDENCYPART_ARC
(1,5),-1.00221 # DEPENDENCYPART_ARC
(1,7),-1.32428 # DEPENDENCYPART_ARC
(1,8),-1.68171 # DEPENDENCYPART_ARC
(1,9),-1.83526 # DEPENDENCYPART_ARC
(1,10),-1.04032 # DEPENDENCYPART_ARC
(1,20),-0.778788 # DEPENDENCYPART_ARC
(1,23),-1.36405 # DEPENDENCYPART_ARC
(2,1),-0.546969 # DEPENDENCYPART_ARC
(2,3),-0.271804 # DEPENDENCYPART_ARC
(2,5),-1.18679 # DEPENDENCYPART_ARC
(3,1),-1.2323 # DEPENDENCYPART_ARC
(3,2),-0.109706 # DEPENDENCYPART_ARC
(3,5),-1.13443 # DEPENDENCYPART_ARC
(3,7),-1.72818 # DEPENDENCYPART_ARC
(3,8),-1.48263 # DEPENDENCYPART_ARC
(3,9),-1.65224 # DEPENDENCYPART_ARC
(3,19),-1.76894 # DEPENDENCYPART_ARC
(4,1),-0.944996 # DEPENDENCYPART_ARC
(4,2),0.33556 # DEPENDENCYPART_ARC
(4,3),0.798248 # DEPENDENCYPART_ARC
(4,5),0.256262 # DEPENDENCYPART_ARC
(4,6),-1.21617 # DEPENDENCYPART_ARC
(4,7),-1.41206 # DEPENDENCYPART_ARC
(4,8),-1.14661 # DEPENDENCYPART_ARC
(4,9),-1.41904 # DEPENDENCYPART_ARC
(4,10),-1.22853 # DEPENDENCYPART_ARC
(4,12),-1.75353 # DEPENDENCYPART_ARC
(4,13),-1.85503 # DEPENDENCYPART_ARC
(4,14),-1.7787 # DEPENDENCYPART_ARC
(4,15),-2.15774 # DEPENDENCYPART_ARC
(4,17),-1.79936 # DEPENDENCYPART_ARC
(4,18),-1.57011 # DEPENDENCYPART_ARC
(4,20),-1.62794 # DEPENDENCYPART_ARC
(4,22),-1.96686 # DEPENDENCYPART_ARC
(4,23),-1.88264 # DEPENDENCYPART_ARC
(5,1),-1.24295 # DEPENDENCYPART_ARC
(5,3),-1.33931 # DEPENDENCYPART_ARC
(5,4),-0.257556 # DEPENDENCYPART_ARC
(5,6),-0.13682 # DEPENDENCYPART_ARC
(5,7),-0.915603 # DEPENDENCYPART_ARC
(5,8),-0.858123 # DEPENDENCYPART_ARC
(5,9),-0.949886 # DEPENDENCYPART_ARC
(5,10),-1.34432 # DEPENDENCYPART_ARC
(5,13),-2.54034 # DEPENDENCYPART_ARC
(6,7),-0.189968 # DEPENDENCYPART_ARC
(6,10),-1.11809 # DEPENDENCYPART_ARC
(7,2),-1.62435 # DEPENDENCYPART_ARC
(7,3),-1.46104 # DEPENDENCYPART_ARC
(7,5),-1.30227 # DEPENDENCYPART_ARC
(7,6),-0.179596 # DEPENDENCYPART_ARC
(7,8),-0.0302778 # DEPENDENCYPART_ARC
(7,9),-0.985736 # DEPENDENCYPART_ARC
(7,10),-1.09117 # DEPENDENCYPART_ARC
(7,14),-1.7307 # DEPENDENCYPART_ARC
(7,19),-1.65663 # DEPENDENCYPART_ARC
(8,1),-1.9023 # DEPENDENCYPART_ARC
(8,2),-2.47408 # DEPENDENCYPART_ARC
(8,3),-1.82358 # DEPENDENCYPART_ARC
(8,4),-2.24096 # DEPENDENCYPART_ARC
(8,5),-1.55953 # DEPENDENCYPART_ARC
(8,6),-0.533215 # DEPENDENCYPART_ARC
(8,7),0.0759306 # DEPENDENCYPART_ARC
(8,9),-0.418553 # DEPENDENCYPART_ARC
(8,13),-2.11682 # DEPENDENCYPART_ARC
(8,14),-1.74977 # DEPENDENCYPART_ARC
(8,18),-1.91698 # DEPENDENCYPART_ARC
(9,1),-1.07563 # DEPENDENCYPART_ARC
(9,2),-1.36389 # DEPENDENCYPART_ARC
(9,3),-1.19248 # DEPENDENCYPART_ARC
(9,4),-1.16286 # DEPENDENCYPART_ARC
(9,5),-0.819316 # DEPENDENCYPART_ARC
(9,6),-0.0545275 # DEPENDENCYPART_ARC
(9,7),-0.0413932 # DEPENDENCYPART_ARC
(9,8),1.67892 # DEPENDENCYPART_ARC
(9,10),0.523527 # DEPENDENCYPART_ARC
(9,11),-1.72525 # DEPENDENCYPART_ARC
(9,12),-1.50815 # DEPENDENCYPART_ARC
(9,13),-1.75302 # DEPENDENCYPART_ARC
(9,14),-1.74376 # DEPENDENCYPART_ARC
(9,15),-2.23646 # DEPENDENCYPART_ARC
(9,16),-1.78004 # DEPENDENCYPART_ARC
(9,17),-1.75762 # DEPENDENCYPART_ARC
(9,18),-1.11661 # DEPENDENCYPART_ARC
(9,20),-1.70053 # DEPENDENCYPART_ARC
(9,22),-2.16061 # DEPENDENCYPART_ARC
(9,23),-1.85574 # DEPENDENCYPART_ARC
(11,10),-0.0650026 # DEPENDENCYPART_ARC
(11,15),-1.63953 # DEPENDENCYPART_ARC
(12,11),-0.567232 # DEPENDENCYPART_ARC
(12,13),-0.689652 # DEPENDENCYPART_ARC
(12,14),-0.724307 # DEPENDENCYPART_ARC
(12,15),-1.42299 # DEPENDENCYPART_ARC
(12,17),-1.88535 # DEPENDENCYPART_ARC
(13,1),-1.616 # DEPENDENCYPART_ARC
(13,5),-1.71395 # DEPENDENCYPART_ARC
(13,6),-1.59736 # DEPENDENCYPART_ARC
(13,7),-1.79123 # DEPENDENCYPART_ARC
(13,8),-1.19614 # DEPENDENCYPART_ARC
(13,9),-1.57651 # DEPENDENCYPART_ARC
(13,10),-1.35146 # DEPENDENCYPART_ARC
(13,11),0.483494 # DEPENDENCYPART_ARC
(13,12),1.63627 # DEPENDENCYPART_ARC
(13,14),-0.336731 # DEPENDENCYPART_ARC
(13,15),-1.26966 # DEPENDENCYPART_ARC
(13,17),-1.44896 # DEPENDENCYPART_ARC
(13,18),-1.56856 # DEPENDENCYPART_ARC
(13,19),-1.95157 # DEPENDENCYPART_ARC
(13,23),-2.14693 # DEPENDENCYPART_ARC
(14,1),-0.97161 # DEPENDENCYPART_ARC
(14,3),-1.77288 # DEPENDENCYPART_ARC
(14,4),-1.38048 # DEPENDENCYPART_ARC
(14,5),-0.813799 # DEPENDENCYPART_ARC
(14,6),-1.97549 # DEPENDENCYPART_ARC
(14,7),-1.78137 # DEPENDENCYPART_ARC
(14,8),-1.77418 # DEPENDENCYPART_ARC
(14,9),-1.73529 # DEPENDENCYPART_ARC
(14,10),-0.614485 # DEPENDENCYPART_ARC
(14,11),-0.938835 # DEPENDENCYPART_ARC
(14,12),-0.405815 # DEPENDENCYPART_ARC
(14,13),0.841455 # DEPENDENCYPART_ARC
(14,15),1.18418 # DEPENDENCYPART_ARC
(14,16),-0.801166 # DEPENDENCYPART_ARC
(14,17),-0.691154 # DEPENDENCYPART_ARC
(14,18),-1.36225 # DEPENDENCYPART_ARC
(14,19),-1.7557 # DEPENDENCYPART_ARC
(14,20),-2.2164 # DEPENDENCYPART_ARC
(14,22),-1.92262 # DEPENDENCYPART_ARC
(14,23),-1.1441 # DEPENDENCYPART_ARC
(15,4),-2.86435 # DEPENDENCYPART_ARC
(15,13),-1.55938 # DEPENDENCYPART_ARC
(15,14),-1.14695 # DEPENDENCYPART_ARC
(15,16),0.244492 # DEPENDENCYPART_ARC
(15,17),0.165473 # DEPENDENCYPART_ARC
(15,18),-0.885039 # DEPENDENCYPART_ARC
(15,20),-1.86123 # DEPENDENCYPART_ARC
(15,22),-1.7084 # DEPENDENCYPART_ARC
(15,23),-1.51887 # DEPENDENCYPART_ARC
(16,9),-1.62365 # DEPENDENCYPART_ARC
(16,12),-1.07226 # DEPENDENCYPART_ARC
(16,13),-1.04002 # DEPENDENCYPART_ARC
(16,17),-0.458504 # DEPENDENCYPART_ARC
(16,18),-1.23596 # DEPENDENCYPART_ARC
(16,19),-1.58385 # DEPENDENCYPART_ARC
(16,20),-1.72237 # DEPENDENCYPART_ARC
(16,22),-1.83697 # DEPENDENCYPART_ARC
(17,11),-1.9279 # DEPENDENCYPART_ARC
(17,12),-0.738918 # DEPENDENCYPART_ARC
(17,13),-1.03223 # DEPENDENCYPART_ARC
(17,14),-1.02741 # DEPENDENCYPART_ARC
(17,15),-0.363751 # DEPENDENCYPART_ARC
(17,16),1.5908 # DEPENDENCYPART_ARC
(17,18),0.249011 # DEPENDENCYPART_ARC
(17,19),-1.46338 # DEPENDENCYPART_ARC
(17,20),-1.73906 # DEPENDENCYPART_ARC
(17,22),-1.93738 # DEPENDENCYPART_ARC
