# _root_ Martin Fabi , Innopac 's president and chief executive , said Innopac viewed Mr. Pattison 's decision to seek control as a `` very positive '' move .
#goldHeads=2,11,2,7,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
#predictedHeads=2,11,2,6,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
(0,2),-2.5344 # DEPENDENCYPART_ARC
(0,7),-3.00354 # DEPENDENCYPART_ARC
(0,11),-0.0755253 # DEPENDENCYPART_ARC
(0,13),-1.55562 # DEPENDENCYPART_ARC
(1,2),-0.719518 # DEPENDENCYPART_ARC
(1,3),-1.40404 # DEPENDENCYPART_ARC
(1,4),-1.97942 # DEPENDENCYPART_ARC
(1,5),-2.21408 # DEPENDENCYPART_ARC
(1,6),-2.26403 # DEPENDENCYPART_ARC
(1,7),-1.42658 # DEPENDENCYPART_ARC
(1,10),-1.77048 # DEPENDENCYPART_ARC
(1,11),-1.8159 # DEPENDENCYPART_ARC
(2,1),1.40421 # DEPENDENCYPART_ARC
(2,3),0.487558 # DEPENDENCYPART_ARC
(2,4),-1.16049 # DEPENDENCYPART_ARC
(2,5),-1.34951 # DEPENDENCYPART_ARC
(2,6),-1.72612 # DEPENDENCYPART_ARC
(2,7),-1.21541 # DEPENDENCYPART_ARC
(2,9),-1.79094 # DEPENDENCYPART_ARC
(2,10),-0.851646 # DEPENDENCYPART_ARC
(2,11),-1.7415 # DEPENDENCYPART_ARC
(2,12),-2.07222 # DEPENDENCYPART_ARC
(2,13),-2.15497 # DEPENDENCYPART_ARC
(2,15),-2.03362 # DEPENDENCYPART_ARC
(2,23),-1.54452 # DEPENDENCYPART_ARC
(2,26),-1.06937 # DEPENDENCYPART_ARC
(2,28),-1.8309 # DEPENDENCYPART_ARC
(4,1),-1.15381 # DEPENDENCYPART_ARC
(4,2),-1.11105 # DEPENDENCYPART_ARC
(4,3),-0.332214 # DEPENDENCYPART_ARC
(4,5),0.999078 # DEPENDENCYPART_ARC
(4,6),-0.940618 # DEPENDENCYPART_ARC
(4,7),-0.597317 # DEPENDENCYPART_ARC
(4,8),-1.04207 # DEPENDENCYPART_ARC
(4,9),-1.41692 # DEPENDENCYPART_ARC
(4,10),-1.03659 # DEPENDENCYPART_ARC
(4,11),-1.64537 # DEPENDENCYPART_ARC
(4,13),-1.99308 # DEPENDENCYPART_ARC
(6,1),-1.55003 # DEPENDENCYPART_ARC
(6,2),-1.78628 # DEPENDENCYPART_ARC
(6,3),-1.613 # DEPENDENCYPART_ARC
(6,4),0.0626526 # DEPENDENCYPART_ARC
(6,5),-0.161981 # DEPENDENCYPART_ARC
(6,7),-0.547087 # DEPENDENCYPART_ARC
(6,8),-1.26921 # DEPENDENCYPART_ARC
(6,9),-1.52082 # DEPENDENCYPART_ARC
(6,10),-1.58363 # DEPENDENCYPART_ARC
(7,1),-1.32409 # DEPENDENCYPART_ARC
(7,2),-0.953956 # DEPENDENCYPART_ARC
(7,3),-0.532992 # DEPENDENCYPART_ARC
(7,4),-0.320161 # DEPENDENCYPART_ARC
(7,6),1.15578 # DEPENDENCYPART_ARC
(7,8),0.680006 # DEPENDENCYPART_ARC
(7,9),0.884877 # DEPENDENCYPART_ARC
(7,10),-0.690299 # DEPENDENCYPART_ARC
(7,11),-1.46396 # DEPENDENCYPART_ARC
(7,12),-0.975713 # DEPENDENCYPART_ARC
(7,13),-2.22557 # DEPENDENCYPART_ARC
(7,15),-1.72106 # DEPENDENCYPART_ARC
(7,17),-1.94375 # DEPENDENCYPART_ARC
(7,19),-2.42525 # DEPENDENCYPART_ARC
(7,20),-1.96126 # DEPENDENCYPART_ARC
(7,26),0.269516 # DEPENDENCYPART_ARC
(7,27),-2.5522 # DEPENDENCYPART_ARC
(7,28),-1.53062 # DEPENDENCYPART_ARC
(8,6),-1.65835 # DEPENDENCYPART_ARC
(8,9),-0.571045 # DEPENDENCYPART_ARC
(8,11),-1.73457 # DEPENDENCYPART_ARC
(9,1),-1.79149 # DEPENDENCYPART_ARC
(9,2),-2.14801 # DEPENDENCYPART_ARC
(9,3),-1.60153 # DEPENDENCYPART_ARC
(9,4),-0.603058 # DEPENDENCYPART_ARC
(9,6),-0.875684 # DEPENDENCYPART_ARC
(9,7),-0.435304 # DEPENDENCYPART_ARC
(9,8),1.33165 # DEPENDENCYPART_ARC
(9,10),0.0854888 # DEPENDENCYPART_ARC
(9,11),-1.71235 # DEPENDENCYPART_ARC
(9,12),-1.83126 # DEPENDENCYPART_ARC
(9,13),-2.25762 # DEPENDENCYPART_ARC
(9,15),-2.02126 # DEPENDENCYPART_ARC
(9,18),-1.83822 # DEPENDENCYPART_ARC
(9,19),-2.36456 # DEPENDENCYPART_ARC
(9,25),-2.07782 # DEPENDENCYPART_ARC
(11,1),-0.933172 # DEPENDENCYPART_ARC
(11,2),-0.781633 # DEPENDENCYPART_ARC
(11,3),-1.60323 # DEPENDENCYPART_ARC
(11,4),-1.89278 # DEPENDENCYPART_ARC
(11,6),-1.86921 # DEPENDENCYPART_ARC
(11,7),-1.21091 # DEPENDENCYPART_ARC
(11,8),-1.38098 # DEPENDENCYPART_ARC
(11,9),-1.32307 # DEPENDENCYPART_ARC
(11,10),0.851442 # DEPENDENCYPART_ARC
(11,12),0.451691 # DEPENDENCYPART_ARC
(11,13),0.040647 # DEPENDENCYPART_ARC
(11,15),-1.10692 # DEPENDENCYPART_ARC
(11,17),-1.17524 # DEPENDENCYPART_ARC
(11,18),-1.29089 # DEPENDENCYPART_ARC
(11,19),-0.69437 # DEPENDENCYPART_ARC
(11,21),-1.08603 # DEPENDENCYPART_ARC
(11,23),-1.60907 # DEPENDENCYPART_ARC
(11,24),-1.7552 # DEPENDENCYPART_ARC
(11,25),-1.16881 # DEPENDENCYPART_ARC
(11,26),-0.139907 # DEPENDENCYPART_ARC
(11,28),0.882814 # DEPENDENCYPART_ARC
(12,1),-2.48063 # DEPENDENCYPART_ARC
(12,2),-2.7562 # DEPENDENCYPART_ARC
(12,4),-2.69409 # DEPENDENCYPART_ARC
(12,7),-2.22321 # DEPENDENCYPART_ARC
(12,8),-2.01721 # DEPENDENCYPART_ARC
(12,9),-2.34543 # DEPENDENCYPART_ARC
(12,10),-1.49412 # DEPENDENCYPART_ARC
(12,11),0.186254 # DEPENDENCYPART_ARC
(12,13),0.056026 # DEPENDENCYPART_ARC
(12,15),-1.49767 # DEPENDENCYPART_ARC
(12,16),-1.41191 # DEPENDENCYPART_ARC
(13,1),-1.15711 # DEPENDENCYPART_ARC
(13,2),-1.22982 # DEPENDENCYPART_ARC
(13,3),-1.93695 # DEPENDENCYPART_ARC
(13,4),-1.91954 # DEPENDENCYPART_ARC
(13,6),-2.09298 # DEPENDENCYPART_ARC
(13,7),-1.13352 # DEPENDENCYPART_ARC
(13,8),-1.66065 # DEPENDENCYPART_ARC
(13,9),-1.90468 # DEPENDENCYPART_ARC
(13,10),-1.05263 # DEPENDENCYPART_ARC
(13,11),-0.96081 # DEPENDENCYPART_ARC
(13,12),0.345797 # DEPENDENCYPART_ARC
(13,14),0.792843 # DEPENDENCYPART_ARC
(13,15),0.220554 # DEPENDENCYPART_ARC
