# _root_ Vegetables are abundant and full of flavor in Poland , the pickles and sauerkraut sublime , the state monopolies long broken .
#goldHeads=2,0,4,2,4,5,6,2,8,2,13,13,1,13,4,2,19,19,1,21,4,2,
#predictedHeads=2,0,4,2,4,5,6,2,13,13,12,13,8,13,13,13,19,19,13,21,19,2,
(0,1),-1.81574 # DEPENDENCYPART_ARC
(0,2),-1.68827 # DEPENDENCYPART_ARC
(0,3),-2.79219 # DEPENDENCYPART_ARC
(0,4),-2.28248 # DEPENDENCYPART_ARC
(0,5),-2.95941 # DEPENDENCYPART_ARC
(0,6),-2.93935 # DEPENDENCYPART_ARC
(0,13),-2.8431 # DEPENDENCYPART_ARC
(0,15),-3.40512 # DEPENDENCYPART_ARC
(0,21),-3.40824 # DEPENDENCYPART_ARC
(1,2),-0.227144 # DEPENDENCYPART_ARC
(1,3),-1.22872 # DEPENDENCYPART_ARC
(1,4),-1.1777 # DEPENDENCYPART_ARC
(1,5),-1.47502 # DEPENDENCYPART_ARC
(1,6),-1.20661 # DEPENDENCYPART_ARC
(1,8),-1.25911 # DEPENDENCYPART_ARC
(1,10),-1.66574 # DEPENDENCYPART_ARC
(1,16),-1.95372 # DEPENDENCYPART_ARC
(2,1),0.89894 # DEPENDENCYPART_ARC
(2,3),0.758337 # DEPENDENCYPART_ARC
(2,4),-0.287784 # DEPENDENCYPART_ARC
(2,5),-0.525295 # DEPENDENCYPART_ARC
(2,6),-0.951092 # DEPENDENCYPART_ARC
(2,7),-0.619088 # DEPENDENCYPART_ARC
(2,8),-0.692763 # DEPENDENCYPART_ARC
(2,10),-1.36524 # DEPENDENCYPART_ARC
(2,13),-0.826168 # DEPENDENCYPART_ARC
(2,16),-1.99477 # DEPENDENCYPART_ARC
(2,19),-1.80992 # DEPENDENCYPART_ARC
(2,22),-0.230465 # DEPENDENCYPART_ARC
(3,1),-1.15085 # DEPENDENCYPART_ARC
(3,4),-0.43892 # DEPENDENCYPART_ARC
(3,5),-0.854814 # DEPENDENCYPART_ARC
(3,6),-1.02785 # DEPENDENCYPART_ARC
(3,7),-1.40533 # DEPENDENCYPART_ARC
(3,8),-1.40102 # DEPENDENCYPART_ARC
(3,9),-1.54536 # DEPENDENCYPART_ARC
(4,1),-0.662321 # DEPENDENCYPART_ARC
(4,2),-0.380256 # DEPENDENCYPART_ARC
(4,3),1.22314 # DEPENDENCYPART_ARC
(4,5),0.948871 # DEPENDENCYPART_ARC
(4,6),-0.40784 # DEPENDENCYPART_ARC
(4,7),-0.967249 # DEPENDENCYPART_ARC
(4,8),-1.13771 # DEPENDENCYPART_ARC
(4,9),-1.43081 # DEPENDENCYPART_ARC
(4,10),-1.11431 # DEPENDENCYPART_ARC
(4,12),-2.61797 # DEPENDENCYPART_ARC
(4,13),-1.51 # DEPENDENCYPART_ARC
(4,14),-2.6457 # DEPENDENCYPART_ARC
(4,16),-1.62808 # DEPENDENCYPART_ARC
(4,19),-2.83227 # DEPENDENCYPART_ARC
(4,22),-1.68285 # DEPENDENCYPART_ARC
(5,1),-1.98963 # DEPENDENCYPART_ARC
(5,3),-1.63587 # DEPENDENCYPART_ARC
(5,4),-0.50409 # DEPENDENCYPART_ARC
(5,6),0.473686 # DEPENDENCYPART_ARC
(5,7),-0.667849 # DEPENDENCYPART_ARC
(5,8),-0.679667 # DEPENDENCYPART_ARC
(5,9),-1.00189 # DEPENDENCYPART_ARC
(5,10),-0.889404 # DEPENDENCYPART_ARC
(5,13),-1.03015 # DEPENDENCYPART_ARC
(5,22),-1.37712 # DEPENDENCYPART_ARC
(6,4),-1.01437 # DEPENDENCYPART_ARC
(6,5),-0.367955 # DEPENDENCYPART_ARC
(6,7),0.736578 # DEPENDENCYPART_ARC
(6,8),-0.813998 # DEPENDENCYPART_ARC
(6,9),-0.992921 # DEPENDENCYPART_ARC
(6,10),-1.03898 # DEPENDENCYPART_ARC
(6,13),-1.43119 # DEPENDENCYPART_ARC
(7,2),-1.91389 # DEPENDENCYPART_ARC
(7,3),-1.85119 # DEPENDENCYPART_ARC
(7,4),-1.25167 # DEPENDENCYPART_ARC
(7,5),-1.16753 # DEPENDENCYPART_ARC
(7,6),-0.497908 # DEPENDENCYPART_ARC
(7,8),0.345514 # DEPENDENCYPART_ARC
(7,9),-0.985392 # DEPENDENCYPART_ARC
(7,10),-1.36032 # DEPENDENCYPART_ARC
(7,11),-1.9688 # DEPENDENCYPART_ARC
(7,12),-1.78893 # DEPENDENCYPART_ARC
(7,13),-1.24068 # DEPENDENCYPART_ARC
(7,14),-1.78736 # DEPENDENCYPART_ARC
(7,15),-1.69897 # DEPENDENCYPART_ARC
(7,16),-1.6824 # DEPENDENCYPART_ARC
(7,19),-2.07638 # DEPENDENCYPART_ARC
(7,20),-1.53451 # DEPENDENCYPART_ARC
(7,21),-1.4765 # DEPENDENCYPART_ARC
(7,22),-1.61873 # DEPENDENCYPART_ARC
(8,6),-1.11267 # DEPENDENCYPART_ARC
(8,7),-0.482016 # DEPENDENCYPART_ARC
(8,9),1.01465 # DEPENDENCYPART_ARC
(8,10),-0.704742 # DEPENDENCYPART_ARC
(8,12),-1.72555 # DEPENDENCYPART_ARC
(8,13),-1.24641 # DEPENDENCYPART_ARC
(8,14),-2.57478 # DEPENDENCYPART_ARC
(8,15),-1.51973 # DEPENDENCYPART_ARC
(8,19),-2.87687 # DEPENDENCYPART_ARC
(8,20),-1.10679 # DEPENDENCYPART_ARC
(9,4),-1.69263 # DEPENDENCYPART_ARC
(9,5),-2.47287 # DEPENDENCYPART_ARC
(9,7),-1.20276 # DEPENDENCYPART_ARC
(9,8),-0.570213 # DEPENDENCYPART_ARC
(9,10),0.0876301 # DEPENDENCYPART_ARC
(9,12),-1.53159 # DEPENDENCYPART_ARC
(9,13),-1.37864 # DEPENDENCYPART_ARC
(9,14),-1.61808 # DEPENDENCYPART_ARC
(9,16),-1.33477 # DEPENDENCYPART_ARC
(9,18),-1.7298 # DEPENDENCYPART_ARC
(9,22),-1.51543 # DEPENDENCYPART_ARC
(11,10),0.0228287 # DEPENDENCYPART_ARC
(11,12),-0.438335 # DEPENDENCYPART_ARC
(12,9),-2.30614 # DEPENDENCYPART_ARC
(12,11),0.565839 # DEPENDENCYPART_ARC
(12,14),-1.31074 # DEPENDENCYPART_ARC
(12,15),-1.41101 # DEPENDENCYPART_ARC
(12,19),-2.16182 # DEPENDENCYPART_ARC
(12,20),-2.04571 # DEPENDENCYPART_ARC
(12,21),-2.02251 # DEPENDENCYPART_ARC
(13,1),-1.52777 # DEPENDENCYPART_ARC
(13,2),-1.56992 # DEPENDENCYPART_ARC
(13,3),-1.67723 # DEPENDENCYPART_ARC
(13,4),-1.24602 # DEPENDENCYPART_ARC
(13,5),-1.72515 # DEPENDENCYPART_ARC
(13,6),-1.71924 # DEPENDENCYPART_ARC
(13,7),-1.10571 # DEPENDENCYPART_ARC
(13,8),-1.58413 # DEPENDENCYPART_ARC
(13,9),-0.476767 # DEPENDENCYPART_ARC
(13,10),-0.564106 # DEPENDENCYPART_ARC
(13,11),-0.0916743 # DEPENDENCYPART_ARC
(13,12),2.07463 # DEPENDENCYPART_ARC
(13,14),1.83822 # DEPENDENCYPART_ARC
(13,15),-0.335846 # DEPENDENCYPART_ARC
(13,16),-0.81491 # DEPENDENCYPART_ARC
(13,17),-1.58717 # DEPENDENCYPART_ARC
(13,18),-1.26745 # DEPENDENCYPART_ARC
(13,19),-1.61962 # DEPENDENCYPART_ARC
(13,20),-1.52625 # DEPENDENCYPART_ARC
(13,21),-1.66639 # DEPENDENCYPART_ARC
