# _root_ There is such a maze of federal , state and local codes that `` building inspectors are backing away from interpreting them , '' Mr. Dooling says .
#goldHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,5,17,18,19,20,21,27,27,26,27,0,27,
#predictedHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,12,17,18,18,20,21,27,27,26,27,0,27,
(0,2),-1.4285 # DEPENDENCYPART_ARC
(0,17),-1.91005 # DEPENDENCYPART_ARC
(0,27),0.495956 # DEPENDENCYPART_ARC
(2,1),0.722515 # DEPENDENCYPART_ARC
(2,4),-0.701129 # DEPENDENCYPART_ARC
(2,5),-0.0208257 # DEPENDENCYPART_ARC
(2,6),-0.959474 # DEPENDENCYPART_ARC
(2,7),-0.806592 # DEPENDENCYPART_ARC
(2,8),-0.848651 # DEPENDENCYPART_ARC
(2,9),-1.75682 # DEPENDENCYPART_ARC
(2,10),-1.01911 # DEPENDENCYPART_ARC
(2,11),-1.60827 # DEPENDENCYPART_ARC
(2,12),-1.82248 # DEPENDENCYPART_ARC
(2,14),-1.67149 # DEPENDENCYPART_ARC
(2,17),-2.29224 # DEPENDENCYPART_ARC
(2,18),-2.46587 # DEPENDENCYPART_ARC
(2,19),-2.18712 # DEPENDENCYPART_ARC
(2,21),-2.71338 # DEPENDENCYPART_ARC
(2,23),-2.33839 # DEPENDENCYPART_ARC
(2,24),-0.158532 # DEPENDENCYPART_ARC
(2,27),-2.84749 # DEPENDENCYPART_ARC
(2,28),-1.18 # DEPENDENCYPART_ARC
(4,3),-0.247226 # DEPENDENCYPART_ARC
(4,6),-1.26094 # DEPENDENCYPART_ARC
(4,7),-1.50899 # DEPENDENCYPART_ARC
(5,2),-1.37361 # DEPENDENCYPART_ARC
(5,3),-0.558227 # DEPENDENCYPART_ARC
(5,4),1.20133 # DEPENDENCYPART_ARC
(5,6),0.630619 # DEPENDENCYPART_ARC
(5,7),-0.91083 # DEPENDENCYPART_ARC
(5,8),-1.41891 # DEPENDENCYPART_ARC
(5,9),-1.45234 # DEPENDENCYPART_ARC
(5,10),-1.25716 # DEPENDENCYPART_ARC
(5,11),-1.54982 # DEPENDENCYPART_ARC
(5,12),-1.31674 # DEPENDENCYPART_ARC
(5,13),-1.5569 # DEPENDENCYPART_ARC
(5,14),-1.56651 # DEPENDENCYPART_ARC
(5,16),-1.72419 # DEPENDENCYPART_ARC
(5,17),-1.79507 # DEPENDENCYPART_ARC
(5,18),-1.94089 # DEPENDENCYPART_ARC
(5,19),-1.60861 # DEPENDENCYPART_ARC
(5,20),-2.00776 # DEPENDENCYPART_ARC
(5,23),-1.99547 # DEPENDENCYPART_ARC
(5,24),-0.909139 # DEPENDENCYPART_ARC
(5,28),-1.77849 # DEPENDENCYPART_ARC
(6,4),-1.33296 # DEPENDENCYPART_ARC
(6,5),-0.476444 # DEPENDENCYPART_ARC
(6,7),0.0601063 # DEPENDENCYPART_ARC
(6,8),-1.04644 # DEPENDENCYPART_ARC
(6,9),-1.47693 # DEPENDENCYPART_ARC
(6,10),-1.43794 # DEPENDENCYPART_ARC
(6,11),-1.80065 # DEPENDENCYPART_ARC
(6,12),-2.2468 # DEPENDENCYPART_ARC
(6,14),-1.71713 # DEPENDENCYPART_ARC
(6,16),-2.81111 # DEPENDENCYPART_ARC
(7,4),-1.4602 # DEPENDENCYPART_ARC
(7,5),-1.17432 # DEPENDENCYPART_ARC
(7,6),-0.272559 # DEPENDENCYPART_ARC
(7,8),-0.265472 # DEPENDENCYPART_ARC
(7,9),-1.62796 # DEPENDENCYPART_ARC
(7,10),-1.39473 # DEPENDENCYPART_ARC
(7,11),-1.5108 # DEPENDENCYPART_ARC
(9,4),-1.64194 # DEPENDENCYPART_ARC
(9,5),-1.71961 # DEPENDENCYPART_ARC
