# _root_ But Merrill Lynch , in its statement about pulling out of index arbitrage , suggested that the current debate has missed the mark .
#goldHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
#predictedHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
(0,1),-2.29372 # DEPENDENCYPART_ARC
(0,3),-2.63741 # DEPENDENCYPART_ARC
(0,7),-3.43297 # DEPENDENCYPART_ARC
(0,9),-2.14919 # DEPENDENCYPART_ARC
(0,15),-1.61669 # DEPENDENCYPART_ARC
(0,20),-2.02159 # DEPENDENCYPART_ARC
(0,21),-2.43922 # DEPENDENCYPART_ARC
(1,2),-0.519818 # DEPENDENCYPART_ARC
(1,3),-1.49698 # DEPENDENCYPART_ARC
(1,4),-2.36938 # DEPENDENCYPART_ARC
(1,5),-3.06701 # DEPENDENCYPART_ARC
(1,9),-3.043 # DEPENDENCYPART_ARC
(1,20),-3.19807 # DEPENDENCYPART_ARC
(1,24),-0.895536 # DEPENDENCYPART_ARC
(2,1),-1.17798 # DEPENDENCYPART_ARC
(2,3),-0.677476 # DEPENDENCYPART_ARC
(2,4),-1.8541 # DEPENDENCYPART_ARC
(2,5),-2.20137 # DEPENDENCYPART_ARC
(2,7),-2.20533 # DEPENDENCYPART_ARC
(2,8),-2.2532 # DEPENDENCYPART_ARC
(3,1),-0.335585 # DEPENDENCYPART_ARC
(3,2),1.57988 # DEPENDENCYPART_ARC
(3,4),-0.416431 # DEPENDENCYPART_ARC
(3,5),-2.30158 # DEPENDENCYPART_ARC
(3,7),-2.10896 # DEPENDENCYPART_ARC
(3,8),-2.58426 # DEPENDENCYPART_ARC
(3,9),-2.44322 # DEPENDENCYPART_ARC
(3,10),-2.42256 # DEPENDENCYPART_ARC
(3,13),-2.40786 # DEPENDENCYPART_ARC
(3,14),-2.11611 # DEPENDENCYPART_ARC
(3,15),-2.74565 # DEPENDENCYPART_ARC
(3,20),-2.71906 # DEPENDENCYPART_ARC
(3,24),-3.1026 # DEPENDENCYPART_ARC
(4,5),-0.765237 # DEPENDENCYPART_ARC
(5,4),-0.2571 # DEPENDENCYPART_ARC
(5,6),-0.0533879 # DEPENDENCYPART_ARC
(5,7),-0.24796 # DEPENDENCYPART_ARC
(5,8),-1.4261 # DEPENDENCYPART_ARC
(5,9),-1.10869 # DEPENDENCYPART_ARC
(5,10),-1.54056 # DEPENDENCYPART_ARC
(5,11),-1.63401 # DEPENDENCYPART_ARC
(5,13),-2.55791 # DEPENDENCYPART_ARC
(5,14),-1.23835 # DEPENDENCYPART_ARC
(7,1),-2.12213 # DEPENDENCYPART_ARC
(7,2),-1.88476 # DEPENDENCYPART_ARC
(7,3),-2.18324 # DEPENDENCYPART_ARC
(7,4),-1.99559 # DEPENDENCYPART_ARC
(7,5),-1.22214 # DEPENDENCYPART_ARC
(7,6),1.02726 # DEPENDENCYPART_ARC
(7,8),0.20302 # DEPENDENCYPART_ARC
(7,9),-0.942627 # DEPENDENCYPART_ARC
(7,10),-1.34763 # DEPENDENCYPART_ARC
(7,11),-1.61261 # DEPENDENCYPART_ARC
(7,13),-1.52171 # DEPENDENCYPART_ARC
(7,14),-1.97129 # DEPENDENCYPART_ARC
(7,24),-2.79179 # DEPENDENCYPART_ARC
(8,7),-0.454868 # DEPENDENCYPART_ARC
(8,9),0.889524 # DEPENDENCYPART_ARC
(8,10),-1.07695 # DEPENDENCYPART_ARC
(8,11),-1.12242 # DEPENDENCYPART_ARC
(8,13),-1.70409 # DEPENDENCYPART_ARC
(8,14),-1.45766 # DEPENDENCYPART_ARC
(8,15),-1.88532 # DEPENDENCYPART_ARC
(8,20),-2.11085 # DEPENDENCYPART_ARC
(8,24),-1.33563 # DEPENDENCYPART_ARC
(9,5),-1.63108 # DEPENDENCYPART_ARC
(9,7),-1.62015 # DEPENDENCYPART_ARC
(9,8),-0.483471 # DEPENDENCYPART_ARC
(9,10),0.665773 # DEPENDENCYPART_ARC
(9,11),-0.423164 # DEPENDENCYPART_ARC
(9,12),-0.85036 # DEPENDENCYPART_ARC
(9,13),-0.590616 # DEPENDENCYPART_ARC
(9,14),-1.12273 # DEPENDENCYPART_ARC
(9,15),-1.42317 # DEPENDENCYPART_ARC
(9,16),-2.36855 # DEPENDENCYPART_ARC
(9,19),-2.42264 # DEPENDENCYPART_ARC
(9,20),-1.97616 # DEPENDENCYPART_ARC
(9,21),-1.81307 # DEPENDENCYPART_ARC
(9,24),-1.42311 # DEPENDENCYPART_ARC
(10,1),-2.00667 # DEPENDENCYPART_ARC
(10,3),-2.17373 # DEPENDENCYPART_ARC
(10,4),-1.92221 # DEPENDENCYPART_ARC
(10,5),-1.64172 # DEPENDENCYPART_ARC
(10,7),-1.50196 # DEPENDENCYPART_ARC
(10,8),-1.27185 # DEPENDENCYPART_ARC
(10,9),-0.145799 # DEPENDENCYPART_ARC
(10,11),0.0997645 # DEPENDENCYPART_ARC
(10,12),-0.752778 # DEPENDENCYPART_ARC
(10,13),-1.10497 # DEPENDENCYPART_ARC
(10,14),-1.21404 # DEPENDENCYPART_ARC
(10,15),-1.48059 # DEPENDENCYPART_ARC
(10,16),-1.99354 # DEPENDENCYPART_ARC
(10,20),-1.58655 # DEPENDENCYPART_ARC
(11,7),-1.58583 # DEPENDENCYPART_ARC
(11,8),-1.08902 # DEPENDENCYPART_ARC
(11,10),-0.0280178 # DEPENDENCYPART_ARC
(11,12),0.0852033 # DEPENDENCYPART_ARC
(11,13),-0.228533 # DEPENDENCYPART_ARC
(11,14),-1.19809 # DEPENDENCYPART_ARC
(11,15),-1.92919 # DEPENDENCYPART_ARC
(12,10),-1.66121 # DEPENDENCYPART_ARC
(12,11),-0.980595 # DEPENDENCYPART_ARC
(12,13),-0.814905 # DEPENDENCYPART_ARC
(13,4),-1.77422 # DEPENDENCYPART_ARC
(13,6),-1.32822 # DEPENDENCYPART_ARC
(13,8),-1.34181 # DEPENDENCYPART_ARC
(13,9),-1.05314 # DEPENDENCYPART_ARC
(13,10),-1.05473 # DEPENDENCYPART_ARC
(13,11),-0.790091 # DEPENDENCYPART_ARC
(13,12),2.10411 # DEPENDENCYPART_ARC
(13,14),0.0262377 # DEPENDENCYPART_ARC
(13,15),-1.76788 # DEPENDENCYPART_ARC
(13,19),-2.01158 # DEPENDENCYPART_ARC
(13,20),-2.5158 # DEPENDENCYPART_ARC
(13,23),-1.85983 # DEPENDENCYPART_ARC
(13,24),-2.61498 # DEPENDENCYPART_ARC
(14,11),-1.07877 # DEPENDENCYPART_ARC
(15,1),-0.640922 # DEPENDENCYPART_ARC
(15,2),-0.891267 # DEPENDENCYPART_ARC
(15,3),-0.676455 # DEPENDENCYPART_ARC
(15,4),-1.60162 # DEPENDENCYPART_ARC
(15,5),-0.857444 # DEPENDENCYPART_ARC
(15,7),-1.70725 # DEPENDENCYPART_ARC
(15,8),-1.38539 # DEPENDENCYPART_ARC
(15,9),-0.980307 # DEPENDENCYPART_ARC
(15,10),-1.36009 # DEPENDENCYPART_ARC
(15,11),-1.07236 # DEPENDENCYPART_ARC
(15,12),-1.47697 # DEPENDENCYPART_ARC
(15,13),-0.993602 # DEPENDENCYPART_ARC
(15,14),0.827533 # DEPENDENCYPART_ARC
(15,16),0.784006 # DEPENDENCYPART_ARC
(15,17),-0.634463 # DEPENDENCYPART_ARC
(15,18),-0.717203 # DEPENDENCYPART_ARC
(15,19),-0.536562 # DEPENDENCYPART_ARC
(15,20),-0.456106 # DEPENDENCYPART_ARC
(15,21),-0.683079 # DEPENDENCYPART_ARC
(15,23),-1.18104 # DEPENDENCYPART_ARC
(15,24),0.0879914 # DEPENDENCYPART_ARC
(16,17),-0.597757 # DEPENDENCYPART_ARC
(16,18),-1.26951 # DEPENDENCYPART_ARC
(16,19),-1.23838 # DEPENDENCYPART_ARC
(17,16),-0.446363 # DEPENDENCYPART_ARC
(17,18),-0.485043 # DEPENDENCYPART_ARC
(17,21),-1.52841 # DEPENDENCYPART_ARC
(18,16),-1.39655 # DEPENDENCYPART_ARC
(18,17),-0.00159859 # DEPENDENCYPART_ARC
(18,20),-0.973904 # DEPENDENCYPART_ARC
(18,21),-1.34787 # DEPENDENCYPART_ARC
(18,23),-1.86666 # DEPENDENCYPART_ARC
(19,15),-1.24231 # DEPENDENCYPART_ARC
(19,16),-1.07024 # DEPENDENCYPART_ARC
(19,17),0.263407 # DEPENDENCYPART_ARC
(19,18),1.46624 # DEPENDENCYPART_ARC
(19,20),-0.343936 # DEPENDENCYPART_ARC
(19,21),-1.22105 # DEPENDENCYPART_ARC
(19,23),-1.46896 # DEPENDENCYPART_ARC
