# _root_ UAL , which closed on the Big Board Monday at $ 178.375 a share , traded in the third market afterward as low as $ 158 a share .
#goldHeads=16,1,4,1,4,8,8,5,4,4,12,10,14,12,1,0,16,20,20,17,16,16,22,22,26,24,28,26,16,
#predictedHeads=16,1,4,1,4,9,9,9,5,4,12,10,14,12,1,0,16,20,20,17,16,21,21,23,26,24,28,26,16,
(0,1),-1.76419 # DEPENDENCYPART_ARC
(0,4),-2.77245 # DEPENDENCYPART_ARC
(0,12),-3.4712 # DEPENDENCYPART_ARC
(0,16),-2.80004 # DEPENDENCYPART_ARC
(1,2),0.525944 # DEPENDENCYPART_ARC
(1,4),-1.19666 # DEPENDENCYPART_ARC
(1,5),-1.64195 # DEPENDENCYPART_ARC
(1,7),-1.63664 # DEPENDENCYPART_ARC
(1,8),-1.69752 # DEPENDENCYPART_ARC
(1,9),-1.77928 # DEPENDENCYPART_ARC
(1,10),-1.96346 # DEPENDENCYPART_ARC
(1,14),-1.84393 # DEPENDENCYPART_ARC
(1,15),-0.653508 # DEPENDENCYPART_ARC
(1,16),-1.74519 # DEPENDENCYPART_ARC
(1,17),-2.05676 # DEPENDENCYPART_ARC
(1,29),-2.36556 # DEPENDENCYPART_ARC
(3,4),0.146812 # DEPENDENCYPART_ARC
(4,1),-1.93485 # DEPENDENCYPART_ARC
(4,2),-0.881389 # DEPENDENCYPART_ARC
(4,3),0.40515 # DEPENDENCYPART_ARC
(4,5),0.96959 # DEPENDENCYPART_ARC
(4,6),-0.701038 # DEPENDENCYPART_ARC
(4,7),-0.834926 # DEPENDENCYPART_ARC
(4,8),-0.909131 # DEPENDENCYPART_ARC
(4,9),-0.725849 # DEPENDENCYPART_ARC
(4,10),-0.815168 # DEPENDENCYPART_ARC
(4,11),-1.11978 # DEPENDENCYPART_ARC
(4,14),-1.50338 # DEPENDENCYPART_ARC
(4,15),-0.82127 # DEPENDENCYPART_ARC
(4,16),-1.60507 # DEPENDENCYPART_ARC
(4,17),-1.90641 # DEPENDENCYPART_ARC
(4,21),-1.70392 # DEPENDENCYPART_ARC
(4,22),-1.47922 # DEPENDENCYPART_ARC
(4,24),-2.3267 # DEPENDENCYPART_ARC
(4,29),-0.667719 # DEPENDENCYPART_ARC
(5,6),0.129107 # DEPENDENCYPART_ARC
