# _root_ Consider Gap Inc. , whose latest ad campaign features black-and-white shots of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .
#goldHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,19,20,17,14,23,25,23,21,25,26,1,
#predictedHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,20,20,17,20,23,25,23,21,25,26,1,
(0,1),-1.22791 # DEPENDENCYPART_ARC
(0,2),-3.8401 # DEPENDENCYPART_ARC
(0,3),-4.04122 # DEPENDENCYPART_ARC
(0,9),-1.4573 # DEPENDENCYPART_ARC
(1,2),0.0266839 # DEPENDENCYPART_ARC
(1,3),-0.30136 # DEPENDENCYPART_ARC
(1,4),-0.936976 # DEPENDENCYPART_ARC
(1,5),-1.0714 # DEPENDENCYPART_ARC
(1,6),-1.33497 # DEPENDENCYPART_ARC
(1,7),-0.97688 # DEPENDENCYPART_ARC
(1,8),-0.869642 # DEPENDENCYPART_ARC
(1,9),-0.934017 # DEPENDENCYPART_ARC
(1,10),-1.4394 # DEPENDENCYPART_ARC
(1,11),-1.116 # DEPENDENCYPART_ARC
(1,12),-1.55609 # DEPENDENCYPART_ARC
(1,14),-1.70396 # DEPENDENCYPART_ARC
(1,15),-1.62834 # DEPENDENCYPART_ARC
(1,16),-2.10612 # DEPENDENCYPART_ARC
(1,17),-1.70581 # DEPENDENCYPART_ARC
(1,18),-1.87212 # DEPENDENCYPART_ARC
(1,19),-1.83646 # DEPENDENCYPART_ARC
(1,21),-1.62147 # DEPENDENCYPART_ARC
(1,26),-2.15849 # DEPENDENCYPART_ARC
(1,28),-1.13918 # DEPENDENCYPART_ARC
(2,1),-0.748531 # DEPENDENCYPART_ARC
(2,3),1.08366 # DEPENDENCYPART_ARC
(2,4),-0.211487 # DEPENDENCYPART_ARC
(2,5),-1.17105 # DEPENDENCYPART_ARC
(2,6),-1.24391 # DEPENDENCYPART_ARC
(2,7),-1.43198 # DEPENDENCYPART_ARC
(2,8),-1.85296 # DEPENDENCYPART_ARC
(2,9),-0.941623 # DEPENDENCYPART_ARC
(2,10),-1.79168 # DEPENDENCYPART_ARC
(2,11),-1.95615 # DEPENDENCYPART_ARC
(2,12),-1.43689 # DEPENDENCYPART_ARC
(2,14),-2.44285 # DEPENDENCYPART_ARC
(2,15),-0.502854 # DEPENDENCYPART_ARC
(2,16),-2.60002 # DEPENDENCYPART_ARC
(2,17),-2.17862 # DEPENDENCYPART_ARC
(2,20),-2.77386 # DEPENDENCYPART_ARC
(2,28),-2.26365 # DEPENDENCYPART_ARC
(3,1),-1.98878 # DEPENDENCYPART_ARC
(3,2),-0.130602 # DEPENDENCYPART_ARC
(3,4),-0.822799 # DEPENDENCYPART_ARC
(3,5),-2.22059 # DEPENDENCYPART_ARC
(3,6),-2.3511 # DEPENDENCYPART_ARC
(3,7),-2.66498 # DEPENDENCYPART_ARC
(3,8),-2.88836 # DEPENDENCYPART_ARC
(3,9),-2.06925 # DEPENDENCYPART_ARC
(3,11),-3.34335 # DEPENDENCYPART_ARC
(3,15),-1.78606 # DEPENDENCYPART_ARC
(3,28),-4.03943 # DEPENDENCYPART_ARC
(4,5),-1.73124 # DEPENDENCYPART_ARC
(5,1),-2.5192 # DEPENDENCYPART_ARC
(5,2),-2.15201 # DEPENDENCYPART_ARC
(5,3),-1.94048 # DEPENDENCYPART_ARC
(5,4),-1.22143 # DEPENDENCYPART_ARC
(5,6),-0.921524 # DEPENDENCYPART_ARC
(5,7),-1.4947 # DEPENDENCYPART_ARC
(5,8),-1.89176 # DEPENDENCYPART_ARC
(5,9),-1.54435 # DEPENDENCYPART_ARC
(5,11),-2.653 # DEPENDENCYPART_ARC
(5,12),-2.07252 # DEPENDENCYPART_ARC
(5,17),-2.27288 # DEPENDENCYPART_ARC
(6,1),-2.7425 # DEPENDENCYPART_ARC
(6,2),-2.54735 # DEPENDENCYPART_ARC
(6,3),-2.23858 # DEPENDENCYPART_ARC
(6,4),-2.00375 # DEPENDENCYPART_ARC
(6,5),-1.05401 # DEPENDENCYPART_ARC
(6,7),-0.928889 # DEPENDENCYPART_ARC
(6,8),-1.62153 # DEPENDENCYPART_ARC
(6,9),-1.36745 # DEPENDENCYPART_ARC
(6,11),-2.50427 # DEPENDENCYPART_ARC
(6,12),-1.66585 # DEPENDENCYPART_ARC
(7,2),-2.33523 # DEPENDENCYPART_ARC
(7,3),-2.64614 # DEPENDENCYPART_ARC
(7,4),-2.55585 # DEPENDENCYPART_ARC
(7,5),-0.734499 # DEPENDENCYPART_ARC
(7,6),-0.372633 # DEPENDENCYPART_ARC
(7,8),-1.00705 # DEPENDENCYPART_ARC
(7,9),-1.29441 # DEPENDENCYPART_ARC
(7,11),-2.15047 # DEPENDENCYPART_ARC
(7,12),-1.55034 # DEPENDENCYPART_ARC
(8,1),-2.21443 # DEPENDENCYPART_ARC
(8,2),-1.38519 # DEPENDENCYPART_ARC
(8,3),-1.34942 # DEPENDENCYPART_ARC
(8,4),-1.57906 # DEPENDENCYPART_ARC
(8,5),0.0666698 # DEPENDENCYPART_ARC
(8,6),0.314396 # DEPENDENCYPART_ARC
(8,7),1.77387 # DEPENDENCYPART_ARC
(8,9),-0.613351 # DEPENDENCYPART_ARC
(8,10),-1.26743 # DEPENDENCYPART_ARC
(8,11),-1.40201 # DEPENDENCYPART_ARC
(8,12),-0.694329 # DEPENDENCYPART_ARC
(8,15),-1.34399 # DEPENDENCYPART_ARC
(8,17),-1.71419 # DEPENDENCYPART_ARC
(9,1),-2.18469 # DEPENDENCYPART_ARC
(9,2),-1.56355 # DEPENDENCYPART_ARC
(9,3),-1.74948 # DEPENDENCYPART_ARC
(9,4),-1.08685 # DEPENDENCYPART_ARC
(9,5),-1.10723 # DEPENDENCYPART_ARC
(9,6),-1.01837 # DEPENDENCYPART_ARC
(9,7),-0.658742 # DEPENDENCYPART_ARC
