# _root_ They note that he has adorned his office with five photos of George Bush , one of them featuring the First Dog , Millie .
#goldHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,11,11,16,17,16,22,22,19,22,22,2,
#predictedHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,6,19,16,17,6,22,22,19,22,22,2,
(0,2),-1.40526 # DEPENDENCYPART_ARC
(0,5),-2.495 # DEPENDENCYPART_ARC
(0,6),-2.65054 # DEPENDENCYPART_ARC
(1,2),-0.568427 # DEPENDENCYPART_ARC
(1,5),-1.78456 # DEPENDENCYPART_ARC
(2,1),1.04521 # DEPENDENCYPART_ARC
(2,3),0.550803 # DEPENDENCYPART_ARC
(2,4),-0.757599 # DEPENDENCYPART_ARC
(2,5),-0.333449 # DEPENDENCYPART_ARC
(2,6),-0.546917 # DEPENDENCYPART_ARC
(2,8),-1.51382 # DEPENDENCYPART_ARC
(2,9),-1.25803 # DEPENDENCYPART_ARC
(2,11),-1.7396 # DEPENDENCYPART_ARC
(2,12),-1.67808 # DEPENDENCYPART_ARC
(2,15),-1.62128 # DEPENDENCYPART_ARC
(2,19),-1.65607 # DEPENDENCYPART_ARC
(2,23),-2.25363 # DEPENDENCYPART_ARC
(2,25),-0.253555 # DEPENDENCYPART_ARC
(3,4),-0.345061 # DEPENDENCYPART_ARC
(3,5),-1.39057 # DEPENDENCYPART_ARC
(3,6),-1.91605 # DEPENDENCYPART_ARC
(3,8),-2.11765 # DEPENDENCYPART_ARC
(4,5),-0.279072 # DEPENDENCYPART_ARC
(4,8),-1.52248 # DEPENDENCYPART_ARC
(4,9),-1.49913 # DEPENDENCYPART_ARC
(5,1),-1.3533 # DEPENDENCYPART_ARC
(5,2),-1.30079 # DEPENDENCYPART_ARC
(5,3),-0.146559 # DEPENDENCYPART_ARC
(5,4),1.02161 # DEPENDENCYPART_ARC
(5,6),1.35785 # DEPENDENCYPART_ARC
(5,8),-1.13777 # DEPENDENCYPART_ARC
(5,9),-1.30734 # DEPENDENCYPART_ARC
(5,11),-1.78843 # DEPENDENCYPART_ARC
(5,12),-1.94649 # DEPENDENCYPART_ARC
(5,15),-2.20487 # DEPENDENCYPART_ARC
(5,19),-2.37509 # DEPENDENCYPART_ARC
(5,25),-0.751485 # DEPENDENCYPART_ARC
(6,3),-1.15021 # DEPENDENCYPART_ARC
(6,4),-1.65436 # DEPENDENCYPART_ARC
(6,5),-1.06879 # DEPENDENCYPART_ARC
(6,8),0.0157226 # DEPENDENCYPART_ARC
(6,9),-0.496094 # DEPENDENCYPART_ARC
(6,10),-1.56451 # DEPENDENCYPART_ARC
(6,11),-0.814435 # DEPENDENCYPART_ARC
(6,12),-1.44481 # DEPENDENCYPART_ARC
