# _root_ Mr. Ferguson , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder .
#goldHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
#predictedHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
(0,1),-1.65344 # DEPENDENCYPART_ARC
(0,2),-2.43739 # DEPENDENCYPART_ARC
(0,4),-2.92479 # DEPENDENCYPART_ARC
(0,5),-2.41803 # DEPENDENCYPART_ARC
(0,8),-3.13773 # DEPENDENCYPART_ARC
(0,10),-2.02827 # DEPENDENCYPART_ARC
(1,2),-0.869017 # DEPENDENCYPART_ARC
(1,3),-1.67675 # DEPENDENCYPART_ARC
(1,5),-1.91205 # DEPENDENCYPART_ARC
(1,7),-2.34237 # DEPENDENCYPART_ARC
(1,9),-2.24173 # DEPENDENCYPART_ARC
(1,10),-2.31905 # DEPENDENCYPART_ARC
(2,1),1.70098 # DEPENDENCYPART_ARC
(2,3),0.550585 # DEPENDENCYPART_ARC
(2,5),-1.59335 # DEPENDENCYPART_ARC
(2,6),-2.4535 # DEPENDENCYPART_ARC
(2,7),-1.94747 # DEPENDENCYPART_ARC
(2,9),-1.40544 # DEPENDENCYPART_ARC
(2,10),-2.38611 # DEPENDENCYPART_ARC
(2,12),-2.02583 # DEPENDENCYPART_ARC
(2,13),-2.20257 # DEPENDENCYPART_ARC
(2,15),-2.26439 # DEPENDENCYPART_ARC
(2,16),-2.47163 # DEPENDENCYPART_ARC
(2,18),-1.87299 # DEPENDENCYPART_ARC
(2,23),-1.91385 # DEPENDENCYPART_ARC
(2,27),-2.14248 # DEPENDENCYPART_ARC
(4,5),-0.345183 # DEPENDENCYPART_ARC
(5,2),-2.52152 # DEPENDENCYPART_ARC
(5,3),-1.51425 # DEPENDENCYPART_ARC
(5,4),0.244787 # DEPENDENCYPART_ARC
(5,6),0.201533 # DEPENDENCYPART_ARC
(5,7),0.0687677 # DEPENDENCYPART_ARC
(5,8),-0.335116 # DEPENDENCYPART_ARC
(5,9),-0.887972 # DEPENDENCYPART_ARC
(5,10),-1.56214 # DEPENDENCYPART_ARC
(5,12),-1.89666 # DEPENDENCYPART_ARC
(5,13),-2.06853 # DEPENDENCYPART_ARC
(5,15),-2.0679 # DEPENDENCYPART_ARC
(5,16),-2.30706 # DEPENDENCYPART_ARC
(5,27),-0.495832 # DEPENDENCYPART_ARC
(6,7),-0.365834 # DEPENDENCYPART_ARC
(6,8),-1.12669 # DEPENDENCYPART_ARC
(6,9),-1.27702 # DEPENDENCYPART_ARC
(6,10),-1.80407 # DEPENDENCYPART_ARC
(7,2),-2.65857 # DEPENDENCYPART_ARC
(7,3),-2.03246 # DEPENDENCYPART_ARC
(7,4),-1.36443 # DEPENDENCYPART_ARC
(7,5),-1.08848 # DEPENDENCYPART_ARC
(7,6),0.790041 # DEPENDENCYPART_ARC
(7,8),-0.472611 # DEPENDENCYPART_ARC
(7,9),-1.79297 # DEPENDENCYPART_ARC
(7,10),-1.8181 # DEPENDENCYPART_ARC
(7,12),-1.88496 # DEPENDENCYPART_ARC
(7,14),-2.68224 # DEPENDENCYPART_ARC
(8,4),-1.07864 # DEPENDENCYPART_ARC
(8,6),-0.913136 # DEPENDENCYPART_ARC
(8,7),0.414291 # DEPENDENCYPART_ARC
(8,9),-0.265776 # DEPENDENCYPART_ARC
(8,10),-1.40586 # DEPENDENCYPART_ARC
(8,12),-1.9587 # DEPENDENCYPART_ARC
(8,13),-2.12539 # DEPENDENCYPART_ARC
(8,15),-2.08538 # DEPENDENCYPART_ARC
(8,16),-2.0746 # DEPENDENCYPART_ARC
(10,1),-1.02205 # DEPENDENCYPART_ARC
(10,2),-0.70401 # DEPENDENCYPART_ARC
(10,3),-2.12354 # DEPENDENCYPART_ARC
(10,4),-1.22225 # DEPENDENCYPART_ARC
(10,5),-1.11638 # DEPENDENCYPART_ARC
(10,6),-1.53235 # DEPENDENCYPART_ARC
(10,7),-1.50172 # DEPENDENCYPART_ARC
(10,8),-1.04917 # DEPENDENCYPART_ARC
(10,9),0.852702 # DEPENDENCYPART_ARC
(10,11),0.357937 # DEPENDENCYPART_ARC
(10,12),0.656009 # DEPENDENCYPART_ARC
(10,13),-0.219406 # DEPENDENCYPART_ARC
(10,14),-0.950494 # DEPENDENCYPART_ARC
(10,15),-0.563713 # DEPENDENCYPART_ARC
(10,16),-0.494807 # DEPENDENCYPART_ARC
(10,18),-0.952423 # DEPENDENCYPART_ARC
(10,19),-1.58066 # DEPENDENCYPART_ARC
(10,22),-1.1911 # DEPENDENCYPART_ARC
(10,23),-1.5959 # DEPENDENCYPART_ARC
(10,25),-1.22238 # DEPENDENCYPART_ARC
(10,27),0.320387 # DEPENDENCYPART_ARC
(11,9),-1.64273 # DEPENDENCYPART_ARC
(11,13),-1.26963 # DEPENDENCYPART_ARC
(11,15),-1.50776 # DEPENDENCYPART_ARC
(11,16),-1.42154 # DEPENDENCYPART_ARC
(12,2),-3.28025 # DEPENDENCYPART_ARC
(12,4),-2.74537 # DEPENDENCYPART_ARC
(12,8),-2.45062 # DEPENDENCYPART_ARC
(12,9),-2.18039 # DEPENDENCYPART_ARC
(12,11),0.944545 # DEPENDENCYPART_ARC
(12,13),-0.151073 # DEPENDENCYPART_ARC
(12,14),-1.30975 # DEPENDENCYPART_ARC
(12,15),-1.47138 # DEPENDENCYPART_ARC
(12,16),-1.4185 # DEPENDENCYPART_ARC
(12,18),-1.79516 # DEPENDENCYPART_ARC
(12,19),-1.97903 # DEPENDENCYPART_ARC
(12,23),-1.80646 # DEPENDENCYPART_ARC
(12,27),-2.25067 # DEPENDENCYPART_ARC
(13,4),-1.92214 # DEPENDENCYPART_ARC
(13,11),-1.53886 # DEPENDENCYPART_ARC
(13,14),0.324492 # DEPENDENCYPART_ARC
(13,15),-0.866958 # DEPENDENCYPART_ARC
(13,16),-0.787928 # DEPENDENCYPART_ARC
(13,18),-1.67436 # DEPENDENCYPART_ARC
(13,19),-1.40137 # DEPENDENCYPART_ARC
(13,25),-2.07794 # DEPENDENCYPART_ARC
(14,11),-1.46771 # DEPENDENCYPART_ARC
(14,12),-1.55204 # DEPENDENCYPART_ARC
(14,15),-0.222276 # DEPENDENCYPART_ARC
(14,16),-0.854798 # DEPENDENCYPART_ARC
(14,18),-1.49529 # DEPENDENCYPART_ARC
(14,19),-1.56352 # DEPENDENCYPART_ARC
(14,22),-1.8027 # DEPENDENCYPART_ARC
(15,13),-1.20177 # DEPENDENCYPART_ARC
(15,14),-0.304398 # DEPENDENCYPART_ARC
