# _root_ Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants .
#goldHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,26,24,24,24,24,24,26,24,17,3,
#predictedHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,19,24,23,24,23,24,17,26,24,3,
(0,1),-1.78091 # DEPENDENCYPART_ARC
(0,3),-1.68449 # DEPENDENCYPART_ARC
(0,5),-2.93931 # DEPENDENCYPART_ARC
(0,6),-2.72348 # DEPENDENCYPART_ARC
(1,2),-0.268076 # DEPENDENCYPART_ARC
(1,3),-1.00436 # DEPENDENCYPART_ARC
(1,4),-1.46328 # DEPENDENCYPART_ARC
(1,5),-1.28078 # DEPENDENCYPART_ARC
(1,6),-1.61599 # DEPENDENCYPART_ARC
(1,10),-1.47461 # DEPENDENCYPART_ARC
(1,27),-2.53886 # DEPENDENCYPART_ARC
(2,1),-0.292085 # DEPENDENCYPART_ARC
(2,3),-0.242904 # DEPENDENCYPART_ARC
(2,4),-1.20391 # DEPENDENCYPART_ARC
(2,5),-1.14436 # DEPENDENCYPART_ARC
(2,6),-1.36468 # DEPENDENCYPART_ARC
(2,9),-1.76071 # DEPENDENCYPART_ARC
(2,10),-1.53184 # DEPENDENCYPART_ARC
(3,1),0.221839 # DEPENDENCYPART_ARC
(3,2),1.2901 # DEPENDENCYPART_ARC
(3,4),0.112807 # DEPENDENCYPART_ARC
(3,5),-0.173171 # DEPENDENCYPART_ARC
(3,6),-0.433664 # DEPENDENCYPART_ARC
(3,7),-1.37005 # DEPENDENCYPART_ARC
(3,8),-1.45362 # DEPENDENCYPART_ARC
(3,9),-1.59641 # DEPENDENCYPART_ARC
(3,10),-1.94721 # DEPENDENCYPART_ARC
(3,15),-1.68259 # DEPENDENCYPART_ARC
(3,21),-2.00532 # DEPENDENCYPART_ARC
(3,24),-0.950071 # DEPENDENCYPART_ARC
(3,27),-0.0664657 # DEPENDENCYPART_ARC
(4,5),-0.423338 # DEPENDENCYPART_ARC
(4,6),-1.1539 # DEPENDENCYPART_ARC
(5,1),-0.944185 # DEPENDENCYPART_ARC
(5,2),-1.01487 # DEPENDENCYPART_ARC
(5,3),-1.11374 # DEPENDENCYPART_ARC
(5,4),0.955027 # DEPENDENCYPART_ARC
(5,6),1.49119 # DEPENDENCYPART_ARC
(5,8),-1.14535 # DEPENDENCYPART_ARC
(5,10),-1.57113 # DEPENDENCYPART_ARC
(5,21),-1.60518 # DEPENDENCYPART_ARC
(5,24),-0.863353 # DEPENDENCYPART_ARC
(5,27),-0.0532395 # DEPENDENCYPART_ARC
(6,1),-1.61666 # DEPENDENCYPART_ARC
(6,2),-1.86205 # DEPENDENCYPART_ARC
(6,3),-1.73518 # DEPENDENCYPART_ARC
(6,4),-1.08552 # DEPENDENCYPART_ARC
(6,5),-0.61093 # DEPENDENCYPART_ARC
(6,7),-0.0193765 # DEPENDENCYPART_ARC
(6,8),-0.557292 # DEPENDENCYPART_ARC
(6,9),-1.19879 # DEPENDENCYPART_ARC
(6,10),-1.18347 # DEPENDENCYPART_ARC
(6,12),-0.886519 # DEPENDENCYPART_ARC
(6,13),-0.775456 # DEPENDENCYPART_ARC
(6,14),-0.604763 # DEPENDENCYPART_ARC
(6,15),-1.01987 # DEPENDENCYPART_ARC
(6,16),-0.72843 # DEPENDENCYPART_ARC
(6,17),-1.7325 # DEPENDENCYPART_ARC
