# _root_ In addition , corporations are now shouldering a bigger share of the tax burden , as the authors of the 1986 law hoped .
#goldHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
#predictedHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
(0,1),-1.84663 # DEPENDENCYPART_ARC
(0,2),-2.48189 # DEPENDENCYPART_ARC
(0,4),-3.29734 # DEPENDENCYPART_ARC
(0,5),-2.09876 # DEPENDENCYPART_ARC
(0,7),-2.74743 # DEPENDENCYPART_ARC
(0,23),-2.70538 # DEPENDENCYPART_ARC
(1,2),1.12408 # DEPENDENCYPART_ARC
(1,3),-0.786957 # DEPENDENCYPART_ARC
(1,4),-1.71247 # DEPENDENCYPART_ARC
(1,5),-1.69104 # DEPENDENCYPART_ARC
(1,6),-1.75724 # DEPENDENCYPART_ARC
(1,7),-1.98237 # DEPENDENCYPART_ARC
(2,1),-0.613001 # DEPENDENCYPART_ARC
(2,3),0.0320362 # DEPENDENCYPART_ARC
(2,4),-1.26017 # DEPENDENCYPART_ARC
(2,5),-1.87113 # DEPENDENCYPART_ARC
(2,6),-1.86022 # DEPENDENCYPART_ARC
(2,7),-2.49925 # DEPENDENCYPART_ARC
(2,10),-1.68092 # DEPENDENCYPART_ARC
(2,14),-1.82903 # DEPENDENCYPART_ARC
(2,15),-1.77987 # DEPENDENCYPART_ARC
(2,18),-2.07161 # DEPENDENCYPART_ARC
(2,24),-2.61003 # DEPENDENCYPART_ARC
(3,1),-1.3884 # DEPENDENCYPART_ARC
(4,1),-1.51607 # DEPENDENCYPART_ARC
(4,2),-0.495678 # DEPENDENCYPART_ARC
(4,3),0.271279 # DEPENDENCYPART_ARC
(4,5),-0.328026 # DEPENDENCYPART_ARC
(4,6),-1.33978 # DEPENDENCYPART_ARC
(4,7),-1.65105 # DEPENDENCYPART_ARC
(4,10),-1.53572 # DEPENDENCYPART_ARC
(4,11),-1.56113 # DEPENDENCYPART_ARC
(5,1),-0.521577 # DEPENDENCYPART_ARC
(5,2),-1.47748 # DEPENDENCYPART_ARC
(5,3),-0.203367 # DEPENDENCYPART_ARC
(5,4),0.912292 # DEPENDENCYPART_ARC
(5,6),0.681404 # DEPENDENCYPART_ARC
(5,7),0.326911 # DEPENDENCYPART_ARC
(5,8),-1.285 # DEPENDENCYPART_ARC
(5,9),-1.25915 # DEPENDENCYPART_ARC
(5,10),-0.770084 # DEPENDENCYPART_ARC
(5,11),-1.64188 # DEPENDENCYPART_ARC
(5,14),-1.4541 # DEPENDENCYPART_ARC
(5,15),-1.56713 # DEPENDENCYPART_ARC
(5,16),-2.71646 # DEPENDENCYPART_ARC
(5,23),-2.47803 # DEPENDENCYPART_ARC
(5,24),-0.703478 # DEPENDENCYPART_ARC
(6,1),-2.73183 # DEPENDENCYPART_ARC
(6,3),-2.07004 # DEPENDENCYPART_ARC
(6,4),-1.94048 # DEPENDENCYPART_ARC
(6,5),-0.607776 # DEPENDENCYPART_ARC
(6,7),-0.057635 # DEPENDENCYPART_ARC
(6,8),-1.04777 # DEPENDENCYPART_ARC
(6,10),-1.33034 # DEPENDENCYPART_ARC
(6,11),-1.37215 # DEPENDENCYPART_ARC
(6,15),-1.42968 # DEPENDENCYPART_ARC
(7,1),-2.13698 # DEPENDENCYPART_ARC
(7,2),-3.0478 # DEPENDENCYPART_ARC
(7,3),-2.3661 # DEPENDENCYPART_ARC
(7,4),-1.81539 # DEPENDENCYPART_ARC
(7,5),-2.12333 # DEPENDENCYPART_ARC
(7,6),-0.404244 # DEPENDENCYPART_ARC
(7,8),-0.101241 # DEPENDENCYPART_ARC
(7,9),-0.71205 # DEPENDENCYPART_ARC
(7,10),0.0796097 # DEPENDENCYPART_ARC
(7,11),-1.12843 # DEPENDENCYPART_ARC
(7,13),-1.02355 # DEPENDENCYPART_ARC
(7,14),-0.737596 # DEPENDENCYPART_ARC
(7,15),-1.05838 # DEPENDENCYPART_ARC
(7,16),-1.79772 # DEPENDENCYPART_ARC
(7,18),-1.81497 # DEPENDENCYPART_ARC
(7,19),-2.75345 # DEPENDENCYPART_ARC
(7,23),-1.72146 # DEPENDENCYPART_ARC
(7,24),-0.866246 # DEPENDENCYPART_ARC
(8,9),-0.568508 # DEPENDENCYPART_ARC
(8,11),-1.34933 # DEPENDENCYPART_ARC
(8,15),-1.13173 # DEPENDENCYPART_ARC
(9,4),-1.39501 # DEPENDENCYPART_ARC
(9,6),-1.19982 # DEPENDENCYPART_ARC
(9,8),0.264079 # DEPENDENCYPART_ARC
(9,11),-0.909788 # DEPENDENCYPART_ARC
(9,14),-1.55726 # DEPENDENCYPART_ARC
(10,1),-2.35158 # DEPENDENCYPART_ARC
(10,4),-2.02405 # DEPENDENCYPART_ARC
(10,5),-1.66331 # DEPENDENCYPART_ARC
(10,6),-1.23668 # DEPENDENCYPART_ARC
(10,7),-1.3358 # DEPENDENCYPART_ARC
(10,8),0.235189 # DEPENDENCYPART_ARC
(10,9),1.39037 # DEPENDENCYPART_ARC
(10,11),0.746537 # DEPENDENCYPART_ARC
(10,12),-1.21872 # DEPENDENCYPART_ARC
(10,13),-1.01234 # DEPENDENCYPART_ARC
(10,14),-1.1351 # DEPENDENCYPART_ARC
(10,15),-1.4785 # DEPENDENCYPART_ARC
(10,16),-1.58798 # DEPENDENCYPART_ARC
(10,18),-1.60599 # DEPENDENCYPART_ARC
(10,19),-2.10824 # DEPENDENCYPART_ARC
(10,22),-1.6777 # DEPENDENCYPART_ARC
(10,23),-1.84507 # DEPENDENCYPART_ARC
(10,24),-2.34959 # DEPENDENCYPART_ARC
(11,9),-1.67849 # DEPENDENCYPART_ARC
(11,10),-0.695079 # DEPENDENCYPART_ARC
(11,12),-0.159045 # DEPENDENCYPART_ARC
(11,13),-0.391997 # DEPENDENCYPART_ARC
(11,14),-0.756995 # DEPENDENCYPART_ARC
