# _root_ In New York Stock Exchange composite trading yesterday , H.H. Robertson closed at $ 11.625 , up 62.5 cents .
#goldHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,15,13,12,12,19,17,12,
#predictedHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,15,13,12,12,19,17,12,
(0,1),-1.84663 # DEPENDENCYPART_ARC
(0,7),-3.14555 # DEPENDENCYPART_ARC
(0,11),-3.31744 # DEPENDENCYPART_ARC
(0,12),-1.46769 # DEPENDENCYPART_ARC
(1,2),0.346921 # DEPENDENCYPART_ARC
(1,3),-0.511987 # DEPENDENCYPART_ARC
(1,4),-1.37963 # DEPENDENCYPART_ARC
(1,5),-1.60246 # DEPENDENCYPART_ARC
(1,6),-1.33411 # DEPENDENCYPART_ARC
(1,7),-2.10644 # DEPENDENCYPART_ARC
(1,8),-3.01603 # DEPENDENCYPART_ARC
(1,9),-1.15782 # DEPENDENCYPART_ARC
(2,1),-1.9798 # DEPENDENCYPART_ARC
(2,3),-0.600764 # DEPENDENCYPART_ARC
(2,4),-1.55098 # DEPENDENCYPART_ARC
(2,5),-1.92655 # DEPENDENCYPART_ARC
(2,6),-1.68361 # DEPENDENCYPART_ARC
(3,1),-2.42083 # DEPENDENCYPART_ARC
(3,2),-0.0281848 # DEPENDENCYPART_ARC
(3,4),-0.750298 # DEPENDENCYPART_ARC
(3,5),-1.82428 # DEPENDENCYPART_ARC
(3,6),-1.80789 # DEPENDENCYPART_ARC
(3,8),-2.37923 # DEPENDENCYPART_ARC
(3,9),-2.37304 # DEPENDENCYPART_ARC
(3,11),-2.76965 # DEPENDENCYPART_ARC
(4,2),-0.694247 # DEPENDENCYPART_ARC
(4,3),0.110362 # DEPENDENCYPART_ARC
(4,5),-0.776281 # DEPENDENCYPART_ARC
(4,6),-1.58961 # DEPENDENCYPART_ARC
(4,7),-1.91366 # DEPENDENCYPART_ARC
(4,8),-2.11055 # DEPENDENCYPART_ARC
(4,9),-2.40126 # DEPENDENCYPART_ARC
(4,11),-2.53719 # DEPENDENCYPART_ARC
(4,12),-2.41144 # DEPENDENCYPART_ARC
(4,20),-1.94981 # DEPENDENCYPART_ARC
(5,2),-0.380391 # DEPENDENCYPART_ARC
(5,3),-0.0383011 # DEPENDENCYPART_ARC
(5,4),1.03912 # DEPENDENCYPART_ARC
(5,6),-0.531973 # DEPENDENCYPART_ARC
(5,7),-1.43257 # DEPENDENCYPART_ARC
(5,8),-1.75254 # DEPENDENCYPART_ARC
(5,9),-2.02764 # DEPENDENCYPART_ARC
(5,10),-2.13852 # DEPENDENCYPART_ARC
(5,11),-2.25377 # DEPENDENCYPART_ARC
(5,12),-2.35032 # DEPENDENCYPART_ARC
(5,13),-2.51127 # DEPENDENCYPART_ARC
(5,16),-2.32615 # DEPENDENCYPART_ARC
(5,17),-2.07091 # DEPENDENCYPART_ARC
(5,19),-2.55403 # DEPENDENCYPART_ARC
(5,20),-1.92423 # DEPENDENCYPART_ARC
(6,1),-1.42494 # DEPENDENCYPART_ARC
(6,2),-0.981993 # DEPENDENCYPART_ARC
(6,3),-1.01736 # DEPENDENCYPART_ARC
(6,4),-0.995361 # DEPENDENCYPART_ARC
(6,5),-0.0216086 # DEPENDENCYPART_ARC
(6,7),-0.353738 # DEPENDENCYPART_ARC
(6,8),-1.30889 # DEPENDENCYPART_ARC
(6,9),-1.29989 # DEPENDENCYPART_ARC
(6,11),-2.10538 # DEPENDENCYPART_ARC
(7,1),-1.92971 # DEPENDENCYPART_ARC
(7,2),-0.702529 # DEPENDENCYPART_ARC
(7,3),-0.54072 # DEPENDENCYPART_ARC
(7,4),-0.485505 # DEPENDENCYPART_ARC
(7,5),-0.1215 # DEPENDENCYPART_ARC
(7,6),0.775328 # DEPENDENCYPART_ARC
(7,8),-0.646895 # DEPENDENCYPART_ARC
(7,9),-1.78047 # DEPENDENCYPART_ARC
(7,11),-2.18714 # DEPENDENCYPART_ARC
(7,12),-2.0994 # DEPENDENCYPART_ARC
(7,16),-2.16786 # DEPENDENCYPART_ARC
(8,1),-1.8072 # DEPENDENCYPART_ARC
(8,2),-1.5558 # DEPENDENCYPART_ARC
(8,3),-1.11809 # DEPENDENCYPART_ARC
(8,4),-0.999782 # DEPENDENCYPART_ARC
(8,5),-1.27711 # DEPENDENCYPART_ARC
(8,6),-0.527321 # DEPENDENCYPART_ARC
(8,7),0.957232 # DEPENDENCYPART_ARC
(8,9),0.15142 # DEPENDENCYPART_ARC
(8,10),-1.33194 # DEPENDENCYPART_ARC
(8,11),-1.81261 # DEPENDENCYPART_ARC
(8,12),-2.08875 # DEPENDENCYPART_ARC
(8,13),-2.41775 # DEPENDENCYPART_ARC
(8,14),-2.17101 # DEPENDENCYPART_ARC
(8,15),-2.45561 # DEPENDENCYPART_ARC
(8,16),-1.85409 # DEPENDENCYPART_ARC
(8,17),-1.74235 # DEPENDENCYPART_ARC
(8,19),-2.2215 # DEPENDENCYPART_ARC
(8,20),-1.92566 # DEPENDENCYPART_ARC
(10,2),-3.38964 # DEPENDENCYPART_ARC
(10,3),-3.17695 # DEPENDENCYPART_ARC
(10,4),-3.27288 # DEPENDENCYPART_ARC
(10,5),-2.9068 # DEPENDENCYPART_ARC
(10,6),-2.98877 # DEPENDENCYPART_ARC
(10,7),-2.55566 # DEPENDENCYPART_ARC
(10,8),-2.05364 # DEPENDENCYPART_ARC
(10,9),-1.15313 # DEPENDENCYPART_ARC
(10,11),-0.618993 # DEPENDENCYPART_ARC
(10,13),-1.45442 # DEPENDENCYPART_ARC
(10,15),-2.0353 # DEPENDENCYPART_ARC
(10,19),-2.24287 # DEPENDENCYPART_ARC
(11,2),-1.76155 # DEPENDENCYPART_ARC
(11,3),-1.80997 # DEPENDENCYPART_ARC
(11,4),-1.9243 # DEPENDENCYPART_ARC
(11,5),-2.40532 # DEPENDENCYPART_ARC
(11,6),-1.88298 # DEPENDENCYPART_ARC
(11,7),-1.37947 # DEPENDENCYPART_ARC
(11,8),-1.7296 # DEPENDENCYPART_ARC
(11,9),-1.22327 # DEPENDENCYPART_ARC
(11,10),1.68667 # DEPENDENCYPART_ARC
(11,12),-0.185144 # DEPENDENCYPART_ARC
(11,13),-1.25201 # DEPENDENCYPART_ARC
(11,14),-1.47165 # DEPENDENCYPART_ARC
(11,15),-1.70836 # DEPENDENCYPART_ARC
(11,16),-1.82265 # DEPENDENCYPART_ARC
(11,17),-1.85974 # DEPENDENCYPART_ARC
(11,19),-1.8773 # DEPENDENCYPART_ARC
(11,20),-1.90908 # DEPENDENCYPART_ARC
(12,1),0.123411 # DEPENDENCYPART_ARC
(12,2),-1.74393 # DEPENDENCYPART_ARC
(12,3),-1.82729 # DEPENDENCYPART_ARC
(12,4),-1.95411 # DEPENDENCYPART_ARC
(12,5),-1.63745 # DEPENDENCYPART_ARC
(12,6),-1.70174 # DEPENDENCYPART_ARC
(12,7),-1.68207 # DEPENDENCYPART_ARC
(12,8),-1.39145 # DEPENDENCYPART_ARC
(12,9),-0.475515 # DEPENDENCYPART_ARC
(12,10),-0.321851 # DEPENDENCYPART_ARC
(12,11),0.767008 # DEPENDENCYPART_ARC
(12,13),1.10091 # DEPENDENCYPART_ARC
(12,14),-0.574544 # DEPENDENCYPART_ARC
(12,15),-1.02451 # DEPENDENCYPART_ARC
(12,16),-0.603723 # DEPENDENCYPART_ARC
(12,17),-1.19728 # DEPENDENCYPART_ARC
(12,18),-1.87477 # DEPENDENCYPART_ARC
(12,19),-1.83295 # DEPENDENCYPART_ARC
(12,20),-0.243031 # DEPENDENCYPART_ARC
(13,14),-0.409187 # DEPENDENCYPART_ARC
(13,15),-0.683385 # DEPENDENCYPART_ARC
(13,16),-1.10538 # DEPENDENCYPART_ARC
(13,17),-1.8548 # DEPENDENCYPART_ARC
(13,18),-2.07198 # DEPENDENCYPART_ARC
(13,19),-2.42195 # DEPENDENCYPART_ARC
(13,20),-1.91727 # DEPENDENCYPART_ARC
(14,13),0.528871 # DEPENDENCYPART_ARC
(14,15),-0.0696438 # DEPENDENCYPART_ARC
(14,16),-1.24688 # DEPENDENCYPART_ARC
