# _root_ Beyond the advertisements , the syndicator is planning a traveling arena show , new TV specials for CBS and even an exhibit at the Smithsonian Institute .
#goldHeads=7,3,1,7,6,7,0,7,12,12,12,19,19,16,16,19,16,17,8,22,22,19,22,26,26,23,7,
#predictedHeads=7,3,1,7,6,7,0,7,12,12,12,8,12,16,16,19,16,17,12,22,22,19,22,26,26,23,7,
(0,1),-1.85466 # DEPENDENCYPART_ARC
(0,3),-2.57285 # DEPENDENCYPART_ARC
(0,6),-3.09674 # DEPENDENCYPART_ARC
(0,7),-1.85335 # DEPENDENCYPART_ARC
(0,8),-2.87384 # DEPENDENCYPART_ARC
(0,10),-3.01097 # DEPENDENCYPART_ARC
(0,19),-2.40755 # DEPENDENCYPART_ARC
(1,2),0.0532427 # DEPENDENCYPART_ARC
(1,3),0.169775 # DEPENDENCYPART_ARC
(1,4),-1.22812 # DEPENDENCYPART_ARC
(1,6),-1.86282 # DEPENDENCYPART_ARC
(1,7),-2.12764 # DEPENDENCYPART_ARC
(1,19),-1.28326 # DEPENDENCYPART_ARC
(2,1),-0.459336 # DEPENDENCYPART_ARC
(2,4),-1.38955 # DEPENDENCYPART_ARC
(3,1),-1.02267 # DEPENDENCYPART_ARC
(3,2),1.17259 # DEPENDENCYPART_ARC
(3,4),-0.265427 # DEPENDENCYPART_ARC
(3,5),-1.8273 # DEPENDENCYPART_ARC
(3,6),-1.68069 # DEPENDENCYPART_ARC
(3,7),-1.79308 # DEPENDENCYPART_ARC
(3,8),-2.30994 # DEPENDENCYPART_ARC
(3,9),-2.01363 # DEPENDENCYPART_ARC
(3,12),-1.52023 # DEPENDENCYPART_ARC
(3,13),-1.39891 # DEPENDENCYPART_ARC
(3,16),-1.88332 # DEPENDENCYPART_ARC
(3,17),-1.72225 # DEPENDENCYPART_ARC
(3,19),-0.958876 # DEPENDENCYPART_ARC
(3,27),-2.51533 # DEPENDENCYPART_ARC
(4,1),-1.27351 # DEPENDENCYPART_ARC
(5,4),-0.218709 # DEPENDENCYPART_ARC
(5,7),-1.22643 # DEPENDENCYPART_ARC
(5,8),-1.62731 # DEPENDENCYPART_ARC
(6,1),-1.97222 # DEPENDENCYPART_ARC
(6,2),-1.37951 # DEPENDENCYPART_ARC
(6,3),-1.96545 # DEPENDENCYPART_ARC
(6,4),-1.14702 # DEPENDENCYPART_ARC
(6,5),1.25275 # DEPENDENCYPART_ARC
(6,7),-0.427724 # DEPENDENCYPART_ARC
(6,8),-1.32274 # DEPENDENCYPART_ARC
(6,10),-1.6604 # DEPENDENCYPART_ARC
