# _root_ Back when the Burgess fauna were flourishing , it seems , human evolutionary hopes hung on the survival of a little worm with a backbone called Pikaia .
#goldHeads=15,7,5,5,6,1,6,10,10,15,10,14,14,15,0,15,18,16,18,22,22,19,22,25,23,22,26,15,
#predictedHeads=6,7,5,5,6,0,6,10,10,15,10,14,14,15,7,15,18,16,18,22,22,19,22,25,23,25,26,6,
(0,1),-1.46898 # DEPENDENCYPART_ARC
(0,2),-2.20235 # DEPENDENCYPART_ARC
(0,5),-2.5122 # DEPENDENCYPART_ARC
(0,6),-1.64115 # DEPENDENCYPART_ARC
(0,7),-3.01344 # DEPENDENCYPART_ARC
(0,10),-3.40909 # DEPENDENCYPART_ARC
(0,14),-2.64682 # DEPENDENCYPART_ARC
(0,15),-2.08261 # DEPENDENCYPART_ARC
(0,26),-2.33134 # DEPENDENCYPART_ARC
(1,3),-1.09318 # DEPENDENCYPART_ARC
(1,4),-1.38462 # DEPENDENCYPART_ARC
(1,5),-1.45793 # DEPENDENCYPART_ARC
(1,6),-1.3378 # DEPENDENCYPART_ARC
(1,8),-1.65923 # DEPENDENCYPART_ARC
(1,10),-1.99217 # DEPENDENCYPART_ARC
(1,15),-1.64989 # DEPENDENCYPART_ARC
(2,1),0.0709894 # DEPENDENCYPART_ARC
(3,6),-1.28451 # DEPENDENCYPART_ARC
(4,1),-2.46886 # DEPENDENCYPART_ARC
(4,3),-0.442945 # DEPENDENCYPART_ARC
(4,5),-0.717902 # DEPENDENCYPART_ARC
(4,6),-0.858749 # DEPENDENCYPART_ARC
(4,7),-1.45225 # DEPENDENCYPART_ARC
(4,8),-2.26458 # DEPENDENCYPART_ARC
(4,10),-2.38387 # DEPENDENCYPART_ARC
(4,11),-2.24355 # DEPENDENCYPART_ARC
(4,14),-2.26589 # DEPENDENCYPART_ARC
(4,15),-2.42563 # DEPENDENCYPART_ARC
(5,1),-1.0872 # DEPENDENCYPART_ARC
(5,2),-1.15662 # DEPENDENCYPART_ARC
(5,3),0.514666 # DEPENDENCYPART_ARC
(5,4),1.73443 # DEPENDENCYPART_ARC
(5,6),-0.409644 # DEPENDENCYPART_ARC
(5,7),-1.33078 # DEPENDENCYPART_ARC
(5,8),-1.74302 # DEPENDENCYPART_ARC
(5,10),-2.41715 # DEPENDENCYPART_ARC
(5,11),-1.7782 # DEPENDENCYPART_ARC
(5,14),-1.86431 # DEPENDENCYPART_ARC
(5,15),-2.51001 # DEPENDENCYPART_ARC
(6,1),-0.972426 # DEPENDENCYPART_ARC
(6,2),-0.55922 # DEPENDENCYPART_ARC
(6,3),-1.13366 # DEPENDENCYPART_ARC
(6,4),-0.544399 # DEPENDENCYPART_ARC
(6,5),0.957862 # DEPENDENCYPART_ARC
(6,7),1.61422 # DEPENDENCYPART_ARC
(6,8),-1.23954 # DEPENDENCYPART_ARC
(6,9),-1.79067 # DEPENDENCYPART_ARC
(6,10),-1.58168 # DEPENDENCYPART_ARC
(6,11),-2.22683 # DEPENDENCYPART_ARC
(6,12),-1.77614 # DEPENDENCYPART_ARC
(6,14),-1.87244 # DEPENDENCYPART_ARC
(6,15),-1.7957 # DEPENDENCYPART_ARC
(6,16),-2.06297 # DEPENDENCYPART_ARC
(6,28),-0.519008 # DEPENDENCYPART_ARC
(7,2),-1.11323 # DEPENDENCYPART_ARC
(7,5),-1.5261 # DEPENDENCYPART_ARC
(7,6),-1.39474 # DEPENDENCYPART_ARC
(7,8),0.110602 # DEPENDENCYPART_ARC
(7,9),-1.41313 # DEPENDENCYPART_ARC
(7,10),-1.30248 # DEPENDENCYPART_ARC
(7,11),-1.71427 # DEPENDENCYPART_ARC
(7,12),-1.76849 # DEPENDENCYPART_ARC
(7,14),-1.67828 # DEPENDENCYPART_ARC
(7,15),-1.58717 # DEPENDENCYPART_ARC
(7,16),-1.73031 # DEPENDENCYPART_ARC
(7,18),-1.90718 # DEPENDENCYPART_ARC
(7,23),-1.97809 # DEPENDENCYPART_ARC
(7,28),-1.70041 # DEPENDENCYPART_ARC
(9,8),0.356069 # DEPENDENCYPART_ARC
(9,10),-0.240563 # DEPENDENCYPART_ARC
(9,15),-1.83105 # DEPENDENCYPART_ARC
(10,1),-1.94754 # DEPENDENCYPART_ARC
(10,2),-1.47639 # DEPENDENCYPART_ARC
(10,5),-2.26172 # DEPENDENCYPART_ARC
(10,6),-1.43085 # DEPENDENCYPART_ARC
(10,7),-1.05562 # DEPENDENCYPART_ARC
(10,8),-0.231418 # DEPENDENCYPART_ARC
(10,9),1.18293 # DEPENDENCYPART_ARC
(10,11),0.288827 # DEPENDENCYPART_ARC
(10,12),-1.26927 # DEPENDENCYPART_ARC
(10,13),-1.67082 # DEPENDENCYPART_ARC
(10,14),-1.60257 # DEPENDENCYPART_ARC
(10,15),-1.73658 # DEPENDENCYPART_ARC
(10,16),-2.20851 # DEPENDENCYPART_ARC
(10,18),-2.36446 # DEPENDENCYPART_ARC
(10,23),-2.44091 # DEPENDENCYPART_ARC
(10,28),-1.44011 # DEPENDENCYPART_ARC
(12,8),-2.10388 # DEPENDENCYPART_ARC
(12,9),-1.92539 # DEPENDENCYPART_ARC
(12,11),-0.0660958 # DEPENDENCYPART_ARC
(12,13),-0.316945 # DEPENDENCYPART_ARC
(12,14),-1.17916 # DEPENDENCYPART_ARC
(12,15),-1.09272 # DEPENDENCYPART_ARC
(12,16),-1.4347 # DEPENDENCYPART_ARC
(12,18),-1.73861 # DEPENDENCYPART_ARC
(12,19),-1.71574 # DEPENDENCYPART_ARC
(13,9),-2.10569 # DEPENDENCYPART_ARC
(13,11),-1.16359 # DEPENDENCYPART_ARC
(13,12),0.0576077 # DEPENDENCYPART_ARC
(13,16),-1.54907 # DEPENDENCYPART_ARC
(13,18),-1.89802 # DEPENDENCYPART_ARC
(14,1),-1.71635 # DEPENDENCYPART_ARC
(14,7),-1.38294 # DEPENDENCYPART_ARC
(14,8),-2.36165 # DEPENDENCYPART_ARC
(14,11),-1.38311 # DEPENDENCYPART_ARC
(14,12),0.407224 # DEPENDENCYPART_ARC
(14,13),1.5718 # DEPENDENCYPART_ARC
(14,15),0.0196554 # DEPENDENCYPART_ARC
(14,16),-0.955796 # DEPENDENCYPART_ARC
(14,18),-1.52563 # DEPENDENCYPART_ARC
(14,19),-1.71389 # DEPENDENCYPART_ARC
(14,26),-1.83216 # DEPENDENCYPART_ARC
(14,27),-1.77575 # DEPENDENCYPART_ARC
(14,28),-1.61221 # DEPENDENCYPART_ARC
(15,1),-1.38488 # DEPENDENCYPART_ARC
(15,2),-1.29456 # DEPENDENCYPART_ARC
(15,4),-1.36042 # DEPENDENCYPART_ARC
(15,5),-1.20897 # DEPENDENCYPART_ARC
(15,6),-1.39716 # DEPENDENCYPART_ARC
(15,7),-1.17231 # DEPENDENCYPART_ARC
(15,8),-2.0658 # DEPENDENCYPART_ARC
(15,9),-1.94898 # DEPENDENCYPART_ARC
(15,10),-1.2461 # DEPENDENCYPART_ARC
(15,11),-0.86293 # DEPENDENCYPART_ARC
(15,12),-0.912708 # DEPENDENCYPART_ARC
(15,13),-0.74013 # DEPENDENCYPART_ARC
(15,14),0.742003 # DEPENDENCYPART_ARC
(15,16),1.10799 # DEPENDENCYPART_ARC
(15,17),-0.817687 # DEPENDENCYPART_ARC
(15,18),-0.555319 # DEPENDENCYPART_ARC
(15,19),-0.952099 # DEPENDENCYPART_ARC
(15,20),-1.30408 # DEPENDENCYPART_ARC
(15,21),-1.29734 # DEPENDENCYPART_ARC
(15,22),-1.11252 # DEPENDENCYPART_ARC
(15,23),-0.907003 # DEPENDENCYPART_ARC
(15,25),-1.57737 # DEPENDENCYPART_ARC
(15,26),-1.08361 # DEPENDENCYPART_ARC
(15,27),-1.89188 # DEPENDENCYPART_ARC
(15,28),0.307792 # DEPENDENCYPART_ARC
(16,14),-1.74651 # DEPENDENCYPART_ARC
(16,17),0.0663312 # DEPENDENCYPART_ARC
(16,18),0.0787048 # DEPENDENCYPART_ARC
(16,19),-1.22985 # DEPENDENCYPART_ARC
(16,21),-1.20345 # DEPENDENCYPART_ARC
(16,22),-1.44214 # DEPENDENCYPART_ARC
(16,23),-1.58614 # DEPENDENCYPART_ARC
(16,25),-1.87319 # DEPENDENCYPART_ARC
(16,28),-0.599015 # DEPENDENCYPART_ARC
(17,19),-1.28047 # DEPENDENCYPART_ARC
(18,12),-2.30078 # DEPENDENCYPART_ARC
(18,13),-1.95415 # DEPENDENCYPART_ARC
(18,16),-1.12517 # DEPENDENCYPART_ARC
(18,17),1.1771 # DEPENDENCYPART_ARC
(18,19),0.590576 # DEPENDENCYPART_ARC
(18,20),-1.22393 # DEPENDENCYPART_ARC
(18,21),-1.11327 # DEPENDENCYPART_ARC
(18,22),-1.13734 # DEPENDENCYPART_ARC
(18,23),-0.809421 # DEPENDENCYPART_ARC
(18,24),-1.45668 # DEPENDENCYPART_ARC
(18,25),-1.3643 # DEPENDENCYPART_ARC
(18,26),-1.05282 # DEPENDENCYPART_ARC
(18,27),-1.52937 # DEPENDENCYPART_ARC
(18,28),-1.60612 # DEPENDENCYPART_ARC
(19,17),-1.59123 # DEPENDENCYPART_ARC
(19,18),-0.669175 # DEPENDENCYPART_ARC
(19,20),-0.128146 # DEPENDENCYPART_ARC
(19,21),-0.837701 # DEPENDENCYPART_ARC
(19,22),-0.737652 # DEPENDENCYPART_ARC
(19,23),-1.62489 # DEPENDENCYPART_ARC
(19,25),-1.62179 # DEPENDENCYPART_ARC
(19,27),-2.3339 # DEPENDENCYPART_ARC
(20,21),-0.481943 # DEPENDENCYPART_ARC
(20,23),-1.25966 # DEPENDENCYPART_ARC
(21,20),0.128765 # DEPENDENCYPART_ARC
(21,23),-1.02694 # DEPENDENCYPART_ARC
(21,25),-1.54007 # DEPENDENCYPART_ARC
(21,26),-1.26712 # DEPENDENCYPART_ARC
(21,27),-1.78516 # DEPENDENCYPART_ARC
(22,12),-2.11007 # DEPENDENCYPART_ARC
(22,17),-1.5319 # DEPENDENCYPART_ARC
(22,18),-1.22353 # DEPENDENCYPART_ARC
(22,19),-0.995388 # DEPENDENCYPART_ARC
(22,20),0.359085 # DEPENDENCYPART_ARC
(22,21),1.6242 # DEPENDENCYPART_ARC
(22,23),0.370578 # DEPENDENCYPART_ARC
(22,24),-1.57526 # DEPENDENCYPART_ARC
(22,25),-1.38434 # DEPENDENCYPART_ARC
(22,26),-1.0849 # DEPENDENCYPART_ARC
(22,27),-1.70259 # DEPENDENCYPART_ARC
(22,28),-1.84929 # DEPENDENCYPART_ARC
(23,21),-1.6646 # DEPENDENCYPART_ARC
(23,22),-0.715111 # DEPENDENCYPART_ARC
(23,24),-0.132918 # DEPENDENCYPART_ARC
(23,25),-0.134714 # DEPENDENCYPART_ARC
(23,26),-1.30169 # DEPENDENCYPART_ARC
(23,27),-1.37763 # DEPENDENCYPART_ARC
(24,26),-1.05085 # DEPENDENCYPART_ARC
(25,20),-1.89446 # DEPENDENCYPART_ARC
(25,21),-1.66641 # DEPENDENCYPART_ARC
(25,24),1.29599 # DEPENDENCYPART_ARC
(25,26),0.240331 # DEPENDENCYPART_ARC
(25,27),-1.01056 # DEPENDENCYPART_ARC
(26,6),-2.84573 # DEPENDENCYPART_ARC
(26,11),-2.67076 # DEPENDENCYPART_ARC
(26,14),-1.77079 # DEPENDENCYPART_ARC
(26,16),-1.53232 # DEPENDENCYPART_ARC
(26,18),-1.54491 # DEPENDENCYPART_ARC
(26,19),-1.89515 # DEPENDENCYPART_ARC
(26,22),-1.36911 # DEPENDENCYPART_ARC
(26,23),-1.28156 # DEPENDENCYPART_ARC
(26,24),-1.60103 # DEPENDENCYPART_ARC
(26,25),-0.31645 # DEPENDENCYPART_ARC
(26,27),0.154156 # DEPENDENCYPART_ARC
(26,28),-0.534287 # DEPENDENCYPART_ARC
(27,20),-2.64097 # DEPENDENCYPART_ARC
(27,21),-2.2232 # DEPENDENCYPART_ARC
(27,24),-1.1921 # DEPENDENCYPART_ARC
(27,25),-0.489156 # DEPENDENCYPART_ARC
(27,26),0.0766912 # DEPENDENCYPART_ARC
(27,28),-0.307291 # DEPENDENCYPART_ARC
(28,27),-0.584125 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0186362 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.00138609 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.114884 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.110454 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.110265 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.00125226 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.110454 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.106338 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00946866 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0945285 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0930142 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0930142 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.00948109 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0930142 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.0930181 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.12541 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.123546 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.122022 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0580847 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.123546 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.132859 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.226987 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.228423 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0819174 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.226987 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.229472 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.226894 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0757569 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.225457 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.227942 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0757803 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.228663 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.231148 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.12361 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.132923 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.227942 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0284395 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0284395 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.023902 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0179293 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0262237 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0269031 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0478845 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.000377364 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0127657 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0049537 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.00410907 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.000377364 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0130449 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0049537 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00410907 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0776105 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0398646 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0419812 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0495097 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0516363 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0272343 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00922491 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0242783 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0175546 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0228218 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0369778 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0202598 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0369778 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0172846 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0228218 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.000515441 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0630863 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.138402 # DEPENDENCYPART_SIBL
