# _root_ The Soviet Union has purchased roughly eight million tons of grain this month , and is expected to take delivery by year end , analysts said .
#goldHeads=3,3,15,15,4,9,6,6,5,9,10,13,5,15,26,15,16,19,17,19,19,23,21,26,26,0,26,
#predictedHeads=3,3,4,15,4,9,6,6,5,9,10,13,5,15,26,15,16,19,17,19,19,23,21,26,26,0,26,
(0,4),-1.80264 # DEPENDENCYPART_ARC
(0,5),-2.54571 # DEPENDENCYPART_ARC
(0,15),-1.79251 # DEPENDENCYPART_ARC
(0,16),-2.82034 # DEPENDENCYPART_ARC
(0,26),0.432598 # DEPENDENCYPART_ARC
(1,4),-1.4407 # DEPENDENCYPART_ARC
(1,5),-1.68105 # DEPENDENCYPART_ARC
(2,1),-0.575438 # DEPENDENCYPART_ARC
(2,3),-0.557906 # DEPENDENCYPART_ARC
(2,4),-0.585432 # DEPENDENCYPART_ARC
(2,5),-1.28272 # DEPENDENCYPART_ARC
(2,6),-1.51614 # DEPENDENCYPART_ARC
(2,7),-1.82857 # DEPENDENCYPART_ARC
(2,8),-1.91127 # DEPENDENCYPART_ARC
(3,1),0.120835 # DEPENDENCYPART_ARC
(3,2),1.20605 # DEPENDENCYPART_ARC
(3,4),-0.567499 # DEPENDENCYPART_ARC
(3,5),-1.47321 # DEPENDENCYPART_ARC
(3,6),-1.57077 # DEPENDENCYPART_ARC
(3,7),-1.91393 # DEPENDENCYPART_ARC
(3,10),-1.56881 # DEPENDENCYPART_ARC
(4,1),-0.898704 # DEPENDENCYPART_ARC
(4,2),-0.420525 # DEPENDENCYPART_ARC
(4,3),0.82332 # DEPENDENCYPART_ARC
(4,5),1.36413 # DEPENDENCYPART_ARC
(4,6),-0.78083 # DEPENDENCYPART_ARC
(4,7),-1.25217 # DEPENDENCYPART_ARC
(4,8),-1.4343 # DEPENDENCYPART_ARC
(4,9),-0.922222 # DEPENDENCYPART_ARC
(4,10),-1.50769 # DEPENDENCYPART_ARC
(4,11),-1.56318 # DEPENDENCYPART_ARC
(4,13),-1.43999 # DEPENDENCYPART_ARC
(4,14),-1.47901 # DEPENDENCYPART_ARC
(4,15),-0.862138 # DEPENDENCYPART_ARC
(4,17),-1.88378 # DEPENDENCYPART_ARC
(4,19),-2.21758 # DEPENDENCYPART_ARC
(4,27),-1.42603 # DEPENDENCYPART_ARC
(5,1),-1.80731 # DEPENDENCYPART_ARC
(5,2),-1.42145 # DEPENDENCYPART_ARC
(5,3),-1.39125 # DEPENDENCYPART_ARC
(5,4),-1.00395 # DEPENDENCYPART_ARC
(5,6),0.300544 # DEPENDENCYPART_ARC
(5,7),-0.76237 # DEPENDENCYPART_ARC
(5,8),-1.26994 # DEPENDENCYPART_ARC
(5,9),-0.551491 # DEPENDENCYPART_ARC
(5,10),-0.902073 # DEPENDENCYPART_ARC
(5,11),-1.2405 # DEPENDENCYPART_ARC
(5,13),-1.0721 # DEPENDENCYPART_ARC
(5,14),-1.02781 # DEPENDENCYPART_ARC
(5,16),-1.8288 # DEPENDENCYPART_ARC
(5,17),-2.09419 # DEPENDENCYPART_ARC
(5,18),-1.95277 # DEPENDENCYPART_ARC
(5,19),-2.00439 # DEPENDENCYPART_ARC
(5,21),-1.87522 # DEPENDENCYPART_ARC
(5,24),-1.91788 # DEPENDENCYPART_ARC
(5,26),-2.52621 # DEPENDENCYPART_ARC
(5,27),-1.79686 # DEPENDENCYPART_ARC
(6,2),-1.34927 # DEPENDENCYPART_ARC
(6,3),-1.28824 # DEPENDENCYPART_ARC
(6,4),-1.26936 # DEPENDENCYPART_ARC
(6,7),0.556756 # DEPENDENCYPART_ARC
(6,8),-0.318313 # DEPENDENCYPART_ARC
(6,9),-0.740862 # DEPENDENCYPART_ARC
(6,10),-1.001 # DEPENDENCYPART_ARC
(6,11),-0.977538 # DEPENDENCYPART_ARC
(6,13),-1.18457 # DEPENDENCYPART_ARC
(6,14),-1.10664 # DEPENDENCYPART_ARC
(6,16),-1.51662 # DEPENDENCYPART_ARC
