# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,9,10,14,9,18,16,20,23,20,23,18,9,
(0,1),-3.84808 # DEPENDENCYPART_ARC
(0,2),-3.90371 # DEPENDENCYPART_ARC
(0,3),-4.11504 # DEPENDENCYPART_ARC
(0,5),-4.5019 # DEPENDENCYPART_ARC
(0,9),-1.49169 # DEPENDENCYPART_ARC
(0,18),-2.18381 # DEPENDENCYPART_ARC
(1,2),0.0380241 # DEPENDENCYPART_ARC
(1,3),-1.30962 # DEPENDENCYPART_ARC
(1,4),-1.07253 # DEPENDENCYPART_ARC
(1,5),0.224069 # DEPENDENCYPART_ARC
(1,6),-1.66293 # DEPENDENCYPART_ARC
(1,8),-1.88388 # DEPENDENCYPART_ARC
(1,9),-1.31434 # DEPENDENCYPART_ARC
(1,10),-2.35753 # DEPENDENCYPART_ARC
(1,12),-1.94033 # DEPENDENCYPART_ARC
(1,13),-1.80172 # DEPENDENCYPART_ARC
(1,16),-1.89335 # DEPENDENCYPART_ARC
(1,24),-3.71002 # DEPENDENCYPART_ARC
(2,1),-0.921524 # DEPENDENCYPART_ARC
(2,3),-0.801549 # DEPENDENCYPART_ARC
(2,4),-1.78493 # DEPENDENCYPART_ARC
(2,5),-1.59789 # DEPENDENCYPART_ARC
(2,6),-1.29537 # DEPENDENCYPART_ARC
(2,8),-2.04334 # DEPENDENCYPART_ARC
(2,9),-1.63416 # DEPENDENCYPART_ARC
(2,10),-1.95725 # DEPENDENCYPART_ARC
(2,13),-1.61111 # DEPENDENCYPART_ARC
(3,1),-1.55566 # DEPENDENCYPART_ARC
(3,2),-1.954 # DEPENDENCYPART_ARC
(3,4),-1.5055 # DEPENDENCYPART_ARC
(3,5),-1.66731 # DEPENDENCYPART_ARC
(3,6),-1.94238 # DEPENDENCYPART_ARC
(3,8),-2.50569 # DEPENDENCYPART_ARC
(3,9),-2.03067 # DEPENDENCYPART_ARC
(3,24),-2.82645 # DEPENDENCYPART_ARC
(4,1),-2.22107 # DEPENDENCYPART_ARC
(4,2),-1.14844 # DEPENDENCYPART_ARC
(4,3),-0.599397 # DEPENDENCYPART_ARC
(4,5),-1.18631 # DEPENDENCYPART_ARC
(4,6),-1.6503 # DEPENDENCYPART_ARC
(4,8),-2.85662 # DEPENDENCYPART_ARC
(4,9),-2.36571 # DEPENDENCYPART_ARC
(5,1),-1.60867 # DEPENDENCYPART_ARC
(5,2),-0.800106 # DEPENDENCYPART_ARC
(5,3),0.0104736 # DEPENDENCYPART_ARC
(5,4),1.14547 # DEPENDENCYPART_ARC
(5,6),-0.567492 # DEPENDENCYPART_ARC
(5,8),-1.65707 # DEPENDENCYPART_ARC
(5,9),-1.64563 # DEPENDENCYPART_ARC
(5,10),-1.77301 # DEPENDENCYPART_ARC
(5,11),-2.32635 # DEPENDENCYPART_ARC
(5,12),-1.78114 # DEPENDENCYPART_ARC
(5,13),-1.15812 # DEPENDENCYPART_ARC
(5,14),-1.92324 # DEPENDENCYPART_ARC
(5,15),-2.62531 # DEPENDENCYPART_ARC
(5,16),-2.51276 # DEPENDENCYPART_ARC
(5,18),-2.72914 # DEPENDENCYPART_ARC
(5,23),-3.78288 # DEPENDENCYPART_ARC
(5,24),-2.14674 # DEPENDENCYPART_ARC
(7,5),-2.90389 # DEPENDENCYPART_ARC
(7,6),-2.1344 # DEPENDENCYPART_ARC
(8,1),-1.95645 # DEPENDENCYPART_ARC
(8,2),-2.72854 # DEPENDENCYPART_ARC
(8,3),-1.67363 # DEPENDENCYPART_ARC
(8,4),-1.41125 # DEPENDENCYPART_ARC
(8,5),-1.57022 # DEPENDENCYPART_ARC
