# _root_ `` There was a roll of laughter through the stands , '' says Joe Sukle , the editor of the weekly Press and Journal in Middletown .
#goldHeads=13,3,13,5,3,5,6,5,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
#predictedHeads=13,3,13,5,3,5,6,3,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
(0,3),-1.80708 # DEPENDENCYPART_ARC
(0,13),-1.07303 # DEPENDENCYPART_ARC
(0,23),-2.65914 # DEPENDENCYPART_ARC
(3,1),-0.471646 # DEPENDENCYPART_ARC
(3,2),0.648704 # DEPENDENCYPART_ARC
(3,4),0.154221 # DEPENDENCYPART_ARC
(3,5),0.587993 # DEPENDENCYPART_ARC
(3,6),-0.849908 # DEPENDENCYPART_ARC
(3,7),-0.272399 # DEPENDENCYPART_ARC
(3,8),-0.839097 # DEPENDENCYPART_ARC
(3,9),-1.17002 # DEPENDENCYPART_ARC
(3,10),-0.979854 # DEPENDENCYPART_ARC
(3,11),-1.01729 # DEPENDENCYPART_ARC
(3,12),-0.855364 # DEPENDENCYPART_ARC
(3,13),-2.2161 # DEPENDENCYPART_ARC
(3,15),-2.28584 # DEPENDENCYPART_ARC
(3,16),-1.90751 # DEPENDENCYPART_ARC
(3,18),-1.73938 # DEPENDENCYPART_ARC
(3,23),-0.526928 # DEPENDENCYPART_ARC
(3,27),0.199999 # DEPENDENCYPART_ARC
(4,6),-1.12508 # DEPENDENCYPART_ARC
(4,7),-1.3619 # DEPENDENCYPART_ARC
(4,8),-1.37695 # DEPENDENCYPART_ARC
(5,1),-1.52877 # DEPENDENCYPART_ARC
(5,2),-1.51594 # DEPENDENCYPART_ARC
(5,3),-1.02538 # DEPENDENCYPART_ARC
(5,4),1.18528 # DEPENDENCYPART_ARC
(5,6),0.538356 # DEPENDENCYPART_ARC
(5,7),-0.796628 # DEPENDENCYPART_ARC
(5,8),-0.603717 # DEPENDENCYPART_ARC
(5,9),-1.40748 # DEPENDENCYPART_ARC
(5,10),-1.34797 # DEPENDENCYPART_ARC
(5,11),-1.55176 # DEPENDENCYPART_ARC
(5,12),-1.3417 # DEPENDENCYPART_ARC
(5,13),-1.73665 # DEPENDENCYPART_ARC
(5,15),-1.80463 # DEPENDENCYPART_ARC
(5,16),-1.9447 # DEPENDENCYPART_ARC
(5,18),-1.77602 # DEPENDENCYPART_ARC
(5,19),-2.35913 # DEPENDENCYPART_ARC
(5,20),-1.69912 # DEPENDENCYPART_ARC
(5,21),-1.71029 # DEPENDENCYPART_ARC
(5,23),-0.946253 # DEPENDENCYPART_ARC
(5,25),-2.31081 # DEPENDENCYPART_ARC
(5,27),-1.93647 # DEPENDENCYPART_ARC
(6,4),-1.32508 # DEPENDENCYPART_ARC
(6,7),0.696206 # DEPENDENCYPART_ARC
(6,8),-1.22567 # DEPENDENCYPART_ARC
(6,10),-1.48387 # DEPENDENCYPART_ARC
(6,11),-1.49149 # DEPENDENCYPART_ARC
(6,12),-1.75684 # DEPENDENCYPART_ARC
(6,13),-2.24314 # DEPENDENCYPART_ARC
(6,23),-1.30528 # DEPENDENCYPART_ARC
(7,1),-1.97533 # DEPENDENCYPART_ARC
(7,3),-1.66686 # DEPENDENCYPART_ARC
(7,4),-1.43121 # DEPENDENCYPART_ARC
(7,5),-0.836481 # DEPENDENCYPART_ARC
(7,6),-0.252204 # DEPENDENCYPART_ARC
(7,8),0.167069 # DEPENDENCYPART_ARC
(7,10),-1.40483 # DEPENDENCYPART_ARC
(7,11),-1.91417 # DEPENDENCYPART_ARC
(7,12),-1.89541 # DEPENDENCYPART_ARC
(7,13),-2.18007 # DEPENDENCYPART_ARC
(7,15),-2.01712 # DEPENDENCYPART_ARC
(7,16),-2.16329 # DEPENDENCYPART_ARC
(7,18),-2.13603 # DEPENDENCYPART_ARC
(8,5),-1.61166 # DEPENDENCYPART_ARC
(8,6),-1.29132 # DEPENDENCYPART_ARC
(8,7),-0.604763 # DEPENDENCYPART_ARC
(8,9),-0.067205 # DEPENDENCYPART_ARC
(8,10),0.0604066 # DEPENDENCYPART_ARC
(8,11),-1.29688 # DEPENDENCYPART_ARC
(8,12),-1.54212 # DEPENDENCYPART_ARC
(8,13),-2.15141 # DEPENDENCYPART_ARC
