# _root_ `` That suggests there is a little more inventory overhang than some people expected , '' said Edward Boss , senior financial economist at Continental Bank in Chicago .
#goldHeads=17,3,17,5,3,10,8,10,10,5,14,13,14,10,17,17,0,19,17,19,23,23,19,23,26,24,26,27,17,
#predictedHeads=17,3,17,5,3,10,8,10,10,5,14,13,14,10,17,17,0,19,17,19,23,23,19,23,26,24,26,27,17,
(0,3),-2.02654 # DEPENDENCYPART_ARC
(0,5),-2.48507 # DEPENDENCYPART_ARC
(0,17),-1.05849 # DEPENDENCYPART_ARC
(2,3),-0.315455 # DEPENDENCYPART_ARC
(2,5),-1.49011 # DEPENDENCYPART_ARC
(3,1),-0.360673 # DEPENDENCYPART_ARC
(3,2),0.787075 # DEPENDENCYPART_ARC
(3,5),-0.0281138 # DEPENDENCYPART_ARC
(3,7),-1.1524 # DEPENDENCYPART_ARC
(3,8),-1.24672 # DEPENDENCYPART_ARC
(3,9),-1.26784 # DEPENDENCYPART_ARC
(3,10),-1.15837 # DEPENDENCYPART_ARC
(3,11),-1.5304 # DEPENDENCYPART_ARC
(3,13),-1.59334 # DEPENDENCYPART_ARC
(3,14),-1.22307 # DEPENDENCYPART_ARC
(3,15),-1.35899 # DEPENDENCYPART_ARC
(3,16),-0.931446 # DEPENDENCYPART_ARC
(3,17),-2.51707 # DEPENDENCYPART_ARC
(3,20),-1.90358 # DEPENDENCYPART_ARC
(3,24),-2.06647 # DEPENDENCYPART_ARC
(3,27),-1.87911 # DEPENDENCYPART_ARC
(3,29),-0.926648 # DEPENDENCYPART_ARC
(5,1),-0.909851 # DEPENDENCYPART_ARC
(5,2),-0.929674 # DEPENDENCYPART_ARC
(5,3),-1.03105 # DEPENDENCYPART_ARC
(5,4),0.511311 # DEPENDENCYPART_ARC
(5,6),0.266436 # DEPENDENCYPART_ARC
(5,7),-0.354633 # DEPENDENCYPART_ARC
(5,8),-0.663228 # DEPENDENCYPART_ARC
(5,9),-0.245549 # DEPENDENCYPART_ARC
(5,10),-0.034489 # DEPENDENCYPART_ARC
(5,11),-1.17799 # DEPENDENCYPART_ARC
(5,13),-1.02203 # DEPENDENCYPART_ARC
(5,14),-1.33617 # DEPENDENCYPART_ARC
(5,15),-1.40035 # DEPENDENCYPART_ARC
(5,16),-0.905166 # DEPENDENCYPART_ARC
(5,17),-2.98923 # DEPENDENCYPART_ARC
(5,20),-2.09127 # DEPENDENCYPART_ARC
(5,24),-2.20649 # DEPENDENCYPART_ARC
(5,29),-0.921378 # DEPENDENCYPART_ARC
(6,7),-0.163082 # DEPENDENCYPART_ARC
(6,11),-1.2425 # DEPENDENCYPART_ARC
(7,5),-1.36041 # DEPENDENCYPART_ARC
(7,6),-0.202517 # DEPENDENCYPART_ARC
(7,8),-0.0682876 # DEPENDENCYPART_ARC
(7,9),-0.812382 # DEPENDENCYPART_ARC
(7,10),-1.08786 # DEPENDENCYPART_ARC
(7,11),-1.14917 # DEPENDENCYPART_ARC
(7,13),-1.44945 # DEPENDENCYPART_ARC
(7,14),-1.1513 # DEPENDENCYPART_ARC
(7,15),-1.36284 # DEPENDENCYPART_ARC
(7,17),-1.923 # DEPENDENCYPART_ARC
(8,6),-0.748772 # DEPENDENCYPART_ARC
(8,7),0.909997 # DEPENDENCYPART_ARC
(8,9),-0.339007 # DEPENDENCYPART_ARC
(8,10),-1.12328 # DEPENDENCYPART_ARC
(8,11),-0.805006 # DEPENDENCYPART_ARC
(8,14),-1.0114 # DEPENDENCYPART_ARC
(9,1),-2.20286 # DEPENDENCYPART_ARC
(9,2),-3.09255 # DEPENDENCYPART_ARC
(9,6),-1.40785 # DEPENDENCYPART_ARC
(9,7),-1.0454 # DEPENDENCYPART_ARC
(9,8),-0.0636418 # DEPENDENCYPART_ARC
(9,10),-0.363371 # DEPENDENCYPART_ARC
(9,11),-0.805691 # DEPENDENCYPART_ARC
(9,13),-1.61941 # DEPENDENCYPART_ARC
(9,14),-1.07971 # DEPENDENCYPART_ARC
(9,15),-1.60511 # DEPENDENCYPART_ARC
(9,16),-1.67025 # DEPENDENCYPART_ARC
(9,19),-2.1789 # DEPENDENCYPART_ARC
(10,1),-1.14982 # DEPENDENCYPART_ARC
(10,2),-1.9071 # DEPENDENCYPART_ARC
(10,6),-0.260384 # DEPENDENCYPART_ARC
(10,7),-0.628947 # DEPENDENCYPART_ARC
(10,8),0.175258 # DEPENDENCYPART_ARC
(10,9),1.77525 # DEPENDENCYPART_ARC
(10,11),0.114236 # DEPENDENCYPART_ARC
(10,12),-1.38987 # DEPENDENCYPART_ARC
(10,13),-1.34319 # DEPENDENCYPART_ARC
(10,14),-1.20732 # DEPENDENCYPART_ARC
(10,15),-1.59705 # DEPENDENCYPART_ARC
(10,16),-1.70469 # DEPENDENCYPART_ARC
(10,17),-2.27678 # DEPENDENCYPART_ARC
(10,19),-1.84015 # DEPENDENCYPART_ARC
(10,20),-1.64018 # DEPENDENCYPART_ARC
(10,21),-1.70691 # DEPENDENCYPART_ARC
(10,23),-1.83984 # DEPENDENCYPART_ARC
(10,24),-1.76089 # DEPENDENCYPART_ARC
(10,27),-2.24253 # DEPENDENCYPART_ARC
(10,29),-1.77305 # DEPENDENCYPART_ARC
(11,8),-1.40036 # DEPENDENCYPART_ARC
(11,9),-1.34562 # DEPENDENCYPART_ARC
(11,10),-0.344419 # DEPENDENCYPART_ARC
(11,12),-0.00684386 # DEPENDENCYPART_ARC
(11,13),-0.117549 # DEPENDENCYPART_ARC
(11,14),-1.33725 # DEPENDENCYPART_ARC
(11,15),-1.29579 # DEPENDENCYPART_ARC
(11,16),-1.61472 # DEPENDENCYPART_ARC
(11,17),-2.24726 # DEPENDENCYPART_ARC
(11,19),-2.76097 # DEPENDENCYPART_ARC
(11,23),-2.77429 # DEPENDENCYPART_ARC
(12,13),-0.0334794 # DEPENDENCYPART_ARC
(12,14),-0.81301 # DEPENDENCYPART_ARC
(13,6),-2.07989 # DEPENDENCYPART_ARC
(13,7),-1.76946 # DEPENDENCYPART_ARC
(13,8),-1.77863 # DEPENDENCYPART_ARC
(13,9),-1.27934 # DEPENDENCYPART_ARC
(13,10),-1.45688 # DEPENDENCYPART_ARC
(13,11),-0.844136 # DEPENDENCYPART_ARC
(13,12),1.07248 # DEPENDENCYPART_ARC
(13,14),0.000484865 # DEPENDENCYPART_ARC
(13,15),-1.19091 # DEPENDENCYPART_ARC
(13,16),-1.55371 # DEPENDENCYPART_ARC
(13,17),-2.00939 # DEPENDENCYPART_ARC
(13,19),-1.82751 # DEPENDENCYPART_ARC
(13,20),-1.66432 # DEPENDENCYPART_ARC
(13,21),-1.71556 # DEPENDENCYPART_ARC
(13,23),-1.88001 # DEPENDENCYPART_ARC
(14,1),-0.496206 # DEPENDENCYPART_ARC
(14,2),-0.69097 # DEPENDENCYPART_ARC
(14,3),-1.36091 # DEPENDENCYPART_ARC
(14,5),-1.12617 # DEPENDENCYPART_ARC
(14,6),-1.05441 # DEPENDENCYPART_ARC
