# _root_ Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology division of Perkin-Elmer Corp .
#goldHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
#predictedHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
(0,2),-3.69973 # DEPENDENCYPART_ARC
(0,12),1.62272 # DEPENDENCYPART_ARC
(0,14),-1.88594 # DEPENDENCYPART_ARC
(1,2),-1.75136 # DEPENDENCYPART_ARC
(1,3),-1.3665 # DEPENDENCYPART_ARC
(1,4),-1.29777 # DEPENDENCYPART_ARC
(1,6),-2.68724 # DEPENDENCYPART_ARC
(1,7),-2.72079 # DEPENDENCYPART_ARC
(1,11),-1.7503 # DEPENDENCYPART_ARC
(2,1),0.376975 # DEPENDENCYPART_ARC
(2,3),1.271 # DEPENDENCYPART_ARC
(2,4),0.15219 # DEPENDENCYPART_ARC
(2,5),-1.55587 # DEPENDENCYPART_ARC
(2,6),-0.93303 # DEPENDENCYPART_ARC
(2,7),-1.28298 # DEPENDENCYPART_ARC
(2,8),-2.85753 # DEPENDENCYPART_ARC
(2,9),-2.63639 # DEPENDENCYPART_ARC
(2,10),-2.4316 # DEPENDENCYPART_ARC
(2,11),-0.124015 # DEPENDENCYPART_ARC
(2,12),-1.85515 # DEPENDENCYPART_ARC
(2,13),-1.91359 # DEPENDENCYPART_ARC
(2,14),-2.06635 # DEPENDENCYPART_ARC
(2,20),-3.42354 # DEPENDENCYPART_ARC
(2,21),-3.47312 # DEPENDENCYPART_ARC
(2,23),-4.66033 # DEPENDENCYPART_ARC
(2,24),-2.21878 # DEPENDENCYPART_ARC
(3,1),-1.10909 # DEPENDENCYPART_ARC
(3,2),-0.49377 # DEPENDENCYPART_ARC
(3,4),-0.680783 # DEPENDENCYPART_ARC
(3,6),-1.64386 # DEPENDENCYPART_ARC
(3,7),-2.13412 # DEPENDENCYPART_ARC
(3,9),-3.73224 # DEPENDENCYPART_ARC
(3,10),-2.7957 # DEPENDENCYPART_ARC
(3,11),-0.955209 # DEPENDENCYPART_ARC
(3,14),-2.87906 # DEPENDENCYPART_ARC
(4,6),-2.34603 # DEPENDENCYPART_ARC
(5,4),-1.80645 # DEPENDENCYPART_ARC
(5,7),-1.41237 # DEPENDENCYPART_ARC
(6,1),-2.09754 # DEPENDENCYPART_ARC
(6,2),-1.78393 # DEPENDENCYPART_ARC
(6,3),-1.82178 # DEPENDENCYPART_ARC
(6,4),-1.33307 # DEPENDENCYPART_ARC
(6,5),1.72886 # DEPENDENCYPART_ARC
(6,7),1.02159 # DEPENDENCYPART_ARC
(6,8),-1.25789 # DEPENDENCYPART_ARC
(6,9),-1.22973 # DEPENDENCYPART_ARC
(6,10),-1.20591 # DEPENDENCYPART_ARC
(6,11),-1.06082 # DEPENDENCYPART_ARC
(6,12),-1.02275 # DEPENDENCYPART_ARC
(6,13),-1.78153 # DEPENDENCYPART_ARC
(6,14),-1.2182 # DEPENDENCYPART_ARC
(6,15),-1.50441 # DEPENDENCYPART_ARC
(6,20),-2.47032 # DEPENDENCYPART_ARC
(6,24),-2.0143 # DEPENDENCYPART_ARC
(7,4),-2.14758 # DEPENDENCYPART_ARC
(7,6),-1.40306 # DEPENDENCYPART_ARC
(7,8),0.0749182 # DEPENDENCYPART_ARC
(7,9),-0.28137 # DEPENDENCYPART_ARC
(7,10),-0.629611 # DEPENDENCYPART_ARC
(7,11),-1.23924 # DEPENDENCYPART_ARC
(7,13),-1.70182 # DEPENDENCYPART_ARC
(7,14),-1.66537 # DEPENDENCYPART_ARC
(8,9),-1.84232 # DEPENDENCYPART_ARC
(8,10),-1.49055 # DEPENDENCYPART_ARC
(8,11),-1.67182 # DEPENDENCYPART_ARC
(8,14),-3.01445 # DEPENDENCYPART_ARC
(9,1),-3.70576 # DEPENDENCYPART_ARC
(9,2),-3.66971 # DEPENDENCYPART_ARC
(9,4),-2.52284 # DEPENDENCYPART_ARC
(9,5),-2.40012 # DEPENDENCYPART_ARC
(9,6),-1.87282 # DEPENDENCYPART_ARC
(9,7),-1.72653 # DEPENDENCYPART_ARC
(9,8),0.679413 # DEPENDENCYPART_ARC
(9,10),1.32725 # DEPENDENCYPART_ARC
(9,11),-0.201654 # DEPENDENCYPART_ARC
(9,12),-1.09183 # DEPENDENCYPART_ARC
(9,13),-1.13317 # DEPENDENCYPART_ARC
(9,14),-1.24511 # DEPENDENCYPART_ARC
(9,15),-1.53602 # DEPENDENCYPART_ARC
(9,19),-3.11395 # DEPENDENCYPART_ARC
(9,20),-2.7188 # DEPENDENCYPART_ARC
(9,21),-2.24039 # DEPENDENCYPART_ARC
(9,22),-3.8249 # DEPENDENCYPART_ARC
(9,23),-3.32053 # DEPENDENCYPART_ARC
(10,1),-4.12084 # DEPENDENCYPART_ARC
(10,2),-4.20832 # DEPENDENCYPART_ARC
