# _root_ `` When I want to buy , they run from you -- they keep changing their prices , '' Mr. Smith said .
#goldHeads=22,6,4,9,4,5,9,9,22,9,10,9,14,9,14,17,15,22,22,21,22,0,22,
#predictedHeads=22,6,4,22,4,5,9,9,22,9,10,9,14,9,14,17,15,22,22,21,22,0,22,
(0,4),-2.75379 # DEPENDENCYPART_ARC
(0,9),-2.97866 # DEPENDENCYPART_ARC
(0,22),1.11827 # DEPENDENCYPART_ARC
(1,2),-2.76689 # DEPENDENCYPART_ARC
(1,4),-3.04805 # DEPENDENCYPART_ARC
(2,1),-1.49725 # DEPENDENCYPART_ARC
(2,3),-1.43739 # DEPENDENCYPART_ARC
(2,4),-1.38742 # DEPENDENCYPART_ARC
(2,5),-2.03681 # DEPENDENCYPART_ARC
(2,7),-2.16507 # DEPENDENCYPART_ARC
(2,9),-2.32487 # DEPENDENCYPART_ARC
(2,10),-2.39856 # DEPENDENCYPART_ARC
(2,14),-2.71996 # DEPENDENCYPART_ARC
(3,2),-1.90701 # DEPENDENCYPART_ARC
(3,4),-1.04431 # DEPENDENCYPART_ARC
(3,5),-1.58501 # DEPENDENCYPART_ARC
(3,7),-1.77905 # DEPENDENCYPART_ARC
(4,1),-0.869124 # DEPENDENCYPART_ARC
(4,2),0.665445 # DEPENDENCYPART_ARC
(4,3),1.52719 # DEPENDENCYPART_ARC
(4,5),1.23623 # DEPENDENCYPART_ARC
(4,6),-0.320494 # DEPENDENCYPART_ARC
(4,7),-0.959183 # DEPENDENCYPART_ARC
(4,8),-1.84685 # DEPENDENCYPART_ARC
(4,9),-0.614127 # DEPENDENCYPART_ARC
(4,10),-1.03082 # DEPENDENCYPART_ARC
(4,11),-2.15492 # DEPENDENCYPART_ARC
(4,12),-0.845883 # DEPENDENCYPART_ARC
(4,13),-2.43497 # DEPENDENCYPART_ARC
(4,14),-0.992 # DEPENDENCYPART_ARC
(4,15),-1.41667 # DEPENDENCYPART_ARC
(4,17),-2.21756 # DEPENDENCYPART_ARC
(4,18),-1.85457 # DEPENDENCYPART_ARC
(4,19),-1.03507 # DEPENDENCYPART_ARC
(4,21),-3.08995 # DEPENDENCYPART_ARC
(4,22),-2.25331 # DEPENDENCYPART_ARC
(4,23),-1.59119 # DEPENDENCYPART_ARC
(5,1),-2.11211 # DEPENDENCYPART_ARC
(5,2),-0.847369 # DEPENDENCYPART_ARC
(5,3),-1.78383 # DEPENDENCYPART_ARC
(5,4),-1.2374 # DEPENDENCYPART_ARC
(5,6),1.66703 # DEPENDENCYPART_ARC
(5,7),-1.33211 # DEPENDENCYPART_ARC
(5,8),-1.21326 # DEPENDENCYPART_ARC
(5,9),-1.39955 # DEPENDENCYPART_ARC
(5,10),-1.64706 # DEPENDENCYPART_ARC
(5,11),-1.69998 # DEPENDENCYPART_ARC
(5,12),-1.06876 # DEPENDENCYPART_ARC
(5,14),-1.92822 # DEPENDENCYPART_ARC
