# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(0,1),-2.73467 # DEPENDENCYPART_ARC
(0,2),-3.63431 # DEPENDENCYPART_ARC
(0,3),-4.3117 # DEPENDENCYPART_ARC
(0,4),-4.49654 # DEPENDENCYPART_ARC
(0,5),-4.9899 # DEPENDENCYPART_ARC
(0,7),-4.53764 # DEPENDENCYPART_ARC
(0,8),-4.46851 # DEPENDENCYPART_ARC
(0,9),-3.59695 # DEPENDENCYPART_ARC
(0,13),-4.20169 # DEPENDENCYPART_ARC
(1,2),1.41706 # DEPENDENCYPART_ARC
(1,3),-0.992603 # DEPENDENCYPART_ARC
(1,4),-1.39106 # DEPENDENCYPART_ARC
(1,5),-0.840808 # DEPENDENCYPART_ARC
(1,7),-1.81999 # DEPENDENCYPART_ARC
(1,8),-1.95159 # DEPENDENCYPART_ARC
(1,9),-1.48835 # DEPENDENCYPART_ARC
(1,10),-1.20898 # DEPENDENCYPART_ARC
(1,13),-2.60308 # DEPENDENCYPART_ARC
(1,14),-2.54791 # DEPENDENCYPART_ARC
(1,18),-1.41735 # DEPENDENCYPART_ARC
(1,19),-2.33445 # DEPENDENCYPART_ARC
(1,23),-3.05083 # DEPENDENCYPART_ARC
(1,24),-1.78516 # DEPENDENCYPART_ARC
(1,29),-2.96517 # DEPENDENCYPART_ARC
(2,1),-0.816298 # DEPENDENCYPART_ARC
(2,4),-2.37558 # DEPENDENCYPART_ARC
(2,5),-2.35866 # DEPENDENCYPART_ARC
(3,1),-1.63003 # DEPENDENCYPART_ARC
(3,2),-1.5458 # DEPENDENCYPART_ARC
(3,4),-0.968698 # DEPENDENCYPART_ARC
(3,5),-1.49108 # DEPENDENCYPART_ARC
(3,9),-2.26257 # DEPENDENCYPART_ARC
(4,1),-0.462387 # DEPENDENCYPART_ARC
(4,2),-0.514877 # DEPENDENCYPART_ARC
(4,3),1.67239 # DEPENDENCYPART_ARC
(4,5),0.34747 # DEPENDENCYPART_ARC
(4,6),-1.83287 # DEPENDENCYPART_ARC
(4,7),-1.3596 # DEPENDENCYPART_ARC
(4,8),-0.873229 # DEPENDENCYPART_ARC
(4,9),-1.33589 # DEPENDENCYPART_ARC
(4,10),-1.10734 # DEPENDENCYPART_ARC
(4,13),-1.52026 # DEPENDENCYPART_ARC
(4,14),-2.05103 # DEPENDENCYPART_ARC
(4,18),-1.23479 # DEPENDENCYPART_ARC
(4,19),-2.79366 # DEPENDENCYPART_ARC
(4,23),-2.80841 # DEPENDENCYPART_ARC
(4,24),-1.13366 # DEPENDENCYPART_ARC
(4,25),-3.0448 # DEPENDENCYPART_ARC
(4,28),-3.28374 # DEPENDENCYPART_ARC
(4,29),-3.21933 # DEPENDENCYPART_ARC
(5,1),-2.20278 # DEPENDENCYPART_ARC
(5,2),-1.94088 # DEPENDENCYPART_ARC
(5,4),-1.80004 # DEPENDENCYPART_ARC
(5,6),-1.09868 # DEPENDENCYPART_ARC
(5,7),-0.423929 # DEPENDENCYPART_ARC
(5,8),0.0962768 # DEPENDENCYPART_ARC
(5,9),-1.52672 # DEPENDENCYPART_ARC
(5,10),-1.9508 # DEPENDENCYPART_ARC
(5,13),-1.1035 # DEPENDENCYPART_ARC
(5,29),-2.83672 # DEPENDENCYPART_ARC
(6,7),-1.85215 # DEPENDENCYPART_ARC
(6,9),-2.02513 # DEPENDENCYPART_ARC
(7,1),-2.50811 # DEPENDENCYPART_ARC
(7,4),-2.08786 # DEPENDENCYPART_ARC
(7,6),-0.562365 # DEPENDENCYPART_ARC
(7,8),-0.971896 # DEPENDENCYPART_ARC
(7,9),-1.42582 # DEPENDENCYPART_ARC
(7,10),-1.36072 # DEPENDENCYPART_ARC
(7,13),-2.64624 # DEPENDENCYPART_ARC
(7,14),-1.85153 # DEPENDENCYPART_ARC
(8,1),-1.39608 # DEPENDENCYPART_ARC
(8,2),-2.16063 # DEPENDENCYPART_ARC
(8,3),-1.15354 # DEPENDENCYPART_ARC
(8,4),-1.57091 # DEPENDENCYPART_ARC
(8,5),-0.742821 # DEPENDENCYPART_ARC
(8,6),1.3257 # DEPENDENCYPART_ARC
(8,7),1.05541 # DEPENDENCYPART_ARC
(8,9),-0.464746 # DEPENDENCYPART_ARC
(8,10),-1.10647 # DEPENDENCYPART_ARC
(8,13),-1.89422 # DEPENDENCYPART_ARC
(8,14),-1.94432 # DEPENDENCYPART_ARC
(8,18),-1.8708 # DEPENDENCYPART_ARC
(8,19),-2.52427 # DEPENDENCYPART_ARC
(8,24),-2.19741 # DEPENDENCYPART_ARC
(8,29),-3.47585 # DEPENDENCYPART_ARC
(9,1),-1.86957 # DEPENDENCYPART_ARC
(9,2),-2.17994 # DEPENDENCYPART_ARC
(9,4),-1.71931 # DEPENDENCYPART_ARC
(9,5),-1.39857 # DEPENDENCYPART_ARC
(9,6),-1.67061 # DEPENDENCYPART_ARC
(9,7),-1.23323 # DEPENDENCYPART_ARC
(9,8),-0.840924 # DEPENDENCYPART_ARC
(9,10),1.40417 # DEPENDENCYPART_ARC
(9,13),-0.760895 # DEPENDENCYPART_ARC
(9,14),-1.13685 # DEPENDENCYPART_ARC
(9,15),-1.91972 # DEPENDENCYPART_ARC
(9,18),-1.36835 # DEPENDENCYPART_ARC
(9,19),-1.59488 # DEPENDENCYPART_ARC
(9,21),-2.19215 # DEPENDENCYPART_ARC
(9,24),-1.30207 # DEPENDENCYPART_ARC
(9,25),-2.47981 # DEPENDENCYPART_ARC
(9,29),-0.886681 # DEPENDENCYPART_ARC
(10,4),-2.26338 # DEPENDENCYPART_ARC
(10,5),-1.79513 # DEPENDENCYPART_ARC
(10,7),-2.12802 # DEPENDENCYPART_ARC
(10,8),-2.0965 # DEPENDENCYPART_ARC
(10,9),-1.41554 # DEPENDENCYPART_ARC
(10,11),-1.24711 # DEPENDENCYPART_ARC
(10,12),-1.04661 # DEPENDENCYPART_ARC
(10,13),0.13119 # DEPENDENCYPART_ARC
(10,14),-1.49796 # DEPENDENCYPART_ARC
(10,15),-1.92017 # DEPENDENCYPART_ARC
(10,17),-2.92895 # DEPENDENCYPART_ARC
(10,18),-1.31949 # DEPENDENCYPART_ARC
(10,19),-1.94288 # DEPENDENCYPART_ARC
(10,21),-1.9456 # DEPENDENCYPART_ARC
(10,25),-1.57221 # DEPENDENCYPART_ARC
(10,29),-2.96438 # DEPENDENCYPART_ARC
(11,14),-1.38435 # DEPENDENCYPART_ARC
(12,11),-0.7865 # DEPENDENCYPART_ARC
(12,14),-1.05051 # DEPENDENCYPART_ARC
(12,15),-2.20761 # DEPENDENCYPART_ARC
(13,1),-2.17864 # DEPENDENCYPART_ARC
(13,4),-3.62691 # DEPENDENCYPART_ARC
(13,5),-1.97408 # DEPENDENCYPART_ARC
(13,6),-2.72456 # DEPENDENCYPART_ARC
(13,7),-1.54451 # DEPENDENCYPART_ARC
(13,8),-1.72944 # DEPENDENCYPART_ARC
(13,9),-1.49899 # DEPENDENCYPART_ARC
(13,10),-1.35401 # DEPENDENCYPART_ARC
(13,11),1.39929 # DEPENDENCYPART_ARC
(13,12),1.84643 # DEPENDENCYPART_ARC
(13,14),0.804282 # DEPENDENCYPART_ARC
(13,15),-1.01196 # DEPENDENCYPART_ARC
(13,17),-1.44127 # DEPENDENCYPART_ARC
(13,18),-1.276 # DEPENDENCYPART_ARC
(13,19),-1.35153 # DEPENDENCYPART_ARC
(13,20),-2.08915 # DEPENDENCYPART_ARC
(13,21),-1.86425 # DEPENDENCYPART_ARC
(13,23),-2.12835 # DEPENDENCYPART_ARC
